Ensembl Gene ID	Ensembl Transcript ID	Microbat Ensembl Protein ID
ENSG00000070018	ENST00000261349	ENSMLUP00000009809
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	
ENSG00000073060	ENST00000261693	ENSMLUP00000002442
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	ENSMLUP00000012051
ENSG00000067141	ENST00000261908	ENSMLUP00000013928
ENSG00000037280	ENST00000261937	ENSMLUP00000009004
ENSG00000038945	ENST00000262101	ENSMLUP00000013397
ENSG00000106018	ENST00000262178	ENSMLUP00000016421
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSMLUP00000001298
ENSG00000005961	ENST00000262407	ENSMLUP00000015976
ENSG00000065325	ENST00000262441	ENSMLUP00000007924
ENSG00000105707	ENST00000262626	ENSMLUP00000002637
ENSG00000075275	ENST00000262738	
ENSG00000105737	ENST00000262895	ENSMLUP00000013350
ENSG00000088812	ENST00000262919	ENSMLUP00000007291
ENSG00000083457	ENST00000263087	
ENSG00000105464	ENST00000263269	ENSMLUP00000017172
ENSG00000010310	ENST00000263281	ENSMLUP00000001188
ENSG00000109991	ENST00000263314	ENSMLUP00000006564
ENSG00000104998	ENST00000263379	ENSMLUP00000011842
ENSG00000113594	ENST00000263409	ENSMLUP00000013693
ENSG00000054219	ENST00000263636	ENSMLUP00000005939
ENSG00000115170	ENST00000263640	ENSMLUP00000009233
ENSG00000092445	ENST00000263798	ENSMLUP00000014742
ENSG00000062524	ENST00000263800	
ENSG00000081479	ENST00000263816	ENSMLUP00000008859
ENSG00000128052	ENST00000263923	ENSMLUP00000012501
ENSG00000120949	ENST00000263932	ENSMLUP00000016070
ENSG00000110400	ENST00000264025	ENSMLUP00000000346
ENSG00000121594	ENST00000264246	ENSMLUP00000016833
ENSG00000115598	ENST00000264257	
ENSG00000109158	ENST00000264318	ENSMLUP00000006071
ENSG00000125675	ENST00000264357	ENSMLUP00000006773
ENSG00000109738	ENST00000264428	ENSMLUP00000005156
ENSG00000108797	ENST00000264638	ENSMLUP00000003681
ENSG00000144668	ENST00000264741	ENSMLUP00000003885
ENSG00000090339	ENST00000264832	ENSMLUP00000011190
ENSG00000138760	ENST00000264896	ENSMLUP00000017548
ENSG00000099250	ENST00000265371	ENSMLUP00000000833
ENSG00000082556	ENST00000265572	ENSMLUP00000014031
ENSG00000139193	ENST00000266557	ENSMLUP00000013006
ENSG00000139292	ENST00000266674	ENSMLUP00000010665
ENSG00000139572	ENST00000267015	ENSMLUP00000016668
ENSG00000065361	ENST00000267101	ENSMLUP00000000741
ENSG00000139636	ENST00000267102	
ENSG00000139874	ENST00000267377	ENSMLUP00000017063
ENSG00000140443	ENST00000268035	ENSMLUP00000015675
ENSG00000140678	ENST00000268296	
ENSG00000140749	ENST00000268389	ENSMLUP00000014295
ENSG00000141194	ENST00000268912	ENSMLUP00000014126
ENSG00000141458	ENST00000269228	ENSMLUP00000006509
ENSG00000141505	ENST00000269299	ENSMLUP00000005875
ENSG00000141655	ENST00000269485	ENSMLUP00000014910
ENSG00000141736	ENST00000269571	ENSMLUP00000013673
ENSG00000142166	ENST00000270139	ENSMLUP00000021178
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSMLUP00000007662
ENSG00000143226	ENST00000271450	ENSMLUP00000020093
ENSG00000143226	ENST00000271450	ENSMLUP00000019982
ENSG00000163518	ENST00000271532	
ENSG00000144136	ENST00000272542	ENSMLUP00000000480
ENSG00000144407	ENST00000272847	ENSMLUP00000007782
ENSG00000144476	ENST00000272928	ENSMLUP00000010501
ENSG00000144820	ENST00000273352	ENSMLUP00000003357
ENSG00000145103	ENST00000273691	ENSMLUP00000013961
ENSG00000145242	ENST00000273854	ENSMLUP00000002612
ENSG00000145244	ENST00000273857	ENSMLUP00000006135
ENSG00000145451	ENST00000274093	ENSMLUP00000011526
ENSG00000145623	ENST00000274276	ENSMLUP00000005256
ENSG00000145863	ENST00000274545	ENSMLUP00000004294
ENSG00000146360	ENST00000275169	ENSMLUP00000004905
ENSG00000146399	ENST00000275216	ENSMLUP00000022399
ENSG00000146399	ENST00000275216	ENSMLUP00000018886
ENSG00000146648	ENST00000275493	ENSMLUP00000005193
ENSG00000146904	ENST00000275815	ENSMLUP00000013780
ENSG00000147138	ENST00000276077	ENSMLUP00000004708
ENSG00000147246	ENST00000276198	ENSMLUP00000000240
ENSG00000147262	ENST00000276218	ENSMLUP00000014892
ENSG00000147434	ENST00000276410	ENSMLUP00000004768
ENSG00000120889	ENST00000276431	ENSMLUP00000007747
ENSG00000147650	ENST00000276654	ENSMLUP00000014716
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	
ENSG00000149133	ENST00000278409	ENSMLUP00000016416
ENSG00000149133	ENST00000278409	ENSMLUP00000018686
ENSG00000149133	ENST00000278409	ENSMLUP00000012488
ENSG00000149133	ENST00000278409	ENSMLUP00000019941
ENSG00000149534	ENST00000278888	ENSMLUP00000009510
ENSG00000150045	ENST00000279544	ENSMLUP00000016226
ENSG00000150086	ENST00000279593	ENSMLUP00000008784
ENSG00000150261	ENST00000279783	ENSMLUP00000022042
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	ENSMLUP00000020851
ENSG00000150637	ENST00000280200	ENSMLUP00000007500
ENSG00000150938	ENST00000280527	ENSMLUP00000008075
ENSG00000151490	ENST00000281171	ENSMLUP00000014393
ENSG00000151490	ENST00000281171	ENSMLUP00000017812
ENSG00000116106	ENST00000281821	ENSMLUP00000014382
ENSG00000152207	ENST00000282018	ENSMLUP00000017718
ENSG00000152208	ENST00000282020	ENSMLUP00000012568
ENSG00000152578	ENST00000282499	ENSMLUP00000005058
ENSG00000213949	ENST00000282588	
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSMLUP00000006330
ENSG00000153246	ENST00000283243	ENSMLUP00000012754
ENSG00000115221	ENST00000283249	ENSMLUP00000007960
ENSG00000153563	ENST00000283635	
ENSG00000196119	ENST00000284287	ENSMLUP00000011431
ENSG00000154165	ENST00000284311	ENSMLUP00000022520
ENSG00000154309	ENST00000284476	ENSMLUP00000001201
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSMLUP00000011851
ENSG00000155249	ENST00000285600	ENSMLUP00000020767
ENSG00000155511	ENST00000285900	ENSMLUP00000002127
ENSG00000155760	ENST00000286201	ENSMLUP00000016841
ENSG00000182578	ENST00000286301	ENSMLUP00000012039
ENSG00000157219	ENST00000287907	ENSMLUP00000013121
ENSG00000157240	ENST00000287934	ENSMLUP00000021951
ENSG00000157404	ENST00000288135	ENSMLUP00000002221
ENSG00000056736	ENST00000288167	ENSMLUP00000015640
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	ENSMLUP00000008253
ENSG00000158748	ENST00000289753	ENSMLUP00000006235
ENSG00000158869	ENST00000289902	ENSMLUP00000004166
ENSG00000147432	ENST00000289957	ENSMLUP00000019700
ENSG00000243646	ENST00000290200	ENSMLUP00000005190
ENSG00000159128	ENST00000290219	ENSMLUP00000011275
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	ENSMLUP00000001127
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSMLUP00000015236
ENSG00000160951	ENST00000292513	ENSMLUP00000007628
ENSG00000161509	ENST00000293190	ENSMLUP00000016219
ENSG00000161638	ENST00000293379	ENSMLUP00000011785
ENSG00000161807	ENST00000293614	ENSMLUP00000021957
ENSG00000161921	ENST00000293778	ENSMLUP00000002312
ENSG00000108556	ENST00000293780	ENSMLUP00000014289
ENSG00000162337	ENST00000294304	ENSMLUP00000001113
ENSG00000138039	ENST00000294954	ENSMLUP00000010710
ENSG00000153208	ENST00000295408	ENSMLUP00000015680
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSMLUP00000011093
ENSG00000163288	ENST00000295454	ENSMLUP00000016286
ENSG00000163394	ENST00000295589	ENSMLUP00000015674
ENSG00000163464	ENST00000295683	ENSMLUP00000004446
ENSG00000054356	ENST00000295718	ENSMLUP00000007431
ENSG00000163702	ENST00000295981	ENSMLUP00000005626
ENSG00000163785	ENST00000296084	ENSMLUP00000014661
ENSG00000163823	ENST00000296140	ENSMLUP00000010394
ENSG00000082781	ENST00000296181	ENSMLUP00000002158
ENSG00000163914	ENST00000296271	ENSMLUP00000013452
ENSG00000164078	ENST00000296474	ENSMLUP00000015309
ENSG00000120251	ENST00000296526	ENSMLUP00000016053
ENSG00000164128	ENST00000296533	ENSMLUP00000003115
ENSG00000164171	ENST00000296585	ENSMLUP00000006769
ENSG00000164220	ENST00000296641	ENSMLUP00000006169
ENSG00000164251	ENST00000296677	
ENSG00000164342	ENST00000296795	ENSMLUP00000011437
ENSG00000146072	ENST00000296861	ENSMLUP00000002439
ENSG00000164393	ENST00000296862	ENSMLUP00000002604
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	ENSMLUP00000009306
ENSG00000133105	ENST00000298386	ENSMLUP00000012592
ENSG00000165621	ENST00000298440	ENSMLUP00000012577
ENSG00000165682	ENST00000298527	ENSMLUP00000010620
ENSG00000165762	ENST00000298642	ENSMLUP00000014268
ENSG00000166073	ENST00000299092	ENSMLUP00000004159
ENSG00000166148	ENST00000299178	ENSMLUP00000010380
ENSG00000166363	ENST00000299454	ENSMLUP00000019008
ENSG00000166363	ENST00000299454	ENSMLUP00000017890
ENSG00000166368	ENST00000299459	ENSMLUP00000022484
ENSG00000166368	ENST00000299459	ENSMLUP00000020302
ENSG00000169684	ENST00000299565	
ENSG00000166573	ENST00000299727	ENSMLUP00000020182
ENSG00000166603	ENST00000299766	ENSMLUP00000000197
ENSG00000166682	ENST00000299882	
ENSG00000166825	ENST00000300060	ENSMLUP00000021743
ENSG00000166856	ENST00000300098	ENSMLUP00000021476
ENSG00000166884	ENST00000300127	ENSMLUP00000018976
ENSG00000167286	ENST00000300692	ENSMLUP00000012796
ENSG00000242180	ENST00000300773	ENSMLUP00000011987
ENSG00000167360	ENST00000300778	ENSMLUP00000018984
ENSG00000167601	ENST00000301178	ENSMLUP00000011895
ENSG00000167822	ENST00000301529	ENSMLUP00000014542
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSMLUP00000010128
ENSG00000117090	ENST00000302035	ENSMLUP00000012930
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSMLUP00000014540
ENSG00000172208	ENST00000302329	
ENSG00000171522	ENST00000302472	ENSMLUP00000009129
ENSG00000171657	ENST00000302548	ENSMLUP00000002736
ENSG00000172362	ENST00000302572	ENSMLUP00000008958
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	ENSMLUP00000016483
ENSG00000172377	ENST00000302610	ENSMLUP00000014667
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	ENSMLUP00000019534
ENSG00000169313	ENST00000302632	ENSMLUP00000010458
ENSG00000150995	ENST00000302640	ENSMLUP00000007108
ENSG00000150995	ENST00000302640	ENSMLUP00000019322
ENSG00000171133	ENST00000302681	ENSMLUP00000022539
ENSG00000171133	ENST00000302681	ENSMLUP00000019791
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSMLUP00000012576
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	
ENSG00000172459	ENST00000302969	ENSMLUP00000000517
ENSG00000172464	ENST00000302981	ENSMLUP00000000512
ENSG00000172487	ENST00000303039	ENSMLUP00000014542
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSMLUP00000008955
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	ENSMLUP00000019005
ENSG00000169604	ENST00000303714	ENSMLUP00000003349
ENSG00000169618	ENST00000303786	ENSMLUP00000003328
ENSG00000170775	ENST00000303921	
ENSG00000172243	ENST00000304084	ENSMLUP00000006557
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSMLUP00000016203
ENSG00000170425	ENST00000304222	ENSMLUP00000000322
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	ENSMLUP00000012056
ENSG00000169676	ENST00000304374	ENSMLUP00000016870
ENSG00000172209	ENST00000304402	ENSMLUP00000011978
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSMLUP00000022299
ENSG00000171459	ENST00000304720	
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	ENSMLUP00000006165
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	ENSMLUP00000014333
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	ENSMLUP00000013588
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	ENSMLUP00000019619
ENSG00000171596	ENST00000305141	ENSMLUP00000002373
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSMLUP00000008246
ENSG00000168830	ENST00000305344	ENSMLUP00000003890
ENSG00000170989	ENST00000305352	ENSMLUP00000018048
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSMLUP00000014009
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSMLUP00000015973
ENSG00000171942	ENST00000305899	ENSMLUP00000017220
ENSG00000171942	ENST00000305899	ENSMLUP00000014731
ENSG00000169252	ENST00000305988	ENSMLUP00000005764
ENSG00000168229	ENST00000306051	ENSMLUP00000014086
ENSG00000157193	ENST00000306052	ENSMLUP00000022666
ENSG00000170175	ENST00000306071	ENSMLUP00000009058
ENSG00000170214	ENST00000306675	ENSMLUP00000009218
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000170790	ENST00000307322	ENSMLUP00000019008
ENSG00000170790	ENST00000307322	ENSMLUP00000017890
ENSG00000171944	ENST00000307388	
ENSG00000170803	ENST00000307401	ENSMLUP00000011618
ENSG00000170803	ENST00000307401	ENSMLUP00000020000
ENSG00000172289	ENST00000307552	
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	ENSMLUP00000021111
ENSG00000171509	ENST00000307765	ENSMLUP00000008449
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	ENSMLUP00000017107
ENSG00000174667	ENST00000308682	ENSMLUP00000020852
ENSG00000174667	ENST00000308682	ENSMLUP00000018454
ENSG00000174667	ENST00000308682	ENSMLUP00000009570
ENSG00000174667	ENST00000308682	ENSMLUP00000018322
ENSG00000056291	ENST00000308744	ENSMLUP00000007402
ENSG00000172519	ENST00000308940	ENSMLUP00000015973
ENSG00000172519	ENST00000308940	ENSMLUP00000017220
ENSG00000172519	ENST00000308940	ENSMLUP00000014731
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSMLUP00000007670
ENSG00000172938	ENST00000309106	ENSMLUP00000022515
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSMLUP00000010434
ENSG00000174946	ENST00000309180	ENSMLUP00000010428
ENSG00000173578	ENST00000309285	ENSMLUP00000019644
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	ENSMLUP00000016483
ENSG00000163485	ENST00000309502	ENSMLUP00000009360
ENSG00000173391	ENST00000309539	ENSMLUP00000006581
ENSG00000175619	ENST00000309562	
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	ENSMLUP00000009423
ENSG00000175393	ENST00000309838	
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSMLUP00000000814
ENSG00000197376	ENST00000310194	ENSMLUP00000021703
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSMLUP00000009223
ENSG00000088053	ENST00000310373	ENSMLUP00000019515
ENSG00000121716	ENST00000310771	ENSMLUP00000005196
ENSG00000173250	ENST00000311104	ENSMLUP00000014488
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSMLUP00000002573
ENSG00000250510	ENST00000311268	ENSMLUP00000020512
ENSG00000175485	ENST00000311352	ENSMLUP00000022043
ENSG00000173567	ENST00000311519	ENSMLUP00000009155
ENSG00000166206	ENST00000311550	ENSMLUP00000012040
ENSG00000186513	ENST00000311591	ENSMLUP00000007150
ENSG00000174837	ENST00000312053	
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	ENSMLUP00000020749
ENSG00000174937	ENST00000312240	ENSMLUP00000014528
ENSG00000174942	ENST00000312253	ENSMLUP00000020439
ENSG00000110195	ENST00000312293	ENSMLUP00000012850
ENSG00000174957	ENST00000312298	ENSMLUP00000016880
ENSG00000174957	ENST00000312298	ENSMLUP00000017596
ENSG00000174970	ENST00000312345	ENSMLUP00000021771
ENSG00000174970	ENST00000312345	ENSMLUP00000017856
ENSG00000174970	ENST00000312345	ENSMLUP00000019690
ENSG00000174982	ENST00000312422	ENSMLUP00000016345
ENSG00000175514	ENST00000312457	ENSMLUP00000020467
ENSG00000226288	ENST00000312614	ENSMLUP00000016702
ENSG00000173762	ENST00000312648	ENSMLUP00000009182
ENSG00000181689	ENST00000312711	ENSMLUP00000021431
ENSG00000181693	ENST00000313022	ENSMLUP00000014187
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	ENSMLUP00000022612
ENSG00000176200	ENST00000313253	ENSMLUP00000016763
ENSG00000181718	ENST00000313264	ENSMLUP00000018611
ENSG00000181718	ENST00000313264	ENSMLUP00000003783
ENSG00000013725	ENST00000313421	ENSMLUP00000003969
ENSG00000181752	ENST00000313447	ENSMLUP00000005905
ENSG00000181761	ENST00000313472	ENSMLUP00000014187
ENSG00000181767	ENST00000313503	ENSMLUP00000014187
ENSG00000181785	ENST00000313555	ENSMLUP00000017031
ENSG00000177675	ENST00000313599	ENSMLUP00000020875
ENSG00000176495	ENST00000313940	
ENSG00000179546	ENST00000314113	ENSMLUP00000020405
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	ENSMLUP00000017781
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	
ENSG00000181935	ENST00000314634	
ENSG00000181939	ENST00000314644	ENSMLUP00000016762
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	ENSMLUP00000016683
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSMLUP00000008109
ENSG00000176198	ENST00000315409	ENSMLUP00000010579
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	ENSMLUP00000020039
ENSG00000176246	ENST00000315683	ENSMLUP00000019110
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	ENSMLUP00000008213
ENSG00000137809	ENST00000315757	ENSMLUP00000017155
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	ENSMLUP00000017994
ENSG00000176299	ENST00000315957	ENSMLUP00000021043
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	ENSMLUP00000018556
