ENSG00000003056	ENST00000000412	ENSDNOP00000002730
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	ENSDNOP00000013230
ENSG00000127364	ENST00000247881	ENSDNOP00000013546
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSDNOP00000015756
ENSG00000127530	ENST00000248073	ENSDNOP00000015756
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	
ENSG00000128285	ENST00000249016	ENSDNOP00000002705
ENSG00000128310	ENST00000249041	ENSDNOP00000002537
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSDNOP00000005837
ENSG00000128617	ENST00000249389	
ENSG00000129048	ENST00000249887	
ENSG00000129749	ENST00000250699	ENSDNOP00000002086
ENSG00000130164	ENST00000252444	
ENSG00000130202	ENST00000252483	
ENSG00000130234	ENST00000252519	ENSDNOP00000014740
ENSG00000130368	ENST00000252660	ENSDNOP00000004741
ENSG00000130529	ENST00000252826	ENSDNOP00000012279
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	ENSDNOP00000013288
ENSG00000131477	ENST00000253796	ENSDNOP00000010836
ENSG00000132329	ENST00000254661	
ENSG00000132334	ENST00000254667	ENSDNOP00000000553
ENSG00000132518	ENST00000254854	ENSDNOP00000004473
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSDNOP00000010854
ENSG00000133019	ENST00000255380	ENSDNOP00000006455
ENSG00000133800	ENST00000256178	ENSDNOP00000006959
ENSG00000134061	ENST00000256447	
ENSG00000134243	ENST00000256637	ENSDNOP00000009581
ENSG00000134250	ENST00000256646	ENSDNOP00000008150
ENSG00000134489	ENST00000256906	ENSDNOP00000005195
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSDNOP00000007098
ENSG00000135409	ENST00000257863	ENSDNOP00000012972
ENSG00000135424	ENST00000257879	
ENSG00000135577	ENST00000258042	
ENSG00000135902	ENST00000258385	ENSDNOP00000013068
ENSG00000135914	ENST00000258400	
ENSG00000135960	ENST00000258443	ENSDNOP00000002261
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSDNOP00000013037
ENSG00000136834	ENST00000259357	
ENSG00000136839	ENST00000259362	ENSDNOP00000014992
ENSG00000136928	ENST00000259455	ENSDNOP00000011617
ENSG00000136960	ENST00000259486	ENSDNOP00000004149
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSDNOP00000009922
ENSG00000137642	ENST00000260197	ENSDNOP00000010091
ENSG00000138271	ENST00000260843	ENSDNOP00000008429
ENSG00000138435	ENST00000261007	ENSDNOP00000012524
ENSG00000138448	ENST00000261023	ENSDNOP00000000642
ENSG00000069431	ENST00000261200	ENSDNOP00000012574
ENSG00000069493	ENST00000261340	ENSDNOP00000016753
ENSG00000070018	ENST00000261349	ENSDNOP00000009305
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	ENSDNOP00000015884
ENSG00000073060	ENST00000261693	ENSDNOP00000017268
ENSG00000117971	ENST00000261751	ENSDNOP00000011071
ENSG00000113721	ENST00000261799	
ENSG00000067141	ENST00000261908	ENSDNOP00000002245
ENSG00000037280	ENST00000261937	
ENSG00000038945	ENST00000262101	ENSDNOP00000013645
ENSG00000106018	ENST00000262178	ENSDNOP00000003277
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSDNOP00000006025
ENSG00000005961	ENST00000262407	ENSDNOP00000006298
ENSG00000065325	ENST00000262441	ENSDNOP00000012438
ENSG00000105707	ENST00000262626	
ENSG00000075275	ENST00000262738	ENSDNOP00000016708
ENSG00000105737	ENST00000262895	
ENSG00000088812	ENST00000262919	ENSDNOP00000000730
ENSG00000083457	ENST00000263087	ENSDNOP00000015612
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	ENSDNOP00000002779
ENSG00000104998	ENST00000263379	
ENSG00000113594	ENST00000263409	ENSDNOP00000005832
ENSG00000054219	ENST00000263636	ENSDNOP00000004685
ENSG00000115170	ENST00000263640	ENSDNOP00000007367
ENSG00000092445	ENST00000263798	ENSDNOP00000014228
ENSG00000062524	ENST00000263800	ENSDNOP00000014218
ENSG00000128052	ENST00000263923	ENSDNOP00000012239
ENSG00000120949	ENST00000263932	ENSDNOP00000005919
ENSG00000110400	ENST00000264025	ENSDNOP00000004955
ENSG00000121594	ENST00000264246	ENSDNOP00000017613
ENSG00000115598	ENST00000264257	ENSDNOP00000007256
ENSG00000109158	ENST00000264318	ENSDNOP00000008351
ENSG00000125675	ENST00000264357	ENSDNOP00000000490
ENSG00000109738	ENST00000264428	ENSDNOP00000015969
ENSG00000108797	ENST00000264638	ENSDNOP00000010769
ENSG00000144668	ENST00000264741	ENSDNOP00000007219
ENSG00000090339	ENST00000264832	ENSDNOP00000001940
ENSG00000138760	ENST00000264896	ENSDNOP00000012298
ENSG00000099250	ENST00000265371	ENSDNOP00000015397
ENSG00000082556	ENST00000265572	ENSDNOP00000015467
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSDNOP00000007961
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	ENSDNOP00000000776
ENSG00000139636	ENST00000267102	ENSDNOP00000006114
ENSG00000139874	ENST00000267377	ENSDNOP00000000498
ENSG00000140443	ENST00000268035	ENSDNOP00000002719
ENSG00000140678	ENST00000268296	
ENSG00000140749	ENST00000268389	
ENSG00000141194	ENST00000268912	
ENSG00000141458	ENST00000269228	ENSDNOP00000007676
ENSG00000141505	ENST00000269299	ENSDNOP00000006516
ENSG00000141655	ENST00000269485	ENSDNOP00000016642
ENSG00000141736	ENST00000269571	ENSDNOP00000012150
ENSG00000142166	ENST00000270139	ENSDNOP00000004044
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	
ENSG00000143226	ENST00000271450	
ENSG00000163518	ENST00000271532	ENSDNOP00000010003
ENSG00000144136	ENST00000272542	
ENSG00000144407	ENST00000272847	ENSDNOP00000002362
ENSG00000144476	ENST00000272928	
ENSG00000144820	ENST00000273352	ENSDNOP00000011392
ENSG00000145103	ENST00000273691	ENSDNOP00000003007
ENSG00000145242	ENST00000273854	ENSDNOP00000001109
ENSG00000145244	ENST00000273857	ENSDNOP00000003232
ENSG00000145451	ENST00000274093	ENSDNOP00000010056
ENSG00000145623	ENST00000274276	ENSDNOP00000009453
ENSG00000145863	ENST00000274545	ENSDNOP00000000598
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSDNOP00000017546
ENSG00000146648	ENST00000275493	ENSDNOP00000012357
ENSG00000146904	ENST00000275815	ENSDNOP00000010443
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	
ENSG00000147262	ENST00000276218	ENSDNOP00000000718
ENSG00000147434	ENST00000276410	ENSDNOP00000004587
ENSG00000120889	ENST00000276431	ENSDNOP00000006731
ENSG00000147650	ENST00000276654	ENSDNOP00000015523
ENSG00000148136	ENST00000277216	ENSDNOP00000017367
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSDNOP00000011518
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSDNOP00000010725
ENSG00000150045	ENST00000279544	ENSDNOP00000005594
ENSG00000150086	ENST00000279593	ENSDNOP00000007108
ENSG00000150261	ENST00000279783	ENSDNOP00000016851
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSDNOP00000005556
ENSG00000150938	ENST00000280527	ENSDNOP00000004116
ENSG00000151490	ENST00000281171	ENSDNOP00000010114
ENSG00000116106	ENST00000281821	ENSDNOP00000013349
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSDNOP00000003388
ENSG00000152578	ENST00000282499	ENSDNOP00000010200
ENSG00000213949	ENST00000282588	ENSDNOP00000004633
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSDNOP00000014929
ENSG00000153246	ENST00000283243	ENSDNOP00000015156
ENSG00000115221	ENST00000283249	ENSDNOP00000015158
ENSG00000153563	ENST00000283635	ENSDNOP00000001766
ENSG00000154165	ENST00000284311	ENSDNOP00000007130
ENSG00000154309	ENST00000284476	ENSDNOP00000012877
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSDNOP00000010066
ENSG00000155249	ENST00000285600	ENSDNOP00000004218
ENSG00000155511	ENST00000285900	
ENSG00000155760	ENST00000286201	ENSDNOP00000003422
ENSG00000182578	ENST00000286301	ENSDNOP00000004783
ENSG00000157219	ENST00000287907	ENSDNOP00000000851
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSDNOP00000012492
ENSG00000056736	ENST00000288167	ENSDNOP00000015298
ENSG00000173285	ENST00000289451	ENSDNOP00000005916
ENSG00000015520	ENST00000289547	
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	ENSDNOP00000017376
ENSG00000147432	ENST00000289957	ENSDNOP00000004581
ENSG00000243646	ENST00000290200	ENSDNOP00000003415
ENSG00000159128	ENST00000290219	ENSDNOP00000000525
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	ENSDNOP00000009600
ENSG00000189430	ENST00000291890	ENSDNOP00000010158
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSDNOP00000016115
ENSG00000160951	ENST00000292513	ENSDNOP00000016501
ENSG00000161509	ENST00000293190	ENSDNOP00000007033
ENSG00000161638	ENST00000293379	ENSDNOP00000014735
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	ENSDNOP00000007395
ENSG00000138039	ENST00000294954	ENSDNOP00000011928
ENSG00000153208	ENST00000295408	ENSDNOP00000009908
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSDNOP00000002687
ENSG00000163288	ENST00000295454	ENSDNOP00000009060
ENSG00000163394	ENST00000295589	ENSDNOP00000016134
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSDNOP00000005889
ENSG00000163702	ENST00000295981	ENSDNOP00000006079
ENSG00000163785	ENST00000296084	ENSDNOP00000008260
ENSG00000163823	ENST00000296140	
ENSG00000082781	ENST00000296181	ENSDNOP00000009877
ENSG00000163914	ENST00000296271	ENSDNOP00000011726
ENSG00000164078	ENST00000296474	
ENSG00000120251	ENST00000296526	ENSDNOP00000009850
ENSG00000164128	ENST00000296533	ENSDNOP00000013683
ENSG00000164171	ENST00000296585	ENSDNOP00000006244
ENSG00000164220	ENST00000296641	ENSDNOP00000007336
ENSG00000164251	ENST00000296677	ENSDNOP00000007962
ENSG00000164342	ENST00000296795	ENSDNOP00000005766
ENSG00000146072	ENST00000296861	ENSDNOP00000011112
ENSG00000164393	ENST00000296862	
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	ENSDNOP00000003749
ENSG00000133105	ENST00000298386	ENSDNOP00000014641
ENSG00000165621	ENST00000298440	ENSDNOP00000012642
ENSG00000165682	ENST00000298527	ENSDNOP00000009984
ENSG00000165762	ENST00000298642	ENSDNOP00000015835
ENSG00000166073	ENST00000299092	ENSDNOP00000000783
ENSG00000166148	ENST00000299178	ENSDNOP00000002264
ENSG00000166363	ENST00000299454	ENSDNOP00000002710
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	ENSDNOP00000016639
ENSG00000166573	ENST00000299727	ENSDNOP00000010145
ENSG00000166603	ENST00000299766	
ENSG00000166682	ENST00000299882	ENSDNOP00000015233
ENSG00000166825	ENST00000300060	ENSDNOP00000015710
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	
ENSG00000167286	ENST00000300692	ENSDNOP00000008220
ENSG00000242180	ENST00000300773	ENSDNOP00000002657
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	ENSDNOP00000016847
ENSG00000167825	ENST00000301532	ENSDNOP00000015964
ENSG00000172320	ENST00000302030	
ENSG00000117090	ENST00000302035	ENSDNOP00000015363
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSDNOP00000003742
ENSG00000172208	ENST00000302329	ENSDNOP00000009437
ENSG00000171522	ENST00000302472	ENSDNOP00000007428
ENSG00000171657	ENST00000302548	
ENSG00000172362	ENST00000302572	
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	ENSDNOP00000017492
ENSG00000172377	ENST00000302610	
ENSG00000197532	ENST00000302617	ENSDNOP00000015809
ENSG00000172381	ENST00000302622	ENSDNOP00000000025
ENSG00000169313	ENST00000302632	ENSDNOP00000008440
ENSG00000150995	ENST00000302640	ENSDNOP00000000356
ENSG00000171133	ENST00000302681	ENSDNOP00000008773
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSDNOP00000011902
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	
ENSG00000172459	ENST00000302969	
ENSG00000172464	ENST00000302981	ENSDNOP00000007028
ENSG00000168685	ENST00000303115	ENSDNOP00000002423
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	
ENSG00000169604	ENST00000303714	ENSDNOP00000014035
ENSG00000169618	ENST00000303786	ENSDNOP00000005888
ENSG00000170775	ENST00000303921	ENSDNOP00000005272
ENSG00000172243	ENST00000304084	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSDNOP00000012475
ENSG00000170425	ENST00000304222	ENSDNOP00000000222
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSDNOP00000001710
ENSG00000172209	ENST00000304402	
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000171051	ENST00000304748	ENSDNOP00000004576
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSDNOP00000006776
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSDNOP00000012709
ENSG00000169836	ENST00000304883	ENSDNOP00000007141
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSDNOP00000013671
ENSG00000169860	ENST00000305097	
ENSG00000171596	ENST00000305141	ENSDNOP00000007506
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSDNOP00000012539
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSDNOP00000001795
ENSG00000170605	ENST00000305377	ENSDNOP00000003219
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSDNOP00000013072
ENSG00000171936	ENST00000305892	ENSDNOP00000002916
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	
ENSG00000168229	ENST00000306051	ENSDNOP00000002747
ENSG00000157193	ENST00000306052	ENSDNOP00000014256
ENSG00000170175	ENST00000306071	
ENSG00000170214	ENST00000306675	ENSDNOP00000013675
ENSG00000171180	ENST00000306687	ENSDNOP00000017509
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	ENSDNOP00000001883
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000170790	ENST00000307322	ENSDNOP00000002710
ENSG00000171944	ENST00000307388	ENSDNOP00000009914
ENSG00000172289	ENST00000307552	ENSDNOP00000009982
ENSG00000196778	ENST00000307632	ENSDNOP00000015344
ENSG00000171860	ENST00000307637	ENSDNOP00000017403
ENSG00000171509	ENST00000307765	ENSDNOP00000000779
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	ENSDNOP00000001852
ENSG00000174667	ENST00000308682	
ENSG00000056291	ENST00000308744	ENSDNOP00000003751
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	ENSDNOP00000007700
ENSG00000174125	ENST00000308979	
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	ENSDNOP00000002590
ENSG00000174944	ENST00000309170	ENSDNOP00000011771
ENSG00000174946	ENST00000309180	ENSDNOP00000008426
ENSG00000173578	ENST00000309285	
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	ENSDNOP00000017492
ENSG00000163485	ENST00000309502	ENSDNOP00000012222
ENSG00000173391	ENST00000309539	ENSDNOP00000007903
ENSG00000175619	ENST00000309562	ENSDNOP00000005982
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	
ENSG00000173302	ENST00000309926	ENSDNOP00000016582
ENSG00000174343	ENST00000310169	
ENSG00000197376	ENST00000310194	ENSDNOP00000012605
ENSG00000172640	ENST00000310248	ENSDNOP00000005218
ENSG00000173612	ENST00000310357	ENSDNOP00000014847
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	ENSDNOP00000002012
ENSG00000173250	ENST00000311104	ENSDNOP00000003198
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSDNOP00000002594
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	
ENSG00000173567	ENST00000311519	ENSDNOP00000005438
ENSG00000166206	ENST00000311550	ENSDNOP00000003686
ENSG00000186513	ENST00000311591	
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	ENSDNOP00000001353
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	ENSDNOP00000015579
ENSG00000110195	ENST00000312293	ENSDNOP00000000652
ENSG00000174957	ENST00000312298	ENSDNOP00000007488
ENSG00000174970	ENST00000312345	
ENSG00000174982	ENST00000312422	
ENSG00000175514	ENST00000312457	ENSDNOP00000001584
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	ENSDNOP00000017436
ENSG00000181689	ENST00000312711	ENSDNOP00000008476
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSDNOP00000004161
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSDNOP00000001416
ENSG00000181752	ENST00000313447	ENSDNOP00000008977
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	
ENSG00000179546	ENST00000314113	ENSDNOP00000015629
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	ENSDNOP00000017471
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	ENSDNOP00000010591
ENSG00000181935	ENST00000314634	
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	ENSDNOP00000001759
ENSG00000150048	ENST00000315330	ENSDNOP00000007888
ENSG00000176198	ENST00000315409	
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSDNOP00000009285
ENSG00000127507	ENST00000315576	ENSDNOP00000014369
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	ENSDNOP00000013711
ENSG00000176294	ENST00000315947	ENSDNOP00000009729
ENSG00000176299	ENST00000315957	
ENSG00000244623	ENST00000316368	ENSDNOP00000015680
ENSG00000180919	ENST00000316529	ENSDNOP00000010680
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	
ENSG00000180974	ENST00000316987	ENSDNOP00000008358
ENSG00000180988	ENST00000317037	ENSDNOP00000016960
ENSG00000181001	ENST00000317078	
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSDNOP00000012289
ENSG00000181074	ENST00000317254	
ENSG00000161649	ENST00000317310	
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	ENSDNOP00000014193
ENSG00000180245	ENST00000317735	ENSDNOP00000010217
ENSG00000178358	ENST00000317834	ENSDNOP00000014777
ENSG00000177174	ENST00000317861	ENSDNOP00000008560
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	ENSDNOP00000011551
ENSG00000178084	ENST00000318351	ENSDNOP00000014914
ENSG00000105976	ENST00000318493	ENSDNOP00000001805
ENSG00000180871	ENST00000318507	
ENSG00000197309	ENST00000318666	ENSDNOP00000015946
ENSG00000177535	ENST00000318749	
ENSG00000179055	ENST00000318763	
ENSG00000181104	ENST00000319211	ENSDNOP00000007991
ENSG00000177663	ENST00000319363	
ENSG00000178586	ENST00000319423	ENSDNOP00000017481
ENSG00000179097	ENST00000319595	
ENSG00000221840	ENST00000319760	
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	ENSDNOP00000003363
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	ENSDNOP00000001139
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	ENSDNOP00000016604
ENSG00000181803	ENST00000320704	ENSDNOP00000016769
ENSG00000254737	ENST00000320891	
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSDNOP00000014662
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	
ENSG00000181518	ENST00000321355	ENSDNOP00000012717
ENSG00000176787	ENST00000321522	ENSDNOP00000016374
ENSG00000176798	ENST00000321543	ENSDNOP00000005796
ENSG00000179615	ENST00000321688	ENSDNOP00000009501
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	
ENSG00000176904	ENST00000322059	ENSDNOP00000013273
ENSG00000176922	ENST00000322101	
ENSG00000176231	ENST00000322107	ENSDNOP00000002916
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	
ENSG00000181609	ENST00000322641	ENSDNOP00000008159
ENSG00000181616	ENST00000322653	ENSDNOP00000008938
ENSG00000179695	ENST00000322678	
ENSG00000117335	ENST00000322875	
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSDNOP00000002106
ENSG00000178394	ENST00000323865	
ENSG00000181733	ENST00000324060	ENSDNOP00000010139
ENSG00000004399	ENST00000324093	
ENSG00000178562	ENST00000324106	ENSDNOP00000008658
ENSG00000151617	ENST00000324300	ENSDNOP00000006543
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSDNOP00000006850
ENSG00000176136	ENST00000324750	ENSDNOP00000011916
ENSG00000162897	ENST00000324852	ENSDNOP00000005443
ENSG00000114812	ENST00000325123	ENSDNOP00000001593
ENSG00000181631	ENST00000325602	
ENSG00000181963	ENST00000325719	
ENSG00000106128	ENST00000326139	ENSDNOP00000008183
ENSG00000186074	ENST00000326165	ENSDNOP00000012854
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	ENSDNOP00000009600
ENSG00000180269	ENST00000326571	
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	ENSDNOP00000014815
ENSG00000181273	ENST00000326855	ENSDNOP00000007124
ENSG00000019169	ENST00000327097	ENSDNOP00000012157
ENSG00000181371	ENST00000327216	ENSDNOP00000015777
ENSG00000166342	ENST00000327305	ENSDNOP00000004331
ENSG00000104938	ENST00000327325	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSDNOP00000014540
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	ENSDNOP00000006979
