Ensembl Gene ID	Ensembl Transcript ID	Sloth Ensembl Protein ID
ENSG00000112964	ENST00000230882	ENSCHOP00000007074
ENSG00000113070	ENST00000230990	
ENSG00000113262	ENST00000231188	
ENSG00000115602	ENST00000233954	ENSCHOP00000004226
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	
ENSG00000119686	ENST00000238667	ENSCHOP00000004662
ENSG00000119973	ENST00000239032	ENSCHOP00000003550
ENSG00000120586	ENST00000239761	ENSCHOP00000010597
ENSG00000120659	ENST00000239849	ENSCHOP00000011986
ENSG00000213809	ENST00000240618	ENSCHOP00000002766
ENSG00000121853	ENST00000241256	ENSCHOP00000011147
ENSG00000121989	ENST00000241416	ENSCHOP00000009592
ENSG00000122025	ENST00000241453	ENSCHOP00000011979
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	
ENSG00000123384	ENST00000243077	
ENSG00000123612	ENST00000243349	ENSCHOP00000003650
ENSG00000123901	ENST00000243673	ENSCHOP00000009790
ENSG00000124089	ENST00000243911	ENSCHOP00000004285
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	ENSCHOP00000012129
ENSG00000124657	ENST00000244623	ENSCHOP00000009160
ENSG00000124731	ENST00000244709	ENSCHOP00000004506
ENSG00000125384	ENST00000245457	
ENSG00000204577	ENST00000245620	ENSCHOP00000008966
ENSG00000125810	ENST00000246006	ENSCHOP00000010459
ENSG00000125910	ENST00000246115	ENSCHOP00000006703
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	
ENSG00000127364	ENST00000247881	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSCHOP00000003892
ENSG00000127530	ENST00000248073	ENSCHOP00000003892
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	
ENSG00000128285	ENST00000249016	ENSCHOP00000002869
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	
ENSG00000128617	ENST00000249389	ENSCHOP00000010705
ENSG00000129048	ENST00000249887	
ENSG00000129749	ENST00000250699	
ENSG00000130164	ENST00000252444	
ENSG00000130202	ENST00000252483	
ENSG00000130234	ENST00000252519	ENSCHOP00000005282
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSCHOP00000009465
ENSG00000130538	ENST00000252835	ENSCHOP00000010326
ENSG00000131355	ENST00000253673	ENSCHOP00000002248
ENSG00000131477	ENST00000253796	ENSCHOP00000002698
ENSG00000132329	ENST00000254661	
ENSG00000132334	ENST00000254667	ENSCHOP00000010001
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSCHOP00000003047
ENSG00000133019	ENST00000255380	ENSCHOP00000008894
ENSG00000133800	ENST00000256178	ENSCHOP00000002532
ENSG00000134061	ENST00000256447	ENSCHOP00000007771
ENSG00000134243	ENST00000256637	ENSCHOP00000010996
ENSG00000134250	ENST00000256646	ENSCHOP00000007040
ENSG00000134489	ENST00000256906	ENSCHOP00000010689
ENSG00000134640	ENST00000257068	ENSCHOP00000005279
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSCHOP00000000531
ENSG00000134853	ENST00000257290	ENSCHOP00000010402
ENSG00000135409	ENST00000257863	
ENSG00000135424	ENST00000257879	
ENSG00000135577	ENST00000258042	
ENSG00000135902	ENST00000258385	
ENSG00000135914	ENST00000258400	ENSCHOP00000002053
ENSG00000135960	ENST00000258443	ENSCHOP00000002723
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSCHOP00000001307
ENSG00000136834	ENST00000259357	
ENSG00000136839	ENST00000259362	ENSCHOP00000010271
ENSG00000136839	ENST00000259362	ENSCHOP00000005669
ENSG00000136839	ENST00000259362	ENSCHOP00000010712
ENSG00000136839	ENST00000259362	ENSCHOP00000001421
ENSG00000136839	ENST00000259362	ENSCHOP00000004672
ENSG00000136928	ENST00000259455	ENSCHOP00000007060
ENSG00000136939	ENST00000259466	ENSCHOP00000010985
ENSG00000136939	ENST00000259466	ENSCHOP00000001110
ENSG00000136960	ENST00000259486	ENSCHOP00000004029
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSCHOP00000002909
ENSG00000149305	ENST00000260191	ENSCHOP00000003048
ENSG00000137642	ENST00000260197	ENSCHOP00000007766
ENSG00000138271	ENST00000260843	ENSCHOP00000008012
ENSG00000138435	ENST00000261007	
ENSG00000138448	ENST00000261023	ENSCHOP00000011832
ENSG00000069431	ENST00000261200	ENSCHOP00000005392
ENSG00000069493	ENST00000261340	ENSCHOP00000005200
ENSG00000070018	ENST00000261349	ENSCHOP00000001705
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	
ENSG00000073060	ENST00000261693	
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	
ENSG00000067141	ENST00000261908	ENSCHOP00000004366
ENSG00000037280	ENST00000261937	
ENSG00000038945	ENST00000262101	ENSCHOP00000002484
ENSG00000106018	ENST00000262178	ENSCHOP00000000054
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSCHOP00000000807
ENSG00000005961	ENST00000262407	
ENSG00000065325	ENST00000262441	ENSCHOP00000011852
ENSG00000105707	ENST00000262626	
ENSG00000075275	ENST00000262738	
ENSG00000105737	ENST00000262895	
ENSG00000088812	ENST00000262919	ENSCHOP00000002942
ENSG00000083457	ENST00000263087	
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	ENSCHOP00000005742
ENSG00000104998	ENST00000263379	
ENSG00000113594	ENST00000263409	ENSCHOP00000011640
ENSG00000054219	ENST00000263636	ENSCHOP00000000627
ENSG00000115170	ENST00000263640	ENSCHOP00000006425
ENSG00000092445	ENST00000263798	
ENSG00000062524	ENST00000263800	ENSCHOP00000008266
ENSG00000081479	ENST00000263816	ENSCHOP00000008630
ENSG00000128052	ENST00000263923	ENSCHOP00000011155
ENSG00000120949	ENST00000263932	
ENSG00000110400	ENST00000264025	
ENSG00000121594	ENST00000264246	
ENSG00000115598	ENST00000264257	ENSCHOP00000010748
ENSG00000109158	ENST00000264318	ENSCHOP00000011494
ENSG00000125675	ENST00000264357	
ENSG00000109738	ENST00000264428	ENSCHOP00000010024
ENSG00000108797	ENST00000264638	ENSCHOP00000006249
ENSG00000144668	ENST00000264741	ENSCHOP00000005926
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSCHOP00000011054
ENSG00000099250	ENST00000265371	ENSCHOP00000011663
ENSG00000082556	ENST00000265572	ENSCHOP00000012284
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSCHOP00000009895
ENSG00000139572	ENST00000267015	ENSCHOP00000003801
ENSG00000065361	ENST00000267101	ENSCHOP00000006351
ENSG00000139636	ENST00000267102	ENSCHOP00000010353
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSCHOP00000007205
ENSG00000140678	ENST00000268296	
ENSG00000140749	ENST00000268389	ENSCHOP00000007621
ENSG00000141194	ENST00000268912	
ENSG00000141458	ENST00000269228	ENSCHOP00000005924
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	ENSCHOP00000002565
ENSG00000141736	ENST00000269571	ENSCHOP00000007313
ENSG00000142166	ENST00000270139	ENSCHOP00000001675
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	
ENSG00000143226	ENST00000271450	ENSCHOP00000001346
ENSG00000163518	ENST00000271532	ENSCHOP00000003423
ENSG00000144136	ENST00000272542	ENSCHOP00000002168
ENSG00000144407	ENST00000272847	ENSCHOP00000006227
ENSG00000144476	ENST00000272928	
ENSG00000144820	ENST00000273352	ENSCHOP00000008300
ENSG00000145103	ENST00000273691	
ENSG00000145242	ENST00000273854	ENSCHOP00000000431
ENSG00000145244	ENST00000273857	ENSCHOP00000004605
ENSG00000145451	ENST00000274093	ENSCHOP00000004664
ENSG00000145623	ENST00000274276	ENSCHOP00000009290
ENSG00000145863	ENST00000274545	ENSCHOP00000009530
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSCHOP00000002518
ENSG00000146904	ENST00000275815	ENSCHOP00000011591
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	ENSCHOP00000001431
ENSG00000147262	ENST00000276218	
ENSG00000147434	ENST00000276410	ENSCHOP00000005235
ENSG00000120889	ENST00000276431	ENSCHOP00000003126
ENSG00000147650	ENST00000276654	ENSCHOP00000007251
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	ENSCHOP00000008166
ENSG00000148734	ENST00000277942	ENSCHOP00000006552
ENSG00000149133	ENST00000278409	ENSCHOP00000002365
ENSG00000149534	ENST00000278888	ENSCHOP00000007853
ENSG00000150045	ENST00000279544	ENSCHOP00000006641
ENSG00000150086	ENST00000279593	ENSCHOP00000002828
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSCHOP00000003117
ENSG00000150938	ENST00000280527	ENSCHOP00000010791
ENSG00000151490	ENST00000281171	ENSCHOP00000008421
ENSG00000116106	ENST00000281821	ENSCHOP00000001629
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSCHOP00000002815
ENSG00000152578	ENST00000282499	ENSCHOP00000009048
ENSG00000213949	ENST00000282588	ENSCHOP00000010850
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSCHOP00000002376
ENSG00000153246	ENST00000283243	ENSCHOP00000007467
ENSG00000115221	ENST00000283249	ENSCHOP00000011603
ENSG00000153563	ENST00000283635	
ENSG00000196119	ENST00000284287	ENSCHOP00000009785
ENSG00000154165	ENST00000284311	ENSCHOP00000001330
ENSG00000154309	ENST00000284476	ENSCHOP00000003796
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSCHOP00000006126
ENSG00000155249	ENST00000285600	
ENSG00000155511	ENST00000285900	ENSCHOP00000007197
ENSG00000155760	ENST00000286201	ENSCHOP00000012313
ENSG00000182578	ENST00000286301	
ENSG00000157219	ENST00000287907	ENSCHOP00000008606
ENSG00000157240	ENST00000287934	ENSCHOP00000005477
ENSG00000157404	ENST00000288135	ENSCHOP00000005717
ENSG00000056736	ENST00000288167	ENSCHOP00000007946
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	
ENSG00000147432	ENST00000289957	ENSCHOP00000005233
ENSG00000243646	ENST00000290200	ENSCHOP00000007023
ENSG00000159128	ENST00000290219	ENSCHOP00000008580
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	ENSCHOP00000007746
ENSG00000189430	ENST00000291890	ENSCHOP00000007765
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	
ENSG00000161638	ENST00000293379	
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSCHOP00000004221
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSCHOP00000001095
ENSG00000153208	ENST00000295408	ENSCHOP00000009960
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	
ENSG00000163288	ENST00000295454	ENSCHOP00000005554
ENSG00000163394	ENST00000295589	ENSCHOP00000011116
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	
ENSG00000163702	ENST00000295981	
ENSG00000163785	ENST00000296084	ENSCHOP00000008853
ENSG00000163823	ENST00000296140	
ENSG00000082781	ENST00000296181	ENSCHOP00000005581
ENSG00000163914	ENST00000296271	
ENSG00000164078	ENST00000296474	ENSCHOP00000010633
ENSG00000120251	ENST00000296526	ENSCHOP00000011708
ENSG00000164128	ENST00000296533	ENSCHOP00000000958
ENSG00000164171	ENST00000296585	ENSCHOP00000007238
ENSG00000164220	ENST00000296641	ENSCHOP00000005995
ENSG00000164251	ENST00000296677	ENSCHOP00000006005
ENSG00000164342	ENST00000296795	ENSCHOP00000006222
ENSG00000146072	ENST00000296861	ENSCHOP00000011837
ENSG00000164393	ENST00000296862	ENSCHOP00000001586
ENSG00000165202	ENST00000297913	ENSCHOP00000000516
ENSG00000165370	ENST00000298110	ENSCHOP00000006090
ENSG00000133105	ENST00000298386	ENSCHOP00000009385
ENSG00000165621	ENST00000298440	ENSCHOP00000006282
ENSG00000165682	ENST00000298527	ENSCHOP00000008163
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSCHOP00000011619
ENSG00000166148	ENST00000299178	ENSCHOP00000002777
ENSG00000166363	ENST00000299454	ENSCHOP00000009976
ENSG00000166368	ENST00000299459	ENSCHOP00000005847
ENSG00000169684	ENST00000299565	ENSCHOP00000012097
ENSG00000166573	ENST00000299727	
ENSG00000166603	ENST00000299766	ENSCHOP00000005904
ENSG00000166682	ENST00000299882	ENSCHOP00000003786
ENSG00000166825	ENST00000300060	
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	
ENSG00000167286	ENST00000300692	
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	
ENSG00000167822	ENST00000301529	ENSCHOP00000010076
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSCHOP00000005693
ENSG00000172320	ENST00000302030	ENSCHOP00000004670
ENSG00000117090	ENST00000302035	ENSCHOP00000001599
ENSG00000117090	ENST00000302035	ENSCHOP00000002606
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	ENSCHOP00000010175
ENSG00000172188	ENST00000302231	ENSCHOP00000011923
ENSG00000172199	ENST00000302270	ENSCHOP00000001184
ENSG00000172199	ENST00000302270	ENSCHOP00000001850
ENSG00000172199	ENST00000302270	ENSCHOP00000011156
ENSG00000172208	ENST00000302329	ENSCHOP00000006318
ENSG00000172208	ENST00000302329	ENSCHOP00000005845
ENSG00000172208	ENST00000302329	ENSCHOP00000008811
ENSG00000171522	ENST00000302472	
ENSG00000171657	ENST00000302548	
ENSG00000172362	ENST00000302572	ENSCHOP00000001783
ENSG00000172362	ENST00000302572	ENSCHOP00000004310
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	ENSCHOP00000010236
ENSG00000172377	ENST00000302610	ENSCHOP00000002607
ENSG00000197532	ENST00000302617	ENSCHOP00000001737
ENSG00000172381	ENST00000302622	ENSCHOP00000005384
ENSG00000169313	ENST00000302632	ENSCHOP00000000655
ENSG00000150995	ENST00000302640	ENSCHOP00000011838
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	ENSCHOP00000004626
ENSG00000171105	ENST00000302850	ENSCHOP00000005626
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	ENSCHOP00000008502
ENSG00000172457	ENST00000302957	ENSCHOP00000004923
ENSG00000172459	ENST00000302969	ENSCHOP00000001136
ENSG00000172464	ENST00000302981	
ENSG00000172487	ENST00000303039	ENSCHOP00000010076
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSCHOP00000010868
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	ENSCHOP00000002882
ENSG00000169604	ENST00000303714	ENSCHOP00000001390
ENSG00000169618	ENST00000303786	
ENSG00000170775	ENST00000303921	ENSCHOP00000011319
ENSG00000172243	ENST00000304084	ENSCHOP00000000910
ENSG00000172146	ENST00000304094	ENSCHOP00000002111
ENSG00000172146	ENST00000304094	ENSCHOP00000000722
ENSG00000172146	ENST00000304094	ENSCHOP00000003197
ENSG00000172146	ENST00000304094	ENSCHOP00000004647
ENSG00000172146	ENST00000304094	ENSCHOP00000010446
ENSG00000172146	ENST00000304094	ENSCHOP00000012020
ENSG00000172146	ENST00000304094	ENSCHOP00000002320
ENSG00000172146	ENST00000304094	ENSCHOP00000007158
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSCHOP00000002802
ENSG00000170425	ENST00000304222	
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	
ENSG00000172209	ENST00000304402	
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSCHOP00000009484
ENSG00000171459	ENST00000304720	ENSCHOP00000010985
ENSG00000171459	ENST00000304720	ENSCHOP00000001110
ENSG00000171051	ENST00000304748	ENSCHOP00000009783
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	ENSCHOP00000008560
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSCHOP00000003819
ENSG00000169488	ENST00000305051	ENSCHOP00000005559
ENSG00000169860	ENST00000305097	
ENSG00000171596	ENST00000305141	
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSCHOP00000011052
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	
ENSG00000170605	ENST00000305377	ENSCHOP00000001139
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	
ENSG00000168229	ENST00000306051	ENSCHOP00000003165
ENSG00000157193	ENST00000306052	ENSCHOP00000000314
ENSG00000170175	ENST00000306071	ENSCHOP00000009622
ENSG00000170214	ENST00000306675	ENSCHOP00000005437
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	ENSCHOP00000010366
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSCHOP00000008235
ENSG00000170790	ENST00000307322	ENSCHOP00000009976
ENSG00000171944	ENST00000307388	
ENSG00000170803	ENST00000307401	ENSCHOP00000003735
ENSG00000172289	ENST00000307552	ENSCHOP00000009265
ENSG00000196778	ENST00000307632	ENSCHOP00000007583
ENSG00000171860	ENST00000307637	ENSCHOP00000010224
ENSG00000171509	ENST00000307765	ENSCHOP00000004319
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	ENSCHOP00000003264
ENSG00000174667	ENST00000308682	
ENSG00000056291	ENST00000308744	ENSCHOP00000005915
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSCHOP00000004676
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSCHOP00000009661
ENSG00000174946	ENST00000309180	ENSCHOP00000000652
ENSG00000173578	ENST00000309285	
ENSG00000172769	ENST00000309403	ENSCHOP00000001477
ENSG00000172774	ENST00000309433	ENSCHOP00000010236
ENSG00000163485	ENST00000309502	
ENSG00000173391	ENST00000309539	ENSCHOP00000006177
ENSG00000175619	ENST00000309562	ENSCHOP00000005934
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSCHOP00000008806
ENSG00000175393	ENST00000309838	ENSCHOP00000006595
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	
ENSG00000197376	ENST00000310194	
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSCHOP00000005399
ENSG00000088053	ENST00000310373	ENSCHOP00000011797
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	ENSCHOP00000002503
ENSG00000228567	ENST00000311170	ENSCHOP00000008410
ENSG00000228567	ENST00000311170	ENSCHOP00000006300
ENSG00000228567	ENST00000311170	ENSCHOP00000010704
ENSG00000228567	ENST00000311170	ENSCHOP00000001212
ENSG00000228567	ENST00000311170	ENSCHOP00000002267
ENSG00000228567	ENST00000311170	ENSCHOP00000000331
ENSG00000228567	ENST00000311170	ENSCHOP00000003962
ENSG00000066294	ENST00000311224	ENSCHOP00000011778
ENSG00000250510	ENST00000311268	ENSCHOP00000002444
ENSG00000175485	ENST00000311352	ENSCHOP00000011131
ENSG00000173567	ENST00000311519	
ENSG00000166206	ENST00000311550	ENSCHOP00000003817
ENSG00000186513	ENST00000311591	ENSCHOP00000002391
ENSG00000174837	ENST00000312053	ENSCHOP00000000044
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	
ENSG00000174937	ENST00000312240	ENSCHOP00000005834
ENSG00000174942	ENST00000312253	ENSCHOP00000004922
ENSG00000110195	ENST00000312293	ENSCHOP00000010463
ENSG00000174957	ENST00000312298	ENSCHOP00000003602
ENSG00000174957	ENST00000312298	ENSCHOP00000000285
ENSG00000174970	ENST00000312345	
ENSG00000174982	ENST00000312422	ENSCHOP00000007990
ENSG00000175514	ENST00000312457	
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	
ENSG00000181689	ENST00000312711	ENSCHOP00000007234
ENSG00000181689	ENST00000312711	ENSCHOP00000010626
ENSG00000181693	ENST00000313022	ENSCHOP00000011601
ENSG00000181693	ENST00000313022	ENSCHOP00000009850
ENSG00000181693	ENST00000313022	ENSCHOP00000009101
ENSG00000181693	ENST00000313022	ENSCHOP00000003642
ENSG00000181693	ENST00000313022	ENSCHOP00000003679
ENSG00000181693	ENST00000313022	ENSCHOP00000002561
ENSG00000181693	ENST00000313022	ENSCHOP00000008387
ENSG00000181693	ENST00000313022	ENSCHOP00000009348
ENSG00000181693	ENST00000313022	ENSCHOP00000001970
ENSG00000181693	ENST00000313022	ENSCHOP00000006015
ENSG00000181693	ENST00000313022	ENSCHOP00000001205
ENSG00000181693	ENST00000313022	ENSCHOP00000003912
ENSG00000181693	ENST00000313022	ENSCHOP00000006597
ENSG00000181693	ENST00000313022	ENSCHOP00000003603
ENSG00000181693	ENST00000313022	ENSCHOP00000006014
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSCHOP00000008934
ENSG00000181752	ENST00000313447	ENSCHOP00000003182
ENSG00000181752	ENST00000313447	ENSCHOP00000004532
ENSG00000181761	ENST00000313472	ENSCHOP00000011601
ENSG00000181761	ENST00000313472	ENSCHOP00000009850
ENSG00000181761	ENST00000313472	ENSCHOP00000009101
ENSG00000181761	ENST00000313472	ENSCHOP00000003642
ENSG00000181761	ENST00000313472	ENSCHOP00000003679
ENSG00000181761	ENST00000313472	ENSCHOP00000002561
ENSG00000181761	ENST00000313472	ENSCHOP00000008387
ENSG00000181761	ENST00000313472	ENSCHOP00000009348
ENSG00000181761	ENST00000313472	ENSCHOP00000001970
ENSG00000181761	ENST00000313472	ENSCHOP00000006015
ENSG00000181761	ENST00000313472	ENSCHOP00000001205
ENSG00000181761	ENST00000313472	ENSCHOP00000003912
ENSG00000181761	ENST00000313472	ENSCHOP00000006597
ENSG00000181761	ENST00000313472	ENSCHOP00000003603
ENSG00000181761	ENST00000313472	ENSCHOP00000006014
ENSG00000181767	ENST00000313503	ENSCHOP00000011601
ENSG00000181767	ENST00000313503	ENSCHOP00000009850
ENSG00000181767	ENST00000313503	ENSCHOP00000009101
ENSG00000181767	ENST00000313503	ENSCHOP00000003642
ENSG00000181767	ENST00000313503	ENSCHOP00000003679
ENSG00000181767	ENST00000313503	ENSCHOP00000002561
ENSG00000181767	ENST00000313503	ENSCHOP00000008387
ENSG00000181767	ENST00000313503	ENSCHOP00000009348
ENSG00000181767	ENST00000313503	ENSCHOP00000001970
ENSG00000181767	ENST00000313503	ENSCHOP00000006015
ENSG00000181767	ENST00000313503	ENSCHOP00000001205
ENSG00000181767	ENST00000313503	ENSCHOP00000003912
ENSG00000181767	ENST00000313503	ENSCHOP00000006597
ENSG00000181767	ENST00000313503	ENSCHOP00000003603
ENSG00000181767	ENST00000313503	ENSCHOP00000006014
ENSG00000181785	ENST00000313555	ENSCHOP00000011925
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	ENSCHOP00000002196
ENSG00000176495	ENST00000313940	ENSCHOP00000006245
ENSG00000176495	ENST00000313940	ENSCHOP00000001986
ENSG00000176495	ENST00000313940	ENSCHOP00000009205
ENSG00000176495	ENST00000313940	ENSCHOP00000001972
ENSG00000176495	ENST00000313940	ENSCHOP00000000051
ENSG00000176495	ENST00000313940	ENSCHOP00000011623
ENSG00000176495	ENST00000313940	ENSCHOP00000001447
ENSG00000176495	ENST00000313940	ENSCHOP00000009093
ENSG00000176495	ENST00000313940	ENSCHOP00000006368
ENSG00000179546	ENST00000314113	ENSCHOP00000005974
ENSG00000179817	ENST00000314254	ENSCHOP00000004626
ENSG00000181903	ENST00000314259	ENSCHOP00000009698
ENSG00000181903	ENST00000314259	ENSCHOP00000005455
ENSG00000181903	ENST00000314259	ENSCHOP00000000980
ENSG00000178789	ENST00000314401	ENSCHOP00000002312
ENSG00000181927	ENST00000314612	
