Ensembl Gene ID	Ensembl Transcript ID	Platypus Ensembl Protein ID
ENSG00000213809	ENST00000240618	ENSOANP00000001055
ENSG00000213809	ENST00000240618	ENSOANP00000025825
ENSG00000213809	ENST00000240618	ENSOANP00000021453
ENSG00000213809	ENST00000240618	ENSOANP00000027987
ENSG00000213809	ENST00000240618	ENSOANP00000003759
ENSG00000213809	ENST00000240618	ENSOANP00000025184
ENSG00000213809	ENST00000240618	ENSOANP00000028459
ENSG00000213809	ENST00000240618	ENSOANP00000017143
ENSG00000213809	ENST00000240618	ENSOANP00000027888
ENSG00000213809	ENST00000240618	ENSOANP00000026985
ENSG00000213809	ENST00000240618	ENSOANP00000022175
ENSG00000213809	ENST00000240618	ENSOANP00000026422
ENSG00000213809	ENST00000240618	ENSOANP00000027383
ENSG00000213809	ENST00000240618	ENSOANP00000027592
ENSG00000213809	ENST00000240618	ENSOANP00000027478
ENSG00000213809	ENST00000240618	ENSOANP00000026279
ENSG00000213809	ENST00000240618	ENSOANP00000025748
ENSG00000213809	ENST00000240618	ENSOANP00000026980
ENSG00000213809	ENST00000240618	ENSOANP00000005305
ENSG00000213809	ENST00000240618	ENSOANP00000028062
ENSG00000213809	ENST00000240618	ENSOANP00000013935
ENSG00000213809	ENST00000240618	ENSOANP00000029062
ENSG00000121853	ENST00000241256	
ENSG00000121989	ENST00000241416	ENSOANP00000013320
ENSG00000122025	ENST00000241453	ENSOANP00000014439
ENSG00000122679	ENST00000242249	ENSOANP00000000479
ENSG00000123146	ENST00000242786	ENSOANP00000016006
ENSG00000123384	ENST00000243077	ENSOANP00000021317
ENSG00000123384	ENST00000243077	ENSOANP00000011624
ENSG00000123612	ENST00000243349	ENSOANP00000009791
ENSG00000123901	ENST00000243673	ENSOANP00000016488
ENSG00000124089	ENST00000243911	ENSOANP00000014715
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	ENSOANP00000020773
ENSG00000124657	ENST00000244623	ENSOANP00000016865
ENSG00000124731	ENST00000244709	
ENSG00000125384	ENST00000245457	ENSOANP00000021997
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSOANP00000017843
ENSG00000125910	ENST00000246115	ENSOANP00000011174
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	ENSOANP00000022840
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	
ENSG00000127364	ENST00000247881	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSOANP00000020656
ENSG00000127780	ENST00000248384	
ENSG00000128285	ENST00000249016	ENSOANP00000023115
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	ENSOANP00000022418
ENSG00000128519	ENST00000249284	ENSOANP00000022419
ENSG00000128602	ENST00000249373	ENSOANP00000018141
ENSG00000128617	ENST00000249389	
ENSG00000129048	ENST00000249887	ENSOANP00000010818
ENSG00000129749	ENST00000250699	ENSOANP00000020445
ENSG00000130164	ENST00000252444	ENSOANP00000028364
ENSG00000130202	ENST00000252483	ENSOANP00000019288
ENSG00000130234	ENST00000252519	ENSOANP00000004083
ENSG00000130368	ENST00000252660	ENSOANP00000020547
ENSG00000130529	ENST00000252826	ENSOANP00000009213
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	
ENSG00000132329	ENST00000254661	ENSOANP00000005092
ENSG00000132334	ENST00000254667	ENSOANP00000028627
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSOANP00000013220
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSOANP00000008109
ENSG00000133019	ENST00000255380	ENSOANP00000016314
ENSG00000133800	ENST00000256178	ENSOANP00000026343
ENSG00000134061	ENST00000256447	
ENSG00000134243	ENST00000256637	ENSOANP00000024404
ENSG00000134250	ENST00000256646	ENSOANP00000004863
ENSG00000134489	ENST00000256906	ENSOANP00000018101
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	ENSOANP00000009995
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSOANP00000006000
ENSG00000134853	ENST00000257290	ENSOANP00000027183
ENSG00000134853	ENST00000257290	ENSOANP00000006876
ENSG00000134853	ENST00000257290	ENSOANP00000010994
ENSG00000135409	ENST00000257863	
ENSG00000135424	ENST00000257879	ENSOANP00000000951
ENSG00000135577	ENST00000258042	ENSOANP00000000463
ENSG00000135902	ENST00000258385	ENSOANP00000010421
ENSG00000135914	ENST00000258400	ENSOANP00000014838
ENSG00000135960	ENST00000258443	ENSOANP00000002902
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSOANP00000010560
ENSG00000136040	ENST00000258526	ENSOANP00000010561
ENSG00000136834	ENST00000259357	
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSOANP00000023413
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSOANP00000025834
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSOANP00000029040
ENSG00000149305	ENST00000260191	ENSOANP00000019844
ENSG00000149305	ENST00000260191	ENSOANP00000025067
ENSG00000137642	ENST00000260197	ENSOANP00000002823
ENSG00000138271	ENST00000260843	ENSOANP00000008449
ENSG00000138435	ENST00000261007	ENSOANP00000013716
ENSG00000138448	ENST00000261023	ENSOANP00000024807
ENSG00000138448	ENST00000261023	ENSOANP00000014282
ENSG00000069431	ENST00000261200	
ENSG00000069493	ENST00000261340	ENSOANP00000010394
ENSG00000070018	ENST00000261349	ENSOANP00000010961
ENSG00000240505	ENST00000261652	ENSOANP00000002018
ENSG00000111452	ENST00000261654	ENSOANP00000001639
ENSG00000073060	ENST00000261693	ENSOANP00000002110
ENSG00000117971	ENST00000261751	ENSOANP00000020888
ENSG00000113721	ENST00000261799	ENSOANP00000003631
ENSG00000067141	ENST00000261908	ENSOANP00000001608
ENSG00000037280	ENST00000261937	ENSOANP00000002772
ENSG00000037280	ENST00000261937	ENSOANP00000019738
ENSG00000038945	ENST00000262101	ENSOANP00000023615
ENSG00000106018	ENST00000262178	ENSOANP00000009760
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSOANP00000012375
ENSG00000005961	ENST00000262407	
ENSG00000065325	ENST00000262441	
ENSG00000105707	ENST00000262626	ENSOANP00000024937
ENSG00000075275	ENST00000262738	ENSOANP00000003004
ENSG00000105737	ENST00000262895	ENSOANP00000019839
ENSG00000088812	ENST00000262919	ENSOANP00000000698
ENSG00000083457	ENST00000263087	ENSOANP00000020073
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	ENSOANP00000007868
ENSG00000104998	ENST00000263379	ENSOANP00000026111
ENSG00000113594	ENST00000263409	ENSOANP00000018680
ENSG00000054219	ENST00000263636	ENSOANP00000009837
ENSG00000115170	ENST00000263640	ENSOANP00000009796
ENSG00000092445	ENST00000263798	ENSOANP00000026105
ENSG00000062524	ENST00000263800	
ENSG00000081479	ENST00000263816	ENSOANP00000013573
ENSG00000128052	ENST00000263923	ENSOANP00000006031
ENSG00000120949	ENST00000263932	
ENSG00000110400	ENST00000264025	ENSOANP00000024016
ENSG00000121594	ENST00000264246	
ENSG00000115598	ENST00000264257	ENSOANP00000007479
ENSG00000115598	ENST00000264257	ENSOANP00000023361
ENSG00000109158	ENST00000264318	ENSOANP00000016353
ENSG00000125675	ENST00000264357	ENSOANP00000006448
ENSG00000109738	ENST00000264428	ENSOANP00000024680
ENSG00000108797	ENST00000264638	ENSOANP00000006803
ENSG00000144668	ENST00000264741	ENSOANP00000018384
ENSG00000090339	ENST00000264832	ENSOANP00000024823
ENSG00000090339	ENST00000264832	ENSOANP00000021904
ENSG00000138760	ENST00000264896	ENSOANP00000014317
ENSG00000099250	ENST00000265371	ENSOANP00000009660
ENSG00000082556	ENST00000265572	ENSOANP00000011590
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSOANP00000004773
ENSG00000139572	ENST00000267015	ENSOANP00000020448
ENSG00000065361	ENST00000267101	ENSOANP00000006527
ENSG00000139636	ENST00000267102	ENSOANP00000000258
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSOANP00000000255
ENSG00000140678	ENST00000268296	ENSOANP00000012202
ENSG00000140678	ENST00000268296	ENSOANP00000017061
ENSG00000140678	ENST00000268296	ENSOANP00000010388
ENSG00000140749	ENST00000268389	ENSOANP00000005185
ENSG00000141194	ENST00000268912	ENSOANP00000020268
ENSG00000141194	ENST00000268912	ENSOANP00000021458
ENSG00000141194	ENST00000268912	ENSOANP00000021463
ENSG00000141194	ENST00000268912	ENSOANP00000021462
ENSG00000141194	ENST00000268912	ENSOANP00000003558
ENSG00000141458	ENST00000269228	ENSOANP00000019306
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	ENSOANP00000012766
ENSG00000141736	ENST00000269571	ENSOANP00000003452
ENSG00000142166	ENST00000270139	ENSOANP00000003847
ENSG00000187244	ENST00000270233	ENSOANP00000014291
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	
ENSG00000143226	ENST00000271450	ENSOANP00000000362
ENSG00000143226	ENST00000271450	ENSOANP00000000366
ENSG00000143226	ENST00000271450	ENSOANP00000010878
ENSG00000143226	ENST00000271450	ENSOANP00000000359
ENSG00000163518	ENST00000271532	ENSOANP00000000364
ENSG00000144136	ENST00000272542	ENSOANP00000005381
ENSG00000144407	ENST00000272847	ENSOANP00000012736
ENSG00000144476	ENST00000272928	ENSOANP00000006330
ENSG00000144820	ENST00000273352	ENSOANP00000011980
ENSG00000144820	ENST00000273352	ENSOANP00000011978
ENSG00000145103	ENST00000273691	ENSOANP00000022415
ENSG00000145242	ENST00000273854	ENSOANP00000006279
ENSG00000145244	ENST00000273857	ENSOANP00000010919
ENSG00000145451	ENST00000274093	ENSOANP00000008914
ENSG00000145623	ENST00000274276	ENSOANP00000016188
ENSG00000145863	ENST00000274545	ENSOANP00000005728
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSOANP00000008469
ENSG00000146648	ENST00000275493	ENSOANP00000016947
ENSG00000146904	ENST00000275815	
ENSG00000147138	ENST00000276077	ENSOANP00000007153
ENSG00000147246	ENST00000276198	
ENSG00000147262	ENST00000276218	
ENSG00000147434	ENST00000276410	ENSOANP00000001092
ENSG00000120889	ENST00000276431	ENSOANP00000021880
ENSG00000147650	ENST00000276654	ENSOANP00000011478
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSOANP00000019246
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSOANP00000026792
ENSG00000149534	ENST00000278888	ENSOANP00000026791
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSOANP00000002104
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	ENSOANP00000004346
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	
ENSG00000150938	ENST00000280527	ENSOANP00000015055
ENSG00000151490	ENST00000281171	
ENSG00000116106	ENST00000281821	ENSOANP00000017367
ENSG00000152207	ENST00000282018	ENSOANP00000024498
ENSG00000152208	ENST00000282020	ENSOANP00000021714
ENSG00000152578	ENST00000282499	ENSOANP00000016588
ENSG00000213949	ENST00000282588	
ENSG00000153230	ENST00000283225	ENSOANP00000003538
ENSG00000153230	ENST00000283225	ENSOANP00000019347
ENSG00000153230	ENST00000283225	ENSOANP00000013266
ENSG00000153230	ENST00000283225	ENSOANP00000021440
ENSG00000153230	ENST00000283225	ENSOANP00000002993
ENSG00000153230	ENST00000283225	ENSOANP00000023498
ENSG00000153230	ENST00000283225	ENSOANP00000010733
ENSG00000153230	ENST00000283225	ENSOANP00000024740
ENSG00000153230	ENST00000283225	ENSOANP00000010735
ENSG00000153230	ENST00000283225	ENSOANP00000013962
ENSG00000153230	ENST00000283225	ENSOANP00000010737
ENSG00000153230	ENST00000283225	ENSOANP00000010731
ENSG00000153230	ENST00000283225	ENSOANP00000002500
ENSG00000153230	ENST00000283225	ENSOANP00000022169
ENSG00000153230	ENST00000283225	ENSOANP00000005555
ENSG00000153230	ENST00000283225	ENSOANP00000010736
ENSG00000153230	ENST00000283225	ENSOANP00000013268
ENSG00000153233	ENST00000283228	ENSOANP00000009494
ENSG00000153246	ENST00000283243	ENSOANP00000009844
ENSG00000115221	ENST00000283249	ENSOANP00000009853
ENSG00000153563	ENST00000283635	
ENSG00000196119	ENST00000284287	ENSOANP00000023914
ENSG00000154165	ENST00000284311	
ENSG00000154309	ENST00000284476	ENSOANP00000002288
ENSG00000154309	ENST00000284476	ENSOANP00000002286
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSOANP00000009576
ENSG00000155249	ENST00000285600	
ENSG00000155511	ENST00000285900	ENSOANP00000008107
ENSG00000155760	ENST00000286201	ENSOANP00000028225
ENSG00000182578	ENST00000286301	
ENSG00000157219	ENST00000287907	
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSOANP00000006034
ENSG00000056736	ENST00000288167	
ENSG00000173285	ENST00000289451	ENSOANP00000026634
ENSG00000173285	ENST00000289451	ENSOANP00000025700
ENSG00000015520	ENST00000289547	ENSOANP00000010104
ENSG00000158748	ENST00000289753	ENSOANP00000024137
ENSG00000158869	ENST00000289902	
ENSG00000147432	ENST00000289957	ENSOANP00000001094
ENSG00000243646	ENST00000290200	ENSOANP00000003844
ENSG00000159128	ENST00000290219	ENSOANP00000003848
ENSG00000159961	ENST00000291231	ENSOANP00000000595
ENSG00000159961	ENST00000291231	ENSOANP00000028797
ENSG00000159958	ENST00000291232	ENSOANP00000028482
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSOANP00000010829
ENSG00000160951	ENST00000292513	ENSOANP00000023940
ENSG00000161509	ENST00000293190	
ENSG00000161638	ENST00000293379	ENSOANP00000012732
ENSG00000161807	ENST00000293614	ENSOANP00000013839
ENSG00000161807	ENST00000293614	ENSOANP00000020601
ENSG00000161807	ENST00000293614	ENSOANP00000015319
ENSG00000161807	ENST00000293614	ENSOANP00000018808
ENSG00000161921	ENST00000293778	ENSOANP00000012084
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSOANP00000004024
ENSG00000153208	ENST00000295408	ENSOANP00000025370
ENSG00000163251	ENST00000295417	ENSOANP00000024182
ENSG00000163285	ENST00000295452	ENSOANP00000016698
ENSG00000163288	ENST00000295454	
ENSG00000163394	ENST00000295589	
ENSG00000163464	ENST00000295683	ENSOANP00000022900
ENSG00000163464	ENST00000295683	ENSOANP00000022794
ENSG00000054356	ENST00000295718	
ENSG00000163702	ENST00000295981	ENSOANP00000016655
ENSG00000163785	ENST00000296084	ENSOANP00000007392
ENSG00000163823	ENST00000296140	ENSOANP00000010831
ENSG00000082781	ENST00000296181	ENSOANP00000008188
ENSG00000163914	ENST00000296271	ENSOANP00000005991
ENSG00000164078	ENST00000296474	ENSOANP00000005602
ENSG00000120251	ENST00000296526	ENSOANP00000024675
ENSG00000164128	ENST00000296533	ENSOANP00000024118
ENSG00000164171	ENST00000296585	
ENSG00000164220	ENST00000296641	ENSOANP00000024849
ENSG00000164251	ENST00000296677	ENSOANP00000026249
ENSG00000164342	ENST00000296795	ENSOANP00000007824
ENSG00000146072	ENST00000296861	ENSOANP00000013159
ENSG00000164393	ENST00000296862	ENSOANP00000009511
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	ENSOANP00000018482
ENSG00000133105	ENST00000298386	ENSOANP00000024362
ENSG00000165621	ENST00000298440	
ENSG00000165682	ENST00000298527	ENSOANP00000026603
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSOANP00000009357
ENSG00000166148	ENST00000299178	ENSOANP00000003310
ENSG00000166363	ENST00000299454	ENSOANP00000016084
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	ENSOANP00000020884
ENSG00000166573	ENST00000299727	ENSOANP00000009519
ENSG00000166603	ENST00000299766	ENSOANP00000003345
ENSG00000166682	ENST00000299882	
ENSG00000166825	ENST00000300060	ENSOANP00000000604
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	ENSOANP00000020265
ENSG00000166884	ENST00000300127	ENSOANP00000025795
ENSG00000166884	ENST00000300127	ENSOANP00000020266
ENSG00000167286	ENST00000300692	ENSOANP00000008502
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	ENSOANP00000025064
ENSG00000167822	ENST00000301529	ENSOANP00000014947
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	
ENSG00000117090	ENST00000302035	ENSOANP00000025001
ENSG00000172324	ENST00000302040	ENSOANP00000026785
ENSG00000172324	ENST00000302040	ENSOANP00000000237
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	ENSOANP00000012619
ENSG00000172188	ENST00000302231	ENSOANP00000012618
ENSG00000172188	ENST00000302231	ENSOANP00000012622
ENSG00000172199	ENST00000302270	
ENSG00000172208	ENST00000302329	ENSOANP00000012603
ENSG00000171522	ENST00000302472	ENSOANP00000000566
ENSG00000171657	ENST00000302548	ENSOANP00000017858
ENSG00000172362	ENST00000302572	
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	
ENSG00000172377	ENST00000302610	ENSOANP00000026016
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	
ENSG00000169313	ENST00000302632	ENSOANP00000019277
ENSG00000150995	ENST00000302640	ENSOANP00000005977
ENSG00000150995	ENST00000302640	ENSOANP00000005978
ENSG00000150995	ENST00000302640	ENSOANP00000020317
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	ENSOANP00000009314
ENSG00000170255	ENST00000302797	ENSOANP00000023893
ENSG00000170255	ENST00000302797	ENSOANP00000019328
ENSG00000171105	ENST00000302850	ENSOANP00000002164
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	
ENSG00000172459	ENST00000302969	
ENSG00000172464	ENST00000302981	ENSOANP00000016707
ENSG00000172487	ENST00000303039	ENSOANP00000014947
ENSG00000172489	ENST00000303059	ENSOANP00000019937
ENSG00000168685	ENST00000303115	ENSOANP00000006571
ENSG00000168131	ENST00000303324	ENSOANP00000016865
ENSG00000169208	ENST00000303532	ENSOANP00000017051
ENSG00000169604	ENST00000303714	ENSOANP00000025196
ENSG00000169604	ENST00000303714	ENSOANP00000027569
ENSG00000169618	ENST00000303786	ENSOANP00000013335
ENSG00000170775	ENST00000303921	ENSOANP00000000653
ENSG00000172243	ENST00000304084	ENSOANP00000010092
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSOANP00000021740
ENSG00000170425	ENST00000304222	ENSOANP00000020058
ENSG00000170128	ENST00000304244	ENSOANP00000007290
ENSG00000172322	ENST00000304361	ENSOANP00000006853
ENSG00000172322	ENST00000304361	ENSOANP00000025240
ENSG00000172322	ENST00000304361	ENSOANP00000017105
ENSG00000172322	ENST00000304361	ENSOANP00000015162
ENSG00000172322	ENST00000304361	ENSOANP00000028131
ENSG00000172322	ENST00000304361	ENSOANP00000016882
ENSG00000169676	ENST00000304374	ENSOANP00000006812
ENSG00000172209	ENST00000304402	ENSOANP00000005042
ENSG00000170837	ENST00000304411	ENSOANP00000009182
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	
ENSG00000171459	ENST00000304720	
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	ENSOANP00000018038
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	ENSOANP00000018814
ENSG00000171596	ENST00000305141	ENSOANP00000019412
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSOANP00000020092
ENSG00000170605	ENST00000305377	ENSOANP00000026167
ENSG00000170920	ENST00000305444	ENSOANP00000013839
ENSG00000170920	ENST00000305444	ENSOANP00000020601
ENSG00000170920	ENST00000305444	ENSOANP00000015319
ENSG00000170920	ENST00000305444	ENSOANP00000018808
ENSG00000170923	ENST00000305456	ENSOANP00000013839
ENSG00000170923	ENST00000305456	ENSOANP00000020601
ENSG00000170923	ENST00000305456	ENSOANP00000015319
ENSG00000170923	ENST00000305456	ENSOANP00000018808
ENSG00000168758	ENST00000305476	ENSOANP00000000430
ENSG00000171936	ENST00000305892	ENSOANP00000008140
ENSG00000171942	ENST00000305899	ENSOANP00000008140
ENSG00000169252	ENST00000305988	
ENSG00000168229	ENST00000306051	
ENSG00000157193	ENST00000306052	ENSOANP00000026806
ENSG00000170175	ENST00000306071	ENSOANP00000011462
ENSG00000170214	ENST00000306675	ENSOANP00000019516
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSOANP00000020545
ENSG00000170790	ENST00000307322	ENSOANP00000016084
ENSG00000171944	ENST00000307388	
ENSG00000170803	ENST00000307401	
ENSG00000172289	ENST00000307552	ENSOANP00000007540
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSOANP00000008569
ENSG00000171509	ENST00000307765	ENSOANP00000024667
ENSG00000174339	ENST00000307832	ENSOANP00000010493
ENSG00000163606	ENST00000308611	ENSOANP00000010903
ENSG00000163606	ENST00000308611	ENSOANP00000024133
ENSG00000174667	ENST00000308682	ENSOANP00000013839
ENSG00000174667	ENST00000308682	ENSOANP00000020601
ENSG00000174667	ENST00000308682	ENSOANP00000015319
ENSG00000174667	ENST00000308682	ENSOANP00000018808
ENSG00000056291	ENST00000308744	
ENSG00000172519	ENST00000308940	ENSOANP00000008140
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSOANP00000016370
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSOANP00000019276
ENSG00000174946	ENST00000309180	ENSOANP00000019275
ENSG00000173578	ENST00000309285	ENSOANP00000010832
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	
ENSG00000163485	ENST00000309502	
ENSG00000173391	ENST00000309539	ENSOANP00000023958
ENSG00000175619	ENST00000309562	ENSOANP00000012601
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSOANP00000027079
ENSG00000173302	ENST00000309926	ENSOANP00000022899
ENSG00000174343	ENST00000310169	ENSOANP00000009109
ENSG00000197376	ENST00000310194	ENSOANP00000024375
