Ensembl Gene ID	Ensembl Transcript ID	Pika Ensembl Protein ID
ENSG00000120586	ENST00000239761	ENSOPRP00000009050
ENSG00000120659	ENST00000239849	ENSOPRP00000001604
ENSG00000213809	ENST00000240618	ENSOPRP00000003126
ENSG00000121853	ENST00000241256	ENSOPRP00000002977
ENSG00000121989	ENST00000241416	ENSOPRP00000005442
ENSG00000122025	ENST00000241453	ENSOPRP00000006248
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSOPRP00000004596
ENSG00000123384	ENST00000243077	ENSOPRP00000012409
ENSG00000123612	ENST00000243349	ENSOPRP00000011157
ENSG00000123901	ENST00000243673	ENSOPRP00000003835
ENSG00000124089	ENST00000243911	
ENSG00000124334	ENST00000244174	ENSOPRP00000007786
ENSG00000124557	ENST00000244513	
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSOPRP00000006189
ENSG00000125384	ENST00000245457	ENSOPRP00000014985
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSOPRP00000005644
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSOPRP00000001273
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	ENSOPRP00000000898
ENSG00000127364	ENST00000247881	ENSOPRP00000008332
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	ENSOPRP00000012147
ENSG00000128285	ENST00000249016	ENSOPRP00000002544
ENSG00000128310	ENST00000249041	ENSOPRP00000012262
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSOPRP00000008253
ENSG00000128617	ENST00000249389	ENSOPRP00000013900
ENSG00000129048	ENST00000249887	ENSOPRP00000003933
ENSG00000129749	ENST00000250699	ENSOPRP00000009385
ENSG00000130164	ENST00000252444	ENSOPRP00000005538
ENSG00000130202	ENST00000252483	ENSOPRP00000004892
ENSG00000130234	ENST00000252519	ENSOPRP00000008034
ENSG00000130368	ENST00000252660	ENSOPRP00000014396
ENSG00000130529	ENST00000252826	ENSOPRP00000000721
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	ENSOPRP00000009356
ENSG00000132329	ENST00000254661	ENSOPRP00000012838
ENSG00000132334	ENST00000254667	ENSOPRP00000005135
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSOPRP00000014859
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSOPRP00000002466
ENSG00000133019	ENST00000255380	ENSOPRP00000008273
ENSG00000133800	ENST00000256178	ENSOPRP00000007512
ENSG00000134061	ENST00000256447	
ENSG00000134243	ENST00000256637	ENSOPRP00000008099
ENSG00000134250	ENST00000256646	ENSOPRP00000006589
ENSG00000134489	ENST00000256906	ENSOPRP00000013501
ENSG00000134640	ENST00000257068	ENSOPRP00000014668
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSOPRP00000010817
ENSG00000134853	ENST00000257290	ENSOPRP00000008995
ENSG00000135409	ENST00000257863	ENSOPRP00000004285
ENSG00000135424	ENST00000257879	ENSOPRP00000007023
ENSG00000135577	ENST00000258042	ENSOPRP00000003971
ENSG00000135902	ENST00000258385	ENSOPRP00000011894
ENSG00000135914	ENST00000258400	ENSOPRP00000006809
ENSG00000135960	ENST00000258443	ENSOPRP00000005625
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSOPRP00000013362
ENSG00000136834	ENST00000259357	ENSOPRP00000014363
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSOPRP00000005143
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSOPRP00000014213
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSOPRP00000007980
ENSG00000149305	ENST00000260191	ENSOPRP00000011200
ENSG00000137642	ENST00000260197	ENSOPRP00000009538
ENSG00000138271	ENST00000260843	
ENSG00000138435	ENST00000261007	ENSOPRP00000003549
ENSG00000138448	ENST00000261023	ENSOPRP00000010342
ENSG00000069431	ENST00000261200	ENSOPRP00000014176
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSOPRP00000010879
ENSG00000240505	ENST00000261652	ENSOPRP00000015052
ENSG00000111452	ENST00000261654	ENSOPRP00000003038
ENSG00000073060	ENST00000261693	ENSOPRP00000008980
ENSG00000117971	ENST00000261751	ENSOPRP00000001907
ENSG00000113721	ENST00000261799	ENSOPRP00000007561
ENSG00000067141	ENST00000261908	ENSOPRP00000002700
ENSG00000037280	ENST00000261937	ENSOPRP00000007600
ENSG00000038945	ENST00000262101	ENSOPRP00000015815
ENSG00000106018	ENST00000262178	ENSOPRP00000002785
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSOPRP00000005887
ENSG00000005961	ENST00000262407	ENSOPRP00000008057
ENSG00000065325	ENST00000262441	ENSOPRP00000003793
ENSG00000105707	ENST00000262626	ENSOPRP00000009362
ENSG00000075275	ENST00000262738	ENSOPRP00000010003
ENSG00000105737	ENST00000262895	ENSOPRP00000010087
ENSG00000088812	ENST00000262919	ENSOPRP00000015701
ENSG00000083457	ENST00000263087	ENSOPRP00000015438
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	ENSOPRP00000007595
ENSG00000109991	ENST00000263314	ENSOPRP00000003522
ENSG00000104998	ENST00000263379	ENSOPRP00000006884
ENSG00000113594	ENST00000263409	ENSOPRP00000005863
ENSG00000054219	ENST00000263636	ENSOPRP00000011261
ENSG00000115170	ENST00000263640	ENSOPRP00000011177
ENSG00000092445	ENST00000263798	ENSOPRP00000015144
ENSG00000062524	ENST00000263800	ENSOPRP00000015102
ENSG00000081479	ENST00000263816	ENSOPRP00000004899
ENSG00000128052	ENST00000263923	ENSOPRP00000013308
ENSG00000120949	ENST00000263932	ENSOPRP00000006596
ENSG00000110400	ENST00000264025	ENSOPRP00000013215
ENSG00000121594	ENST00000264246	ENSOPRP00000006982
ENSG00000115598	ENST00000264257	ENSOPRP00000005477
ENSG00000109158	ENST00000264318	ENSOPRP00000011614
ENSG00000125675	ENST00000264357	ENSOPRP00000014474
ENSG00000109738	ENST00000264428	ENSOPRP00000006219
ENSG00000108797	ENST00000264638	ENSOPRP00000011434
ENSG00000144668	ENST00000264741	ENSOPRP00000008344
ENSG00000090339	ENST00000264832	ENSOPRP00000005294
ENSG00000138760	ENST00000264896	ENSOPRP00000002683
ENSG00000099250	ENST00000265371	ENSOPRP00000011711
ENSG00000082556	ENST00000265572	ENSOPRP00000013946
ENSG00000139193	ENST00000266557	ENSOPRP00000011355
ENSG00000139292	ENST00000266674	ENSOPRP00000007375
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	ENSOPRP00000005278
ENSG00000139636	ENST00000267102	ENSOPRP00000014080
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSOPRP00000001741
ENSG00000140678	ENST00000268296	ENSOPRP00000003573
ENSG00000140749	ENST00000268389	ENSOPRP00000013106
ENSG00000141194	ENST00000268912	
ENSG00000141458	ENST00000269228	ENSOPRP00000004518
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	ENSOPRP00000006483
ENSG00000141736	ENST00000269571	ENSOPRP00000012202
ENSG00000142166	ENST00000270139	ENSOPRP00000003388
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSOPRP00000008062
ENSG00000143226	ENST00000271450	ENSOPRP00000012774
ENSG00000163518	ENST00000271532	
ENSG00000144136	ENST00000272542	ENSOPRP00000011660
ENSG00000144407	ENST00000272847	ENSOPRP00000004497
ENSG00000144476	ENST00000272928	ENSOPRP00000014127
ENSG00000144820	ENST00000273352	ENSOPRP00000000699
ENSG00000145103	ENST00000273691	ENSOPRP00000000254
ENSG00000145242	ENST00000273854	ENSOPRP00000008617
ENSG00000145244	ENST00000273857	ENSOPRP00000000703
ENSG00000145451	ENST00000274093	ENSOPRP00000000702
ENSG00000145623	ENST00000274276	
ENSG00000145863	ENST00000274545	ENSOPRP00000008343
ENSG00000146360	ENST00000275169	ENSOPRP00000013094
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSOPRP00000006524
ENSG00000146904	ENST00000275815	ENSOPRP00000008863
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	
ENSG00000147262	ENST00000276218	
ENSG00000147434	ENST00000276410	ENSOPRP00000008859
ENSG00000120889	ENST00000276431	
ENSG00000147650	ENST00000276654	ENSOPRP00000005834
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSOPRP00000014434
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSOPRP00000005447
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSOPRP00000013304
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	ENSOPRP00000012381
ENSG00000150637	ENST00000280200	ENSOPRP00000007489
ENSG00000150938	ENST00000280527	ENSOPRP00000008614
ENSG00000151490	ENST00000281171	ENSOPRP00000013840
ENSG00000116106	ENST00000281821	ENSOPRP00000002576
ENSG00000152207	ENST00000282018	ENSOPRP00000009417
ENSG00000152208	ENST00000282020	ENSOPRP00000008187
ENSG00000152578	ENST00000282499	ENSOPRP00000004007
ENSG00000213949	ENST00000282588	ENSOPRP00000009744
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSOPRP00000002528
ENSG00000153246	ENST00000283243	ENSOPRP00000011308
ENSG00000115221	ENST00000283249	ENSOPRP00000011325
ENSG00000153563	ENST00000283635	ENSOPRP00000002064
ENSG00000196119	ENST00000284287	
ENSG00000154165	ENST00000284311	ENSOPRP00000014777
ENSG00000154309	ENST00000284476	ENSOPRP00000012736
ENSG00000154478	ENST00000284674	ENSOPRP00000007009
ENSG00000154639	ENST00000284878	ENSOPRP00000003219
ENSG00000155249	ENST00000285600	ENSOPRP00000005255
ENSG00000155511	ENST00000285900	ENSOPRP00000013223
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	ENSOPRP00000007531
ENSG00000157219	ENST00000287907	ENSOPRP00000004728
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSOPRP00000012288
ENSG00000056736	ENST00000288167	ENSOPRP00000002042
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	ENSOPRP00000004790
ENSG00000158748	ENST00000289753	ENSOPRP00000002692
ENSG00000158869	ENST00000289902	ENSOPRP00000006265
ENSG00000158869	ENST00000289902	ENSOPRP00000003114
ENSG00000147432	ENST00000289957	ENSOPRP00000008846
ENSG00000243646	ENST00000290200	ENSOPRP00000003604
ENSG00000159128	ENST00000290219	ENSOPRP00000013796
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSOPRP00000007881
ENSG00000160013	ENST00000291294	ENSOPRP00000000068
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	ENSOPRP00000014723
ENSG00000121807	ENST00000292301	ENSOPRP00000010352
ENSG00000160951	ENST00000292513	ENSOPRP00000002097
ENSG00000161509	ENST00000293190	ENSOPRP00000001386
ENSG00000161638	ENST00000293379	ENSOPRP00000014360
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSOPRP00000011691
ENSG00000108556	ENST00000293780	ENSOPRP00000005359
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSOPRP00000001302
ENSG00000153208	ENST00000295408	ENSOPRP00000015599
ENSG00000163251	ENST00000295417	ENSOPRP00000011631
ENSG00000163285	ENST00000295452	ENSOPRP00000010130
ENSG00000163288	ENST00000295454	ENSOPRP00000000664
ENSG00000163394	ENST00000295589	ENSOPRP00000001364
ENSG00000163464	ENST00000295683	ENSOPRP00000005269
ENSG00000163464	ENST00000295683	ENSOPRP00000007679
ENSG00000054356	ENST00000295718	ENSOPRP00000006906
ENSG00000163702	ENST00000295981	ENSOPRP00000002218
ENSG00000163785	ENST00000296084	ENSOPRP00000000792
ENSG00000163823	ENST00000296140	ENSOPRP00000012779
ENSG00000082781	ENST00000296181	ENSOPRP00000009551
ENSG00000163914	ENST00000296271	ENSOPRP00000010530
ENSG00000164078	ENST00000296474	ENSOPRP00000013768
ENSG00000120251	ENST00000296526	ENSOPRP00000006445
ENSG00000164128	ENST00000296533	ENSOPRP00000005948
ENSG00000164171	ENST00000296585	ENSOPRP00000009796
ENSG00000164220	ENST00000296641	
ENSG00000164251	ENST00000296677	ENSOPRP00000008562
ENSG00000164342	ENST00000296795	ENSOPRP00000005516
ENSG00000146072	ENST00000296861	ENSOPRP00000015045
ENSG00000164393	ENST00000296862	ENSOPRP00000010437
ENSG00000165202	ENST00000297913	ENSOPRP00000007297
ENSG00000165370	ENST00000298110	
ENSG00000133105	ENST00000298386	ENSOPRP00000013364
ENSG00000165621	ENST00000298440	
ENSG00000165682	ENST00000298527	ENSOPRP00000008610
ENSG00000165762	ENST00000298642	ENSOPRP00000000233
ENSG00000166073	ENST00000299092	ENSOPRP00000006255
ENSG00000166148	ENST00000299178	
ENSG00000166363	ENST00000299454	
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	ENSOPRP00000014004
ENSG00000166573	ENST00000299727	ENSOPRP00000011191
ENSG00000166603	ENST00000299766	
ENSG00000166682	ENST00000299882	ENSOPRP00000002531
ENSG00000166825	ENST00000300060	ENSOPRP00000014224
ENSG00000166856	ENST00000300098	ENSOPRP00000012097
ENSG00000166884	ENST00000300127	
ENSG00000167286	ENST00000300692	ENSOPRP00000015261
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	ENSOPRP00000015338
ENSG00000167601	ENST00000301178	ENSOPRP00000008013
ENSG00000167822	ENST00000301529	ENSOPRP00000014303
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSOPRP00000009651
ENSG00000117090	ENST00000302035	ENSOPRP00000010314
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	ENSOPRP00000004564
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSOPRP00000012466
ENSG00000172208	ENST00000302329	ENSOPRP00000007310
ENSG00000171522	ENST00000302472	ENSOPRP00000003316
ENSG00000171657	ENST00000302548	
ENSG00000172362	ENST00000302572	ENSOPRP00000010457
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	ENSOPRP00000002368
ENSG00000172377	ENST00000302610	ENSOPRP00000000057
ENSG00000197532	ENST00000302617	ENSOPRP00000001136
ENSG00000172381	ENST00000302622	ENSOPRP00000012391
ENSG00000169313	ENST00000302632	ENSOPRP00000007776
ENSG00000150995	ENST00000302640	ENSOPRP00000000658
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSOPRP00000004065
ENSG00000169992	ENST00000302926	ENSOPRP00000013684
ENSG00000172457	ENST00000302957	ENSOPRP00000004443
ENSG00000172459	ENST00000302969	ENSOPRP00000014299
ENSG00000172464	ENST00000302981	ENSOPRP00000010058
ENSG00000172487	ENST00000303039	ENSOPRP00000014303
ENSG00000172489	ENST00000303059	ENSOPRP00000008971
ENSG00000168685	ENST00000303115	ENSOPRP00000006396
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	ENSOPRP00000007469
ENSG00000169604	ENST00000303714	ENSOPRP00000003085
ENSG00000169618	ENST00000303786	ENSOPRP00000006175
ENSG00000170775	ENST00000303921	ENSOPRP00000013842
ENSG00000172243	ENST00000304084	ENSOPRP00000014040
ENSG00000172146	ENST00000304094	ENSOPRP00000013171
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSOPRP00000006002
ENSG00000170425	ENST00000304222	ENSOPRP00000006659
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSOPRP00000006687
ENSG00000172209	ENST00000304402	ENSOPRP00000006436
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSOPRP00000007073
ENSG00000171459	ENST00000304720	
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSOPRP00000007306
ENSG00000171484	ENST00000304833	ENSOPRP00000007302
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSOPRP00000013397
ENSG00000169836	ENST00000304883	ENSOPRP00000002132
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	ENSOPRP00000005607
ENSG00000171596	ENST00000305141	ENSOPRP00000001821
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSOPRP00000000048
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSOPRP00000001936
ENSG00000170605	ENST00000305377	ENSOPRP00000003438
ENSG00000170605	ENST00000305377	ENSOPRP00000000753
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSOPRP00000014353
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	
ENSG00000168229	ENST00000306051	ENSOPRP00000014978
ENSG00000157193	ENST00000306052	ENSOPRP00000008278
ENSG00000170175	ENST00000306071	ENSOPRP00000013753
ENSG00000170214	ENST00000306675	ENSOPRP00000008033
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	ENSOPRP00000014848
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	ENSOPRP00000002080
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000170790	ENST00000307322	
ENSG00000171944	ENST00000307388	ENSOPRP00000007341
ENSG00000170803	ENST00000307401	ENSOPRP00000003714
ENSG00000170803	ENST00000307401	ENSOPRP00000001578
ENSG00000172289	ENST00000307552	ENSOPRP00000007307
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	ENSOPRP00000014296
ENSG00000171509	ENST00000307765	ENSOPRP00000010127
ENSG00000174339	ENST00000307832	ENSOPRP00000000597
ENSG00000174339	ENST00000307832	ENSOPRP00000005998
ENSG00000174339	ENST00000307832	ENSOPRP00000007912
ENSG00000174339	ENST00000307832	ENSOPRP00000001248
ENSG00000163606	ENST00000308611	ENSOPRP00000014035
ENSG00000163606	ENST00000308611	ENSOPRP00000013636
ENSG00000163606	ENST00000308611	ENSOPRP00000013652
ENSG00000174667	ENST00000308682	
ENSG00000056291	ENST00000308744	ENSOPRP00000013630
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	
ENSG00000174946	ENST00000309180	ENSOPRP00000008453
ENSG00000173578	ENST00000309285	ENSOPRP00000012773
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	ENSOPRP00000002368
ENSG00000163485	ENST00000309502	ENSOPRP00000013470
ENSG00000173391	ENST00000309539	ENSOPRP00000014051
ENSG00000175619	ENST00000309562	ENSOPRP00000000464
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSOPRP00000013256
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSOPRP00000015061
ENSG00000197376	ENST00000310194	
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	ENSOPRP00000013490
ENSG00000121716	ENST00000310771	ENSOPRP00000003325
ENSG00000173250	ENST00000311104	ENSOPRP00000005249
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSOPRP00000005424
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	ENSOPRP00000007112
ENSG00000173567	ENST00000311519	ENSOPRP00000008676
ENSG00000166206	ENST00000311550	ENSOPRP00000014935
ENSG00000186513	ENST00000311591	
ENSG00000174837	ENST00000312053	ENSOPRP00000000498
ENSG00000174600	ENST00000312143	ENSOPRP00000008063
ENSG00000174600	ENST00000312143	ENSOPRP00000006688
ENSG00000174914	ENST00000312153	ENSOPRP00000003993
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	
ENSG00000110195	ENST00000312293	
ENSG00000174957	ENST00000312298	
ENSG00000174970	ENST00000312345	ENSOPRP00000003968
ENSG00000174982	ENST00000312422	ENSOPRP00000001690
ENSG00000175514	ENST00000312457	ENSOPRP00000000978
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	
ENSG00000181689	ENST00000312711	ENSOPRP00000015746
ENSG00000181693	ENST00000313022	ENSOPRP00000004550
ENSG00000181693	ENST00000313022	ENSOPRP00000004538
ENSG00000181698	ENST00000313033	ENSOPRP00000008971
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSOPRP00000014544
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSOPRP00000003428
ENSG00000181752	ENST00000313447	ENSOPRP00000010814
ENSG00000181761	ENST00000313472	ENSOPRP00000004550
ENSG00000181761	ENST00000313472	ENSOPRP00000004538
ENSG00000181767	ENST00000313503	ENSOPRP00000004550
ENSG00000181767	ENST00000313503	ENSOPRP00000004538
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	
ENSG00000179546	ENST00000314113	ENSOPRP00000014575
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	ENSOPRP00000014795
ENSG00000178789	ENST00000314401	ENSOPRP00000007399
ENSG00000181927	ENST00000314612	ENSOPRP00000008924
ENSG00000181935	ENST00000314634	ENSOPRP00000012343
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	ENSOPRP00000002649
ENSG00000181958	ENST00000314706	ENSOPRP00000014546
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	ENSOPRP00000005655
ENSG00000150048	ENST00000315330	ENSOPRP00000014028
ENSG00000176198	ENST00000315409	ENSOPRP00000012613
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSOPRP00000012603
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	ENSOPRP00000000232
ENSG00000176299	ENST00000315957	ENSOPRP00000000230
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	ENSOPRP00000014336
ENSG00000180914	ENST00000316793	ENSOPRP00000003198
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	
ENSG00000181001	ENST00000317078	
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	
ENSG00000161649	ENST00000317310	ENSOPRP00000006235
ENSG00000177151	ENST00000317450	ENSOPRP00000014840
ENSG00000168995	ENST00000317643	ENSOPRP00000011571
ENSG00000175898	ENST00000317726	ENSOPRP00000006471
ENSG00000180245	ENST00000317735	ENSOPRP00000011038
ENSG00000178358	ENST00000317834	
ENSG00000177174	ENST00000317861	ENSOPRP00000014830
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	
ENSG00000178084	ENST00000318351	ENSOPRP00000005075
ENSG00000105976	ENST00000318493	ENSOPRP00000000808
ENSG00000180871	ENST00000318507	
ENSG00000197309	ENST00000318666	ENSOPRP00000012618
ENSG00000177535	ENST00000318749	ENSOPRP00000012877
ENSG00000179055	ENST00000318763	
ENSG00000181104	ENST00000319211	ENSOPRP00000008552
ENSG00000177663	ENST00000319363	ENSOPRP00000007659
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSOPRP00000011291
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	
