Ensembl Gene ID	Ensembl Transcript ID	Horse Ensembl Protein ID
ENSG00000110848	ENST00000228434	ENSECAP00000020474
ENSG00000111291	ENST00000228887	ENSECAP00000013821
ENSG00000111432	ENST00000229030	ENSECAP00000001208
ENSG00000111729	ENST00000229332	ENSECAP00000010625
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	ENSECAP00000005518
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSECAP00000002672
ENSG00000113070	ENST00000230990	ENSECAP00000008520
ENSG00000113262	ENST00000231188	ENSECAP00000021237
ENSG00000115602	ENST00000233954	ENSECAP00000007310
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	ENSECAP00000020041
ENSG00000119686	ENST00000238667	ENSECAP00000008376
ENSG00000119686	ENST00000238667	ENSECAP00000015751
ENSG00000119973	ENST00000239032	ENSECAP00000002542
ENSG00000120586	ENST00000239761	ENSECAP00000009084
ENSG00000120659	ENST00000239849	ENSECAP00000014214
ENSG00000213809	ENST00000240618	ENSECAP00000015016
ENSG00000121853	ENST00000241256	ENSECAP00000015283
ENSG00000121989	ENST00000241416	ENSECAP00000000141
ENSG00000122025	ENST00000241453	ENSECAP00000002875
ENSG00000122679	ENST00000242249	ENSECAP00000022597
ENSG00000123146	ENST00000242786	
ENSG00000123384	ENST00000243077	ENSECAP00000010929
ENSG00000123612	ENST00000243349	ENSECAP00000017534
ENSG00000123901	ENST00000243673	ENSECAP00000018053
ENSG00000124089	ENST00000243911	ENSECAP00000003131
ENSG00000124334	ENST00000244174	ENSECAP00000022487
ENSG00000124557	ENST00000244513	ENSECAP00000015692
ENSG00000124657	ENST00000244623	ENSECAP00000005598
ENSG00000124731	ENST00000244709	ENSECAP00000015014
ENSG00000125384	ENST00000245457	ENSECAP00000007602
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSECAP00000013898
ENSG00000125910	ENST00000246115	ENSECAP00000001249
ENSG00000126246	ENST00000246532	ENSECAP00000015377
ENSG00000126262	ENST00000246549	ENSECAP00000003579
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	ENSECAP00000003375
ENSG00000127364	ENST00000247881	ENSECAP00000002469
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSECAP00000003032
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSECAP00000002393
ENSG00000127780	ENST00000248384	ENSECAP00000001007
ENSG00000127780	ENST00000248384	ENSECAP00000000727
ENSG00000127780	ENST00000248384	ENSECAP00000004335
ENSG00000127780	ENST00000248384	ENSECAP00000004485
ENSG00000128285	ENST00000249016	ENSECAP00000004657
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSECAP00000004254
ENSG00000128617	ENST00000249389	ENSECAP00000020720
ENSG00000129048	ENST00000249887	ENSECAP00000018583
ENSG00000129749	ENST00000250699	ENSECAP00000012906
ENSG00000130164	ENST00000252444	ENSECAP00000017564
ENSG00000130202	ENST00000252483	ENSECAP00000007402
ENSG00000130234	ENST00000252519	ENSECAP00000001752
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSECAP00000019247
ENSG00000130538	ENST00000252835	ENSECAP00000003840
ENSG00000131355	ENST00000253673	ENSECAP00000009252
ENSG00000131477	ENST00000253796	ENSECAP00000005400
ENSG00000132329	ENST00000254661	ENSECAP00000007192
ENSG00000132334	ENST00000254667	ENSECAP00000007714
ENSG00000132517	ENST00000254853	ENSECAP00000013595
ENSG00000132518	ENST00000254854	ENSECAP00000009869
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSECAP00000017760
ENSG00000133019	ENST00000255380	ENSECAP00000008145
ENSG00000133800	ENST00000256178	ENSECAP00000006881
ENSG00000134061	ENST00000256447	ENSECAP00000014941
ENSG00000134243	ENST00000256637	ENSECAP00000013435
ENSG00000134250	ENST00000256646	ENSECAP00000013532
ENSG00000134489	ENST00000256906	ENSECAP00000004579
ENSG00000134640	ENST00000257068	ENSECAP00000019641
ENSG00000134817	ENST00000257254	ENSECAP00000003201
ENSG00000134830	ENST00000257267	ENSECAP00000004334
ENSG00000134853	ENST00000257290	ENSECAP00000016771
ENSG00000135409	ENST00000257863	ENSECAP00000017844
ENSG00000135424	ENST00000257879	ENSECAP00000009772
ENSG00000135577	ENST00000258042	ENSECAP00000013245
ENSG00000135902	ENST00000258385	ENSECAP00000013260
ENSG00000135914	ENST00000258400	ENSECAP00000016929
ENSG00000135960	ENST00000258443	ENSECAP00000017811
ENSG00000135973	ENST00000258456	ENSECAP00000004840
ENSG00000136040	ENST00000258526	ENSECAP00000020497
ENSG00000136834	ENST00000259357	ENSECAP00000003856
ENSG00000136834	ENST00000259357	ENSECAP00000003999
ENSG00000136834	ENST00000259357	ENSECAP00000003498
ENSG00000136834	ENST00000259357	ENSECAP00000001635
ENSG00000136839	ENST00000259362	ENSECAP00000002863
ENSG00000136928	ENST00000259455	ENSECAP00000007287
ENSG00000136939	ENST00000259466	ENSECAP00000004164
ENSG00000136939	ENST00000259466	ENSECAP00000004174
ENSG00000136939	ENST00000259466	ENSECAP00000002933
ENSG00000136939	ENST00000259466	ENSECAP00000004950
ENSG00000136939	ENST00000259466	ENSECAP00000004192
ENSG00000136939	ENST00000259466	ENSECAP00000001800
ENSG00000136960	ENST00000259486	ENSECAP00000004590
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSECAP00000015544
ENSG00000149305	ENST00000260191	ENSECAP00000016806
ENSG00000137642	ENST00000260197	ENSECAP00000017252
ENSG00000138271	ENST00000260843	ENSECAP00000019864
ENSG00000138435	ENST00000261007	ENSECAP00000017363
ENSG00000138448	ENST00000261023	ENSECAP00000020829
ENSG00000069431	ENST00000261200	ENSECAP00000015995
ENSG00000069493	ENST00000261340	ENSECAP00000018968
ENSG00000070018	ENST00000261349	ENSECAP00000005754
ENSG00000240505	ENST00000261652	ENSECAP00000019197
ENSG00000111452	ENST00000261654	ENSECAP00000019773
ENSG00000073060	ENST00000261693	ENSECAP00000021856
ENSG00000117971	ENST00000261751	ENSECAP00000000527
ENSG00000113721	ENST00000261799	ENSECAP00000022400
ENSG00000067141	ENST00000261908	ENSECAP00000022414
ENSG00000037280	ENST00000261937	ENSECAP00000022789
ENSG00000038945	ENST00000262101	ENSECAP00000009241
ENSG00000106018	ENST00000262178	ENSECAP00000005949
ENSG00000105383	ENST00000262262	ENSECAP00000022373
ENSG00000105383	ENST00000262262	ENSECAP00000018386
ENSG00000081985	ENST00000262345	ENSECAP00000014307
ENSG00000005961	ENST00000262407	ENSECAP00000018227
ENSG00000065325	ENST00000262441	ENSECAP00000016360
ENSG00000105707	ENST00000262626	ENSECAP00000007941
ENSG00000075275	ENST00000262738	ENSECAP00000008929
ENSG00000105737	ENST00000262895	ENSECAP00000016484
ENSG00000088812	ENST00000262919	ENSECAP00000014582
ENSG00000083457	ENST00000263087	ENSECAP00000002841
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	ENSECAP00000013715
ENSG00000109991	ENST00000263314	ENSECAP00000014688
ENSG00000104998	ENST00000263379	ENSECAP00000009873
ENSG00000113594	ENST00000263409	ENSECAP00000018003
ENSG00000054219	ENST00000263636	ENSECAP00000020551
ENSG00000115170	ENST00000263640	ENSECAP00000016631
ENSG00000092445	ENST00000263798	ENSECAP00000015977
ENSG00000062524	ENST00000263800	ENSECAP00000008691
ENSG00000081479	ENST00000263816	ENSECAP00000004214
ENSG00000128052	ENST00000263923	ENSECAP00000017725
ENSG00000120949	ENST00000263932	ENSECAP00000011838
ENSG00000110400	ENST00000264025	ENSECAP00000008611
ENSG00000121594	ENST00000264246	ENSECAP00000001529
ENSG00000115598	ENST00000264257	ENSECAP00000009881
ENSG00000109158	ENST00000264318	ENSECAP00000020974
ENSG00000125675	ENST00000264357	ENSECAP00000015299
ENSG00000109738	ENST00000264428	ENSECAP00000016724
ENSG00000108797	ENST00000264638	ENSECAP00000021874
ENSG00000144668	ENST00000264741	ENSECAP00000006147
ENSG00000090339	ENST00000264832	ENSECAP00000011996
ENSG00000138760	ENST00000264896	ENSECAP00000022283
ENSG00000099250	ENST00000265371	ENSECAP00000018748
ENSG00000082556	ENST00000265572	ENSECAP00000012142
ENSG00000139193	ENST00000266557	ENSECAP00000008999
ENSG00000139292	ENST00000266674	ENSECAP00000009813
ENSG00000139572	ENST00000267015	ENSECAP00000000637
ENSG00000065361	ENST00000267101	ENSECAP00000022150
ENSG00000139636	ENST00000267102	ENSECAP00000009201
ENSG00000139874	ENST00000267377	ENSECAP00000003219
ENSG00000140443	ENST00000268035	ENSECAP00000019400
ENSG00000140678	ENST00000268296	ENSECAP00000021685
ENSG00000140749	ENST00000268389	ENSECAP00000015774
ENSG00000141194	ENST00000268912	ENSECAP00000002211
ENSG00000141458	ENST00000269228	ENSECAP00000019517
ENSG00000141505	ENST00000269299	ENSECAP00000021739
ENSG00000141655	ENST00000269485	ENSECAP00000012337
ENSG00000141736	ENST00000269571	ENSECAP00000018571
ENSG00000142166	ENST00000270139	ENSECAP00000008392
ENSG00000187244	ENST00000270233	ENSECAP00000016543
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSECAP00000015528
ENSG00000143226	ENST00000271450	ENSECAP00000010823
ENSG00000143226	ENST00000271450	ENSECAP00000020027
ENSG00000143226	ENST00000271450	ENSECAP00000017517
ENSG00000163518	ENST00000271532	ENSECAP00000011722
ENSG00000144136	ENST00000272542	ENSECAP00000012239
ENSG00000144407	ENST00000272847	ENSECAP00000012305
ENSG00000144476	ENST00000272928	ENSECAP00000000611
ENSG00000144820	ENST00000273352	ENSECAP00000021773
ENSG00000145103	ENST00000273691	ENSECAP00000011900
ENSG00000145242	ENST00000273854	ENSECAP00000001729
ENSG00000145244	ENST00000273857	ENSECAP00000004351
ENSG00000145451	ENST00000274093	ENSECAP00000021525
ENSG00000145623	ENST00000274276	ENSECAP00000016921
ENSG00000145863	ENST00000274545	ENSECAP00000011854
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSECAP00000000685
ENSG00000146648	ENST00000275493	ENSECAP00000008846
ENSG00000146904	ENST00000275815	ENSECAP00000021660
ENSG00000147138	ENST00000276077	ENSECAP00000002410
ENSG00000147246	ENST00000276198	ENSECAP00000018999
ENSG00000147262	ENST00000276218	ENSECAP00000002931
ENSG00000147434	ENST00000276410	ENSECAP00000000028
ENSG00000120889	ENST00000276431	ENSECAP00000022015
ENSG00000147650	ENST00000276654	ENSECAP00000014166
ENSG00000148136	ENST00000277216	ENSECAP00000016765
ENSG00000165204	ENST00000277309	ENSECAP00000001440
ENSG00000148734	ENST00000277942	ENSECAP00000008439
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSECAP00000014019
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSECAP00000020802
ENSG00000150261	ENST00000279783	ENSECAP00000003696
ENSG00000150261	ENST00000279783	ENSECAP00000004896
ENSG00000150269	ENST00000279791	ENSECAP00000005611
ENSG00000150269	ENST00000279791	ENSECAP00000003132
ENSG00000150269	ENST00000279791	ENSECAP00000005562
ENSG00000150594	ENST00000280155	ENSECAP00000002636
ENSG00000150637	ENST00000280200	ENSECAP00000005615
ENSG00000150938	ENST00000280527	ENSECAP00000013429
ENSG00000151490	ENST00000281171	ENSECAP00000014076
ENSG00000116106	ENST00000281821	ENSECAP00000011895
ENSG00000152207	ENST00000282018	ENSECAP00000003194
ENSG00000152208	ENST00000282020	ENSECAP00000022885
ENSG00000152578	ENST00000282499	ENSECAP00000008372
ENSG00000213949	ENST00000282588	ENSECAP00000015387
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSECAP00000022752
ENSG00000153246	ENST00000283243	ENSECAP00000021557
ENSG00000115221	ENST00000283249	ENSECAP00000019961
ENSG00000153563	ENST00000283635	ENSECAP00000011123
ENSG00000196119	ENST00000284287	ENSECAP00000004317
ENSG00000196119	ENST00000284287	ENSECAP00000003949
ENSG00000196119	ENST00000284287	ENSECAP00000003199
ENSG00000154165	ENST00000284311	ENSECAP00000001170
ENSG00000154309	ENST00000284476	ENSECAP00000012230
ENSG00000154478	ENST00000284674	ENSECAP00000006276
ENSG00000154639	ENST00000284878	ENSECAP00000020704
ENSG00000155249	ENST00000285600	ENSECAP00000004373
ENSG00000155511	ENST00000285900	ENSECAP00000019080
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	ENSECAP00000002580
ENSG00000157219	ENST00000287907	ENSECAP00000016743
ENSG00000157240	ENST00000287934	ENSECAP00000000907
ENSG00000157404	ENST00000288135	ENSECAP00000011188
ENSG00000056736	ENST00000288167	ENSECAP00000003377
ENSG00000173285	ENST00000289451	ENSECAP00000003925
ENSG00000173285	ENST00000289451	ENSECAP00000004675
ENSG00000173285	ENST00000289451	ENSECAP00000004095
ENSG00000015520	ENST00000289547	ENSECAP00000021634
ENSG00000158748	ENST00000289753	ENSECAP00000003601
ENSG00000158869	ENST00000289902	ENSECAP00000007438
ENSG00000147432	ENST00000289957	ENSECAP00000000055
ENSG00000243646	ENST00000290200	ENSECAP00000005480
ENSG00000159128	ENST00000290219	ENSECAP00000012309
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSECAP00000018087
ENSG00000160013	ENST00000291294	ENSECAP00000021067
ENSG00000242019	ENST00000291860	ENSECAP00000014906
ENSG00000242019	ENST00000291860	ENSECAP00000008147
ENSG00000189430	ENST00000291890	ENSECAP00000011657
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSECAP00000000857
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	ENSECAP00000005453
ENSG00000161638	ENST00000293379	ENSECAP00000022617
ENSG00000161807	ENST00000293614	ENSECAP00000002552
ENSG00000161807	ENST00000293614	ENSECAP00000002595
ENSG00000161807	ENST00000293614	ENSECAP00000002868
ENSG00000161921	ENST00000293778	ENSECAP00000015940
ENSG00000108556	ENST00000293780	ENSECAP00000005782
ENSG00000162337	ENST00000294304	ENSECAP00000011585
ENSG00000138039	ENST00000294954	ENSECAP00000018438
ENSG00000153208	ENST00000295408	ENSECAP00000021550
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSECAP00000009361
ENSG00000163288	ENST00000295454	ENSECAP00000019675
ENSG00000163394	ENST00000295589	ENSECAP00000014959
ENSG00000163464	ENST00000295683	ENSECAP00000004745
ENSG00000163464	ENST00000295683	ENSECAP00000004791
ENSG00000054356	ENST00000295718	ENSECAP00000005180
ENSG00000163702	ENST00000295981	ENSECAP00000007598
ENSG00000163785	ENST00000296084	ENSECAP00000006730
ENSG00000163823	ENST00000296140	ENSECAP00000001353
ENSG00000082781	ENST00000296181	ENSECAP00000006461
ENSG00000163914	ENST00000296271	ENSECAP00000011492
ENSG00000164078	ENST00000296474	ENSECAP00000022378
ENSG00000120251	ENST00000296526	ENSECAP00000015222
ENSG00000164128	ENST00000296533	ENSECAP00000014265
ENSG00000164171	ENST00000296585	ENSECAP00000022803
ENSG00000164220	ENST00000296641	ENSECAP00000008396
ENSG00000164251	ENST00000296677	ENSECAP00000001994
ENSG00000164342	ENST00000296795	ENSECAP00000000146
ENSG00000146072	ENST00000296861	ENSECAP00000014913
ENSG00000164393	ENST00000296862	ENSECAP00000021380
ENSG00000165202	ENST00000297913	ENSECAP00000003972
ENSG00000165370	ENST00000298110	ENSECAP00000004565
ENSG00000133105	ENST00000298386	ENSECAP00000012295
ENSG00000165621	ENST00000298440	ENSECAP00000002117
ENSG00000165682	ENST00000298527	ENSECAP00000002429
ENSG00000165762	ENST00000298642	ENSECAP00000004421
ENSG00000166073	ENST00000299092	ENSECAP00000022330
ENSG00000166148	ENST00000299178	ENSECAP00000008330
ENSG00000166363	ENST00000299454	ENSECAP00000002690
ENSG00000166363	ENST00000299454	ENSECAP00000002826
ENSG00000166368	ENST00000299459	ENSECAP00000001291
ENSG00000166368	ENST00000299459	ENSECAP00000003406
ENSG00000169684	ENST00000299565	ENSECAP00000018914
ENSG00000166573	ENST00000299727	ENSECAP00000012523
ENSG00000166603	ENST00000299766	ENSECAP00000001154
ENSG00000166682	ENST00000299882	ENSECAP00000020687
ENSG00000166825	ENST00000300060	ENSECAP00000007954
ENSG00000166856	ENST00000300098	ENSECAP00000004225
ENSG00000166884	ENST00000300127	ENSECAP00000004925
ENSG00000167286	ENST00000300692	ENSECAP00000015856
ENSG00000242180	ENST00000300773	ENSECAP00000001384
ENSG00000167360	ENST00000300778	ENSECAP00000001541
ENSG00000167601	ENST00000301178	ENSECAP00000009860
ENSG00000167822	ENST00000301529	ENSECAP00000003494
ENSG00000167822	ENST00000301529	ENSECAP00000004889
ENSG00000167825	ENST00000301532	ENSECAP00000001014
ENSG00000172320	ENST00000302030	ENSECAP00000005060
ENSG00000117090	ENST00000302035	ENSECAP00000012154
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	ENSECAP00000003416
ENSG00000172154	ENST00000302124	ENSECAP00000005131
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSECAP00000005432
ENSG00000172208	ENST00000302329	
ENSG00000171522	ENST00000302472	ENSECAP00000009014
ENSG00000171657	ENST00000302548	ENSECAP00000002309
ENSG00000172362	ENST00000302572	ENSECAP00000005679
ENSG00000172362	ENST00000302572	ENSECAP00000004177
ENSG00000172365	ENST00000302581	ENSECAP00000005372
ENSG00000197887	ENST00000302592	ENSECAP00000004400
ENSG00000197887	ENST00000302592	ENSECAP00000004983
ENSG00000197887	ENST00000302592	ENSECAP00000005053
ENSG00000172377	ENST00000302610	ENSECAP00000004175
ENSG00000172377	ENST00000302610	ENSECAP00000005150
ENSG00000172377	ENST00000302610	ENSECAP00000004099
ENSG00000172377	ENST00000302610	ENSECAP00000021149
ENSG00000197532	ENST00000302617	ENSECAP00000003351
ENSG00000172381	ENST00000302622	ENSECAP00000003790
ENSG00000169313	ENST00000302632	ENSECAP00000020564
ENSG00000150995	ENST00000302640	ENSECAP00000019394
ENSG00000171133	ENST00000302681	ENSECAP00000003578
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSECAP00000022825
ENSG00000169992	ENST00000302926	ENSECAP00000014266
ENSG00000172457	ENST00000302957	ENSECAP00000002320
ENSG00000172459	ENST00000302969	ENSECAP00000001540
ENSG00000172464	ENST00000302981	ENSECAP00000005726
ENSG00000172464	ENST00000302981	ENSECAP00000002197
ENSG00000172487	ENST00000303039	ENSECAP00000003494
ENSG00000172487	ENST00000303039	ENSECAP00000004889
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSECAP00000008818
ENSG00000168131	ENST00000303324	ENSECAP00000004966
ENSG00000169208	ENST00000303532	ENSECAP00000001710
ENSG00000169604	ENST00000303714	ENSECAP00000005592
ENSG00000169618	ENST00000303786	ENSECAP00000010065
ENSG00000170775	ENST00000303921	ENSECAP00000006524
ENSG00000172243	ENST00000304084	ENSECAP00000008989
ENSG00000172146	ENST00000304094	ENSECAP00000001603
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSECAP00000006132
ENSG00000170425	ENST00000304222	ENSECAP00000006467
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSECAP00000006969
ENSG00000172209	ENST00000304402	ENSECAP00000011373
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	ENSECAP00000001676
ENSG00000168124	ENST00000304646	ENSECAP00000003298
ENSG00000168124	ENST00000304646	ENSECAP00000003109
ENSG00000168124	ENST00000304646	ENSECAP00000003003
ENSG00000171459	ENST00000304720	ENSECAP00000004164
ENSG00000171459	ENST00000304720	ENSECAP00000004174
ENSG00000171459	ENST00000304720	ENSECAP00000002933
ENSG00000171459	ENST00000304720	ENSECAP00000004950
ENSG00000171459	ENST00000304720	ENSECAP00000004192
ENSG00000171459	ENST00000304720	ENSECAP00000001800
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSECAP00000004127
ENSG00000171484	ENST00000304833	ENSECAP00000004061
ENSG00000171496	ENST00000304865	ENSECAP00000003735
ENSG00000171496	ENST00000304865	ENSECAP00000016007
ENSG00000171505	ENST00000304880	ENSECAP00000003710
ENSG00000169836	ENST00000304883	ENSECAP00000010640
ENSG00000168158	ENST00000304936	ENSECAP00000002959
ENSG00000169484	ENST00000305045	ENSECAP00000004658
ENSG00000169488	ENST00000305051	ENSECAP00000004546
ENSG00000169860	ENST00000305097	ENSECAP00000001242
ENSG00000171596	ENST00000305141	ENSECAP00000015108
ENSG00000171561	ENST00000305159	ENSECAP00000005266
ENSG00000115353	ENST00000305249	ENSECAP00000014860
ENSG00000168830	ENST00000305344	ENSECAP00000014346
ENSG00000170989	ENST00000305352	ENSECAP00000009432
ENSG00000170605	ENST00000305377	ENSECAP00000001146
ENSG00000170605	ENST00000305377	ENSECAP00000001129
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSECAP00000013865
ENSG00000171936	ENST00000305892	ENSECAP00000000863
ENSG00000171936	ENST00000305892	ENSECAP00000000655
ENSG00000171936	ENST00000305892	ENSECAP00000004237
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	ENSECAP00000003340
ENSG00000168229	ENST00000306051	ENSECAP00000005421
ENSG00000157193	ENST00000306052	ENSECAP00000006368
ENSG00000170175	ENST00000306071	ENSECAP00000015820
ENSG00000170214	ENST00000306675	ENSECAP00000009505
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	ENSECAP00000003770
ENSG00000170953	ENST00000306842	ENSECAP00000003369
ENSG00000170953	ENST00000306842	ENSECAP00000004257
ENSG00000170953	ENST00000306842	ENSECAP00000003067
ENSG00000170953	ENST00000306842	ENSECAP00000003582
ENSG00000170953	ENST00000306842	ENSECAP00000002966
ENSG00000169006	ENST00000306928	ENSECAP00000013996
ENSG00000168539	ENST00000306960	ENSECAP00000003848
ENSG00000171014	ENST00000307033	ENSECAP00000001685
ENSG00000171014	ENST00000307033	ENSECAP00000008353
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSECAP00000000123
ENSG00000170790	ENST00000307322	ENSECAP00000002690
ENSG00000170790	ENST00000307322	ENSECAP00000002826
ENSG00000171944	ENST00000307388	ENSECAP00000000689
ENSG00000171944	ENST00000307388	ENSECAP00000000608
ENSG00000170803	ENST00000307401	ENSECAP00000000708
ENSG00000170803	ENST00000307401	ENSECAP00000001935
ENSG00000170803	ENST00000307401	ENSECAP00000002100
ENSG00000172289	ENST00000307552	ENSECAP00000003079
ENSG00000196778	ENST00000307632	ENSECAP00000006218
ENSG00000171860	ENST00000307637	ENSECAP00000002192
ENSG00000171509	ENST00000307765	ENSECAP00000011663
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	ENSECAP00000013398
ENSG00000163606	ENST00000308611	ENSECAP00000015243
ENSG00000174667	ENST00000308682	ENSECAP00000002030
ENSG00000174667	ENST00000308682	ENSECAP00000003496
ENSG00000174667	ENST00000308682	ENSECAP00000001067
ENSG00000174667	ENST00000308682	ENSECAP00000003388
ENSG00000174667	ENST00000308682	ENSECAP00000000984
ENSG00000174667	ENST00000308682	ENSECAP00000001887
ENSG00000174667	ENST00000308682	ENSECAP00000001881
ENSG00000174667	ENST00000308682	ENSECAP00000000849
ENSG00000174667	ENST00000308682	ENSECAP00000001838
ENSG00000174667	ENST00000308682	ENSECAP00000003490
ENSG00000056291	ENST00000308744	ENSECAP00000004910
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	ENSECAP00000018320
ENSG00000174125	ENST00000308979	ENSECAP00000001663
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	ENSECAP00000004327
ENSG00000174944	ENST00000309170	ENSECAP00000001072
ENSG00000174946	ENST00000309180	ENSECAP00000001013
ENSG00000173578	ENST00000309285	ENSECAP00000002023
ENSG00000172769	ENST00000309403	ENSECAP00000005473
ENSG00000172774	ENST00000309433	ENSECAP00000004400
ENSG00000172774	ENST00000309433	ENSECAP00000004983
ENSG00000172774	ENST00000309433	ENSECAP00000005053
ENSG00000163485	ENST00000309502	ENSECAP00000015446
ENSG00000173391	ENST00000309539	ENSECAP00000009833
ENSG00000175619	ENST00000309562	ENSECAP00000006199
ENSG00000173679	ENST00000309623	ENSECAP00000004105
ENSG00000175398	ENST00000309675	ENSECAP00000004627
ENSG00000175393	ENST00000309838	
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSECAP00000006203
ENSG00000197376	ENST00000310194	ENSECAP00000005737
ENSG00000172640	ENST00000310248	ENSECAP00000005284
ENSG00000173612	ENST00000310357	ENSECAP00000016703
ENSG00000088053	ENST00000310373	ENSECAP00000019992
ENSG00000121716	ENST00000310771	ENSECAP00000018545
ENSG00000173250	ENST00000311104	ENSECAP00000003435
ENSG00000228567	ENST00000311170	ENSECAP00000000855
ENSG00000066294	ENST00000311224	ENSECAP00000017934
ENSG00000250510	ENST00000311268	ENSECAP00000016741
ENSG00000175485	ENST00000311352	ENSECAP00000000525
ENSG00000173567	ENST00000311519	ENSECAP00000005542
