ENSG00000003056	ENST00000000412	ENSPVAP00000011494
ENSG00000112964	ENST00000230882	ENSPVAP00000005306
ENSG00000113070	ENST00000230990	ENSPVAP00000009139
ENSG00000113262	ENST00000231188	ENSPVAP00000007250
ENSG00000115602	ENST00000233954	ENSPVAP00000000215
ENSG00000116014	ENST00000234371	ENSPVAP00000006163
ENSG00000116032	ENST00000234389	ENSPVAP00000015633
ENSG00000116329	ENST00000234961	ENSPVAP00000016251
ENSG00000119686	ENST00000238667	ENSPVAP00000000638
ENSG00000119973	ENST00000239032	ENSPVAP00000009816
ENSG00000120586	ENST00000239761	ENSPVAP00000005976
ENSG00000120659	ENST00000239849	ENSPVAP00000004714
ENSG00000213809	ENST00000240618	ENSPVAP00000007553
ENSG00000121853	ENST00000241256	ENSPVAP00000004224
ENSG00000121989	ENST00000241416	ENSPVAP00000011171
ENSG00000122025	ENST00000241453	ENSPVAP00000010865
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSPVAP00000006557
ENSG00000123384	ENST00000243077	ENSPVAP00000003743
ENSG00000123612	ENST00000243349	ENSPVAP00000013562
ENSG00000123901	ENST00000243673	ENSPVAP00000008606
ENSG00000124089	ENST00000243911	ENSPVAP00000003741
ENSG00000124334	ENST00000244174	ENSPVAP00000002427
ENSG00000124557	ENST00000244513	ENSPVAP00000005519
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSPVAP00000000582
ENSG00000125384	ENST00000245457	ENSPVAP00000013306
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSPVAP00000002956
ENSG00000125910	ENST00000246115	ENSPVAP00000011082
ENSG00000126246	ENST00000246532	ENSPVAP00000012109
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	ENSPVAP00000013743
ENSG00000126353	ENST00000246657	ENSPVAP00000008110
ENSG00000127364	ENST00000247881	ENSPVAP00000008998
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	ENSPVAP00000011125
ENSG00000127533	ENST00000248076	ENSPVAP00000004105
ENSG00000127780	ENST00000248384	ENSPVAP00000012003
ENSG00000128285	ENST00000249016	ENSPVAP00000011218
ENSG00000128310	ENST00000249041	ENSPVAP00000009524
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSPVAP00000003190
ENSG00000128617	ENST00000249389	ENSPVAP00000001020
ENSG00000129048	ENST00000249887	ENSPVAP00000011874
ENSG00000129749	ENST00000250699	ENSPVAP00000015511
ENSG00000130164	ENST00000252444	ENSPVAP00000007352
ENSG00000130202	ENST00000252483	ENSPVAP00000015044
ENSG00000130234	ENST00000252519	ENSPVAP00000009627
ENSG00000130368	ENST00000252660	ENSPVAP00000005043
ENSG00000130529	ENST00000252826	ENSPVAP00000009039
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	ENSPVAP00000006573
ENSG00000131477	ENST00000253796	ENSPVAP00000008306
ENSG00000132329	ENST00000254661	ENSPVAP00000008941
ENSG00000132334	ENST00000254667	ENSPVAP00000007831
ENSG00000132517	ENST00000254853	ENSPVAP00000000417
ENSG00000132518	ENST00000254854	ENSPVAP00000015434
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSPVAP00000014050
ENSG00000133019	ENST00000255380	ENSPVAP00000015646
ENSG00000133800	ENST00000256178	ENSPVAP00000002062
ENSG00000134061	ENST00000256447	ENSPVAP00000004829
ENSG00000134243	ENST00000256637	ENSPVAP00000008404
ENSG00000134250	ENST00000256646	ENSPVAP00000002191
ENSG00000134489	ENST00000256906	ENSPVAP00000012179
ENSG00000134640	ENST00000257068	ENSPVAP00000016324
ENSG00000134817	ENST00000257254	ENSPVAP00000015488
ENSG00000134830	ENST00000257267	ENSPVAP00000002667
ENSG00000134830	ENST00000257267	ENSPVAP00000002666
ENSG00000134853	ENST00000257290	ENSPVAP00000003370
ENSG00000135409	ENST00000257863	ENSPVAP00000011575
ENSG00000135424	ENST00000257879	ENSPVAP00000016742
ENSG00000135577	ENST00000258042	ENSPVAP00000002210
ENSG00000135902	ENST00000258385	ENSPVAP00000007071
ENSG00000135914	ENST00000258400	ENSPVAP00000004219
ENSG00000135960	ENST00000258443	ENSPVAP00000003680
ENSG00000135973	ENST00000258456	ENSPVAP00000001956
ENSG00000136040	ENST00000258526	ENSPVAP00000002633
ENSG00000136834	ENST00000259357	ENSPVAP00000006456
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSPVAP00000008278
ENSG00000136939	ENST00000259466	ENSPVAP00000012805
ENSG00000136939	ENST00000259466	ENSPVAP00000017006
ENSG00000136960	ENST00000259486	ENSPVAP00000003512
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSPVAP00000005006
ENSG00000137642	ENST00000260197	ENSPVAP00000004247
ENSG00000138271	ENST00000260843	ENSPVAP00000012600
ENSG00000138435	ENST00000261007	ENSPVAP00000003943
ENSG00000138448	ENST00000261023	ENSPVAP00000004574
ENSG00000069431	ENST00000261200	ENSPVAP00000002329
ENSG00000069493	ENST00000261340	ENSPVAP00000000435
ENSG00000070018	ENST00000261349	ENSPVAP00000005915
ENSG00000240505	ENST00000261652	ENSPVAP00000006400
ENSG00000111452	ENST00000261654	ENSPVAP00000002891
ENSG00000073060	ENST00000261693	ENSPVAP00000010269
ENSG00000117971	ENST00000261751	ENSPVAP00000008670
ENSG00000113721	ENST00000261799	ENSPVAP00000001234
ENSG00000067141	ENST00000261908	ENSPVAP00000006490
ENSG00000037280	ENST00000261937	ENSPVAP00000014049
ENSG00000038945	ENST00000262101	ENSPVAP00000008757
ENSG00000106018	ENST00000262178	ENSPVAP00000013326
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSPVAP00000003836
ENSG00000005961	ENST00000262407	ENSPVAP00000002972
ENSG00000065325	ENST00000262441	ENSPVAP00000006618
ENSG00000105707	ENST00000262626	ENSPVAP00000000463
ENSG00000075275	ENST00000262738	ENSPVAP00000008650
ENSG00000105737	ENST00000262895	ENSPVAP00000010003
ENSG00000088812	ENST00000262919	ENSPVAP00000013935
ENSG00000083457	ENST00000263087	ENSPVAP00000012018
ENSG00000105464	ENST00000263269	ENSPVAP00000001879
ENSG00000010310	ENST00000263281	ENSPVAP00000001263
ENSG00000109991	ENST00000263314	ENSPVAP00000002276
ENSG00000104998	ENST00000263379	ENSPVAP00000016555
ENSG00000113594	ENST00000263409	ENSPVAP00000003734
ENSG00000054219	ENST00000263636	ENSPVAP00000009824
ENSG00000115170	ENST00000263640	ENSPVAP00000001609
ENSG00000092445	ENST00000263798	ENSPVAP00000015437
ENSG00000062524	ENST00000263800	ENSPVAP00000015433
ENSG00000081479	ENST00000263816	ENSPVAP00000000156
ENSG00000128052	ENST00000263923	ENSPVAP00000000677
ENSG00000120949	ENST00000263932	ENSPVAP00000013878
ENSG00000110400	ENST00000264025	ENSPVAP00000002649
ENSG00000121594	ENST00000264246	ENSPVAP00000000831
ENSG00000115598	ENST00000264257	ENSPVAP00000013541
ENSG00000109158	ENST00000264318	ENSPVAP00000001314
ENSG00000125675	ENST00000264357	ENSPVAP00000002962
ENSG00000109738	ENST00000264428	ENSPVAP00000002644
ENSG00000108797	ENST00000264638	ENSPVAP00000008299
ENSG00000144668	ENST00000264741	ENSPVAP00000012850
ENSG00000090339	ENST00000264832	ENSPVAP00000003483
ENSG00000138760	ENST00000264896	ENSPVAP00000004964
ENSG00000099250	ENST00000265371	ENSPVAP00000011244
ENSG00000082556	ENST00000265572	ENSPVAP00000012270
ENSG00000139193	ENST00000266557	ENSPVAP00000011842
ENSG00000139292	ENST00000266674	ENSPVAP00000011642
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	ENSPVAP00000007137
ENSG00000139636	ENST00000267102	ENSPVAP00000004392
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSPVAP00000003096
ENSG00000140678	ENST00000268296	ENSPVAP00000000662
ENSG00000140749	ENST00000268389	ENSPVAP00000011932
ENSG00000141194	ENST00000268912	ENSPVAP00000012681
ENSG00000141458	ENST00000269228	ENSPVAP00000014928
ENSG00000141505	ENST00000269299	ENSPVAP00000004767
ENSG00000141655	ENST00000269485	ENSPVAP00000012273
ENSG00000141736	ENST00000269571	ENSPVAP00000008053
ENSG00000142166	ENST00000270139	ENSPVAP00000004055
ENSG00000187244	ENST00000270233	ENSPVAP00000015043
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSPVAP00000008400
ENSG00000143226	ENST00000271450	ENSPVAP00000000051
ENSG00000163518	ENST00000271532	
ENSG00000144136	ENST00000272542	ENSPVAP00000005416
ENSG00000144407	ENST00000272847	ENSPVAP00000007848
ENSG00000144476	ENST00000272928	ENSPVAP00000008954
ENSG00000144820	ENST00000273352	ENSPVAP00000016350
ENSG00000145103	ENST00000273691	ENSPVAP00000016347
ENSG00000145242	ENST00000273854	ENSPVAP00000011483
ENSG00000145244	ENST00000273857	ENSPVAP00000010802
ENSG00000145451	ENST00000274093	ENSPVAP00000013917
ENSG00000145623	ENST00000274276	ENSPVAP00000003123
ENSG00000145863	ENST00000274545	ENSPVAP00000008353
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSPVAP00000007707
ENSG00000146648	ENST00000275493	ENSPVAP00000010800
ENSG00000146904	ENST00000275815	ENSPVAP00000016317
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	ENSPVAP00000000265
ENSG00000147246	ENST00000276198	ENSPVAP00000008109
ENSG00000147262	ENST00000276218	ENSPVAP00000004189
ENSG00000147434	ENST00000276410	ENSPVAP00000014493
ENSG00000120889	ENST00000276431	ENSPVAP00000005434
ENSG00000147650	ENST00000276654	ENSPVAP00000008877
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSPVAP00000000095
ENSG00000149133	ENST00000278409	ENSPVAP00000014377
ENSG00000149133	ENST00000278409	ENSPVAP00000005829
ENSG00000149133	ENST00000278409	ENSPVAP00000002818
ENSG00000149534	ENST00000278888	ENSPVAP00000013584
ENSG00000150045	ENST00000279544	ENSPVAP00000012816
ENSG00000150086	ENST00000279593	ENSPVAP00000000932
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	ENSPVAP00000015306
ENSG00000150594	ENST00000280155	ENSPVAP00000015330
ENSG00000150637	ENST00000280200	ENSPVAP00000000493
ENSG00000150938	ENST00000280527	ENSPVAP00000013031
ENSG00000151490	ENST00000281171	ENSPVAP00000012565
ENSG00000116106	ENST00000281821	ENSPVAP00000007075
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSPVAP00000012452
ENSG00000152578	ENST00000282499	ENSPVAP00000012676
ENSG00000213949	ENST00000282588	ENSPVAP00000009589
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSPVAP00000015291
ENSG00000153246	ENST00000283243	ENSPVAP00000009826
ENSG00000115221	ENST00000283249	ENSPVAP00000009827
ENSG00000153563	ENST00000283635	ENSPVAP00000008380
ENSG00000196119	ENST00000284287	ENSPVAP00000010069
ENSG00000154165	ENST00000284311	ENSPVAP00000001000
ENSG00000154309	ENST00000284476	ENSPVAP00000015277
ENSG00000154478	ENST00000284674	ENSPVAP00000014197
ENSG00000154639	ENST00000284878	ENSPVAP00000013519
ENSG00000155249	ENST00000285600	ENSPVAP00000015121
ENSG00000155511	ENST00000285900	ENSPVAP00000012931
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	ENSPVAP00000001233
ENSG00000157219	ENST00000287907	ENSPVAP00000000350
ENSG00000157240	ENST00000287934	ENSPVAP00000015193
ENSG00000157404	ENST00000288135	ENSPVAP00000007615
ENSG00000056736	ENST00000288167	ENSPVAP00000015367
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	ENSPVAP00000000746
ENSG00000158748	ENST00000289753	ENSPVAP00000008714
ENSG00000158869	ENST00000289902	ENSPVAP00000005240
ENSG00000147432	ENST00000289957	ENSPVAP00000014494
ENSG00000243646	ENST00000290200	ENSPVAP00000004052
ENSG00000159128	ENST00000290219	ENSPVAP00000010539
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSPVAP00000001117
ENSG00000160013	ENST00000291294	ENSPVAP00000007323
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	ENSPVAP00000015530
ENSG00000160683	ENST00000292174	ENSPVAP00000011767
ENSG00000121807	ENST00000292301	
ENSG00000160951	ENST00000292513	ENSPVAP00000006562
ENSG00000161509	ENST00000293190	
ENSG00000161638	ENST00000293379	ENSPVAP00000000304
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSPVAP00000003797
ENSG00000108556	ENST00000293780	ENSPVAP00000000116
ENSG00000162337	ENST00000294304	ENSPVAP00000001496
ENSG00000138039	ENST00000294954	ENSPVAP00000003542
ENSG00000153208	ENST00000295408	ENSPVAP00000014657
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSPVAP00000011346
ENSG00000163288	ENST00000295454	ENSPVAP00000001317
ENSG00000163394	ENST00000295589	ENSPVAP00000013381
ENSG00000163464	ENST00000295683	ENSPVAP00000006408
ENSG00000054356	ENST00000295718	ENSPVAP00000010181
ENSG00000163702	ENST00000295981	ENSPVAP00000010475
ENSG00000163785	ENST00000296084	ENSPVAP00000009460
ENSG00000163823	ENST00000296140	ENSPVAP00000005820
ENSG00000082781	ENST00000296181	ENSPVAP00000000198
ENSG00000163914	ENST00000296271	ENSPVAP00000006709
ENSG00000164078	ENST00000296474	ENSPVAP00000008283
ENSG00000120251	ENST00000296526	ENSPVAP00000000441
ENSG00000164128	ENST00000296533	ENSPVAP00000005263
ENSG00000164171	ENST00000296585	ENSPVAP00000009592
ENSG00000164220	ENST00000296641	ENSPVAP00000009168
ENSG00000164251	ENST00000296677	ENSPVAP00000009171
ENSG00000164342	ENST00000296795	ENSPVAP00000005527
ENSG00000146072	ENST00000296861	ENSPVAP00000011912
ENSG00000164393	ENST00000296862	ENSPVAP00000011916
ENSG00000165202	ENST00000297913	ENSPVAP00000002297
ENSG00000165370	ENST00000298110	ENSPVAP00000013637
ENSG00000133105	ENST00000298386	ENSPVAP00000007379
ENSG00000165621	ENST00000298440	ENSPVAP00000004485
ENSG00000165682	ENST00000298527	
ENSG00000165762	ENST00000298642	ENSPVAP00000008120
ENSG00000166073	ENST00000299092	ENSPVAP00000002061
ENSG00000166148	ENST00000299178	ENSPVAP00000003154
ENSG00000166363	ENST00000299454	ENSPVAP00000011864
ENSG00000166368	ENST00000299459	ENSPVAP00000015229
ENSG00000169684	ENST00000299565	ENSPVAP00000008663
ENSG00000166573	ENST00000299727	ENSPVAP00000013321
ENSG00000166603	ENST00000299766	ENSPVAP00000004021
ENSG00000166682	ENST00000299882	ENSPVAP00000010283
ENSG00000166825	ENST00000300060	ENSPVAP00000009961
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	
ENSG00000167286	ENST00000300692	ENSPVAP00000005893
ENSG00000242180	ENST00000300773	ENSPVAP00000007806
ENSG00000167360	ENST00000300778	ENSPVAP00000003579
ENSG00000167601	ENST00000301178	
ENSG00000167822	ENST00000301529	ENSPVAP00000010681
ENSG00000167822	ENST00000301529	ENSPVAP00000015309
ENSG00000167825	ENST00000301532	ENSPVAP00000004257
ENSG00000167825	ENST00000301532	ENSPVAP00000015134
ENSG00000172320	ENST00000302030	ENSPVAP00000009240
ENSG00000117090	ENST00000302035	ENSPVAP00000007835
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	
ENSG00000172208	ENST00000302329	ENSPVAP00000007321
ENSG00000171522	ENST00000302472	ENSPVAP00000010725
ENSG00000171657	ENST00000302548	ENSPVAP00000008723
ENSG00000172362	ENST00000302572	ENSPVAP00000006957
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	ENSPVAP00000005437
ENSG00000172377	ENST00000302610	ENSPVAP00000009709
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	
ENSG00000169313	ENST00000302632	
ENSG00000150995	ENST00000302640	ENSPVAP00000010027
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSPVAP00000005945
ENSG00000169992	ENST00000302926	ENSPVAP00000004789
ENSG00000172457	ENST00000302957	
ENSG00000172459	ENST00000302969	ENSPVAP00000004255
ENSG00000172464	ENST00000302981	ENSPVAP00000004730
ENSG00000172487	ENST00000303039	ENSPVAP00000010681
ENSG00000172487	ENST00000303039	ENSPVAP00000015309
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSPVAP00000001426
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	ENSPVAP00000000255
ENSG00000169208	ENST00000303532	ENSPVAP00000007632
ENSG00000169604	ENST00000303714	ENSPVAP00000001156
ENSG00000169618	ENST00000303786	ENSPVAP00000002561
ENSG00000170775	ENST00000303921	ENSPVAP00000008771
ENSG00000172243	ENST00000304084	ENSPVAP00000006234
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSPVAP00000009968
ENSG00000170425	ENST00000304222	ENSPVAP00000016092
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	
ENSG00000172209	ENST00000304402	ENSPVAP00000013714
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSPVAP00000005720
ENSG00000171459	ENST00000304720	ENSPVAP00000012805
ENSG00000171459	ENST00000304720	ENSPVAP00000017006
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSPVAP00000009344
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSPVAP00000006459
ENSG00000169836	ENST00000304883	ENSPVAP00000013174
ENSG00000168158	ENST00000304936	ENSPVAP00000016689
ENSG00000169484	ENST00000305045	ENSPVAP00000012696
ENSG00000169488	ENST00000305051	ENSPVAP00000005227
ENSG00000169860	ENST00000305097	
ENSG00000171596	ENST00000305141	ENSPVAP00000000275
ENSG00000171561	ENST00000305159	ENSPVAP00000014057
ENSG00000115353	ENST00000305249	ENSPVAP00000014577
ENSG00000168830	ENST00000305344	ENSPVAP00000013805
ENSG00000170989	ENST00000305352	ENSPVAP00000005341
ENSG00000170605	ENST00000305377	ENSPVAP00000006019
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSPVAP00000006711
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSPVAP00000016083
ENSG00000169252	ENST00000305988	ENSPVAP00000016419
ENSG00000168229	ENST00000306051	ENSPVAP00000013304
ENSG00000157193	ENST00000306052	ENSPVAP00000012381
ENSG00000170175	ENST00000306071	ENSPVAP00000004794
ENSG00000170214	ENST00000306675	ENSPVAP00000011200
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSPVAP00000004339
ENSG00000170790	ENST00000307322	ENSPVAP00000011864
ENSG00000171944	ENST00000307388	
ENSG00000170803	ENST00000307401	
ENSG00000172289	ENST00000307552	
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	ENSPVAP00000006414
ENSG00000171509	ENST00000307765	ENSPVAP00000015948
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	ENSPVAP00000015064
ENSG00000163606	ENST00000308611	ENSPVAP00000006850
ENSG00000174667	ENST00000308682	ENSPVAP00000014011
ENSG00000174667	ENST00000308682	ENSPVAP00000015618
ENSG00000056291	ENST00000308744	ENSPVAP00000006152
ENSG00000172519	ENST00000308940	ENSPVAP00000016083
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSPVAP00000015764
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSPVAP00000012599
ENSG00000174946	ENST00000309180	ENSPVAP00000012598
ENSG00000173578	ENST00000309285	ENSPVAP00000009615
ENSG00000172769	ENST00000309403	ENSPVAP00000013992
ENSG00000172774	ENST00000309433	ENSPVAP00000005437
ENSG00000163485	ENST00000309502	ENSPVAP00000003040
ENSG00000173391	ENST00000309539	ENSPVAP00000006235
ENSG00000175619	ENST00000309562	
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSPVAP00000008579
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSPVAP00000003608
ENSG00000197376	ENST00000310194	ENSPVAP00000009102
ENSG00000172640	ENST00000310248	ENSPVAP00000004006
ENSG00000173612	ENST00000310357	ENSPVAP00000009338
ENSG00000088053	ENST00000310373	ENSPVAP00000010052
ENSG00000121716	ENST00000310771	ENSPVAP00000011303
ENSG00000173250	ENST00000311104	ENSPVAP00000005500
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSPVAP00000015836
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	ENSPVAP00000002267
ENSG00000173567	ENST00000311519	ENSPVAP00000002681
ENSG00000166206	ENST00000311550	ENSPVAP00000007349
ENSG00000186513	ENST00000311591	ENSPVAP00000005438
ENSG00000174837	ENST00000312053	ENSPVAP00000016896
ENSG00000174600	ENST00000312143	ENSPVAP00000012634
ENSG00000174914	ENST00000312153	
ENSG00000174937	ENST00000312240	ENSPVAP00000001065
ENSG00000174942	ENST00000312253	ENSPVAP00000015307
ENSG00000110195	ENST00000312293	
ENSG00000174957	ENST00000312298	
ENSG00000174970	ENST00000312345	ENSPVAP00000009689
ENSG00000174970	ENST00000312345	ENSPVAP00000015020
ENSG00000174970	ENST00000312345	ENSPVAP00000000421
ENSG00000174970	ENST00000312345	ENSPVAP00000008772
ENSG00000174970	ENST00000312345	ENSPVAP00000014398
ENSG00000174970	ENST00000312345	ENSPVAP00000010233
ENSG00000174970	ENST00000312345	ENSPVAP00000005710
ENSG00000174970	ENST00000312345	ENSPVAP00000016552
ENSG00000174970	ENST00000312345	ENSPVAP00000015436
ENSG00000174970	ENST00000312345	ENSPVAP00000016059
ENSG00000174970	ENST00000312345	ENSPVAP00000008133
ENSG00000174970	ENST00000312345	ENSPVAP00000014399
ENSG00000174982	ENST00000312422	
ENSG00000175514	ENST00000312457	
ENSG00000226288	ENST00000312614	ENSPVAP00000016048
ENSG00000173762	ENST00000312648	ENSPVAP00000008532
ENSG00000181689	ENST00000312711	
ENSG00000181693	ENST00000313022	
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSPVAP00000014362
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSPVAP00000013834
ENSG00000181752	ENST00000313447	ENSPVAP00000002602
ENSG00000181761	ENST00000313472	
ENSG00000181767	ENST00000313503	
ENSG00000181785	ENST00000313555	ENSPVAP00000014539
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	
ENSG00000179546	ENST00000314113	ENSPVAP00000013388
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	ENSPVAP00000005401
ENSG00000181927	ENST00000314612	ENSPVAP00000005514
ENSG00000181935	ENST00000314634	
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	ENSPVAP00000003358
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	ENSPVAP00000002259
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	
ENSG00000176198	ENST00000315409	ENSPVAP00000007646
ENSG00000176198	ENST00000315409	ENSPVAP00000006997
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSPVAP00000007644
ENSG00000176219	ENST00000315519	ENSPVAP00000014253
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	ENSPVAP00000012193
ENSG00000176246	ENST00000315683	ENSPVAP00000010512
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	ENSPVAP00000004545
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	ENSPVAP00000001620
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	ENSPVAP00000010918
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	ENSPVAP00000011517
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	ENSPVAP00000013571
ENSG00000181001	ENST00000317078	
