Ensembl Gene ID	Ensembl Transcript ID	Squirrel Ensembl Protein ID
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	
ENSG00000127364	ENST00000247881	ENSSTOP00000006263
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSSTOP00000006669
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	ENSSTOP00000002766
ENSG00000127780	ENST00000248384	ENSSTOP00000008768
ENSG00000127780	ENST00000248384	ENSSTOP00000001180
ENSG00000127780	ENST00000248384	ENSSTOP00000001178
ENSG00000127780	ENST00000248384	ENSSTOP00000002778
ENSG00000127780	ENST00000248384	ENSSTOP00000008676
ENSG00000128285	ENST00000249016	ENSSTOP00000008992
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSSTOP00000010265
ENSG00000128617	ENST00000249389	
ENSG00000129048	ENST00000249887	
ENSG00000129749	ENST00000250699	ENSSTOP00000000648
ENSG00000130164	ENST00000252444	ENSSTOP00000007173
ENSG00000130202	ENST00000252483	ENSSTOP00000008062
ENSG00000130234	ENST00000252519	ENSSTOP00000005914
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	ENSSTOP00000012366
ENSG00000131477	ENST00000253796	
ENSG00000132329	ENST00000254661	ENSSTOP00000007858
ENSG00000132334	ENST00000254667	ENSSTOP00000005385
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSSTOP00000000132
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSSTOP00000000360
ENSG00000133019	ENST00000255380	
ENSG00000133800	ENST00000256178	ENSSTOP00000012166
ENSG00000134061	ENST00000256447	
ENSG00000134243	ENST00000256637	ENSSTOP00000010055
ENSG00000134250	ENST00000256646	ENSSTOP00000004190
ENSG00000134489	ENST00000256906	ENSSTOP00000009719
ENSG00000134640	ENST00000257068	ENSSTOP00000007925
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSSTOP00000010162
ENSG00000135409	ENST00000257863	ENSSTOP00000003225
ENSG00000135424	ENST00000257879	ENSSTOP00000009265
ENSG00000135577	ENST00000258042	ENSSTOP00000006114
ENSG00000135902	ENST00000258385	ENSSTOP00000003108
ENSG00000135914	ENST00000258400	ENSSTOP00000008402
ENSG00000135960	ENST00000258443	
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSSTOP00000000654
ENSG00000136834	ENST00000259357	ENSSTOP00000000597
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSSTOP00000003715
ENSG00000136939	ENST00000259466	ENSSTOP00000005145
ENSG00000136960	ENST00000259486	ENSSTOP00000001734
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSSTOP00000002350
ENSG00000137642	ENST00000260197	ENSSTOP00000003248
ENSG00000138271	ENST00000260843	ENSSTOP00000006332
ENSG00000138435	ENST00000261007	ENSSTOP00000003845
ENSG00000138448	ENST00000261023	ENSSTOP00000002972
ENSG00000069431	ENST00000261200	ENSSTOP00000001365
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSSTOP00000013745
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	ENSSTOP00000003613
ENSG00000073060	ENST00000261693	
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	
ENSG00000067141	ENST00000261908	ENSSTOP00000011004
ENSG00000037280	ENST00000261937	ENSSTOP00000008902
ENSG00000038945	ENST00000262101	ENSSTOP00000003620
ENSG00000106018	ENST00000262178	
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSSTOP00000014436
ENSG00000005961	ENST00000262407	ENSSTOP00000003823
ENSG00000065325	ENST00000262441	ENSSTOP00000009632
ENSG00000105707	ENST00000262626	
ENSG00000075275	ENST00000262738	ENSSTOP00000009882
ENSG00000105737	ENST00000262895	ENSSTOP00000010769
ENSG00000088812	ENST00000262919	ENSSTOP00000000689
ENSG00000083457	ENST00000263087	ENSSTOP00000001863
ENSG00000105464	ENST00000263269	
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	ENSSTOP00000007658
ENSG00000104998	ENST00000263379	ENSSTOP00000007796
ENSG00000113594	ENST00000263409	ENSSTOP00000011282
ENSG00000054219	ENST00000263636	ENSSTOP00000014264
ENSG00000115170	ENST00000263640	ENSSTOP00000004216
ENSG00000092445	ENST00000263798	ENSSTOP00000013763
ENSG00000062524	ENST00000263800	ENSSTOP00000007522
ENSG00000081479	ENST00000263816	ENSSTOP00000008942
ENSG00000128052	ENST00000263923	ENSSTOP00000014480
ENSG00000120949	ENST00000263932	ENSSTOP00000011867
ENSG00000110400	ENST00000264025	ENSSTOP00000000291
ENSG00000121594	ENST00000264246	ENSSTOP00000003509
ENSG00000115598	ENST00000264257	ENSSTOP00000003717
ENSG00000109158	ENST00000264318	ENSSTOP00000001738
ENSG00000125675	ENST00000264357	ENSSTOP00000008176
ENSG00000109738	ENST00000264428	ENSSTOP00000005111
ENSG00000108797	ENST00000264638	ENSSTOP00000003369
ENSG00000144668	ENST00000264741	ENSSTOP00000008449
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSSTOP00000008565
ENSG00000099250	ENST00000265371	ENSSTOP00000012083
ENSG00000082556	ENST00000265572	ENSSTOP00000010490
ENSG00000139193	ENST00000266557	ENSSTOP00000006647
ENSG00000139292	ENST00000266674	ENSSTOP00000002352
ENSG00000139572	ENST00000267015	ENSSTOP00000013148
ENSG00000065361	ENST00000267101	ENSSTOP00000006900
ENSG00000139636	ENST00000267102	ENSSTOP00000007865
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSSTOP00000010241
ENSG00000140678	ENST00000268296	ENSSTOP00000002879
ENSG00000140749	ENST00000268389	ENSSTOP00000005697
ENSG00000141194	ENST00000268912	ENSSTOP00000014219
ENSG00000141458	ENST00000269228	ENSSTOP00000005919
ENSG00000141505	ENST00000269299	ENSSTOP00000007657
ENSG00000141655	ENST00000269485	
ENSG00000141736	ENST00000269571	ENSSTOP00000003374
ENSG00000142166	ENST00000270139	ENSSTOP00000013438
ENSG00000187244	ENST00000270233	ENSSTOP00000007053
ENSG00000142511	ENST00000270590	ENSSTOP00000005599
ENSG00000143126	ENST00000271332	ENSSTOP00000010037
ENSG00000143226	ENST00000271450	ENSSTOP00000004145
ENSG00000163518	ENST00000271532	ENSSTOP00000013294
ENSG00000144136	ENST00000272542	ENSSTOP00000007344
ENSG00000144407	ENST00000272847	
ENSG00000144476	ENST00000272928	
ENSG00000144820	ENST00000273352	ENSSTOP00000008592
ENSG00000145103	ENST00000273691	ENSSTOP00000009039
ENSG00000145242	ENST00000273854	ENSSTOP00000010471
ENSG00000145244	ENST00000273857	ENSSTOP00000001120
ENSG00000145451	ENST00000274093	ENSSTOP00000005274
ENSG00000145623	ENST00000274276	ENSSTOP00000005096
ENSG00000145863	ENST00000274545	ENSSTOP00000012334
ENSG00000146360	ENST00000275169	ENSSTOP00000010325
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSSTOP00000006038
ENSG00000146904	ENST00000275815	ENSSTOP00000004592
ENSG00000147138	ENST00000276077	ENSSTOP00000009211
ENSG00000147246	ENST00000276198	ENSSTOP00000012683
ENSG00000147262	ENST00000276218	ENSSTOP00000013780
ENSG00000147434	ENST00000276410	ENSSTOP00000001864
ENSG00000120889	ENST00000276431	ENSSTOP00000001291
ENSG00000147650	ENST00000276654	ENSSTOP00000011715
ENSG00000148136	ENST00000277216	ENSSTOP00000013483
ENSG00000165204	ENST00000277309	ENSSTOP00000009558
ENSG00000148734	ENST00000277942	
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSSTOP00000006999
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSSTOP00000000825
ENSG00000150261	ENST00000279783	ENSSTOP00000006032
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSSTOP00000006652
ENSG00000150938	ENST00000280527	ENSSTOP00000004431
ENSG00000151490	ENST00000281171	ENSSTOP00000010775
ENSG00000116106	ENST00000281821	ENSSTOP00000002692
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSSTOP00000008224
ENSG00000152578	ENST00000282499	ENSSTOP00000000235
ENSG00000213949	ENST00000282588	ENSSTOP00000009491
ENSG00000153230	ENST00000283225	ENSSTOP00000006622
ENSG00000153233	ENST00000283228	ENSSTOP00000011775
ENSG00000153246	ENST00000283243	ENSSTOP00000007346
ENSG00000115221	ENST00000283249	ENSSTOP00000007370
ENSG00000153563	ENST00000283635	ENSSTOP00000010260
ENSG00000196119	ENST00000284287	
ENSG00000154165	ENST00000284311	
ENSG00000154309	ENST00000284476	ENSSTOP00000007117
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	
ENSG00000155249	ENST00000285600	
ENSG00000155511	ENST00000285900	ENSSTOP00000007848
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	
ENSG00000157219	ENST00000287907	ENSSTOP00000013043
ENSG00000157240	ENST00000287934	ENSSTOP00000012081
ENSG00000157404	ENST00000288135	ENSSTOP00000000677
ENSG00000056736	ENST00000288167	ENSSTOP00000000448
ENSG00000173285	ENST00000289451	ENSSTOP00000004353
ENSG00000015520	ENST00000289547	ENSSTOP00000000415
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	ENSSTOP00000005835
ENSG00000147432	ENST00000289957	ENSSTOP00000001860
ENSG00000243646	ENST00000290200	ENSSTOP00000001140
ENSG00000159128	ENST00000290219	ENSSTOP00000000477
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	ENSSTOP00000012857
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSSTOP00000001496
ENSG00000160951	ENST00000292513	ENSSTOP00000012352
ENSG00000161509	ENST00000293190	ENSSTOP00000008632
ENSG00000161638	ENST00000293379	ENSSTOP00000007228
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSSTOP00000008376
ENSG00000108556	ENST00000293780	ENSSTOP00000010011
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	
ENSG00000153208	ENST00000295408	ENSSTOP00000005610
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSSTOP00000007711
ENSG00000163288	ENST00000295454	ENSSTOP00000007686
ENSG00000163394	ENST00000295589	
ENSG00000163464	ENST00000295683	ENSSTOP00000011701
ENSG00000054356	ENST00000295718	ENSSTOP00000010349
ENSG00000163702	ENST00000295981	ENSSTOP00000001932
ENSG00000163785	ENST00000296084	ENSSTOP00000000162
ENSG00000163823	ENST00000296140	
ENSG00000082781	ENST00000296181	
ENSG00000163914	ENST00000296271	ENSSTOP00000003947
ENSG00000164078	ENST00000296474	ENSSTOP00000004005
ENSG00000120251	ENST00000296526	ENSSTOP00000009894
ENSG00000164128	ENST00000296533	ENSSTOP00000006423
ENSG00000164171	ENST00000296585	ENSSTOP00000009514
ENSG00000164220	ENST00000296641	
ENSG00000164251	ENST00000296677	ENSSTOP00000006985
ENSG00000164342	ENST00000296795	ENSSTOP00000008911
ENSG00000146072	ENST00000296861	ENSSTOP00000003833
ENSG00000164393	ENST00000296862	
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	ENSSTOP00000001796
ENSG00000133105	ENST00000298386	ENSSTOP00000009555
ENSG00000165621	ENST00000298440	ENSSTOP00000001429
ENSG00000165682	ENST00000298527	
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSSTOP00000013965
ENSG00000166148	ENST00000299178	
ENSG00000166363	ENST00000299454	ENSSTOP00000012020
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	ENSSTOP00000006830
ENSG00000166573	ENST00000299727	ENSSTOP00000006305
ENSG00000166603	ENST00000299766	ENSSTOP00000000276
ENSG00000166682	ENST00000299882	ENSSTOP00000007867
ENSG00000166825	ENST00000300060	ENSSTOP00000004601
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	ENSSTOP00000009701
ENSG00000167286	ENST00000300692	
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	ENSSTOP00000001430
ENSG00000167822	ENST00000301529	ENSSTOP00000005892
ENSG00000167822	ENST00000301529	ENSSTOP00000002716
ENSG00000167825	ENST00000301532	ENSSTOP00000012518
ENSG00000172320	ENST00000302030	ENSSTOP00000011673
ENSG00000117090	ENST00000302035	ENSSTOP00000006465
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSSTOP00000005884
ENSG00000172208	ENST00000302329	ENSSTOP00000002684
ENSG00000172208	ENST00000302329	ENSSTOP00000009133
ENSG00000171522	ENST00000302472	ENSSTOP00000007240
ENSG00000171657	ENST00000302548	
ENSG00000172362	ENST00000302572	ENSSTOP00000014115
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	
ENSG00000172377	ENST00000302610	ENSSTOP00000013394
ENSG00000197532	ENST00000302617	ENSSTOP00000004357
ENSG00000172381	ENST00000302622	
ENSG00000169313	ENST00000302632	ENSSTOP00000009448
ENSG00000150995	ENST00000302640	ENSSTOP00000010812
ENSG00000171133	ENST00000302681	ENSSTOP00000000890
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSSTOP00000000977
ENSG00000169992	ENST00000302926	ENSSTOP00000000299
ENSG00000172457	ENST00000302957	ENSSTOP00000000501
ENSG00000172459	ENST00000302969	
ENSG00000172464	ENST00000302981	ENSSTOP00000007596
ENSG00000172487	ENST00000303039	ENSSTOP00000005892
ENSG00000172487	ENST00000303039	ENSSTOP00000002716
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSSTOP00000010430
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	
ENSG00000169604	ENST00000303714	ENSSTOP00000009309
ENSG00000169618	ENST00000303786	ENSSTOP00000009274
ENSG00000170775	ENST00000303921	ENSSTOP00000007847
ENSG00000172243	ENST00000304084	ENSSTOP00000014310
ENSG00000172146	ENST00000304094	ENSSTOP00000008069
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSSTOP00000011894
ENSG00000170425	ENST00000304222	ENSSTOP00000003790
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	ENSSTOP00000008270
ENSG00000169676	ENST00000304374	ENSSTOP00000009990
ENSG00000172209	ENST00000304402	
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSSTOP00000011737
ENSG00000171459	ENST00000304720	ENSSTOP00000005145
ENSG00000171051	ENST00000304748	ENSSTOP00000005834
ENSG00000171481	ENST00000304820	ENSSTOP00000005152
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	ENSSTOP00000007190
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSSTOP00000008453
ENSG00000169860	ENST00000305097	
ENSG00000171596	ENST00000305141	
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSSTOP00000009937
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSSTOP00000005938
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	
ENSG00000168229	ENST00000306051	
ENSG00000157193	ENST00000306052	ENSSTOP00000001128
ENSG00000170175	ENST00000306071	ENSSTOP00000000304
ENSG00000170214	ENST00000306675	ENSSTOP00000009876
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	ENSSTOP00000008968
ENSG00000168539	ENST00000306960	ENSSTOP00000004039
ENSG00000171014	ENST00000307033	ENSSTOP00000001881
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000170790	ENST00000307322	ENSSTOP00000012020
ENSG00000171944	ENST00000307388	ENSSTOP00000005950
ENSG00000170803	ENST00000307401	ENSSTOP00000006334
ENSG00000172289	ENST00000307552	ENSSTOP00000012345
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSSTOP00000004383
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	ENSSTOP00000001887
ENSG00000174667	ENST00000308682	ENSSTOP00000014465
ENSG00000056291	ENST00000308744	
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	
ENSG00000172938	ENST00000309106	ENSSTOP00000004077
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSSTOP00000000658
ENSG00000174946	ENST00000309180	
ENSG00000173578	ENST00000309285	
ENSG00000172769	ENST00000309403	ENSSTOP00000004160
ENSG00000172769	ENST00000309403	ENSSTOP00000014563
ENSG00000172769	ENST00000309403	ENSSTOP00000004151
ENSG00000172774	ENST00000309433	
ENSG00000163485	ENST00000309502	
ENSG00000173391	ENST00000309539	
ENSG00000175619	ENST00000309562	ENSSTOP00000003518
ENSG00000175619	ENST00000309562	ENSSTOP00000013278
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSSTOP00000001567
ENSG00000175393	ENST00000309838	ENSSTOP00000007036
ENSG00000175393	ENST00000309838	ENSSTOP00000014248
ENSG00000173302	ENST00000309926	ENSSTOP00000004597
ENSG00000174343	ENST00000310169	ENSSTOP00000012375
ENSG00000197376	ENST00000310194	ENSSTOP00000006275
ENSG00000172640	ENST00000310248	ENSSTOP00000001747
ENSG00000173612	ENST00000310357	ENSSTOP00000011074
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSSTOP00000006451
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	ENSSTOP00000011886
ENSG00000173567	ENST00000311519	ENSSTOP00000001447
ENSG00000166206	ENST00000311550	ENSSTOP00000012982
ENSG00000186513	ENST00000311591	
ENSG00000174837	ENST00000312053	ENSSTOP00000013226
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	
ENSG00000110195	ENST00000312293	ENSSTOP00000009750
ENSG00000174957	ENST00000312298	ENSSTOP00000005929
ENSG00000174970	ENST00000312345	ENSSTOP00000013334
ENSG00000174970	ENST00000312345	ENSSTOP00000013056
ENSG00000174982	ENST00000312422	ENSSTOP00000013079
ENSG00000175514	ENST00000312457	
ENSG00000226288	ENST00000312614	ENSSTOP00000012668
ENSG00000173762	ENST00000312648	
ENSG00000181689	ENST00000312711	ENSSTOP00000002707
ENSG00000181689	ENST00000312711	ENSSTOP00000013187
ENSG00000181689	ENST00000312711	ENSSTOP00000003672
ENSG00000181689	ENST00000312711	ENSSTOP00000009126
ENSG00000181689	ENST00000312711	ENSSTOP00000008235
ENSG00000181689	ENST00000312711	ENSSTOP00000013183
ENSG00000181693	ENST00000313022	ENSSTOP00000003295
ENSG00000181693	ENST00000313022	ENSSTOP00000002661
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSSTOP00000006688
ENSG00000181752	ENST00000313447	ENSSTOP00000005921
ENSG00000181761	ENST00000313472	ENSSTOP00000003295
ENSG00000181761	ENST00000313472	ENSSTOP00000002661
ENSG00000181767	ENST00000313503	ENSSTOP00000003295
ENSG00000181767	ENST00000313503	ENSSTOP00000002661
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	ENSSTOP00000005618
ENSG00000176495	ENST00000313940	
ENSG00000179546	ENST00000314113	ENSSTOP00000006071
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	ENSSTOP00000001057
ENSG00000181927	ENST00000314612	
ENSG00000181935	ENST00000314634	ENSSTOP00000001535
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	ENSSTOP00000006660
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSSTOP00000005044
ENSG00000176198	ENST00000315409	
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	ENSSTOP00000008726
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	ENSSTOP00000001194
ENSG00000244623	ENST00000316368	ENSSTOP00000000967
ENSG00000244623	ENST00000316368	ENSSTOP00000007615
ENSG00000244623	ENST00000316368	ENSSTOP00000013485
ENSG00000244623	ENST00000316368	ENSSTOP00000010440
ENSG00000244623	ENST00000316368	ENSSTOP00000009885
ENSG00000244623	ENST00000316368	ENSSTOP00000005227
ENSG00000244623	ENST00000316368	ENSSTOP00000003640
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	ENSSTOP00000013402
ENSG00000180914	ENST00000316793	
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	ENSSTOP00000010849
ENSG00000181001	ENST00000317078	ENSSTOP00000005009
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	ENSSTOP00000002922
ENSG00000161649	ENST00000317310	ENSSTOP00000006523
ENSG00000177151	ENST00000317450	ENSSTOP00000006490
ENSG00000168995	ENST00000317643	ENSSTOP00000011972
ENSG00000168995	ENST00000317643	ENSSTOP00000013714
ENSG00000168995	ENST00000317643	ENSSTOP00000006877
ENSG00000175898	ENST00000317726	
ENSG00000180245	ENST00000317735	
ENSG00000178358	ENST00000317834	ENSSTOP00000009430
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	ENSSTOP00000003255
ENSG00000177275	ENST00000318244	ENSSTOP00000007971
ENSG00000178084	ENST00000318351	
ENSG00000105976	ENST00000318493	ENSSTOP00000012945
ENSG00000180871	ENST00000318507	ENSSTOP00000011696
ENSG00000197309	ENST00000318666	ENSSTOP00000012091
ENSG00000177535	ENST00000318749	ENSSTOP00000010142
ENSG00000179055	ENST00000318763	ENSSTOP00000011430
