Ensembl Gene ID	Ensembl Transcript ID	Pig Ensembl Protein ID
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSSSCP00000007579
ENSG00000125910	ENST00000246115	ENSSSCP00000014321
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	ENSSSCP00000003102
ENSG00000126266	ENST00000246553	ENSSSCP00000003115
ENSG00000126353	ENST00000246657	ENSSSCP00000018509
ENSG00000127364	ENST00000247881	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSSSCP00000014705
ENSG00000127529	ENST00000248072	ENSSSCP00000014699
ENSG00000127529	ENST00000248072	ENSSSCP00000014696
ENSG00000127529	ENST00000248072	ENSSSCP00000014687
ENSG00000127529	ENST00000248072	ENSSSCP00000014700
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSSSCP00000014742
ENSG00000127780	ENST00000248384	ENSSSCP00000018917
ENSG00000127780	ENST00000248384	ENSSSCP00000018914
ENSG00000128285	ENST00000249016	ENSSSCP00000000079
ENSG00000128310	ENST00000249041	ENSSSCP00000000125
ENSG00000128519	ENST00000249284	ENSSSCP00000017595
ENSG00000128602	ENST00000249373	ENSSSCP00000017553
ENSG00000128617	ENST00000249389	ENSSSCP00000017565
ENSG00000129048	ENST00000249887	ENSSSCP00000012393
ENSG00000129749	ENST00000250699	ENSSSCP00000015715
ENSG00000130164	ENST00000252444	ENSSSCP00000014482
ENSG00000130202	ENST00000252483	ENSSSCP00000003346
ENSG00000130234	ENST00000252519	ENSSSCP00000012921
ENSG00000130368	ENST00000252660	ENSSSCP00000004371
ENSG00000130529	ENST00000252826	
ENSG00000130538	ENST00000252835	ENSSSCP00000002817
ENSG00000130538	ENST00000252835	ENSSSCP00000002812
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	ENSSSCP00000018424
ENSG00000132329	ENST00000254661	ENSSSCP00000017303
ENSG00000132334	ENST00000254667	ENSSSCP00000011465
ENSG00000132517	ENST00000254853	ENSSSCP00000006317
ENSG00000132518	ENST00000254854	ENSSSCP00000019044
ENSG00000132671	ENST00000255008	
ENSG00000132911	ENST00000255262	ENSSSCP00000018092
ENSG00000133019	ENST00000255380	
ENSG00000133800	ENST00000256178	
ENSG00000134061	ENST00000256447	ENSSSCP00000017966
ENSG00000134243	ENST00000256637	ENSSSCP00000007286
ENSG00000134250	ENST00000256646	ENSSSCP00000007154
ENSG00000134489	ENST00000256906	ENSSSCP00000004022
ENSG00000134640	ENST00000257068	ENSSSCP00000015860
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSSSCP00000003370
ENSG00000134853	ENST00000257290	ENSSSCP00000009429
ENSG00000135409	ENST00000257863	ENSSSCP00000000285
ENSG00000135424	ENST00000257879	ENSSSCP00000000374
ENSG00000135577	ENST00000258042	ENSSSCP00000004473
ENSG00000135902	ENST00000258385	ENSSSCP00000017255
ENSG00000135914	ENST00000258400	ENSSSCP00000017240
ENSG00000135960	ENST00000258443	ENSSSCP00000008685
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSSSCP00000000970
ENSG00000136834	ENST00000259357	ENSSSCP00000005949
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSSSCP00000005770
ENSG00000136939	ENST00000259466	ENSSSCP00000005945
ENSG00000136939	ENST00000259466	ENSSSCP00000005950
ENSG00000136960	ENST00000259486	ENSSSCP00000006410
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSSSCP00000009606
ENSG00000149305	ENST00000260191	ENSSSCP00000015978
ENSG00000137642	ENST00000260197	ENSSSCP00000016058
ENSG00000138271	ENST00000260843	ENSSSCP00000012487
ENSG00000138435	ENST00000261007	ENSSSCP00000016922
ENSG00000138448	ENST00000261023	ENSSSCP00000016983
ENSG00000069431	ENST00000261200	ENSSSCP00000000600
ENSG00000069493	ENST00000261340	ENSSSCP00000000698
ENSG00000070018	ENST00000261349	ENSSSCP00000000656
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	ENSSSCP00000010407
ENSG00000073060	ENST00000261693	ENSSSCP00000010421
ENSG00000117971	ENST00000261751	ENSSSCP00000001910
ENSG00000113721	ENST00000261799	ENSSSCP00000015372
ENSG00000067141	ENST00000261908	ENSSSCP00000002100
ENSG00000037280	ENST00000261937	ENSSSCP00000014892
ENSG00000038945	ENST00000262101	ENSSSCP00000007437
ENSG00000106018	ENST00000262178	ENSSSCP00000017379
ENSG00000105383	ENST00000262262	ENSSSCP00000003502
ENSG00000081985	ENST00000262345	ENSSSCP00000004110
ENSG00000005961	ENST00000262407	ENSSSCP00000018392
ENSG00000065325	ENST00000262441	ENSSSCP00000019068
ENSG00000105707	ENST00000262626	
ENSG00000075275	ENST00000262738	
ENSG00000105737	ENST00000262895	ENSSSCP00000003293
ENSG00000105737	ENST00000262895	ENSSSCP00000003291
ENSG00000088812	ENST00000262919	ENSSSCP00000007616
ENSG00000083457	ENST00000263087	ENSSSCP00000018928
ENSG00000105464	ENST00000263269	ENSSSCP00000003391
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	
ENSG00000104998	ENST00000263379	ENSSSCP00000014635
ENSG00000113594	ENST00000263409	ENSSSCP00000017854
ENSG00000054219	ENST00000263636	
ENSG00000115170	ENST00000263640	ENSSSCP00000016823
ENSG00000092445	ENST00000263798	ENSSSCP00000005116
ENSG00000062524	ENST00000263800	
ENSG00000081479	ENST00000263816	ENSSSCP00000016880
ENSG00000081479	ENST00000263816	ENSSSCP00000016881
ENSG00000128052	ENST00000263923	ENSSSCP00000009434
ENSG00000120949	ENST00000263932	ENSSSCP00000003728
ENSG00000110400	ENST00000264025	ENSSSCP00000016048
ENSG00000110400	ENST00000264025	ENSSSCP00000016047
ENSG00000121594	ENST00000264246	ENSSSCP00000012679
ENSG00000115598	ENST00000264257	ENSSSCP00000008711
ENSG00000109158	ENST00000264318	
ENSG00000125675	ENST00000264357	ENSSSCP00000013438
ENSG00000109738	ENST00000264428	ENSSSCP00000009464
ENSG00000108797	ENST00000264638	ENSSSCP00000018415
ENSG00000144668	ENST00000264741	ENSSSCP00000011991
ENSG00000090339	ENST00000264832	ENSSSCP00000014518
ENSG00000138760	ENST00000264896	ENSSSCP00000009582
ENSG00000099250	ENST00000265371	ENSSSCP00000011839
ENSG00000082556	ENST00000265572	ENSSSCP00000006677
ENSG00000139193	ENST00000266557	ENSSSCP00000000751
ENSG00000139292	ENST00000266674	
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	
ENSG00000139636	ENST00000267102	ENSSSCP00000000198
ENSG00000139874	ENST00000267377	ENSSSCP00000002119
ENSG00000140443	ENST00000268035	ENSSSCP00000005181
ENSG00000140678	ENST00000268296	
ENSG00000140749	ENST00000268389	
ENSG00000141194	ENST00000268912	ENSSSCP00000018687
ENSG00000141458	ENST00000269228	ENSSSCP00000004014
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	ENSSSCP00000005269
ENSG00000141736	ENST00000269571	ENSSSCP00000018545
ENSG00000142166	ENST00000270139	
ENSG00000187244	ENST00000270233	
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	
ENSG00000143226	ENST00000271450	ENSSSCP00000006770
ENSG00000163518	ENST00000271532	ENSSSCP00000006883
ENSG00000144136	ENST00000272542	ENSSSCP00000008641
ENSG00000144407	ENST00000272847	ENSSSCP00000017107
ENSG00000144476	ENST00000272928	ENSSSCP00000017294
ENSG00000144820	ENST00000273352	ENSSSCP00000012744
ENSG00000145103	ENST00000273691	
ENSG00000145242	ENST00000273854	ENSSSCP00000009514
ENSG00000145244	ENST00000273857	ENSSSCP00000009394
ENSG00000145451	ENST00000274093	ENSSSCP00000010357
ENSG00000145623	ENST00000274276	ENSSSCP00000017855
ENSG00000145863	ENST00000274545	ENSSSCP00000018039
ENSG00000146360	ENST00000275169	ENSSSCP00000004754
ENSG00000146399	ENST00000275216	ENSSSCP00000004515
ENSG00000146648	ENST00000275493	
ENSG00000146904	ENST00000275815	ENSSSCP00000017441
ENSG00000147138	ENST00000276077	ENSSSCP00000013246
ENSG00000147246	ENST00000276198	ENSSSCP00000013392
ENSG00000147262	ENST00000276218	ENSSSCP00000013460
ENSG00000147434	ENST00000276410	
ENSG00000120889	ENST00000276431	ENSSSCP00000010288
ENSG00000120889	ENST00000276431	ENSSSCP00000010284
ENSG00000120889	ENST00000276431	ENSSSCP00000010289
ENSG00000120889	ENST00000276431	ENSSSCP00000010286
ENSG00000147650	ENST00000276654	ENSSSCP00000006452
ENSG00000148136	ENST00000277216	ENSSSCP00000005807
ENSG00000148136	ENST00000277216	ENSSSCP00000005806
ENSG00000148136	ENST00000277216	ENSSSCP00000005804
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSSSCP00000010944
ENSG00000149133	ENST00000278409	ENSSSCP00000006209
ENSG00000149534	ENST00000278888	ENSSSCP00000013933
ENSG00000150045	ENST00000279544	ENSSSCP00000000696
ENSG00000150086	ENST00000279593	ENSSSCP00000000645
ENSG00000150261	ENST00000279783	ENSSSCP00000006222
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	ENSSSCP00000011323
ENSG00000150637	ENST00000280200	ENSSSCP00000005253
ENSG00000150637	ENST00000280200	ENSSSCP00000005251
ENSG00000150637	ENST00000280200	ENSSSCP00000005252
ENSG00000150938	ENST00000280527	ENSSSCP00000009068
ENSG00000150938	ENST00000280527	ENSSSCP00000009070
ENSG00000151490	ENST00000281171	ENSSSCP00000000631
ENSG00000116106	ENST00000281821	ENSSSCP00000017193
ENSG00000116106	ENST00000281821	ENSSSCP00000017194
ENSG00000152207	ENST00000282018	ENSSSCP00000010030
ENSG00000152208	ENST00000282020	ENSSSCP00000009806
ENSG00000152578	ENST00000282499	
ENSG00000213949	ENST00000282588	ENSSSCP00000017893
ENSG00000153230	ENST00000283225	ENSSSCP00000014830
ENSG00000153233	ENST00000283228	
ENSG00000153246	ENST00000283243	ENSSSCP00000016834
ENSG00000115221	ENST00000283249	ENSSSCP00000016835
ENSG00000115221	ENST00000283249	ENSSSCP00000016836
ENSG00000153563	ENST00000283635	ENSSSCP00000008773
ENSG00000196119	ENST00000284287	ENSSSCP00000016114
ENSG00000196119	ENST00000284287	ENSSSCP00000016115
ENSG00000154165	ENST00000284311	ENSSSCP00000012763
ENSG00000154309	ENST00000284476	ENSSSCP00000011554
ENSG00000154478	ENST00000284674	ENSSSCP00000011436
ENSG00000154639	ENST00000284878	ENSSSCP00000012795
ENSG00000155249	ENST00000285600	ENSSSCP00000002802
ENSG00000155249	ENST00000285600	ENSSSCP00000002391
ENSG00000155249	ENST00000285600	ENSSSCP00000002363
ENSG00000155249	ENST00000285600	ENSSSCP00000002397
ENSG00000155249	ENST00000285600	ENSSSCP00000014012
ENSG00000155511	ENST00000285900	
ENSG00000155760	ENST00000286201	ENSSSCP00000017070
ENSG00000182578	ENST00000286301	ENSSSCP00000015371
ENSG00000157219	ENST00000287907	ENSSSCP00000017402
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSSSCP00000009430
ENSG00000056736	ENST00000288167	ENSSSCP00000012210
ENSG00000173285	ENST00000289451	ENSSSCP00000006867
ENSG00000015520	ENST00000289547	ENSSSCP00000017736
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	ENSSSCP00000006776
ENSG00000147432	ENST00000289957	
ENSG00000243646	ENST00000290200	
ENSG00000159128	ENST00000290219	
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	ENSSSCP00000003562
ENSG00000189430	ENST00000291890	ENSSSCP00000003559
ENSG00000189430	ENST00000291890	ENSSSCP00000003564
ENSG00000160683	ENST00000292174	ENSSSCP00000016021
ENSG00000121807	ENST00000292301	
ENSG00000160951	ENST00000292513	ENSSSCP00000014654
ENSG00000161509	ENST00000293190	ENSSSCP00000018254
ENSG00000161638	ENST00000293379	ENSSSCP00000000308
ENSG00000161807	ENST00000293614	ENSSSCP00000014572
ENSG00000161921	ENST00000293778	ENSSSCP00000018985
ENSG00000108556	ENST00000293780	ENSSSCP00000018971
ENSG00000162337	ENST00000294304	ENSSSCP00000013700
ENSG00000138039	ENST00000294954	ENSSSCP00000008987
ENSG00000153208	ENST00000295408	ENSSSCP00000008651
ENSG00000163251	ENST00000295417	ENSSSCP00000017100
ENSG00000163285	ENST00000295452	ENSSSCP00000009390
ENSG00000163288	ENST00000295454	
ENSG00000163394	ENST00000295589	
ENSG00000163464	ENST00000295683	ENSSSCP00000017143
ENSG00000163464	ENST00000295683	ENSSSCP00000017144
ENSG00000054356	ENST00000295718	ENSSSCP00000017181
ENSG00000163702	ENST00000295981	ENSSSCP00000012318
ENSG00000163785	ENST00000296084	ENSSSCP00000012409
ENSG00000163823	ENST00000296140	ENSSSCP00000012073
ENSG00000082781	ENST00000296181	ENSSSCP00000012634
ENSG00000163914	ENST00000296271	ENSSSCP00000012353
ENSG00000164078	ENST00000296474	
ENSG00000120251	ENST00000296526	
ENSG00000164128	ENST00000296533	ENSSSCP00000009480
ENSG00000164171	ENST00000296585	ENSSSCP00000017895
ENSG00000164220	ENST00000296641	ENSSSCP00000014981
ENSG00000164251	ENST00000296677	ENSSSCP00000014983
ENSG00000164342	ENST00000296795	ENSSSCP00000016744
ENSG00000146072	ENST00000296861	ENSSSCP00000001884
ENSG00000164393	ENST00000296862	
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	ENSSSCP00000013507
ENSG00000133105	ENST00000298386	ENSSSCP00000009965
ENSG00000165621	ENST00000298440	
ENSG00000165682	ENST00000298527	ENSSSCP00000000689
ENSG00000165762	ENST00000298642	ENSSSCP00000002804
ENSG00000165762	ENST00000298642	ENSSSCP00000002364
ENSG00000166073	ENST00000299092	ENSSSCP00000005156
ENSG00000166148	ENST00000299178	ENSSSCP00000000489
ENSG00000166363	ENST00000299454	ENSSSCP00000015536
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	ENSSSCP00000001908
ENSG00000166573	ENST00000299727	
ENSG00000166603	ENST00000299766	ENSSSCP00000005275
ENSG00000166682	ENST00000299882	ENSSSCP00000015974
ENSG00000166825	ENST00000300060	ENSSSCP00000002023
ENSG00000166856	ENST00000300098	ENSSSCP00000000444
ENSG00000166884	ENST00000300127	ENSSSCP00000013965
ENSG00000167286	ENST00000300692	ENSSSCP00000016016
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	ENSSSCP00000015614
ENSG00000167360	ENST00000300778	ENSSSCP00000015613
ENSG00000167601	ENST00000301178	ENSSSCP00000003255
ENSG00000167822	ENST00000301529	ENSSSCP00000015405
ENSG00000167822	ENST00000301529	ENSSSCP00000015417
ENSG00000167822	ENST00000301529	ENSSSCP00000015412
ENSG00000167822	ENST00000301529	ENSSSCP00000015404
ENSG00000167822	ENST00000301529	ENSSSCP00000015406
ENSG00000167822	ENST00000301529	ENSSSCP00000015418
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	
ENSG00000117090	ENST00000302035	ENSSSCP00000006801
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	ENSSSCP00000006212
ENSG00000172188	ENST00000302231	ENSSSCP00000015459
ENSG00000172188	ENST00000302231	ENSSSCP00000015458
ENSG00000172199	ENST00000302270	ENSSSCP00000015414
ENSG00000172208	ENST00000302329	ENSSSCP00000015439
ENSG00000172208	ENST00000302329	ENSSSCP00000015436
ENSG00000172208	ENST00000302329	ENSSSCP00000014042
ENSG00000172208	ENST00000302329	ENSSSCP00000014039
ENSG00000171522	ENST00000302472	
ENSG00000171657	ENST00000302548	ENSSSCP00000013040
ENSG00000172362	ENST00000302572	ENSSSCP00000013992
ENSG00000172365	ENST00000302581	ENSSSCP00000013993
ENSG00000197887	ENST00000302592	ENSSSCP00000013997
ENSG00000197887	ENST00000302592	ENSSSCP00000013990
ENSG00000172377	ENST00000302610	
ENSG00000197532	ENST00000302617	ENSSSCP00000006864
ENSG00000197532	ENST00000302617	ENSSSCP00000006858
ENSG00000172381	ENST00000302622	ENSSSCP00000014001
ENSG00000169313	ENST00000302632	ENSSSCP00000012485
ENSG00000150995	ENST00000302640	
ENSG00000171133	ENST00000302681	ENSSSCP00000005854
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSSSCP00000014414
ENSG00000171105	ENST00000302850	ENSSSCP00000014409
ENSG00000171105	ENST00000302850	ENSSSCP00000014416
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	ENSSSCP00000014030
ENSG00000172459	ENST00000302969	ENSSSCP00000015434
ENSG00000172464	ENST00000302981	ENSSSCP00000015433
ENSG00000172464	ENST00000302981	ENSSSCP00000014026
ENSG00000172487	ENST00000303039	ENSSSCP00000015405
ENSG00000172487	ENST00000303039	ENSSSCP00000015417
ENSG00000172487	ENST00000303039	ENSSSCP00000015412
ENSG00000172487	ENST00000303039	ENSSSCP00000015404
ENSG00000172487	ENST00000303039	ENSSSCP00000015406
ENSG00000172487	ENST00000303039	ENSSSCP00000015418
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSSSCP00000017831
ENSG00000168131	ENST00000303324	ENSSSCP00000001249
ENSG00000169208	ENST00000303532	ENSSSCP00000002306
ENSG00000169208	ENST00000303532	ENSSSCP00000002319
ENSG00000169208	ENST00000303532	ENSSSCP00000002311
ENSG00000169604	ENST00000303714	ENSSSCP00000008903
ENSG00000169618	ENST00000303786	
ENSG00000170775	ENST00000303921	ENSSSCP00000017583
ENSG00000172243	ENST00000304084	ENSSSCP00000000687
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSSSCP00000017660
ENSG00000170425	ENST00000304222	
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	ENSSSCP00000000692
ENSG00000169676	ENST00000304374	ENSSSCP00000009305
ENSG00000172209	ENST00000304402	ENSSSCP00000016373
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSSSCP00000008500
ENSG00000171459	ENST00000304720	ENSSSCP00000005945
ENSG00000171459	ENST00000304720	ENSSSCP00000005950
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSSSCP00000005947
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	ENSSSCP00000005932
ENSG00000171496	ENST00000304865	ENSSSCP00000005931
ENSG00000171496	ENST00000304865	ENSSSCP00000005966
ENSG00000171496	ENST00000304865	ENSSSCP00000005956
ENSG00000171496	ENST00000304865	ENSSSCP00000006274
ENSG00000171496	ENST00000304865	ENSSSCP00000005934
ENSG00000171496	ENST00000304865	ENSSSCP00000005963
ENSG00000171505	ENST00000304880	ENSSSCP00000006285
ENSG00000169836	ENST00000304883	ENSSSCP00000009769
ENSG00000168158	ENST00000304936	ENSSSCP00000008498
ENSG00000169484	ENST00000305045	ENSSSCP00000002360
ENSG00000169484	ENST00000305045	ENSSSCP00000014013
ENSG00000169484	ENST00000305045	ENSSSCP00000005287
ENSG00000169484	ENST00000305045	ENSSSCP00000002387
ENSG00000169484	ENST00000305045	ENSSSCP00000002797
ENSG00000169484	ENST00000305045	ENSSSCP00000002795
ENSG00000169488	ENST00000305051	ENSSSCP00000002800
ENSG00000169488	ENST00000305051	ENSSSCP00000002799
ENSG00000169488	ENST00000305051	ENSSSCP00000002362
ENSG00000169488	ENST00000305051	ENSSSCP00000002388
ENSG00000169488	ENST00000305051	ENSSSCP00000014018
ENSG00000169860	ENST00000305097	ENSSSCP00000012491
ENSG00000171596	ENST00000305141	ENSSSCP00000017244
ENSG00000171561	ENST00000305159	ENSSSCP00000015765
ENSG00000115353	ENST00000305249	
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	ENSSSCP00000014569
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSSSCP00000008752
ENSG00000171936	ENST00000305892	ENSSSCP00000014720
ENSG00000171936	ENST00000305892	ENSSSCP00000014719
ENSG00000171936	ENST00000305892	ENSSSCP00000014718
ENSG00000171936	ENST00000305892	ENSSSCP00000014717
ENSG00000171942	ENST00000305899	ENSSSCP00000014714
ENSG00000171942	ENST00000305899	ENSSSCP00000014713
ENSG00000171942	ENST00000305899	ENSSSCP00000014726
ENSG00000169252	ENST00000305988	ENSSSCP00000015357
ENSG00000168229	ENST00000306051	ENSSSCP00000005409
ENSG00000157193	ENST00000306052	ENSSSCP00000004164
ENSG00000170175	ENST00000306071	
ENSG00000170214	ENST00000306675	ENSSSCP00000018054
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	ENSSSCP00000016113
ENSG00000169006	ENST00000306928	ENSSSCP00000009194
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	ENSSSCP00000016075
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSSSCP00000007463
ENSG00000170790	ENST00000307322	ENSSSCP00000015536
ENSG00000171944	ENST00000307388	ENSSSCP00000015643
ENSG00000171944	ENST00000307388	ENSSSCP00000015640
ENSG00000170803	ENST00000307401	ENSSSCP00000015537
ENSG00000170803	ENST00000307401	ENSSSCP00000015542
ENSG00000170803	ENST00000307401	ENSSSCP00000015541
ENSG00000170803	ENST00000307401	ENSSSCP00000015543
ENSG00000172289	ENST00000307552	ENSSSCP00000013956
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSSSCP00000009467
ENSG00000174339	ENST00000307832	ENSSSCP00000015470
ENSG00000163606	ENST00000308611	ENSSSCP00000012706
ENSG00000163606	ENST00000308611	ENSSSCP00000012707
ENSG00000174667	ENST00000308682	ENSSSCP00000014536
ENSG00000174667	ENST00000308682	ENSSSCP00000014538
ENSG00000174667	ENST00000308682	ENSSSCP00000014545
ENSG00000174667	ENST00000308682	ENSSSCP00000014535
ENSG00000174667	ENST00000308682	ENSSSCP00000014539
ENSG00000174667	ENST00000308682	ENSSSCP00000014541
ENSG00000174667	ENST00000308682	ENSSSCP00000014550
ENSG00000174667	ENST00000308682	ENSSSCP00000014543
ENSG00000056291	ENST00000308744	ENSSSCP00000009545
ENSG00000172519	ENST00000308940	ENSSSCP00000014714
ENSG00000172519	ENST00000308940	ENSSSCP00000014713
ENSG00000172519	ENST00000308940	ENSSSCP00000014726
ENSG00000174123	ENST00000308973	ENSSSCP00000009357
ENSG00000174123	ENST00000308973	ENSSSCP00000009359
ENSG00000174125	ENST00000308979	ENSSSCP00000009356
ENSG00000174125	ENST00000308979	ENSSSCP00000009360
ENSG00000172938	ENST00000309106	ENSSSCP00000013689
ENSG00000196099	ENST00000309154	ENSSSCP00000016070
ENSG00000174944	ENST00000309170	ENSSSCP00000012484
ENSG00000174946	ENST00000309180	
ENSG00000173578	ENST00000309285	ENSSSCP00000012070
