Ensembl Gene ID	Ensembl Transcript ID	Rat Ensembl Protein ID
ENSG00000137462	ENST00000260010	ENSRNOP00000013025
ENSG00000149305	ENST00000260191	ENSRNOP00000009574
ENSG00000137642	ENST00000260197	ENSRNOP00000056722
ENSG00000137642	ENST00000260197	ENSRNOP00000031088
ENSG00000138271	ENST00000260843	ENSRNOP00000018573
ENSG00000138435	ENST00000261007	ENSRNOP00000024706
ENSG00000138448	ENST00000261023	ENSRNOP00000006961
ENSG00000069431	ENST00000261200	ENSRNOP00000063326
ENSG00000069431	ENST00000261200	ENSRNOP00000052416
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSRNOP00000008486
ENSG00000240505	ENST00000261652	ENSRNOP00000003139
ENSG00000111452	ENST00000261654	ENSRNOP00000055384
ENSG00000073060	ENST00000261693	ENSRNOP00000060874
ENSG00000117971	ENST00000261751	ENSRNOP00000051052
ENSG00000113721	ENST00000261799	ENSRNOP00000025101
ENSG00000067141	ENST00000261908	ENSRNOP00000060347
ENSG00000037280	ENST00000261937	ENSRNOP00000003519
ENSG00000038945	ENST00000262101	ENSRNOP00000017339
ENSG00000106018	ENST00000262178	ENSRNOP00000005876
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSRNOP00000009883
ENSG00000005961	ENST00000262407	ENSRNOP00000052051
ENSG00000065325	ENST00000262441	ENSRNOP00000004946
ENSG00000105707	ENST00000262626	ENSRNOP00000053465
ENSG00000075275	ENST00000262738	ENSRNOP00000029944
ENSG00000105737	ENST00000262895	ENSRNOP00000027578
ENSG00000088812	ENST00000262919	ENSRNOP00000028847
ENSG00000083457	ENST00000263087	
ENSG00000105464	ENST00000263269	ENSRNOP00000028615
ENSG00000010310	ENST00000263281	ENSRNOP00000021456
ENSG00000109991	ENST00000263314	ENSRNOP00000011550
ENSG00000104998	ENST00000263379	ENSRNOP00000007726
ENSG00000113594	ENST00000263409	ENSRNOP00000016036
ENSG00000054219	ENST00000263636	ENSRNOP00000010683
ENSG00000115170	ENST00000263640	ENSRNOP00000006963
ENSG00000092445	ENST00000263798	ENSRNOP00000007656
ENSG00000062524	ENST00000263800	ENSRNOP00000045046
ENSG00000081479	ENST00000263816	ENSRNOP00000043580
ENSG00000128052	ENST00000263923	
ENSG00000120949	ENST00000263932	ENSRNOP00000022967
ENSG00000110400	ENST00000264025	ENSRNOP00000008614
ENSG00000121594	ENST00000264246	ENSRNOP00000002089
ENSG00000115598	ENST00000264257	ENSRNOP00000019880
ENSG00000109158	ENST00000264318	ENSRNOP00000003191
ENSG00000125675	ENST00000264357	ENSRNOP00000031170
ENSG00000109738	ENST00000264428	ENSRNOP00000014170
ENSG00000108797	ENST00000264638	ENSRNOP00000052096
ENSG00000144668	ENST00000264741	ENSRNOP00000015113
ENSG00000090339	ENST00000264832	ENSRNOP00000028066
ENSG00000138760	ENST00000264896	ENSRNOP00000003052
ENSG00000099250	ENST00000265371	ENSRNOP00000014492
ENSG00000082556	ENST00000265572	ENSRNOP00000010255
ENSG00000139193	ENST00000266557	ENSRNOP00000029803
ENSG00000139292	ENST00000266674	ENSRNOP00000005814
ENSG00000139572	ENST00000267015	ENSRNOP00000052154
ENSG00000065361	ENST00000267101	ENSRNOP00000006796
ENSG00000139636	ENST00000267102	ENSRNOP00000048478
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSRNOP00000019267
ENSG00000140678	ENST00000268296	ENSRNOP00000063547
ENSG00000140749	ENST00000268389	ENSRNOP00000023262
ENSG00000141194	ENST00000268912	ENSRNOP00000011786
ENSG00000141458	ENST00000269228	ENSRNOP00000016167
ENSG00000141505	ENST00000269299	ENSRNOP00000025254
ENSG00000141505	ENST00000269299	ENSRNOP00000025308
ENSG00000141655	ENST00000269485	ENSRNOP00000021129
ENSG00000141736	ENST00000269571	ENSRNOP00000040591
ENSG00000142166	ENST00000270139	ENSRNOP00000031611
ENSG00000187244	ENST00000270233	ENSRNOP00000047809
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSRNOP00000027263
ENSG00000143226	ENST00000271450	ENSRNOP00000055293
ENSG00000163518	ENST00000271532	
ENSG00000144136	ENST00000272542	ENSRNOP00000025294
ENSG00000144407	ENST00000272847	ENSRNOP00000021099
ENSG00000144476	ENST00000272928	ENSRNOP00000026558
ENSG00000144820	ENST00000273352	ENSRNOP00000002232
ENSG00000145103	ENST00000273691	ENSRNOP00000003137
ENSG00000145242	ENST00000273854	ENSRNOP00000002793
ENSG00000145244	ENST00000273857	ENSRNOP00000061602
ENSG00000145451	ENST00000274093	ENSRNOP00000062183
ENSG00000145623	ENST00000274276	ENSRNOP00000039644
ENSG00000145863	ENST00000274545	ENSRNOP00000004877
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSRNOP00000021510
ENSG00000146648	ENST00000275493	ENSRNOP00000006087
ENSG00000146904	ENST00000275815	ENSRNOP00000024037
ENSG00000147138	ENST00000276077	ENSRNOP00000044021
ENSG00000147246	ENST00000276198	ENSRNOP00000062375
ENSG00000147262	ENST00000276218	ENSRNOP00000036164
ENSG00000147434	ENST00000276410	ENSRNOP00000016452
ENSG00000120889	ENST00000276431	ENSRNOP00000055444
ENSG00000147650	ENST00000276654	ENSRNOP00000005668
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSRNOP00000000675
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSRNOP00000028491
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSRNOP00000011697
ENSG00000150261	ENST00000279783	ENSRNOP00000012912
ENSG00000150269	ENST00000279791	ENSRNOP00000046575
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSRNOP00000054956
ENSG00000150938	ENST00000280527	ENSRNOP00000005983
ENSG00000151490	ENST00000281171	ENSRNOP00000044055
ENSG00000116106	ENST00000281821	ENSRNOP00000051316
ENSG00000152207	ENST00000282018	ENSRNOP00000020187
ENSG00000152208	ENST00000282020	ENSRNOP00000008304
ENSG00000152578	ENST00000282499	ENSRNOP00000009542
ENSG00000213949	ENST00000282588	ENSRNOP00000016353
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSRNOP00000006401
ENSG00000153246	ENST00000283243	ENSRNOP00000062342
ENSG00000115221	ENST00000283249	ENSRNOP00000011030
ENSG00000153563	ENST00000283635	ENSRNOP00000009516
ENSG00000196119	ENST00000284287	ENSRNOP00000039551
ENSG00000196119	ENST00000284287	ENSRNOP00000049209
ENSG00000154165	ENST00000284311	ENSRNOP00000002258
ENSG00000154309	ENST00000284476	ENSRNOP00000004834
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSRNOP00000041873
ENSG00000155249	ENST00000285600	ENSRNOP00000030049
ENSG00000155511	ENST00000285900	
ENSG00000155760	ENST00000286201	ENSRNOP00000021569
ENSG00000182578	ENST00000286301	ENSRNOP00000024883
ENSG00000157219	ENST00000287907	ENSRNOP00000009317
ENSG00000157240	ENST00000287934	ENSRNOP00000021979
ENSG00000157404	ENST00000288135	ENSRNOP00000003050
ENSG00000056736	ENST00000288167	ENSRNOP00000020823
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	ENSRNOP00000036716
ENSG00000147432	ENST00000289957	ENSRNOP00000016656
ENSG00000243646	ENST00000290200	ENSRNOP00000058062
ENSG00000159128	ENST00000290219	ENSRNOP00000002779
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSRNOP00000010086
ENSG00000160013	ENST00000291294	ENSRNOP00000022461
ENSG00000242019	ENST00000291860	ENSRNOP00000031521
ENSG00000189430	ENST00000291890	ENSRNOP00000025080
ENSG00000160683	ENST00000292174	ENSRNOP00000016580
ENSG00000121807	ENST00000292301	ENSRNOP00000008871
ENSG00000121807	ENST00000292301	ENSRNOP00000008843
ENSG00000160951	ENST00000292513	ENSRNOP00000005470
ENSG00000161509	ENST00000293190	ENSRNOP00000004477
ENSG00000161638	ENST00000293379	ENSRNOP00000052152
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSRNOP00000037160
ENSG00000108556	ENST00000293780	ENSRNOP00000005050
ENSG00000162337	ENST00000294304	ENSRNOP00000022213
ENSG00000138039	ENST00000294954	ENSRNOP00000022481
ENSG00000153208	ENST00000295408	ENSRNOP00000023419
ENSG00000163251	ENST00000295417	ENSRNOP00000062259
ENSG00000163285	ENST00000295452	ENSRNOP00000003240
ENSG00000163288	ENST00000295454	ENSRNOP00000003170
ENSG00000163394	ENST00000295589	ENSRNOP00000063137
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSRNOP00000026654
ENSG00000163702	ENST00000295981	ENSRNOP00000037747
ENSG00000163785	ENST00000296084	ENSRNOP00000063141
ENSG00000163823	ENST00000296140	ENSRNOP00000008772
ENSG00000163823	ENST00000296140	ENSRNOP00000008783
ENSG00000082781	ENST00000296181	ENSRNOP00000002446
ENSG00000163914	ENST00000296271	ENSRNOP00000061473
ENSG00000164078	ENST00000296474	ENSRNOP00000045551
ENSG00000120251	ENST00000296526	ENSRNOP00000032971
ENSG00000164128	ENST00000296533	ENSRNOP00000018952
ENSG00000164171	ENST00000296585	ENSRNOP00000015940
ENSG00000164220	ENST00000296641	ENSRNOP00000024292
ENSG00000164251	ENST00000296677	ENSRNOP00000041693
ENSG00000164342	ENST00000296795	ENSRNOP00000036680
ENSG00000146072	ENST00000296861	ENSRNOP00000015918
ENSG00000164393	ENST00000296862	ENSRNOP00000035606
ENSG00000165202	ENST00000297913	ENSRNOP00000010473
ENSG00000165370	ENST00000298110	ENSRNOP00000029809
ENSG00000133105	ENST00000298386	ENSRNOP00000001197
ENSG00000165621	ENST00000298440	ENSRNOP00000054374
ENSG00000165682	ENST00000298527	ENSRNOP00000010814
ENSG00000165762	ENST00000298642	ENSRNOP00000016693
ENSG00000166073	ENST00000299092	ENSRNOP00000007882
ENSG00000166148	ENST00000299178	ENSRNOP00000005829
ENSG00000166363	ENST00000299454	ENSRNOP00000026503
ENSG00000166363	ENST00000299454	ENSRNOP00000026506
ENSG00000166368	ENST00000299459	ENSRNOP00000046329
ENSG00000166368	ENST00000299459	ENSRNOP00000047888
ENSG00000169684	ENST00000299565	ENSRNOP00000062227
ENSG00000166573	ENST00000299727	ENSRNOP00000022400
ENSG00000166603	ENST00000299766	ENSRNOP00000025223
ENSG00000166682	ENST00000299882	ENSRNOP00000011107
ENSG00000166825	ENST00000300060	ENSRNOP00000020002
ENSG00000166856	ENST00000300098	ENSRNOP00000054500
ENSG00000166884	ENST00000300127	ENSRNOP00000028605
ENSG00000167286	ENST00000300692	ENSRNOP00000021489
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	ENSRNOP00000039188
ENSG00000167360	ENST00000300778	ENSRNOP00000050330
ENSG00000167601	ENST00000301178	ENSRNOP00000028131
ENSG00000167822	ENST00000301529	ENSRNOP00000012899
ENSG00000167825	ENST00000301532	ENSRNOP00000007603
ENSG00000172320	ENST00000302030	ENSRNOP00000028606
ENSG00000117090	ENST00000302035	ENSRNOP00000029446
ENSG00000172324	ENST00000302040	ENSRNOP00000036199
ENSG00000169214	ENST00000302084	ENSRNOP00000039235
ENSG00000172154	ENST00000302124	ENSRNOP00000013201
ENSG00000172188	ENST00000302231	ENSRNOP00000047869
ENSG00000172199	ENST00000302270	ENSRNOP00000029788
ENSG00000172208	ENST00000302329	ENSRNOP00000050923
ENSG00000172208	ENST00000302329	ENSRNOP00000040397
ENSG00000172208	ENST00000302329	ENSRNOP00000041891
ENSG00000172208	ENST00000302329	ENSRNOP00000051098
ENSG00000171522	ENST00000302472	ENSRNOP00000017886
ENSG00000171657	ENST00000302548	ENSRNOP00000057711
ENSG00000172362	ENST00000302572	ENSRNOP00000041397
ENSG00000172362	ENST00000302572	ENSRNOP00000044671
ENSG00000172365	ENST00000302581	ENSRNOP00000017208
ENSG00000197887	ENST00000302592	ENSRNOP00000017604
ENSG00000172377	ENST00000302610	ENSRNOP00000040405
ENSG00000172377	ENST00000302610	ENSRNOP00000059451
ENSG00000172377	ENST00000302610	ENSRNOP00000051393
ENSG00000172377	ENST00000302610	ENSRNOP00000017631
ENSG00000197532	ENST00000302617	ENSRNOP00000037680
ENSG00000172381	ENST00000302622	ENSRNOP00000025611
ENSG00000169313	ENST00000302632	ENSRNOP00000018600
ENSG00000150995	ENST00000302640	ENSRNOP00000009288
ENSG00000171133	ENST00000302681	ENSRNOP00000019099
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSRNOP00000046668
ENSG00000169992	ENST00000302926	ENSRNOP00000053713
ENSG00000172457	ENST00000302957	ENSRNOP00000012654
ENSG00000172457	ENST00000302957	ENSRNOP00000040298
ENSG00000172459	ENST00000302969	ENSRNOP00000012746
ENSG00000172464	ENST00000302981	ENSRNOP00000047654
ENSG00000172464	ENST00000302981	ENSRNOP00000012756
ENSG00000172487	ENST00000303039	ENSRNOP00000012899
ENSG00000172489	ENST00000303059	ENSRNOP00000050772
ENSG00000172489	ENST00000303059	ENSRNOP00000013060
ENSG00000172489	ENST00000303059	ENSRNOP00000040644
ENSG00000172489	ENST00000303059	ENSRNOP00000013190
ENSG00000172489	ENST00000303059	ENSRNOP00000039078
ENSG00000168685	ENST00000303115	ENSRNOP00000023422
ENSG00000168131	ENST00000303324	ENSRNOP00000024463
ENSG00000169208	ENST00000303532	ENSRNOP00000051472
ENSG00000169208	ENST00000303532	ENSRNOP00000039437
ENSG00000169604	ENST00000303714	ENSRNOP00000011675
ENSG00000169618	ENST00000303786	ENSRNOP00000012913
ENSG00000170775	ENST00000303921	ENSRNOP00000003593
ENSG00000172243	ENST00000304084	ENSRNOP00000043272
ENSG00000172146	ENST00000304094	ENSRNOP00000048662
ENSG00000172146	ENST00000304094	ENSRNOP00000047137
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSRNOP00000016175
ENSG00000170425	ENST00000304222	ENSRNOP00000003966
ENSG00000170128	ENST00000304244	ENSRNOP00000011368
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSRNOP00000007074
ENSG00000172209	ENST00000304402	ENSRNOP00000011659
ENSG00000170837	ENST00000304411	ENSRNOP00000014455
ENSG00000169327	ENST00000304418	ENSRNOP00000015439
ENSG00000168124	ENST00000304646	ENSRNOP00000045283
ENSG00000168124	ENST00000304646	ENSRNOP00000057692
ENSG00000168124	ENST00000304646	ENSRNOP00000046341
ENSG00000168124	ENST00000304646	ENSRNOP00000040183
ENSG00000168124	ENST00000304646	ENSRNOP00000057713
ENSG00000168124	ENST00000304646	ENSRNOP00000004503
ENSG00000168124	ENST00000304646	ENSRNOP00000046848
ENSG00000168124	ENST00000304646	ENSRNOP00000057706
ENSG00000168124	ENST00000304646	ENSRNOP00000057714
ENSG00000168124	ENST00000304646	ENSRNOP00000057712
ENSG00000168124	ENST00000304646	ENSRNOP00000049955
ENSG00000168124	ENST00000304646	ENSRNOP00000049788
ENSG00000168124	ENST00000304646	ENSRNOP00000057705
ENSG00000168124	ENST00000304646	ENSRNOP00000057708
ENSG00000171459	ENST00000304720	ENSRNOP00000049943
ENSG00000171459	ENST00000304720	ENSRNOP00000044875
ENSG00000171051	ENST00000304748	ENSRNOP00000014841
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSRNOP00000010501
ENSG00000171496	ENST00000304865	ENSRNOP00000041074
ENSG00000171505	ENST00000304880	ENSRNOP00000048696
ENSG00000171505	ENST00000304880	ENSRNOP00000045723
ENSG00000169836	ENST00000304883	ENSRNOP00000012473
ENSG00000168158	ENST00000304936	ENSRNOP00000057735
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSRNOP00000016674
ENSG00000169488	ENST00000305051	ENSRNOP00000016667
ENSG00000169860	ENST00000305097	ENSRNOP00000019304
ENSG00000171596	ENST00000305141	ENSRNOP00000025024
ENSG00000171561	ENST00000305159	ENSRNOP00000024303
ENSG00000115353	ENST00000305249	ENSRNOP00000007984
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSRNOP00000052627
ENSG00000170605	ENST00000305377	ENSRNOP00000011188
ENSG00000170920	ENST00000305444	ENSRNOP00000030252
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSRNOP00000021956
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSRNOP00000049679
ENSG00000171942	ENST00000305899	ENSRNOP00000040418
ENSG00000171942	ENST00000305899	ENSRNOP00000049724
ENSG00000171942	ENST00000305899	ENSRNOP00000046747
ENSG00000169252	ENST00000305988	ENSRNOP00000026098
ENSG00000168229	ENST00000306051	ENSRNOP00000048101
ENSG00000168229	ENST00000306051	ENSRNOP00000042734
ENSG00000168229	ENST00000306051	ENSRNOP00000042043
ENSG00000157193	ENST00000306052	ENSRNOP00000017575
ENSG00000170175	ENST00000306071	ENSRNOP00000019947
ENSG00000170214	ENST00000306675	ENSRNOP00000005582
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	ENSRNOP00000045461
ENSG00000170953	ENST00000306842	ENSRNOP00000044950
ENSG00000170953	ENST00000306842	ENSRNOP00000059187
ENSG00000170953	ENST00000306842	ENSRNOP00000015369
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	ENSRNOP00000024785
ENSG00000171014	ENST00000307033	ENSRNOP00000008246
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSRNOP00000034328
ENSG00000170790	ENST00000307322	ENSRNOP00000026503
ENSG00000170790	ENST00000307322	ENSRNOP00000026506
ENSG00000171944	ENST00000307388	ENSRNOP00000039523
ENSG00000171944	ENST00000307388	ENSRNOP00000050751
ENSG00000170803	ENST00000307401	ENSRNOP00000047835
