Ensembl Gene ID	Ensembl Transcript ID	Rabbit Ensembl Protein ID
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSOCUP00000002826
ENSG00000120659	ENST00000239849	ENSOCUP00000015501
ENSG00000213809	ENST00000240618	ENSOCUP00000016073
ENSG00000121853	ENST00000241256	ENSOCUP00000006345
ENSG00000121989	ENST00000241416	ENSOCUP00000014096
ENSG00000122025	ENST00000241453	ENSOCUP00000004237
ENSG00000122679	ENST00000242249	
ENSG00000123146	ENST00000242786	ENSOCUP00000017619
ENSG00000123384	ENST00000243077	ENSOCUP00000011380
ENSG00000123612	ENST00000243349	ENSOCUP00000007947
ENSG00000123901	ENST00000243673	ENSOCUP00000013319
ENSG00000124089	ENST00000243911	ENSOCUP00000017803
ENSG00000124334	ENST00000244174	ENSOCUP00000008230
ENSG00000124557	ENST00000244513	ENSOCUP00000014132
ENSG00000124657	ENST00000244623	ENSOCUP00000016299
ENSG00000124731	ENST00000244709	ENSOCUP00000009801
ENSG00000125384	ENST00000245457	ENSOCUP00000010851
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSOCUP00000012733
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSOCUP00000011553
ENSG00000126262	ENST00000246549	ENSOCUP00000015265
ENSG00000126266	ENST00000246553	ENSOCUP00000022892
ENSG00000126353	ENST00000246657	ENSOCUP00000017477
ENSG00000127364	ENST00000247881	ENSOCUP00000003296
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	ENSOCUP00000021889
ENSG00000127780	ENST00000248384	ENSOCUP00000009680
ENSG00000127780	ENST00000248384	ENSOCUP00000023036
ENSG00000127780	ENST00000248384	ENSOCUP00000019265
ENSG00000127780	ENST00000248384	ENSOCUP00000020376
ENSG00000127780	ENST00000248384	ENSOCUP00000009989
ENSG00000127780	ENST00000248384	ENSOCUP00000024672
ENSG00000128285	ENST00000249016	ENSOCUP00000025868
ENSG00000128310	ENST00000249041	ENSOCUP00000001215
ENSG00000128519	ENST00000249284	ENSOCUP00000015369
ENSG00000128602	ENST00000249373	ENSOCUP00000011347
ENSG00000128617	ENST00000249389	ENSOCUP00000007063
ENSG00000129048	ENST00000249887	ENSOCUP00000014230
ENSG00000129749	ENST00000250699	ENSOCUP00000006312
ENSG00000130164	ENST00000252444	ENSOCUP00000000568
ENSG00000130202	ENST00000252483	ENSOCUP00000015317
ENSG00000130234	ENST00000252519	ENSOCUP00000015275
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	
ENSG00000130538	ENST00000252835	ENSOCUP00000025839
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	ENSOCUP00000022198
ENSG00000132329	ENST00000254661	ENSOCUP00000014399
ENSG00000132334	ENST00000254667	
ENSG00000132517	ENST00000254853	
ENSG00000132518	ENST00000254854	ENSOCUP00000004216
ENSG00000132671	ENST00000255008	ENSOCUP00000015822
ENSG00000132911	ENST00000255262	ENSOCUP00000011618
ENSG00000133019	ENST00000255380	ENSOCUP00000023765
ENSG00000133800	ENST00000256178	ENSOCUP00000008323
ENSG00000134061	ENST00000256447	ENSOCUP00000013503
ENSG00000134243	ENST00000256637	ENSOCUP00000011881
ENSG00000134250	ENST00000256646	ENSOCUP00000021086
ENSG00000134489	ENST00000256906	ENSOCUP00000017610
ENSG00000134640	ENST00000257068	ENSOCUP00000007085
ENSG00000134640	ENST00000257068	ENSOCUP00000019818
ENSG00000134817	ENST00000257254	ENSOCUP00000019413
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSOCUP00000000224
ENSG00000135409	ENST00000257863	ENSOCUP00000003591
ENSG00000135424	ENST00000257879	ENSOCUP00000025700
ENSG00000135577	ENST00000258042	ENSOCUP00000001672
ENSG00000135902	ENST00000258385	ENSOCUP00000025425
ENSG00000135914	ENST00000258400	ENSOCUP00000007414
ENSG00000135960	ENST00000258443	ENSOCUP00000015783
ENSG00000135973	ENST00000258456	ENSOCUP00000013014
ENSG00000136040	ENST00000258526	ENSOCUP00000014529
ENSG00000136834	ENST00000259357	ENSOCUP00000009942
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSOCUP00000014208
ENSG00000136939	ENST00000259466	ENSOCUP00000002162
ENSG00000136939	ENST00000259466	ENSOCUP00000001668
ENSG00000136939	ENST00000259466	ENSOCUP00000015753
ENSG00000136960	ENST00000259486	ENSOCUP00000011658
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSOCUP00000002918
ENSG00000149305	ENST00000260191	ENSOCUP00000006449
ENSG00000137642	ENST00000260197	ENSOCUP00000009783
ENSG00000138271	ENST00000260843	ENSOCUP00000005096
ENSG00000138435	ENST00000261007	ENSOCUP00000016987
ENSG00000138448	ENST00000261023	ENSOCUP00000015140
ENSG00000069431	ENST00000261200	ENSOCUP00000024233
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSOCUP00000023511
ENSG00000240505	ENST00000261652	ENSOCUP00000021430
ENSG00000111452	ENST00000261654	ENSOCUP00000004919
ENSG00000073060	ENST00000261693	ENSOCUP00000021525
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	ENSOCUP00000001483
ENSG00000067141	ENST00000261908	ENSOCUP00000001864
ENSG00000037280	ENST00000261937	ENSOCUP00000023528
ENSG00000038945	ENST00000262101	ENSOCUP00000020109
ENSG00000106018	ENST00000262178	ENSOCUP00000003013
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSOCUP00000007721
ENSG00000005961	ENST00000262407	ENSOCUP00000002848
ENSG00000065325	ENST00000262441	ENSOCUP00000013312
ENSG00000105707	ENST00000262626	ENSOCUP00000024229
ENSG00000075275	ENST00000262738	ENSOCUP00000018841
ENSG00000105737	ENST00000262895	ENSOCUP00000016765
ENSG00000088812	ENST00000262919	ENSOCUP00000010899
ENSG00000083457	ENST00000263087	ENSOCUP00000006938
ENSG00000105464	ENST00000263269	ENSOCUP00000018934
ENSG00000010310	ENST00000263281	ENSOCUP00000010218
ENSG00000109991	ENST00000263314	ENSOCUP00000002679
ENSG00000104998	ENST00000263379	ENSOCUP00000012481
ENSG00000113594	ENST00000263409	ENSOCUP00000002891
ENSG00000054219	ENST00000263636	ENSOCUP00000010990
ENSG00000115170	ENST00000263640	ENSOCUP00000002109
ENSG00000092445	ENST00000263798	ENSOCUP00000016626
ENSG00000062524	ENST00000263800	ENSOCUP00000019469
ENSG00000081479	ENST00000263816	ENSOCUP00000009497
ENSG00000128052	ENST00000263923	ENSOCUP00000004388
ENSG00000120949	ENST00000263932	ENSOCUP00000013688
ENSG00000110400	ENST00000264025	ENSOCUP00000009004
ENSG00000121594	ENST00000264246	ENSOCUP00000008197
ENSG00000115598	ENST00000264257	
ENSG00000109158	ENST00000264318	ENSOCUP00000022868
ENSG00000125675	ENST00000264357	ENSOCUP00000000278
ENSG00000109738	ENST00000264428	ENSOCUP00000003872
ENSG00000108797	ENST00000264638	ENSOCUP00000006339
ENSG00000144668	ENST00000264741	ENSOCUP00000019494
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSOCUP00000002939
ENSG00000099250	ENST00000265371	ENSOCUP00000003952
ENSG00000082556	ENST00000265572	ENSOCUP00000002705
ENSG00000139193	ENST00000266557	ENSOCUP00000007052
ENSG00000139292	ENST00000266674	ENSOCUP00000007951
ENSG00000139572	ENST00000267015	ENSOCUP00000016937
ENSG00000065361	ENST00000267101	ENSOCUP00000014890
ENSG00000139636	ENST00000267102	ENSOCUP00000009965
ENSG00000139874	ENST00000267377	ENSOCUP00000018502
ENSG00000140443	ENST00000268035	ENSOCUP00000012731
ENSG00000140678	ENST00000268296	ENSOCUP00000014973
ENSG00000140749	ENST00000268389	ENSOCUP00000003709
ENSG00000141194	ENST00000268912	ENSOCUP00000009478
ENSG00000141458	ENST00000269228	ENSOCUP00000008488
ENSG00000141505	ENST00000269299	ENSOCUP00000024133
ENSG00000141655	ENST00000269485	ENSOCUP00000004604
ENSG00000141736	ENST00000269571	ENSOCUP00000009117
ENSG00000142166	ENST00000270139	ENSOCUP00000012800
ENSG00000187244	ENST00000270233	ENSOCUP00000018667
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSOCUP00000013527
ENSG00000143226	ENST00000271450	ENSOCUP00000010045
ENSG00000143226	ENST00000271450	ENSOCUP00000010038
ENSG00000163518	ENST00000271532	ENSOCUP00000007792
ENSG00000144136	ENST00000272542	ENSOCUP00000001523
ENSG00000144407	ENST00000272847	ENSOCUP00000009055
ENSG00000144476	ENST00000272928	ENSOCUP00000009382
ENSG00000144820	ENST00000273352	ENSOCUP00000004617
ENSG00000145103	ENST00000273691	ENSOCUP00000020475
ENSG00000145242	ENST00000273854	ENSOCUP00000015116
ENSG00000145242	ENST00000273854	ENSOCUP00000021910
ENSG00000145244	ENST00000273857	ENSOCUP00000007651
ENSG00000145451	ENST00000274093	ENSOCUP00000016554
ENSG00000145623	ENST00000274276	ENSOCUP00000010891
ENSG00000145863	ENST00000274545	ENSOCUP00000012795
ENSG00000146360	ENST00000275169	ENSOCUP00000008350
ENSG00000146399	ENST00000275216	ENSOCUP00000015021
ENSG00000146648	ENST00000275493	ENSOCUP00000009041
ENSG00000146904	ENST00000275815	ENSOCUP00000009536
ENSG00000147138	ENST00000276077	ENSOCUP00000004371
ENSG00000147246	ENST00000276198	ENSOCUP00000013659
ENSG00000147262	ENST00000276218	ENSOCUP00000010145
ENSG00000147434	ENST00000276410	ENSOCUP00000008210
ENSG00000120889	ENST00000276431	
ENSG00000147650	ENST00000276654	ENSOCUP00000001939
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSOCUP00000013759
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSOCUP00000007838
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSOCUP00000012989
ENSG00000150261	ENST00000279783	ENSOCUP00000000949
ENSG00000150269	ENST00000279791	ENSOCUP00000015610
ENSG00000150269	ENST00000279791	ENSOCUP00000025771
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSOCUP00000010525
ENSG00000150938	ENST00000280527	ENSOCUP00000001371
ENSG00000151490	ENST00000281171	ENSOCUP00000000684
ENSG00000116106	ENST00000281821	ENSOCUP00000005814
ENSG00000152207	ENST00000282018	ENSOCUP00000018900
ENSG00000152208	ENST00000282020	ENSOCUP00000009838
ENSG00000152578	ENST00000282499	ENSOCUP00000018797
ENSG00000213949	ENST00000282588	ENSOCUP00000009789
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSOCUP00000010381
ENSG00000153246	ENST00000283243	ENSOCUP00000012759
ENSG00000115221	ENST00000283249	ENSOCUP00000012771
ENSG00000153563	ENST00000283635	ENSOCUP00000008088
ENSG00000196119	ENST00000284287	ENSOCUP00000024315
ENSG00000196119	ENST00000284287	ENSOCUP00000019644
ENSG00000154165	ENST00000284311	ENSOCUP00000015337
ENSG00000154309	ENST00000284476	ENSOCUP00000019679
ENSG00000154478	ENST00000284674	ENSOCUP00000015032
ENSG00000154639	ENST00000284878	ENSOCUP00000023016
ENSG00000154639	ENST00000284878	ENSOCUP00000025545
ENSG00000155249	ENST00000285600	ENSOCUP00000025450
ENSG00000155249	ENST00000285600	ENSOCUP00000024930
ENSG00000155511	ENST00000285900	ENSOCUP00000024998
ENSG00000155760	ENST00000286201	ENSOCUP00000019785
ENSG00000182578	ENST00000286301	ENSOCUP00000020310
ENSG00000157219	ENST00000287907	ENSOCUP00000025855
ENSG00000157219	ENST00000287907	ENSOCUP00000013364
ENSG00000157240	ENST00000287934	ENSOCUP00000002817
ENSG00000157404	ENST00000288135	ENSOCUP00000006129
ENSG00000056736	ENST00000288167	ENSOCUP00000011621
ENSG00000173285	ENST00000289451	ENSOCUP00000006264
ENSG00000015520	ENST00000289547	ENSOCUP00000020366
ENSG00000158748	ENST00000289753	ENSOCUP00000024282
ENSG00000158869	ENST00000289902	
ENSG00000147432	ENST00000289957	ENSOCUP00000004437
ENSG00000243646	ENST00000290200	ENSOCUP00000023130
ENSG00000159128	ENST00000290219	ENSOCUP00000025734
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSOCUP00000011350
ENSG00000160013	ENST00000291294	ENSOCUP00000020089
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	ENSOCUP00000020412
ENSG00000189430	ENST00000291890	ENSOCUP00000019611
ENSG00000189430	ENST00000291890	ENSOCUP00000016241
ENSG00000189430	ENST00000291890	ENSOCUP00000019344
ENSG00000160683	ENST00000292174	ENSOCUP00000018534
ENSG00000121807	ENST00000292301	ENSOCUP00000017988
ENSG00000121807	ENST00000292301	ENSOCUP00000003173
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	ENSOCUP00000021530
ENSG00000161638	ENST00000293379	ENSOCUP00000011512
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSOCUP00000016988
ENSG00000108556	ENST00000293780	ENSOCUP00000008819
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSOCUP00000009661
ENSG00000153208	ENST00000295408	ENSOCUP00000024856
ENSG00000163251	ENST00000295417	ENSOCUP00000017638
ENSG00000163285	ENST00000295452	ENSOCUP00000017415
ENSG00000163288	ENST00000295454	ENSOCUP00000025002
ENSG00000163394	ENST00000295589	ENSOCUP00000011577
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSOCUP00000025577
ENSG00000163702	ENST00000295981	ENSOCUP00000024114
ENSG00000163785	ENST00000296084	ENSOCUP00000021076
ENSG00000163823	ENST00000296140	ENSOCUP00000003170
ENSG00000082781	ENST00000296181	ENSOCUP00000012560
ENSG00000163914	ENST00000296271	ENSOCUP00000011220
ENSG00000164078	ENST00000296474	ENSOCUP00000008078
ENSG00000120251	ENST00000296526	ENSOCUP00000016102
ENSG00000164128	ENST00000296533	ENSOCUP00000008576
ENSG00000164171	ENST00000296585	ENSOCUP00000009802
ENSG00000164220	ENST00000296641	ENSOCUP00000024405
ENSG00000164251	ENST00000296677	ENSOCUP00000002228
ENSG00000164342	ENST00000296795	ENSOCUP00000015256
ENSG00000146072	ENST00000296861	ENSOCUP00000014212
ENSG00000164393	ENST00000296862	ENSOCUP00000011196
ENSG00000165202	ENST00000297913	ENSOCUP00000011906
ENSG00000165370	ENST00000298110	ENSOCUP00000018045
ENSG00000133105	ENST00000298386	ENSOCUP00000000653
ENSG00000165621	ENST00000298440	ENSOCUP00000012865
ENSG00000165682	ENST00000298527	ENSOCUP00000006385
ENSG00000165762	ENST00000298642	ENSOCUP00000016076
ENSG00000166073	ENST00000299092	ENSOCUP00000001826
ENSG00000166148	ENST00000299178	ENSOCUP00000017876
ENSG00000166363	ENST00000299454	ENSOCUP00000021264
ENSG00000166363	ENST00000299454	ENSOCUP00000005888
ENSG00000166368	ENST00000299459	ENSOCUP00000023103
ENSG00000166368	ENST00000299459	ENSOCUP00000022334
ENSG00000169684	ENST00000299565	ENSOCUP00000020371
ENSG00000166573	ENST00000299727	
ENSG00000166603	ENST00000299766	ENSOCUP00000022617
ENSG00000166682	ENST00000299882	ENSOCUP00000020044
ENSG00000166825	ENST00000300060	ENSOCUP00000015166
ENSG00000166856	ENST00000300098	ENSOCUP00000002435
ENSG00000166884	ENST00000300127	ENSOCUP00000010853
ENSG00000167286	ENST00000300692	ENSOCUP00000000382
ENSG00000167286	ENST00000300692	ENSOCUP00000018742
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	ENSOCUP00000025945
ENSG00000167601	ENST00000301178	ENSOCUP00000014325
ENSG00000167822	ENST00000301529	ENSOCUP00000000936
ENSG00000167825	ENST00000301532	ENSOCUP00000002759
ENSG00000172320	ENST00000302030	ENSOCUP00000023272
ENSG00000117090	ENST00000302035	ENSOCUP00000024097
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	ENSOCUP00000019233
ENSG00000169214	ENST00000302084	ENSOCUP00000000273
ENSG00000169214	ENST00000302084	ENSOCUP00000024113
ENSG00000172154	ENST00000302124	ENSOCUP00000019599
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSOCUP00000017717
ENSG00000172208	ENST00000302329	ENSOCUP00000025185
ENSG00000172208	ENST00000302329	ENSOCUP00000024217
ENSG00000171522	ENST00000302472	ENSOCUP00000000773
ENSG00000171657	ENST00000302548	ENSOCUP00000002793
ENSG00000172362	ENST00000302572	ENSOCUP00000002580
ENSG00000172362	ENST00000302572	ENSOCUP00000011951
ENSG00000172365	ENST00000302581	ENSOCUP00000022925
ENSG00000197887	ENST00000302592	ENSOCUP00000025552
ENSG00000172377	ENST00000302610	ENSOCUP00000025046
ENSG00000197532	ENST00000302617	ENSOCUP00000016422
ENSG00000172381	ENST00000302622	ENSOCUP00000017687
ENSG00000169313	ENST00000302632	ENSOCUP00000016546
ENSG00000150995	ENST00000302640	ENSOCUP00000010467
ENSG00000171133	ENST00000302681	ENSOCUP00000023510
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSOCUP00000003834
ENSG00000169992	ENST00000302926	ENSOCUP00000004804
ENSG00000172457	ENST00000302957	ENSOCUP00000024664
ENSG00000172459	ENST00000302969	ENSOCUP00000009375
ENSG00000172464	ENST00000302981	ENSOCUP00000018956
ENSG00000172464	ENST00000302981	ENSOCUP00000020085
ENSG00000172487	ENST00000303039	ENSOCUP00000000936
ENSG00000172489	ENST00000303059	ENSOCUP00000019455
ENSG00000172489	ENST00000303059	ENSOCUP00000020703
ENSG00000172489	ENST00000303059	ENSOCUP00000015647
ENSG00000168685	ENST00000303115	ENSOCUP00000009807
ENSG00000168131	ENST00000303324	ENSOCUP00000021024
ENSG00000169208	ENST00000303532	ENSOCUP00000024036
ENSG00000169604	ENST00000303714	ENSOCUP00000008827
ENSG00000169618	ENST00000303786	ENSOCUP00000025602
ENSG00000170775	ENST00000303921	ENSOCUP00000005790
ENSG00000172243	ENST00000304084	ENSOCUP00000014442
ENSG00000172146	ENST00000304094	ENSOCUP00000020156
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSOCUP00000016684
ENSG00000170425	ENST00000304222	ENSOCUP00000023252
ENSG00000170128	ENST00000304244	ENSOCUP00000017878
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSOCUP00000025014
ENSG00000172209	ENST00000304402	ENSOCUP00000017046
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSOCUP00000023635
ENSG00000168124	ENST00000304646	ENSOCUP00000017359
ENSG00000168124	ENST00000304646	ENSOCUP00000006155
ENSG00000168124	ENST00000304646	ENSOCUP00000020251
ENSG00000168124	ENST00000304646	ENSOCUP00000016256
ENSG00000168124	ENST00000304646	ENSOCUP00000023484
ENSG00000168124	ENST00000304646	ENSOCUP00000022511
ENSG00000171459	ENST00000304720	ENSOCUP00000002162
ENSG00000171459	ENST00000304720	ENSOCUP00000001668
ENSG00000171459	ENST00000304720	ENSOCUP00000015753
ENSG00000171051	ENST00000304748	ENSOCUP00000007429
ENSG00000171481	ENST00000304820	ENSOCUP00000019846
ENSG00000171484	ENST00000304833	ENSOCUP00000021754
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSOCUP00000011166
ENSG00000169836	ENST00000304883	ENSOCUP00000008258
ENSG00000168158	ENST00000304936	ENSOCUP00000022331
ENSG00000169484	ENST00000305045	ENSOCUP00000020639
ENSG00000169488	ENST00000305051	ENSOCUP00000000926
ENSG00000169860	ENST00000305097	ENSOCUP00000024529
ENSG00000171596	ENST00000305141	ENSOCUP00000024055
ENSG00000171561	ENST00000305159	ENSOCUP00000025778
ENSG00000171561	ENST00000305159	ENSOCUP00000011932
ENSG00000115353	ENST00000305249	ENSOCUP00000000869
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSOCUP00000013380
ENSG00000170605	ENST00000305377	ENSOCUP00000001246
ENSG00000170605	ENST00000305377	ENSOCUP00000019515
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSOCUP00000002907
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSOCUP00000018966
ENSG00000169252	ENST00000305988	ENSOCUP00000013826
ENSG00000168229	ENST00000306051	ENSOCUP00000003010
ENSG00000157193	ENST00000306052	ENSOCUP00000015964
ENSG00000170175	ENST00000306071	ENSOCUP00000006428
ENSG00000170214	ENST00000306675	ENSOCUP00000004952
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	ENSOCUP00000007646
ENSG00000169006	ENST00000306928	ENSOCUP00000016010
ENSG00000168539	ENST00000306960	ENSOCUP00000005628
ENSG00000171014	ENST00000307033	ENSOCUP00000018597
ENSG00000171014	ENST00000307033	ENSOCUP00000022903
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSOCUP00000023082
ENSG00000170790	ENST00000307322	ENSOCUP00000021264
ENSG00000170790	ENST00000307322	ENSOCUP00000005888
ENSG00000171944	ENST00000307388	ENSOCUP00000015894
ENSG00000171944	ENST00000307388	ENSOCUP00000024755
ENSG00000170803	ENST00000307401	ENSOCUP00000013663
ENSG00000170803	ENST00000307401	ENSOCUP00000019313
ENSG00000172289	ENST00000307552	ENSOCUP00000013798
ENSG00000196778	ENST00000307632	ENSOCUP00000016585
ENSG00000171860	ENST00000307637	ENSOCUP00000006429
ENSG00000171509	ENST00000307765	ENSOCUP00000001048
ENSG00000174339	ENST00000307832	ENSOCUP00000023120
ENSG00000174339	ENST00000307832	ENSOCUP00000019223
ENSG00000174339	ENST00000307832	ENSOCUP00000022237
ENSG00000174339	ENST00000307832	ENSOCUP00000018621
ENSG00000174339	ENST00000307832	ENSOCUP00000025985
ENSG00000174339	ENST00000307832	ENSOCUP00000015692
ENSG00000163606	ENST00000308611	ENSOCUP00000006277
ENSG00000163606	ENST00000308611	ENSOCUP00000022455
ENSG00000174667	ENST00000308682	ENSOCUP00000014489
ENSG00000174667	ENST00000308682	ENSOCUP00000004492
ENSG00000056291	ENST00000308744	ENSOCUP00000005942
ENSG00000172519	ENST00000308940	ENSOCUP00000018966
ENSG00000174123	ENST00000308973	ENSOCUP00000003207
ENSG00000174125	ENST00000308979	ENSOCUP00000016864
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSOCUP00000005090
ENSG00000174946	ENST00000309180	ENSOCUP00000005088
ENSG00000173578	ENST00000309285	ENSOCUP00000003728
ENSG00000172769	ENST00000309403	ENSOCUP00000012903
ENSG00000172774	ENST00000309433	ENSOCUP00000025552
ENSG00000163485	ENST00000309502	ENSOCUP00000009475
ENSG00000173391	ENST00000309539	ENSOCUP00000020358
ENSG00000175619	ENST00000309562	ENSOCUP00000022499
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	ENSOCUP00000000560
ENSG00000175393	ENST00000309838	ENSOCUP00000003657
ENSG00000173302	ENST00000309926	ENSOCUP00000021784
ENSG00000174343	ENST00000310169	ENSOCUP00000020890
ENSG00000197376	ENST00000310194	ENSOCUP00000015760
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSOCUP00000008785
ENSG00000088053	ENST00000310373	ENSOCUP00000025477
ENSG00000121716	ENST00000310771	ENSOCUP00000005134
ENSG00000173250	ENST00000311104	ENSOCUP00000005352
ENSG00000228567	ENST00000311170	ENSOCUP00000022056
ENSG00000228567	ENST00000311170	ENSOCUP00000023621
ENSG00000228567	ENST00000311170	ENSOCUP00000021319
ENSG00000228567	ENST00000311170	ENSOCUP00000020230
ENSG00000228567	ENST00000311170	ENSOCUP00000016391
ENSG00000228567	ENST00000311170	ENSOCUP00000023779
ENSG00000228567	ENST00000311170	ENSOCUP00000020080
ENSG00000066294	ENST00000311224	ENSOCUP00000015520
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	ENSOCUP00000019888
ENSG00000173567	ENST00000311519	ENSOCUP00000010722
ENSG00000166206	ENST00000311550	ENSOCUP00000003154
ENSG00000186513	ENST00000311591	ENSOCUP00000005265
ENSG00000174837	ENST00000312053	
ENSG00000174600	ENST00000312143	ENSOCUP00000010549
