Ensembl Gene ID	Ensembl Transcript ID	Dog Ensembl Protein ID
ENSG00000060656	ENST00000345512	ENSCAFP00000017096
ENSG00000062524	ENST00000263800	
ENSG00000064300	ENST00000172229	ENSCAFP00000024894
ENSG00000064547	ENST00000407877	ENSCAFP00000020893
ENSG00000064989	ENST00000392370	ENSCAFP00000021740
ENSG00000065325	ENST00000262441	ENSCAFP00000025714
ENSG00000065361	ENST00000267101	ENSCAFP00000000139
ENSG00000066056	ENST00000372476	ENSCAFP00000007922
ENSG00000066294	ENST00000311224	ENSCAFP00000018523
ENSG00000066468	ENST00000457416	ENSCAFP00000018223
ENSG00000067141	ENST00000261908	ENSCAFP00000026218
ENSG00000067182	ENST00000162749	ENSCAFP00000022401
ENSG00000068078	ENST00000340107	ENSCAFP00000024312
ENSG00000069018	ENST00000513104	ENSCAFP00000001552
ENSG00000069122	ENST00000452370	ENSCAFP00000003035
ENSG00000069431	ENST00000261200	ENSCAFP00000017907
ENSG00000069493	ENST00000261340	ENSCAFP00000020018
ENSG00000069696	ENST00000176183	ENSCAFP00000009808
ENSG00000069702	ENST00000212355	ENSCAFP00000029923
ENSG00000070018	ENST00000261349	ENSCAFP00000019674
ENSG00000070886	ENST00000166244	ENSCAFP00000021576
ENSG00000070985	ENST00000155858	ENSCAFP00000015002
ENSG00000072071	ENST00000340736	ENSCAFP00000024237
ENSG00000072274	ENST00000360110	ENSCAFP00000019067
ENSG00000072694	ENST00000358671	ENSCAFP00000034409
ENSG00000073008	ENST00000425690	ENSCAFP00000032429
ENSG00000073060	ENST00000261693	ENSCAFP00000010357
ENSG00000075073	ENST00000373306	ENSCAFP00000020552
ENSG00000075275	ENST00000262738	ENSCAFP00000001103
ENSG00000076356	ENST00000367033	ENSCAFP00000017423
ENSG00000077238	ENST00000395762	ENSCAFP00000025718
ENSG00000077585	ENST00000366592	ENSCAFP00000016358
ENSG00000077782	ENST00000425967	ENSCAFP00000009012
ENSG00000077943	ENST00000378076	ENSCAFP00000006951
ENSG00000078549	ENST00000304166	ENSCAFP00000004654
ENSG00000078589	ENST00000544091	ENSCAFP00000025475
ENSG00000080031	ENST00000376350	ENSCAFP00000003796
ENSG00000080224	ENST00000389672	ENSCAFP00000013394
ENSG00000080293	ENST00000019103	ENSCAFP00000007867
ENSG00000080644	ENST00000326828	ENSCAFP00000002496
ENSG00000081237	ENST00000442510	ENSCAFP00000016627
ENSG00000081479	ENST00000263816	ENSCAFP00000017993
ENSG00000081985	ENST00000262345	ENSCAFP00000027366
ENSG00000082556	ENST00000265572	ENSCAFP00000010260
ENSG00000082781	ENST00000296181	ENSCAFP00000018413
ENSG00000083454	ENST00000225328	ENSCAFP00000028595
ENSG00000083457	ENST00000263087	ENSCAFP00000028612
ENSG00000085514	ENST00000198536	ENSCAFP00000021392
ENSG00000085514	ENST00000198536	ENSCAFP00000021467
ENSG00000088053	ENST00000310373	
ENSG00000088812	ENST00000262919	ENSCAFP00000009513
ENSG00000089041	ENST00000546057	ENSCAFP00000012359
ENSG00000089692	ENST00000203629	ENSCAFP00000021640
ENSG00000090339	ENST00000264832	
ENSG00000091181	ENST00000446632	ENSCAFP00000034236
ENSG00000091409	ENST00000409080	ENSCAFP00000019213
ENSG00000092096	ENST00000206544	ENSCAFP00000016960
ENSG00000092421	ENST00000343348	ENSCAFP00000000277
ENSG00000092445	ENST00000263798	ENSCAFP00000014168
ENSG00000094661	ENST00000209540	ENSCAFP00000023811
ENSG00000094755	ENST00000518525	ENSCAFP00000024918
ENSG00000095970	ENST00000373113	ENSCAFP00000002305
ENSG00000096264	ENST00000373089	ENSCAFP00000002315
ENSG00000096433	ENST00000374316	ENSCAFP00000001606
ENSG00000096996	ENST00000430026	ENSCAFP00000031233
ENSG00000099250	ENST00000265371	ENSCAFP00000005656
ENSG00000099957	ENST00000413302	ENSCAFP00000022204
ENSG00000100368	ENST00000403662	ENSCAFP00000002191
ENSG00000100385	ENST00000216223	ENSCAFP00000002178
ENSG00000100739	ENST00000216629	
ENSG00000101000	ENST00000374477	ENSCAFP00000011762
ENSG00000101017	ENST00000372285	ENSCAFP00000014701
ENSG00000101180	ENST00000340177	ENSCAFP00000018526
ENSG00000101188	ENST00000370501	ENSCAFP00000018703
ENSG00000101204	ENST00000370263	
ENSG00000101292	ENST00000546004	ENSCAFP00000008999
ENSG00000101850	ENST00000467482	ENSCAFP00000016684
ENSG00000101890	ENST00000218006	ENSCAFP00000026657
ENSG00000101958	ENST00000218075	ENSCAFP00000017441
ENSG00000102076	ENST00000369951	ENSCAFP00000028751
ENSG00000102195	ENST00000218316	ENSCAFP00000028239
ENSG00000102239	ENST00000370648	ENSCAFP00000027963
ENSG00000102287	ENST00000370328	ENSCAFP00000032270
ENSG00000102468	ENST00000378688	ENSCAFP00000006664
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSCAFP00000026286
ENSG00000104290	ENST00000537916	ENSCAFP00000012176
ENSG00000104332	ENST00000220772	ENSCAFP00000008577
ENSG00000104870	ENST00000221466	ENSCAFP00000005404
ENSG00000104921	ENST00000346664	
ENSG00000104938	ENST00000327325	
ENSG00000104972	ENST00000324602	
ENSG00000104998	ENST00000263379	ENSCAFP00000024279
ENSG00000105281	ENST00000542575	ENSCAFP00000006244
ENSG00000105369	ENST00000221972	ENSCAFP00000007407
ENSG00000105383	ENST00000262262	
ENSG00000105426	ENST00000357368	ENSCAFP00000027836
ENSG00000105464	ENST00000263269	ENSCAFP00000005949
ENSG00000105699	ENST00000361790	ENSCAFP00000010522
ENSG00000105707	ENST00000262626	ENSCAFP00000010586
ENSG00000105737	ENST00000262895	ENSCAFP00000007350
ENSG00000105855	ENST00000222573	ENSCAFP00000003676
ENSG00000105976	ENST00000318493	ENSCAFP00000005067
ENSG00000106018	ENST00000262178	ENSCAFP00000007863
ENSG00000106113	ENST00000471646	ENSCAFP00000004610
ENSG00000106123	ENST00000392957	ENSCAFP00000005623
ENSG00000106128	ENST00000326139	ENSCAFP00000004636
ENSG00000106278	ENST00000393386	ENSCAFP00000005230
ENSG00000106327	ENST00000223051	ENSCAFP00000021123
ENSG00000106799	ENST00000374994	ENSCAFP00000003684
ENSG00000106991	ENST00000373203	ENSCAFP00000029800
ENSG00000107731	ENST00000335350	ENSCAFP00000021140
ENSG00000107779	ENST00000224764	ENSCAFP00000023698
ENSG00000108405	ENST00000225538	ENSCAFP00000028598
ENSG00000108556	ENST00000293780	ENSCAFP00000023282
ENSG00000108797	ENST00000264638	ENSCAFP00000021901
ENSG00000108947	ENST00000226091	
ENSG00000109158	ENST00000264318	ENSCAFP00000033560
ENSG00000109163	ENST00000226413	ENSCAFP00000004111
ENSG00000109738	ENST00000264428	ENSCAFP00000012663
ENSG00000109991	ENST00000263314	ENSCAFP00000011727
ENSG00000110148	ENST00000334619	ENSCAFP00000009585
ENSG00000110195	ENST00000312293	ENSCAFP00000008644
ENSG00000110324	ENST00000227752	ENSCAFP00000018903
ENSG00000110400	ENST00000264025	ENSCAFP00000017680
ENSG00000110448	ENST00000347785	ENSCAFP00000024058
ENSG00000110848	ENST00000228434	ENSCAFP00000020010
ENSG00000111199	ENST00000418703	ENSCAFP00000015911
ENSG00000111291	ENST00000228887	ENSCAFP00000019465
ENSG00000111432	ENST00000229030	ENSCAFP00000010143
ENSG00000111452	ENST00000261654	ENSCAFP00000009954
ENSG00000111729	ENST00000229332	
ENSG00000111796	ENST00000229402	ENSCAFP00000020030
ENSG00000111886	ENST00000402938	ENSCAFP00000004611
ENSG00000111981	ENST00000367345	
ENSG00000112038	ENST00000434900	ENSCAFP00000031991
ENSG00000112164	ENST00000373256	ENSCAFP00000002240
ENSG00000112195	ENST00000483722	ENSCAFP00000002310
ENSG00000112218	ENST00000417980	ENSCAFP00000005127
ENSG00000112414	ENST00000367609	ENSCAFP00000000415
ENSG00000112459	ENST00000230221	
ENSG00000112462	ENST00000377143	
ENSG00000112486	ENST00000400926	ENSCAFP00000030985
ENSG00000112902	ENST00000382496	ENSCAFP00000014851
ENSG00000112964	ENST00000230882	ENSCAFP00000027423
ENSG00000113070	ENST00000230990	ENSCAFP00000008586
ENSG00000113262	ENST00000231188	ENSCAFP00000000460
ENSG00000113327	ENST00000414552	ENSCAFP00000025383
ENSG00000113594	ENST00000263409	ENSCAFP00000027533
ENSG00000113721	ENST00000261799	ENSCAFP00000026915
ENSG00000113749	ENST00000377291	ENSCAFP00000024584
ENSG00000113763	ENST00000329542	ENSCAFP00000024468
ENSG00000114013	ENST00000330540	ENSCAFP00000017292
ENSG00000114554	ENST00000393409	ENSCAFP00000005952
ENSG00000114739	ENST00000352511	ENSCAFP00000007500
ENSG00000114812	ENST00000325123	ENSCAFP00000007864
ENSG00000115170	ENST00000263640	ENSCAFP00000035618
ENSG00000115221	ENST00000283249	ENSCAFP00000014567
ENSG00000115232	ENST00000397033	ENSCAFP00000020903
ENSG00000115353	ENST00000305249	ENSCAFP00000012041
ENSG00000115590	ENST00000332549	ENSCAFP00000030488
ENSG00000115594	ENST00000410023	ENSCAFP00000003138
ENSG00000115598	ENST00000264257	ENSCAFP00000003133
ENSG00000115602	ENST00000233954	ENSCAFP00000003129
ENSG00000115604	ENST00000410040	ENSCAFP00000003126
ENSG00000116014	ENST00000234371	ENSCAFP00000029074
ENSG00000116032	ENST00000234389	ENSCAFP00000029068
ENSG00000116106	ENST00000281821	ENSCAFP00000023565
ENSG00000116329	ENST00000234961	ENSCAFP00000017184
ENSG00000116678	ENST00000349533	ENSCAFP00000027454
ENSG00000116824	ENST00000369478	ENSCAFP00000014445
ENSG00000116996	ENST00000366570	ENSCAFP00000014741
ENSG00000117090	ENST00000302035	ENSCAFP00000034718
ENSG00000117114	ENST00000359929	ENSCAFP00000030154
ENSG00000117322	ENST00000367057	ENSCAFP00000017158
ENSG00000117335	ENST00000322875	ENSCAFP00000021036
ENSG00000117400	ENST00000372470	ENSCAFP00000032164
ENSG00000117425	ENST00000372192	ENSCAFP00000007005
ENSG00000117971	ENST00000261751	ENSCAFP00000002484
ENSG00000118257	ENST00000360409	ENSCAFP00000019551
ENSG00000118432	ENST00000369501	ENSCAFP00000004587
ENSG00000119121	ENST00000360774	ENSCAFP00000002558
ENSG00000119535	ENST00000373103	ENSCAFP00000005013
ENSG00000119686	ENST00000238667	ENSCAFP00000025100
ENSG00000119714	ENST00000531499	ENSCAFP00000025872
ENSG00000119737	ENST00000394705	
ENSG00000119973	ENST00000239032	ENSCAFP00000017667
ENSG00000120088	ENST00000398285	ENSCAFP00000020012
ENSG00000120156	ENST00000380036	ENSCAFP00000002485
ENSG00000120217	ENST00000381577	ENSCAFP00000003106
ENSG00000120251	ENST00000296526	ENSCAFP00000012709
ENSG00000120436	ENST00000366834	ENSCAFP00000001221
ENSG00000120586	ENST00000239761	ENSCAFP00000006719
ENSG00000120659	ENST00000239849	ENSCAFP00000006955
ENSG00000120889	ENST00000276431	
ENSG00000120903	ENST00000407991	ENSCAFP00000012536
ENSG00000120907	ENST00000380586	ENSCAFP00000012820
ENSG00000120949	ENST00000263932	ENSCAFP00000024179
ENSG00000121594	ENST00000264246	ENSCAFP00000016197
ENSG00000121753	ENST00000373658	ENSCAFP00000016037
ENSG00000121764	ENST00000403528	ENSCAFP00000016183
ENSG00000121797	ENST00000357392	ENSCAFP00000020316
ENSG00000121807	ENST00000292301	ENSCAFP00000020334
ENSG00000121853	ENST00000241256	ENSCAFP00000022639
ENSG00000121933	ENST00000369716	ENSCAFP00000020165
ENSG00000121966	ENST00000409817	ENSCAFP00000007600
ENSG00000121989	ENST00000241416	ENSCAFP00000008245
ENSG00000122025	ENST00000241453	ENSCAFP00000010018
ENSG00000122223	ENST00000368033	ENSCAFP00000018628
ENSG00000122375	ENST00000372071	ENSCAFP00000023514
ENSG00000122420	ENST00000370758	ENSCAFP00000030174
ENSG00000122679	ENST00000242249	ENSCAFP00000004688
ENSG00000123146	ENST00000242786	ENSCAFP00000024114
ENSG00000123384	ENST00000243077	ENSCAFP00000000266
ENSG00000123612	ENST00000243349	ENSCAFP00000013635
ENSG00000123901	ENST00000243673	ENSCAFP00000006197
ENSG00000124089	ENST00000243911	ENSCAFP00000017491
ENSG00000124145	ENST00000372733	ENSCAFP00000035197
ENSG00000124493	ENST00000374181	ENSCAFP00000001718
ENSG00000124557	ENST00000244513	ENSCAFP00000016010
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSCAFP00000002313
ENSG00000125245	ENST00000397473	ENSCAFP00000035502
ENSG00000125384	ENST00000245457	ENSCAFP00000021671
ENSG00000125498	ENST00000336077	
ENSG00000125510	ENST00000336866	ENSCAFP00000019429
ENSG00000125522	ENST00000369768	
ENSG00000125675	ENST00000264357	ENSCAFP00000027400
ENSG00000125810	ENST00000246006	ENSCAFP00000007697
ENSG00000125910	ENST00000246115	ENSCAFP00000028441
ENSG00000126010	ENST00000380289	ENSCAFP00000018079
ENSG00000126246	ENST00000246532	ENSCAFP00000010229
ENSG00000126251	ENST00000454971	ENSCAFP00000010437
ENSG00000126262	ENST00000246549	ENSCAFP00000010434
ENSG00000126266	ENST00000246553	ENSCAFP00000010444
ENSG00000126353	ENST00000246657	ENSCAFP00000023618
ENSG00000126777	ENST00000395309	ENSCAFP00000022380
ENSG00000126895	ENST00000358927	ENSCAFP00000028678
ENSG00000127364	ENST00000247881	ENSCAFP00000033093
ENSG00000127418	ENST00000398484	ENSCAFP00000024554
ENSG00000127507	ENST00000315576	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSCAFP00000023882
ENSG00000127533	ENST00000248076	ENSCAFP00000022941
ENSG00000128052	ENST00000263923	ENSCAFP00000003064
ENSG00000128271	ENST00000541988	ENSCAFP00000020374
ENSG00000128285	ENST00000249016	ENSCAFP00000001617
ENSG00000128310	ENST00000249041	ENSCAFP00000002089
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSCAFP00000002213
ENSG00000128617	ENST00000249389	ENSCAFP00000002388
ENSG00000129048	ENST00000249887	ENSCAFP00000009573
ENSG00000129749	ENST00000250699	
ENSG00000130164	ENST00000252444	ENSCAFP00000025841
ENSG00000130202	ENST00000252483	ENSCAFP00000006905
ENSG00000130234	ENST00000252519	ENSCAFP00000017867
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSCAFP00000005602
ENSG00000130538	ENST00000252835	ENSCAFP00000007984
ENSG00000131015	ENST00000367351	
ENSG00000131042	ENST00000391749	
ENSG00000131080	ENST00000374719	
ENSG00000131355	ENST00000253673	ENSCAFP00000023934
ENSG00000131724	ENST00000371666	ENSCAFP00000030717
ENSG00000132329	ENST00000254661	ENSCAFP00000032174
ENSG00000132334	ENST00000254667	ENSCAFP00000019505
ENSG00000132517	ENST00000254853	ENSCAFP00000002314
ENSG00000132518	ENST00000254854	ENSCAFP00000024862
ENSG00000132670	ENST00000380393	ENSCAFP00000009711
ENSG00000132671	ENST00000255008	
ENSG00000132704	ENST00000361516	ENSCAFP00000024220
ENSG00000132911	ENST00000255262	ENSCAFP00000026284
ENSG00000132975	ENST00000405846	ENSCAFP00000010166
ENSG00000133019	ENST00000255380	ENSCAFP00000014669
ENSG00000133067	ENST00000367278	ENSCAFP00000015480
ENSG00000133105	ENST00000298386	ENSCAFP00000009735
ENSG00000133216	ENST00000374632	ENSCAFP00000021569
ENSG00000133800	ENST00000256178	ENSCAFP00000011250
ENSG00000134061	ENST00000256447	ENSCAFP00000011263
ENSG00000134160	ENST00000397795	ENSCAFP00000015182
ENSG00000134243	ENST00000256637	ENSCAFP00000029371
ENSG00000134250	ENST00000256646	ENSCAFP00000015629
ENSG00000134352	ENST00000381298	
ENSG00000134460	ENST00000379959	ENSCAFP00000007785
ENSG00000134489	ENST00000256906	ENSCAFP00000026824
ENSG00000134539	ENST00000381907	ENSCAFP00000019826
ENSG00000134545	ENST00000359151	ENSCAFP00000020702
ENSG00000134569	ENST00000378623	ENSCAFP00000013217
ENSG00000134640	ENST00000257068	ENSCAFP00000006305
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	ENSCAFP00000006200
ENSG00000134853	ENST00000257290	ENSCAFP00000003038
ENSG00000135124	ENST00000337233	ENSCAFP00000012316
ENSG00000135218	ENST00000435819	ENSCAFP00000009599
ENSG00000135312	ENST00000369947	
ENSG00000135333	ENST00000369303	ENSCAFP00000005078
ENSG00000135409	ENST00000257863	ENSCAFP00000010309
ENSG00000135424	ENST00000257879	ENSCAFP00000000074
ENSG00000135503	ENST00000541224	ENSCAFP00000010923
ENSG00000135577	ENST00000258042	ENSCAFP00000000410
ENSG00000135622	ENST00000357877	ENSCAFP00000012240
ENSG00000135898	ENST00000392040	ENSCAFP00000015819
ENSG00000135902	ENST00000258385	ENSCAFP00000016617
ENSG00000135914	ENST00000258400	ENSCAFP00000016154
ENSG00000135960	ENST00000258443	ENSCAFP00000030977
ENSG00000135973	ENST00000258456	
ENSG00000136011	ENST00000388887	ENSCAFP00000010893
ENSG00000136040	ENST00000258526	ENSCAFP00000009304
ENSG00000136160	ENST00000334286	ENSCAFP00000007760
ENSG00000136834	ENST00000259357	
ENSG00000136839	ENST00000259362	ENSCAFP00000003924
ENSG00000136869	ENST00000355622	ENSCAFP00000031395
ENSG00000136928	ENST00000259455	ENSCAFP00000003627
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSCAFP00000001239
ENSG00000137070	ENST00000555003	ENSCAFP00000002871
ENSG00000137101	ENST00000396757	ENSCAFP00000034245
ENSG00000137252	ENST00000370862	ENSCAFP00000003376
ENSG00000137332	ENST00000259875	
ENSG00000137403	ENST00000383516	
ENSG00000137462	ENST00000260010	ENSCAFP00000012269
ENSG00000137642	ENST00000260197	ENSCAFP00000017344
ENSG00000137868	ENST00000395105	ENSCAFP00000026387
ENSG00000137872	ENST00000536845	ENSCAFP00000020549
ENSG00000138039	ENST00000294954	ENSCAFP00000031546
ENSG00000138271	ENST00000260843	ENSCAFP00000012523
ENSG00000138435	ENST00000261007	ENSCAFP00000019569
ENSG00000138448	ENST00000261023	ENSCAFP00000021616
ENSG00000138696	ENST00000515059	ENSCAFP00000014864
ENSG00000138741	ENST00000379645	ENSCAFP00000006106
ENSG00000138760	ENST00000264896	ENSCAFP00000012634
ENSG00000139187	ENST00000356986	
ENSG00000139193	ENST00000266557	ENSCAFP00000022326
ENSG00000139292	ENST00000266674	ENSCAFP00000000668
ENSG00000139514	ENST00000380752	ENSCAFP00000009958
ENSG00000139572	ENST00000267015	ENSCAFP00000009750
ENSG00000139626	ENST00000422257	ENSCAFP00000010499
ENSG00000139636	ENST00000267102	ENSCAFP00000012757
ENSG00000139679	ENST00000378434	
ENSG00000139874	ENST00000267377	ENSCAFP00000020273
ENSG00000140443	ENST00000268035	ENSCAFP00000016006
ENSG00000140538	ENST00000360948	ENSCAFP00000016839
ENSG00000140678	ENST00000268296	ENSCAFP00000030521
ENSG00000140749	ENST00000268389	ENSCAFP00000026133
ENSG00000141194	ENST00000268912	ENSCAFP00000031013
ENSG00000141458	ENST00000269228	ENSCAFP00000032390
ENSG00000141505	ENST00000269299	ENSCAFP00000023522
ENSG00000141655	ENST00000269485	ENSCAFP00000000112
ENSG00000141736	ENST00000269571	ENSCAFP00000024079
ENSG00000142166	ENST00000270139	ENSCAFP00000013368
ENSG00000142511	ENST00000270590	
ENSG00000142627	ENST00000358432	ENSCAFP00000023602
ENSG00000142949	ENST00000359947	ENSCAFP00000007649
ENSG00000143126	ENST00000271332	ENSCAFP00000029385
ENSG00000143127	ENST00000369304	ENSCAFP00000016696
ENSG00000143147	ENST00000367838	ENSCAFP00000022573
ENSG00000143167	ENST00000367868	ENSCAFP00000022917
ENSG00000143217	ENST00000368012	ENSCAFP00000018712
ENSG00000143226	ENST00000271450	ENSCAFP00000034409
ENSG00000143297	ENST00000361835	ENSCAFP00000024221
ENSG00000143324	ENST00000367590	ENSCAFP00000018859
ENSG00000144136	ENST00000272542	ENSCAFP00000010724
ENSG00000144230	ENST00000544369	
ENSG00000144407	ENST00000272847	ENSCAFP00000020180
ENSG00000144476	ENST00000272928	ENSCAFP00000017975
ENSG00000144481	ENST00000324695	ENSCAFP00000017598
ENSG00000144648	ENST00000442925	ENSCAFP00000008001
ENSG00000144668	ENST00000264741	ENSCAFP00000007206
ENSG00000144724	ENST00000474889	ENSCAFP00000010662
ENSG00000144820	ENST00000273352	ENSCAFP00000013736
ENSG00000144847	ENST00000393775	ENSCAFP00000015995
ENSG00000144891	ENST00000497524	
ENSG00000145103	ENST00000273691	ENSCAFP00000017270
ENSG00000145244	ENST00000273857	ENSCAFP00000002806
ENSG00000145451	ENST00000274093	ENSCAFP00000011700
ENSG00000145623	ENST00000274276	ENSCAFP00000027517
ENSG00000145863	ENST00000274545	ENSCAFP00000031612
ENSG00000145864	ENST00000393959	ENSCAFP00000025409
ENSG00000145888	ENST00000455880	ENSCAFP00000026303
ENSG00000146072	ENST00000296861	ENSCAFP00000003059
ENSG00000146072	ENST00000296861	ENSCAFP00000032150
ENSG00000146276	ENST00000454853	ENSCAFP00000004607
ENSG00000146360	ENST00000275169	ENSCAFP00000005732
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSCAFP00000005155
ENSG00000146904	ENST00000275815	ENSCAFP00000005359
ENSG00000146938	ENST00000381095	ENSCAFP00000016561
ENSG00000147138	ENST00000276077	ENSCAFP00000025480
ENSG00000147145	ENST00000435339	ENSCAFP00000025466
ENSG00000147168	ENST00000374202	ENSCAFP00000024886
ENSG00000147246	ENST00000276198	ENSCAFP00000026933
ENSG00000147262	ENST00000276218	ENSCAFP00000027678
ENSG00000147380	ENST00000369935	ENSCAFP00000028751
ENSG00000147402	ENST00000370306	ENSCAFP00000028269
ENSG00000147432	ENST00000289957	ENSCAFP00000008152
ENSG00000147434	ENST00000276410	ENSCAFP00000008128
ENSG00000147650	ENST00000276654	ENSCAFP00000000960
ENSG00000148136	ENST00000277216	
ENSG00000148215	ENST00000373680	ENSCAFP00000030047
ENSG00000148600	ENST00000372117	ENSCAFP00000023410
ENSG00000148604	ENST00000359452	ENSCAFP00000023432
ENSG00000148680	ENST00000336152	ENSCAFP00000010727
ENSG00000148734	ENST00000277942	ENSCAFP00000020700
ENSG00000149133	ENST00000278409	ENSCAFP00000035299
ENSG00000149295	ENST00000362072	ENSCAFP00000020466
ENSG00000149305	ENST00000260191	ENSCAFP00000019996
ENSG00000149403	ENST00000527524	ENSCAFP00000017493
ENSG00000149534	ENST00000278888	ENSCAFP00000015227
ENSG00000150045	ENST00000279544	
ENSG00000150048	ENST00000315330	ENSCAFP00000019911
ENSG00000150086	ENST00000279593	ENSCAFP00000019393
ENSG00000150093	ENST00000396033	ENSCAFP00000005728
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	ENSCAFP00000032818
ENSG00000150337	ENST00000369168	ENSCAFP00000016903
ENSG00000150471	ENST00000514591	ENSCAFP00000003447
ENSG00000150471	ENST00000514591	ENSCAFP00000003448
ENSG00000150594	ENST00000280155	ENSCAFP00000015948
ENSG00000150637	ENST00000280200	ENSCAFP00000000049
ENSG00000150938	ENST00000280527	ENSCAFP00000008820
ENSG00000150995	ENST00000302640	ENSCAFP00000008849
ENSG00000150995	ENST00000302640	ENSCAFP00000008870
ENSG00000151490	ENST00000281171	ENSCAFP00000018900
ENSG00000151577	ENST00000460779	ENSCAFP00000015904
ENSG00000151617	ENST00000324300	ENSCAFP00000011497
ENSG00000151834	ENST00000510861	ENSCAFP00000034615
ENSG00000152034	ENST00000445970	ENSCAFP00000005250
ENSG00000152207	ENST00000282018	ENSCAFP00000006603
ENSG00000152558	ENST00000398136	
ENSG00000152578	ENST00000282499	ENSCAFP00000021874
ENSG00000152822	ENST00000361719	ENSCAFP00000000481
ENSG00000152822	ENST00000361719	ENSCAFP00000000482
ENSG00000152894	ENST00000368213	ENSCAFP00000001548
ENSG00000152990	ENST00000334304	ENSCAFP00000024309
ENSG00000153029	ENST00000367580	
ENSG00000153208	ENST00000295408	ENSCAFP00000010599
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSCAFP00000000665
ENSG00000153246	ENST00000283243	ENSCAFP00000014137
ENSG00000153292	ENST00000371253	ENSCAFP00000003047
ENSG00000153294	ENST00000327753	ENSCAFP00000003076
ENSG00000153563	ENST00000283635	ENSCAFP00000011083
ENSG00000153707	ENST00000381196	ENSCAFP00000007660
ENSG00000154165	ENST00000284311	ENSCAFP00000013501
ENSG00000154269	ENST00000414305	ENSCAFP00000000005
ENSG00000154269	ENST00000414305	ENSCAFP00000000528
ENSG00000154309	ENST00000284476	ENSCAFP00000016718
ENSG00000154478	ENST00000284674	ENSCAFP00000018689
ENSG00000154639	ENST00000284878	ENSCAFP00000012169
ENSG00000155269	ENST00000382487	
ENSG00000155511	ENST00000285900	ENSCAFP00000026278
ENSG00000155760	ENST00000286201	ENSCAFP00000031132
ENSG00000156097	ENST00000527748	
ENSG00000156642	ENST00000345330	ENSCAFP00000026276
ENSG00000156920	ENST00000394143	ENSCAFP00000016093
ENSG00000157193	ENST00000306052	ENSCAFP00000028256
