Ensembl Gene ID	Ensembl Transcript ID	Cat Ensembl Protein ID
ENSG00000135577	ENST00000258042	ENSFCAP00000004266
ENSG00000135902	ENST00000258385	ENSFCAP00000005273
ENSG00000135914	ENST00000258400	ENSFCAP00000009363
ENSG00000135960	ENST00000258443	ENSFCAP00000011683
ENSG00000135973	ENST00000258456	ENSFCAP00000013798
ENSG00000136040	ENST00000258526	ENSFCAP00000011592
ENSG00000136834	ENST00000259357	ENSFCAP00000010269
ENSG00000136839	ENST00000259362	ENSFCAP00000000183
ENSG00000136928	ENST00000259455	ENSFCAP00000008183
ENSG00000136939	ENST00000259466	ENSFCAP00000012891
ENSG00000136960	ENST00000259486	ENSFCAP00000010160
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSFCAP00000004610
ENSG00000137642	ENST00000260197	ENSFCAP00000012262
ENSG00000138271	ENST00000260843	ENSFCAP00000009649
ENSG00000138435	ENST00000261007	ENSFCAP00000013080
ENSG00000138448	ENST00000261023	ENSFCAP00000005254
ENSG00000069431	ENST00000261200	ENSFCAP00000011620
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSFCAP00000000041
ENSG00000240505	ENST00000261652	ENSFCAP00000006540
ENSG00000111452	ENST00000261654	ENSFCAP00000013299
ENSG00000073060	ENST00000261693	ENSFCAP00000013525
ENSG00000117971	ENST00000261751	
ENSG00000113721	ENST00000261799	ENSFCAP00000003349
ENSG00000067141	ENST00000261908	ENSFCAP00000004844
ENSG00000037280	ENST00000261937	ENSFCAP00000001741
ENSG00000038945	ENST00000262101	ENSFCAP00000006454
ENSG00000106018	ENST00000262178	ENSFCAP00000008378
ENSG00000105383	ENST00000262262	ENSFCAP00000002630
ENSG00000081985	ENST00000262345	ENSFCAP00000001795
ENSG00000005961	ENST00000262407	ENSFCAP00000002813
ENSG00000065325	ENST00000262441	ENSFCAP00000001707
ENSG00000105707	ENST00000262626	ENSFCAP00000008232
ENSG00000075275	ENST00000262738	ENSFCAP00000006071
ENSG00000105737	ENST00000262895	ENSFCAP00000011803
ENSG00000088812	ENST00000262919	ENSFCAP00000006843
ENSG00000083457	ENST00000263087	ENSFCAP00000007343
ENSG00000105464	ENST00000263269	ENSFCAP00000015998
ENSG00000010310	ENST00000263281	ENSFCAP00000006799
ENSG00000109991	ENST00000263314	ENSFCAP00000004706
ENSG00000104998	ENST00000263379	ENSFCAP00000003430
ENSG00000113594	ENST00000263409	ENSFCAP00000016111
ENSG00000054219	ENST00000263636	ENSFCAP00000006571
ENSG00000115170	ENST00000263640	ENSFCAP00000007462
ENSG00000092445	ENST00000263798	ENSFCAP00000011707
ENSG00000062524	ENST00000263800	ENSFCAP00000011705
ENSG00000081479	ENST00000263816	ENSFCAP00000005687
ENSG00000128052	ENST00000263923	ENSFCAP00000008977
ENSG00000120949	ENST00000263932	ENSFCAP00000001350
ENSG00000110400	ENST00000264025	ENSFCAP00000005096
ENSG00000121594	ENST00000264246	ENSFCAP00000008890
ENSG00000115598	ENST00000264257	
ENSG00000109158	ENST00000264318	ENSFCAP00000015504
ENSG00000125675	ENST00000264357	ENSFCAP00000007694
ENSG00000109738	ENST00000264428	
ENSG00000108797	ENST00000264638	ENSFCAP00000012176
ENSG00000144668	ENST00000264741	ENSFCAP00000002105
ENSG00000090339	ENST00000264832	ENSFCAP00000008747
ENSG00000138760	ENST00000264896	ENSFCAP00000001039
ENSG00000099250	ENST00000265371	ENSFCAP00000005785
ENSG00000082556	ENST00000265572	ENSFCAP00000012771
ENSG00000139193	ENST00000266557	ENSFCAP00000006378
ENSG00000139292	ENST00000266674	ENSFCAP00000007472
ENSG00000139572	ENST00000267015	ENSFCAP00000009427
ENSG00000065361	ENST00000267101	ENSFCAP00000013783
ENSG00000139636	ENST00000267102	ENSFCAP00000000091
ENSG00000139874	ENST00000267377	ENSFCAP00000008801
ENSG00000140443	ENST00000268035	ENSFCAP00000016299
ENSG00000140678	ENST00000268296	ENSFCAP00000004029
ENSG00000140749	ENST00000268389	ENSFCAP00000006209
ENSG00000141194	ENST00000268912	ENSFCAP00000011371
ENSG00000141458	ENST00000269228	ENSFCAP00000000483
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	
ENSG00000141736	ENST00000269571	ENSFCAP00000009189
ENSG00000142166	ENST00000270139	
ENSG00000187244	ENST00000270233	ENSFCAP00000004423
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSFCAP00000014151
ENSG00000143226	ENST00000271450	ENSFCAP00000007561
ENSG00000163518	ENST00000271532	ENSFCAP00000009323
ENSG00000144136	ENST00000272542	ENSFCAP00000007501
ENSG00000144407	ENST00000272847	ENSFCAP00000003670
ENSG00000144476	ENST00000272928	ENSFCAP00000011652
ENSG00000144820	ENST00000273352	ENSFCAP00000009715
ENSG00000145103	ENST00000273691	ENSFCAP00000008077
ENSG00000145242	ENST00000273854	ENSFCAP00000015500
ENSG00000145244	ENST00000273857	ENSFCAP00000005691
ENSG00000145451	ENST00000274093	
ENSG00000145623	ENST00000274276	ENSFCAP00000007490
ENSG00000145863	ENST00000274545	ENSFCAP00000010042
ENSG00000146360	ENST00000275169	ENSFCAP00000012704
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSFCAP00000014342
ENSG00000146904	ENST00000275815	ENSFCAP00000006751
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	
ENSG00000147262	ENST00000276218	
ENSG00000147434	ENST00000276410	
ENSG00000120889	ENST00000276431	ENSFCAP00000005266
ENSG00000147650	ENST00000276654	ENSFCAP00000008331
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	ENSFCAP00000006838
ENSG00000148734	ENST00000277942	ENSFCAP00000001138
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSFCAP00000011330
ENSG00000150045	ENST00000279544	ENSFCAP00000008187
ENSG00000150086	ENST00000279593	ENSFCAP00000012231
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	ENSFCAP00000010523
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	
ENSG00000150938	ENST00000280527	ENSFCAP00000009731
ENSG00000151490	ENST00000281171	ENSFCAP00000008109
ENSG00000116106	ENST00000281821	ENSFCAP00000007143
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSFCAP00000013831
ENSG00000152578	ENST00000282499	ENSFCAP00000014471
ENSG00000213949	ENST00000282588	ENSFCAP00000011192
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSFCAP00000005744
ENSG00000153246	ENST00000283243	ENSFCAP00000006572
ENSG00000115221	ENST00000283249	
ENSG00000153563	ENST00000283635	ENSFCAP00000013754
ENSG00000196119	ENST00000284287	ENSFCAP00000016341
ENSG00000154165	ENST00000284311	
ENSG00000154309	ENST00000284476	ENSFCAP00000006344
ENSG00000154478	ENST00000284674	ENSFCAP00000012293
ENSG00000154639	ENST00000284878	ENSFCAP00000002680
ENSG00000155249	ENST00000285600	
ENSG00000155511	ENST00000285900	ENSFCAP00000004843
ENSG00000155760	ENST00000286201	
ENSG00000182578	ENST00000286301	
ENSG00000157219	ENST00000287907	ENSFCAP00000014098
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSFCAP00000002867
ENSG00000056736	ENST00000288167	ENSFCAP00000005221
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	ENSFCAP00000009523
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	ENSFCAP00000014622
ENSG00000147432	ENST00000289957	ENSFCAP00000009356
ENSG00000243646	ENST00000290200	ENSFCAP00000011332
ENSG00000159128	ENST00000290219	ENSFCAP00000008643
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSFCAP00000013260
ENSG00000160013	ENST00000291294	
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	ENSFCAP00000005196
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	
ENSG00000160951	ENST00000292513	ENSFCAP00000012516
ENSG00000161509	ENST00000293190	ENSFCAP00000015902
ENSG00000161638	ENST00000293379	ENSFCAP00000009429
ENSG00000161807	ENST00000293614	ENSFCAP00000006118
ENSG00000161921	ENST00000293778	
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	ENSFCAP00000011747
ENSG00000138039	ENST00000294954	ENSFCAP00000008580
ENSG00000153208	ENST00000295408	ENSFCAP00000007493
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSFCAP00000016331
ENSG00000163288	ENST00000295454	ENSFCAP00000006606
ENSG00000163394	ENST00000295589	ENSFCAP00000007147
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSFCAP00000010452
ENSG00000163702	ENST00000295981	ENSFCAP00000013177
ENSG00000163785	ENST00000296084	ENSFCAP00000002744
ENSG00000163823	ENST00000296140	ENSFCAP00000006339
ENSG00000082781	ENST00000296181	ENSFCAP00000014000
ENSG00000163914	ENST00000296271	ENSFCAP00000000085
ENSG00000164078	ENST00000296474	ENSFCAP00000009922
ENSG00000120251	ENST00000296526	
ENSG00000164128	ENST00000296533	ENSFCAP00000005481
ENSG00000164171	ENST00000296585	ENSFCAP00000011193
ENSG00000164220	ENST00000296641	ENSFCAP00000003063
ENSG00000164251	ENST00000296677	
ENSG00000164342	ENST00000296795	ENSFCAP00000005756
ENSG00000146072	ENST00000296861	ENSFCAP00000006824
ENSG00000164393	ENST00000296862	ENSFCAP00000002264
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	ENSFCAP00000001150
ENSG00000133105	ENST00000298386	
ENSG00000165621	ENST00000298440	
ENSG00000165682	ENST00000298527	ENSFCAP00000003980
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSFCAP00000010638
ENSG00000166148	ENST00000299178	ENSFCAP00000013325
ENSG00000166363	ENST00000299454	ENSFCAP00000013811
ENSG00000166368	ENST00000299459	
ENSG00000169684	ENST00000299565	ENSFCAP00000001784
ENSG00000166573	ENST00000299727	ENSFCAP00000008048
ENSG00000166603	ENST00000299766	ENSFCAP00000006076
ENSG00000166682	ENST00000299882	ENSFCAP00000007877
ENSG00000166825	ENST00000300060	ENSFCAP00000008319
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	
ENSG00000167286	ENST00000300692	ENSFCAP00000010929
ENSG00000242180	ENST00000300773	ENSFCAP00000010738
ENSG00000167360	ENST00000300778	ENSFCAP00000013877
ENSG00000167601	ENST00000301178	ENSFCAP00000015459
ENSG00000167822	ENST00000301529	ENSFCAP00000009348
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSFCAP00000014053
ENSG00000117090	ENST00000302035	ENSFCAP00000003628
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	ENSFCAP00000008758
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	ENSFCAP00000003175
ENSG00000172208	ENST00000302329	
ENSG00000171522	ENST00000302472	ENSFCAP00000013516
ENSG00000171657	ENST00000302548	ENSFCAP00000010363
ENSG00000172362	ENST00000302572	
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	
ENSG00000172377	ENST00000302610	
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	ENSFCAP00000006173
ENSG00000169313	ENST00000302632	
ENSG00000150995	ENST00000302640	ENSFCAP00000002279
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSFCAP00000002790
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	ENSFCAP00000014487
ENSG00000172459	ENST00000302969	
ENSG00000172464	ENST00000302981	
ENSG00000172487	ENST00000303039	ENSFCAP00000009348
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSFCAP00000008526
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	
ENSG00000169604	ENST00000303714	ENSFCAP00000007035
ENSG00000169618	ENST00000303786	ENSFCAP00000010373
ENSG00000170775	ENST00000303921	
ENSG00000172243	ENST00000304084	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSFCAP00000002343
ENSG00000170425	ENST00000304222	
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSFCAP00000010513
ENSG00000172209	ENST00000304402	
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSFCAP00000007994
ENSG00000171459	ENST00000304720	ENSFCAP00000012891
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSFCAP00000012813
ENSG00000171484	ENST00000304833	
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	ENSFCAP00000002207
ENSG00000168158	ENST00000304936	ENSFCAP00000011387
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSFCAP00000001843
ENSG00000169860	ENST00000305097	ENSFCAP00000012075
ENSG00000171596	ENST00000305141	ENSFCAP00000001805
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSFCAP00000005559
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSFCAP00000006424
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSFCAP00000001698
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	ENSFCAP00000007370
ENSG00000168229	ENST00000306051	ENSFCAP00000002916
ENSG00000157193	ENST00000306052	ENSFCAP00000005509
ENSG00000170175	ENST00000306071	ENSFCAP00000008914
ENSG00000170214	ENST00000306675	ENSFCAP00000010355
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	ENSFCAP00000007897
ENSG00000168539	ENST00000306960	ENSFCAP00000000309
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000170790	ENST00000307322	ENSFCAP00000013811
ENSG00000171944	ENST00000307388	ENSFCAP00000000486
ENSG00000170803	ENST00000307401	ENSFCAP00000000578
ENSG00000172289	ENST00000307552	ENSFCAP00000003604
ENSG00000196778	ENST00000307632	ENSFCAP00000014198
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	
ENSG00000174339	ENST00000307832	
ENSG00000174667	ENST00000308682	ENSFCAP00000013476
ENSG00000056291	ENST00000308744	ENSFCAP00000001125
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	ENSFCAP00000007099
ENSG00000174125	ENST00000308979	ENSFCAP00000007101
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSFCAP00000009648
ENSG00000173578	ENST00000309285	
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	
ENSG00000163485	ENST00000309502	ENSFCAP00000012157
ENSG00000173391	ENST00000309539	ENSFCAP00000001328
ENSG00000175619	ENST00000309562	
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSFCAP00000000674
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSFCAP00000011498
ENSG00000197376	ENST00000310194	ENSFCAP00000013091
ENSG00000173612	ENST00000310357	
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	ENSFCAP00000010034
ENSG00000173250	ENST00000311104	ENSFCAP00000009341
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSFCAP00000003627
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	ENSFCAP00000004274
ENSG00000173567	ENST00000311519	ENSFCAP00000008353
ENSG00000166206	ENST00000311550	ENSFCAP00000011083
ENSG00000186513	ENST00000311591	ENSFCAP00000006176
ENSG00000174837	ENST00000312053	ENSFCAP00000004681
ENSG00000174600	ENST00000312143	ENSFCAP00000010114
ENSG00000174914	ENST00000312153	
ENSG00000174937	ENST00000312240	ENSFCAP00000012493
ENSG00000174942	ENST00000312253	ENSFCAP00000009349
ENSG00000110195	ENST00000312293	ENSFCAP00000004935
ENSG00000174957	ENST00000312298	ENSFCAP00000005125
ENSG00000174970	ENST00000312345	ENSFCAP00000003857
ENSG00000174982	ENST00000312422	
ENSG00000175514	ENST00000312457	ENSFCAP00000003135
ENSG00000226288	ENST00000312614	ENSFCAP00000014200
ENSG00000173762	ENST00000312648	
ENSG00000181689	ENST00000312711	
ENSG00000181693	ENST00000313022	ENSFCAP00000000868
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSFCAP00000003052
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSFCAP00000012679
ENSG00000181752	ENST00000313447	ENSFCAP00000010859
ENSG00000181761	ENST00000313472	ENSFCAP00000000868
ENSG00000181767	ENST00000313503	ENSFCAP00000000868
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	ENSFCAP00000014517
ENSG00000179546	ENST00000314113	ENSFCAP00000010808
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	ENSFCAP00000003922
ENSG00000178789	ENST00000314401	ENSFCAP00000007597
ENSG00000181927	ENST00000314612	ENSFCAP00000008009
ENSG00000181935	ENST00000314634	
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	ENSFCAP00000008020
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSFCAP00000001327
ENSG00000176198	ENST00000315409	ENSFCAP00000009596
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	ENSFCAP00000005246
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	ENSFCAP00000003979
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	ENSFCAP00000004202
ENSG00000176294	ENST00000315947	ENSFCAP00000003564
ENSG00000176299	ENST00000315957	ENSFCAP00000005295
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	ENSFCAP00000013663
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	ENSFCAP00000006582
ENSG00000181001	ENST00000317078	ENSFCAP00000006584
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	ENSFCAP00000012790
ENSG00000161649	ENST00000317310	ENSFCAP00000009199
ENSG00000177151	ENST00000317450	
ENSG00000175898	ENST00000317726	ENSFCAP00000012060
ENSG00000180245	ENST00000317735	ENSFCAP00000005064
ENSG00000178358	ENST00000317834	ENSFCAP00000011456
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	ENSFCAP00000004138
ENSG00000177212	ENST00000318021	ENSFCAP00000004138
ENSG00000176695	ENST00000318050	ENSFCAP00000001841
ENSG00000177275	ENST00000318244	
ENSG00000178084	ENST00000318351	ENSFCAP00000007209
ENSG00000105976	ENST00000318493	ENSFCAP00000008842
ENSG00000180871	ENST00000318507	
ENSG00000197309	ENST00000318666	
ENSG00000177535	ENST00000318749	ENSFCAP00000009705
ENSG00000179055	ENST00000318763	ENSFCAP00000007169
ENSG00000181104	ENST00000319211	ENSFCAP00000003064
ENSG00000177663	ENST00000319363	ENSFCAP00000011285
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSFCAP00000007406
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	ENSFCAP00000008968
ENSG00000177462	ENST00000319968	ENSFCAP00000004138
ENSG00000176555	ENST00000319988	ENSFCAP00000008967
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	
ENSG00000254737	ENST00000320891	ENSFCAP00000003398
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSFCAP00000012170
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	ENSFCAP00000008191
ENSG00000181518	ENST00000321355	
ENSG00000176787	ENST00000321522	
ENSG00000176798	ENST00000321543	
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSFCAP00000010211
ENSG00000176904	ENST00000322059	ENSFCAP00000010209
ENSG00000176922	ENST00000322101	ENSFCAP00000010208
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000181616	ENST00000322653	ENSFCAP00000009967
ENSG00000179695	ENST00000322678	
ENSG00000117335	ENST00000322875	
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSFCAP00000014608
ENSG00000178394	ENST00000323865	ENSFCAP00000012895
ENSG00000181733	ENST00000324060	
