Ensembl Gene ID	Ensembl Transcript ID	Marmoset Ensembl Protein ID	
ENSG00000080031	ENST00000376350	ENSCJAP00000032519	
ENSG00000080224	ENST00000389672	ENSCJAP00000015834	
ENSG00000080293	ENST00000019103	ENSCJAP00000039896	
ENSG00000080644	ENST00000326828	ENSCJAP00000019238	
ENSG00000081237	ENST00000442510	ENSCJAP00000009180	
ENSG00000081479	ENST00000263816	ENSCJAP00000011964	
ENSG00000081985	ENST00000262345	ENSCJAP00000032090	
ENSG00000082556	ENST00000265572	ENSCJAP00000026722	
ENSG00000082781	ENST00000296181	ENSCJAP00000012245	
ENSG00000083454	ENST00000225328	ENSCJAP00000013307	
ENSG00000083457	ENST00000263087	ENSCJAP00000013330	
ENSG00000085514	ENST00000198536	ENSCJAP00000028324	
ENSG00000088053	ENST00000310373	
ENSG00000088812	ENST00000262919	ENSCJAP00000039388	
ENSG00000089041	ENST00000546057	ENSCJAP00000043733	
ENSG00000089692	ENST00000203629	ENSCJAP00000014207	
ENSG00000090339	ENST00000264832	
ENSG00000091181	ENST00000446632	ENSCJAP00000028471	
ENSG00000091409	ENST00000409080	ENSCJAP00000013919	
ENSG00000092096	ENST00000206544	ENSCJAP00000014707	
ENSG00000092421	ENST00000343348	ENSCJAP00000031942	
ENSG00000092445	ENST00000263798	ENSCJAP00000038512	
ENSG00000094661	ENST00000209540	
ENSG00000094755	ENST00000518525	ENSCJAP00000036074	
ENSG00000095970	ENST00000373113	ENSCJAP00000045567	
ENSG00000096264	ENST00000373089	ENSCJAP00000007581	
ENSG00000096433	ENST00000374316	ENSCJAP00000022306	
ENSG00000096996	ENST00000430026	
ENSG00000099250	ENST00000265371	ENSCJAP00000025395	
ENSG00000099957	ENST00000413302	ENSCJAP00000029369	
ENSG00000100368	ENST00000403662	ENSCJAP00000023252	
ENSG00000100385	ENST00000216223	ENSCJAP00000003842	
ENSG00000100739	ENST00000216629	
ENSG00000101000	ENST00000374477	ENSCJAP00000032987	
ENSG00000101017	ENST00000372285	ENSCJAP00000031479	
ENSG00000101180	ENST00000340177	ENSCJAP00000026404	
ENSG00000101188	ENST00000370501	ENSCJAP00000018058	
ENSG00000101204	ENST00000370263	ENSCJAP00000018726	
ENSG00000101292	ENST00000546004	ENSCJAP00000039618	
ENSG00000101850	ENST00000467482	ENSCJAP00000001566	
ENSG00000101890	ENST00000218006	ENSCJAP00000013782	
ENSG00000101958	ENST00000218075	ENSCJAP00000007391	
ENSG00000102076	ENST00000369951	ENSCJAP00000026548	
ENSG00000102195	ENST00000218316	ENSCJAP00000007143	
ENSG00000102239	ENST00000370648	ENSCJAP00000006749	
ENSG00000102287	ENST00000370328	ENSCJAP00000007015	
ENSG00000102468	ENST00000378688	ENSCJAP00000017157	
ENSG00000102539	ENST00000218721	ENSCJAP00000016414	
ENSG00000103310	ENST00000219593	ENSCJAP00000016971	
ENSG00000104290	ENST00000537916	ENSCJAP00000028677	
ENSG00000104332	ENST00000220772	ENSCJAP00000020441	
ENSG00000104870	ENST00000221466	ENSCJAP00000000117	
ENSG00000104921	ENST00000346664	ENSCJAP00000016023	
ENSG00000104938	ENST00000327325	
ENSG00000104972	ENST00000324602	
ENSG00000104998	ENST00000263379	ENSCJAP00000009053	
ENSG00000105281	ENST00000542575	ENSCJAP00000021537	
ENSG00000105369	ENST00000221972	ENSCJAP00000037642	
ENSG00000105383	ENST00000262262	ENSCJAP00000034562	
ENSG00000105426	ENST00000357368	ENSCJAP00000031944	
ENSG00000105464	ENST00000263269	ENSCJAP00000000799	
ENSG00000105699	ENST00000361790	ENSCJAP00000019471	
ENSG00000105707	ENST00000262626	ENSCJAP00000019647	
ENSG00000105737	ENST00000262895	ENSCJAP00000023340	
ENSG00000105855	ENST00000222573	ENSCJAP00000002039	
ENSG00000105976	ENST00000318493	ENSCJAP00000009442	
ENSG00000106018	ENST00000262178	ENSCJAP00000051965	
ENSG00000106113	ENST00000471646	ENSCJAP00000048048	
ENSG00000106123	ENST00000392957	ENSCJAP00000035308	
ENSG00000106128	ENST00000326139	ENSCJAP00000016294	
ENSG00000106278	ENST00000393386	ENSCJAP00000031784	
ENSG00000106327	ENST00000223051	ENSCJAP00000027982	
ENSG00000106799	ENST00000374994	ENSCJAP00000020730	
ENSG00000106991	ENST00000373203	ENSCJAP00000036970	
ENSG00000107731	ENST00000335350	ENSCJAP00000013058	
ENSG00000107779	ENST00000224764	ENSCJAP00000021275	
ENSG00000108405	ENST00000225538	ENSCJAP00000021321	
ENSG00000108556	ENST00000293780	ENSCJAP00000021678	
ENSG00000108797	ENST00000264638	ENSCJAP00000024765	
ENSG00000108947	ENST00000226091	ENSCJAP00000027245	
ENSG00000109158	ENST00000264318	ENSCJAP00000035287	
ENSG00000109163	ENST00000226413	ENSCJAP00000018045	
ENSG00000109738	ENST00000264428	ENSCJAP00000042055	
ENSG00000109991	ENST00000263314	ENSCJAP00000016474	
ENSG00000110148	ENST00000334619	ENSCJAP00000048648	
ENSG00000110195	ENST00000312293	ENSCJAP00000028067	
ENSG00000110324	ENST00000227752	ENSCJAP00000024020	
ENSG00000110400	ENST00000264025	ENSCJAP00000025978	
ENSG00000110448	ENST00000347785	ENSCJAP00000031972	
ENSG00000110848	ENST00000228434	ENSCJAP00000034471	
ENSG00000111199	ENST00000418703	ENSCJAP00000018042	
ENSG00000111291	ENST00000228887	ENSCJAP00000040265	
ENSG00000111432	ENST00000229030	ENSCJAP00000041388	
ENSG00000111452	ENST00000261654	ENSCJAP00000007262	
ENSG00000111729	ENST00000229332	ENSCJAP00000035155	
ENSG00000111796	ENST00000229402	ENSCJAP00000020507	
ENSG00000111886	ENST00000402938	ENSCJAP00000001442	
ENSG00000111981	ENST00000367345	ENSCJAP00000040105	
ENSG00000112038	ENST00000434900	ENSCJAP00000023376	
ENSG00000112164	ENST00000373256	ENSCJAP00000010801	
ENSG00000112195	ENST00000483722	ENSCJAP00000007518	
ENSG00000112218	ENST00000417980	ENSCJAP00000002150	
ENSG00000112414	ENST00000367609	ENSCJAP00000035606	
ENSG00000112459	ENST00000230221	
ENSG00000112462	ENST00000377143	
ENSG00000112486	ENST00000400926	ENSCJAP00000000855	
ENSG00000112902	ENST00000382496	ENSCJAP00000016397	
ENSG00000112964	ENST00000230882	ENSCJAP00000002192	
ENSG00000113070	ENST00000230990	ENSCJAP00000030929	
ENSG00000113262	ENST00000231188	ENSCJAP00000035064	
ENSG00000113327	ENST00000414552	ENSCJAP00000028197	
ENSG00000113594	ENST00000263409	ENSCJAP00000014200	
ENSG00000113721	ENST00000261799	ENSCJAP00000039223	
ENSG00000113749	ENST00000377291	ENSCJAP00000009848	
ENSG00000113763	ENST00000329542	ENSCJAP00000013522	
ENSG00000114013	ENST00000330540	ENSCJAP00000015183	
ENSG00000114554	ENST00000393409	ENSCJAP00000020980	
ENSG00000114739	ENST00000352511	ENSCJAP00000018577	
ENSG00000114812	ENST00000325123	ENSCJAP00000016236	
ENSG00000115170	ENST00000263640	ENSCJAP00000028325	
ENSG00000115221	ENST00000283249	ENSCJAP00000048999	
ENSG00000115232	ENST00000397033	ENSCJAP00000021227	
ENSG00000115353	ENST00000305249	ENSCJAP00000031522	
ENSG00000115590	ENST00000332549	ENSCJAP00000015488	
ENSG00000115594	ENST00000410023	ENSCJAP00000015437	
ENSG00000115598	ENST00000264257	ENSCJAP00000015367	
ENSG00000115602	ENST00000233954	ENSCJAP00000015342	
ENSG00000115604	ENST00000410040	ENSCJAP00000015317	
ENSG00000116014	ENST00000234371	
ENSG00000116032	ENST00000234389	ENSCJAP00000014013	
ENSG00000116106	ENST00000281821	ENSCJAP00000042079	
ENSG00000116329	ENST00000234961	ENSCJAP00000018015	
ENSG00000116678	ENST00000349533	ENSCJAP00000031278	
ENSG00000116824	ENST00000369478	ENSCJAP00000011014	
ENSG00000116996	ENST00000366570	ENSCJAP00000032230	
ENSG00000117090	ENST00000302035	ENSCJAP00000010489	
ENSG00000117114	ENST00000359929	ENSCJAP00000013485	
ENSG00000117322	ENST00000367057	ENSCJAP00000033891	
ENSG00000117335	ENST00000322875	ENSCJAP00000006951	
ENSG00000117400	ENST00000372470	ENSCJAP00000006196	
ENSG00000117425	ENST00000372192	ENSCJAP00000007922	
ENSG00000117971	ENST00000261751	ENSCJAP00000019281	
ENSG00000118257	ENST00000360409	ENSCJAP00000049816	
ENSG00000118432	ENST00000369501	ENSCJAP00000001324	
ENSG00000119121	ENST00000360774	ENSCJAP00000002084	
ENSG00000119535	ENST00000373103	ENSCJAP00000003344	
ENSG00000119686	ENST00000238667	ENSCJAP00000038404	
ENSG00000119714	ENST00000531499	ENSCJAP00000040607	
ENSG00000119737	ENST00000394705	
ENSG00000119973	ENST00000239032	ENSCJAP00000036347	
ENSG00000120088	ENST00000398285	ENSCJAP00000037169	
ENSG00000120156	ENST00000380036	ENSCJAP00000034130	
ENSG00000120217	ENST00000381577	ENSCJAP00000020977	
ENSG00000120251	ENST00000296526	ENSCJAP00000002896	
ENSG00000120436	ENST00000366834	ENSCJAP00000000857	
ENSG00000120586	ENST00000239761	ENSCJAP00000015756	
ENSG00000120659	ENST00000239849	ENSCJAP00000032484	
ENSG00000120889	ENST00000276431	
ENSG00000120903	ENST00000407991	ENSCJAP00000045291	
ENSG00000120907	ENST00000380586	ENSCJAP00000036959	
ENSG00000120949	ENST00000263932	
ENSG00000121594	ENST00000264246	ENSCJAP00000016441	
ENSG00000121716	ENST00000310771	ENSCJAP00000028324	
ENSG00000121753	ENST00000373658	ENSCJAP00000012043	
ENSG00000121764	ENST00000403528	ENSCJAP00000011697	
ENSG00000121797	ENST00000357392	ENSCJAP00000040532	
ENSG00000121807	ENST00000292301	ENSCJAP00000003786	
ENSG00000121853	ENST00000241256	ENSCJAP00000003974	
ENSG00000121933	ENST00000369716	ENSCJAP00000024580	
ENSG00000121966	ENST00000409817	ENSCJAP00000022127	
ENSG00000121989	ENST00000241416	ENSCJAP00000022973	
ENSG00000122025	ENST00000241453	ENSCJAP00000036049	
ENSG00000122223	ENST00000368033	ENSCJAP00000010222	
ENSG00000122375	ENST00000372071	ENSCJAP00000021170	
ENSG00000122420	ENST00000370758	ENSCJAP00000013310	
ENSG00000122679	ENST00000242249	ENSCJAP00000021657	
ENSG00000122718	ENST00000341959	ENSCJAP00000041310	
ENSG00000123146	ENST00000242786	ENSCJAP00000008807	
ENSG00000123384	ENST00000243077	ENSCJAP00000018994	
ENSG00000123612	ENST00000243349	ENSCJAP00000028369	
ENSG00000123901	ENST00000243673	ENSCJAP00000007220	
ENSG00000124089	ENST00000243911	
ENSG00000124145	ENST00000372733	ENSCJAP00000032285	
ENSG00000124334	ENST00000244174	ENSCJAP00000015689	
ENSG00000124493	ENST00000374181	ENSCJAP00000028152	
ENSG00000124557	ENST00000244513	ENSCJAP00000020392	
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSCJAP00000007559	
ENSG00000125245	ENST00000397473	ENSCJAP00000041810	
ENSG00000125384	ENST00000245457	ENSCJAP00000013061	
ENSG00000125498	ENST00000336077	
ENSG00000125510	ENST00000336866	ENSCJAP00000019739	
ENSG00000125522	ENST00000369768	ENSCJAP00000041009	
ENSG00000125675	ENST00000264357	ENSCJAP00000029725	
ENSG00000125810	ENST00000246006	ENSCJAP00000010640	
ENSG00000125910	ENST00000246115	ENSCJAP00000020840	
ENSG00000126010	ENST00000380289	ENSCJAP00000007984	
ENSG00000126246	ENST00000246532	ENSCJAP00000018605	
ENSG00000126251	ENST00000454971	ENSCJAP00000045286	
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	ENSCJAP00000024951	
ENSG00000126777	ENST00000395309	
ENSG00000126895	ENST00000358927	ENSCJAP00000020334	
ENSG00000127364	ENST00000247881	
ENSG00000127418	ENST00000398484	ENSCJAP00000003272	
ENSG00000127507	ENST00000315576	
ENSG00000127515	ENST00000248058	ENSCJAP00000008219	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSCJAP00000017296	
ENSG00000127780	ENST00000248384	
ENSG00000128052	ENST00000263923	ENSCJAP00000034063	
ENSG00000128271	ENST00000541988	
ENSG00000128285	ENST00000249016	ENSCJAP00000005241	
ENSG00000128310	ENST00000249041	ENSCJAP00000022704	
ENSG00000128519	ENST00000249284	ENSCJAP00000040625	
ENSG00000128602	ENST00000249373	ENSCJAP00000018990	
ENSG00000128617	ENST00000249389	ENSCJAP00000032955	
ENSG00000129048	ENST00000249887	ENSCJAP00000005491	
ENSG00000129749	ENST00000250699	ENSCJAP00000028481	
ENSG00000130164	ENST00000252444	ENSCJAP00000051207	
ENSG00000130202	ENST00000252483	ENSCJAP00000024055	
ENSG00000130234	ENST00000252519	ENSCJAP00000007838	
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSCJAP00000000217	
ENSG00000130538	ENST00000252835	
ENSG00000131015	ENST00000367351	ENSCJAP00000049171	
ENSG00000131042	ENST00000391749	
ENSG00000131080	ENST00000374719	ENSCJAP00000006539	
ENSG00000131355	ENST00000253673	ENSCJAP00000008310	
ENSG00000131477	ENST00000253796	ENSCJAP00000024414	
ENSG00000131724	ENST00000371666	ENSCJAP00000009610	
ENSG00000132329	ENST00000254661	ENSCJAP00000000817	
ENSG00000132334	ENST00000254667	ENSCJAP00000026309	
ENSG00000132517	ENST00000254853	ENSCJAP00000021223	
ENSG00000132518	ENST00000254854	ENSCJAP00000027093	
ENSG00000132670	ENST00000380393	ENSCJAP00000039229	
ENSG00000132671	ENST00000255008	ENSCJAP00000040948	
ENSG00000132704	ENST00000361516	
ENSG00000132911	ENST00000255262	ENSCJAP00000008622	
ENSG00000132975	ENST00000405846	ENSCJAP00000035909	
ENSG00000133019	ENST00000255380	ENSCJAP00000050026	
ENSG00000133067	ENST00000367278	ENSCJAP00000010873	
ENSG00000133105	ENST00000298386	ENSCJAP00000034449	
ENSG00000133216	ENST00000374632	ENSCJAP00000010653	
ENSG00000133800	ENST00000256178	ENSCJAP00000020315	
ENSG00000134061	ENST00000256447	ENSCJAP00000029450	
ENSG00000134160	ENST00000397795	ENSCJAP00000032422	
ENSG00000134243	ENST00000256637	ENSCJAP00000005434	
ENSG00000134250	ENST00000256646	ENSCJAP00000037101	
ENSG00000134352	ENST00000381298	ENSCJAP00000003795	
ENSG00000134460	ENST00000379959	ENSCJAP00000038209	
ENSG00000134489	ENST00000256906	ENSCJAP00000038455	
ENSG00000134539	ENST00000381907	ENSCJAP00000040331	
ENSG00000134545	ENST00000359151	ENSCJAP00000040321	
ENSG00000134569	ENST00000378623	ENSCJAP00000037125	
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	ENSCJAP00000046569	
ENSG00000134830	ENST00000257267	ENSCJAP00000021206	
ENSG00000134853	ENST00000257290	ENSCJAP00000034181	
ENSG00000135124	ENST00000337233	ENSCJAP00000002557	
ENSG00000135218	ENST00000435819	ENSCJAP00000043039	
ENSG00000135298	ENST00000370598	ENSCJAP00000007553	
ENSG00000135312	ENST00000369947	ENSCJAP00000041003	
ENSG00000135333	ENST00000369303	ENSCJAP00000001951	
ENSG00000135409	ENST00000257863	ENSCJAP00000034489	
ENSG00000135424	ENST00000257879	ENSCJAP00000015096	
ENSG00000135503	ENST00000541224	ENSCJAP00000033048	
ENSG00000135577	ENST00000258042	ENSCJAP00000035504	
ENSG00000135622	ENST00000357877	ENSCJAP00000031660	
ENSG00000135898	ENST00000392040	ENSCJAP00000041065	
ENSG00000135902	ENST00000258385	ENSCJAP00000044093	
ENSG00000135914	ENST00000258400	ENSCJAP00000024835	
ENSG00000135960	ENST00000258443	ENSCJAP00000002262	
ENSG00000135973	ENST00000258456	ENSCJAP00000041329	
ENSG00000136011	ENST00000388887	ENSCJAP00000026519	
ENSG00000136040	ENST00000258526	ENSCJAP00000005346	
ENSG00000136160	ENST00000334286	ENSCJAP00000039571	
ENSG00000136834	ENST00000259357	
ENSG00000136839	ENST00000259362	
ENSG00000136869	ENST00000355622	ENSCJAP00000037893	
ENSG00000136928	ENST00000259455	ENSCJAP00000020520	
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSCJAP00000010541	
ENSG00000137070	ENST00000555003	ENSCJAP00000016311	
ENSG00000137101	ENST00000396757	ENSCJAP00000017453	
ENSG00000137252	ENST00000370862	ENSCJAP00000020041	
ENSG00000137332	ENST00000259875	
ENSG00000137403	ENST00000383516	
ENSG00000137462	ENST00000260010	ENSCJAP00000040512	
ENSG00000137642	ENST00000260197	ENSCJAP00000014086	
ENSG00000137809	ENST00000315757	ENSCJAP00000004168	
ENSG00000137868	ENST00000395105	ENSCJAP00000033003	
ENSG00000137872	ENST00000536845	ENSCJAP00000003632	
ENSG00000138039	ENST00000294954	ENSCJAP00000019804	
ENSG00000138271	ENST00000260843	ENSCJAP00000001957	
ENSG00000138435	ENST00000261007	ENSCJAP00000045959	
ENSG00000138448	ENST00000261023	ENSCJAP00000010900	
ENSG00000138696	ENST00000515059	ENSCJAP00000012949	
ENSG00000138741	ENST00000379645	ENSCJAP00000005448	
ENSG00000138760	ENST00000264896	ENSCJAP00000026897	
ENSG00000139187	ENST00000356986	ENSCJAP00000034736	
ENSG00000139193	ENST00000266557	ENSCJAP00000001226	
ENSG00000139292	ENST00000266674	ENSCJAP00000002600	
ENSG00000139514	ENST00000380752	ENSCJAP00000036240	
ENSG00000139567	ENST00000267008	ENSCJAP00000033011	
ENSG00000139572	ENST00000267015	ENSCJAP00000035083	
ENSG00000139626	ENST00000422257	ENSCJAP00000034099	
ENSG00000139636	ENST00000267102	ENSCJAP00000038832	
ENSG00000139679	ENST00000378434	
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSCJAP00000031131	
ENSG00000140538	ENST00000360948	ENSCJAP00000024046	
ENSG00000140678	ENST00000268296	
ENSG00000140749	ENST00000268389	ENSCJAP00000038217	
ENSG00000141194	ENST00000268912	
ENSG00000141458	ENST00000269228	ENSCJAP00000038261	
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	ENSCJAP00000006048	
ENSG00000141736	ENST00000269571	ENSCJAP00000016267	
ENSG00000142166	ENST00000270139	ENSCJAP00000000105	
ENSG00000142511	ENST00000270590	ENSCJAP00000044692	
ENSG00000142627	ENST00000358432	ENSCJAP00000015466	
ENSG00000142949	ENST00000359947	ENSCJAP00000006685	
ENSG00000143126	ENST00000271332	ENSCJAP00000005312	
ENSG00000143127	ENST00000369304	ENSCJAP00000004033	
ENSG00000143147	ENST00000367838	ENSCJAP00000031092	
ENSG00000143167	ENST00000367868	ENSCJAP00000031581	
ENSG00000143217	ENST00000368012	ENSCJAP00000009973	
ENSG00000143226	ENST00000271450	
ENSG00000143297	ENST00000361835	ENSCJAP00000012169	
ENSG00000143324	ENST00000367590	ENSCJAP00000014699	
ENSG00000144136	ENST00000272542	ENSCJAP00000030207	
ENSG00000144230	ENST00000544369	ENSCJAP00000043472	
ENSG00000144407	ENST00000272847	ENSCJAP00000005001	
ENSG00000144476	ENST00000272928	ENSCJAP00000040703	
ENSG00000144481	ENST00000324695	ENSCJAP00000045464	
ENSG00000144648	ENST00000442925	ENSCJAP00000040527	
ENSG00000144668	ENST00000264741	ENSCJAP00000023247	
ENSG00000144724	ENST00000474889	ENSCJAP00000036587	
ENSG00000144820	ENST00000273352	ENSCJAP00000000989	
ENSG00000144847	ENST00000393775	ENSCJAP00000016772	
ENSG00000144891	ENST00000497524	ENSCJAP00000043707	
ENSG00000145103	ENST00000273691	ENSCJAP00000015239	
ENSG00000145242	ENST00000273854	ENSCJAP00000038225	
ENSG00000145244	ENST00000273857	ENSCJAP00000035182	
ENSG00000145451	ENST00000274093	ENSCJAP00000009611	
ENSG00000145623	ENST00000274276	ENSCJAP00000014100	
ENSG00000145863	ENST00000274545	ENSCJAP00000028009	
ENSG00000145864	ENST00000393959	ENSCJAP00000027948	
ENSG00000145888	ENST00000455880	ENSCJAP00000028368	
ENSG00000146072	ENST00000296861	ENSCJAP00000021891	
ENSG00000146276	ENST00000454853	ENSCJAP00000001420	
ENSG00000146360	ENST00000275169	ENSCJAP00000010103	
ENSG00000146399	ENST00000275216	ENSCJAP00000005276	
ENSG00000146648	ENST00000275493	ENSCJAP00000001810	
ENSG00000146904	ENST00000275815	ENSCJAP00000017979	
ENSG00000146938	ENST00000381095	ENSCJAP00000025303	
ENSG00000147138	ENST00000276077	ENSCJAP00000017551	
ENSG00000147145	ENST00000435339	ENSCJAP00000040992	
ENSG00000147155	ENST00000495186	ENSCJAP00000004133	
ENSG00000147168	ENST00000374202	ENSCJAP00000025096	
ENSG00000147246	ENST00000276198	ENSCJAP00000012921	
ENSG00000147262	ENST00000276218	ENSCJAP00000041092	
ENSG00000147380	ENST00000369935	ENSCJAP00000026548	
ENSG00000147402	ENST00000370306	ENSCJAP00000006909	
ENSG00000147432	ENST00000289957	ENSCJAP00000014325	
ENSG00000147434	ENST00000276410	ENSCJAP00000014225	
ENSG00000147650	ENST00000276654	ENSCJAP00000012379	
ENSG00000148053	ENST00000376214	ENSCJAP00000007294	
ENSG00000148136	ENST00000277216	
ENSG00000148215	ENST00000373680	ENSCJAP00000040971	
ENSG00000148600	ENST00000372117	
ENSG00000148604	ENST00000359452	ENSCJAP00000028244	
ENSG00000148680	ENST00000336152	ENSCJAP00000020462	
ENSG00000148734	ENST00000277942	ENSCJAP00000030084	
ENSG00000149133	ENST00000278409	ENSCJAP00000041282	
ENSG00000149295	ENST00000362072	ENSCJAP00000022486	
ENSG00000149305	ENST00000260191	ENSCJAP00000022117	
ENSG00000149403	ENST00000527524	ENSCJAP00000042580	
ENSG00000149534	ENST00000278888	ENSCJAP00000030087	
ENSG00000150045	ENST00000279544	ENSCJAP00000034531	
ENSG00000150048	ENST00000315330	ENSCJAP00000040358	
ENSG00000150086	ENST00000279593	ENSCJAP00000040244	
ENSG00000150093	ENST00000396033	ENSCJAP00000025265	
ENSG00000150261	ENST00000279783	ENSCJAP00000043066	
ENSG00000150269	ENST00000279791	ENSCJAP00000044309	
ENSG00000150337	ENST00000369168	ENSCJAP00000001314	
ENSG00000150471	ENST00000514591	ENSCJAP00000038248	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSCJAP00000005534	
ENSG00000150938	ENST00000280527	ENSCJAP00000006535	
ENSG00000150995	ENST00000302640	ENSCJAP00000029049	
ENSG00000151025	ENST00000376351	ENSCJAP00000014079	
ENSG00000151490	ENST00000281171	ENSCJAP00000040209	
ENSG00000151577	ENST00000460779	ENSCJAP00000046924	
ENSG00000151617	ENST00000324300	ENSCJAP00000004442	
ENSG00000151834	ENST00000510861	ENSCJAP00000035334	
ENSG00000152034	ENST00000445970	ENSCJAP00000002656	
ENSG00000152207	ENST00000282018	ENSCJAP00000041214	
ENSG00000152208	ENST00000282020	ENSCJAP00000012486	
ENSG00000152558	ENST00000398136	ENSCJAP00000006894	
ENSG00000152578	ENST00000282499	ENSCJAP00000018165	
