Ensembl Gene ID	Ensembl Transcript ID	Chimp Ensembl Protein ID	
ENSG00000056291	ENST00000308744	ENSPTRP00000044577	
ENSG00000056736	ENST00000288167	ENSPTRP00000045154	
ENSG00000060656	ENST00000345512	ENSPTRP00000052593	
ENSG00000062524	ENST00000263800	ENSPTRP00000011852	
ENSG00000064300	ENST00000172229	ENSPTRP00000015928	
ENSG00000064547	ENST00000407877	ENSPTRP00000040364	
ENSG00000064989	ENST00000392370	ENSPTRP00000021750	
ENSG00000065325	ENST00000262441	ENSPTRP00000014927	
ENSG00000065361	ENST00000267101	ENSPTRP00000008639	
ENSG00000066056	ENST00000372476	ENSPTRP00000001085	
ENSG00000066294	ENST00000311224	ENSPTRP00000002607	
ENSG00000066468	ENST00000457416	ENSPTRP00000005308	
ENSG00000067141	ENST00000261908	ENSPTRP00000012411	
ENSG00000067182	ENST00000162749	ENSPTRP00000007808	
ENSG00000068078	ENST00000340107	ENSPTRP00000027267	
ENSG00000069018	ENST00000513104	ENSPTRP00000029531	
ENSG00000069122	ENST00000452370	ENSPTRP00000031171	
ENSG00000069431	ENST00000261200	ENSPTRP00000008131	
ENSG00000069493	ENST00000261340	ENSPTRP00000007961	
ENSG00000069696	ENST00000176183	ENSPTRP00000005517	
ENSG00000069702	ENST00000212355	ENSPTRP00000001640	
ENSG00000070018	ENST00000261349	ENSPTRP00000008035	
ENSG00000070886	ENST00000166244	ENSPTRP00000000553	
ENSG00000070985	ENST00000155858	ENSPTRP00000042955	
ENSG00000072071	ENST00000340736	ENSPTRP00000018066	
ENSG00000072274	ENST00000360110	ENSPTRP00000046807	
ENSG00000072694	ENST00000358671	ENSPTRP00000043391	
ENSG00000073008	ENST00000425690	ENSPTRP00000019082	
ENSG00000073060	ENST00000261693	ENSPTRP00000009553	
ENSG00000075073	ENST00000373306	ENSPTRP00000046115	
ENSG00000075275	ENST00000262738	ENSPTRP00000059124	
ENSG00000076356	ENST00000367033	ENSPTRP00000003263	
ENSG00000077238	ENST00000395762	ENSPTRP00000013524	
ENSG00000077585	ENST00000366592	ENSPTRP00000003608	
ENSG00000077782	ENST00000425967	ENSPTRP00000041228	
ENSG00000077943	ENST00000378076	ENSPTRP00000003927	
ENSG00000078549	ENST00000304166	ENSPTRP00000048078	
ENSG00000078589	ENST00000544091	
ENSG00000080031	ENST00000376350	ENSPTRP00000019771	
ENSG00000080224	ENST00000389672	ENSPTRP00000026129	
ENSG00000080293	ENST00000019103	ENSPTRP00000021236	
ENSG00000080644	ENST00000326828	ENSPTRP00000012560	
ENSG00000081237	ENST00000442510	ENSPTRP00000003034	
ENSG00000081479	ENST00000263816	ENSPTRP00000021546	
ENSG00000081985	ENST00000262345	ENSPTRP00000001451	
ENSG00000082556	ENST00000265572	ENSPTRP00000034673	
ENSG00000082781	ENST00000296181	ENSPTRP00000051108	
ENSG00000083454	ENST00000225328	ENSPTRP00000053185	
ENSG00000083457	ENST00000263087	ENSPTRP00000014641	
ENSG00000085514	ENST00000198536	ENSPTRP00000033350	
ENSG00000088053	ENST00000310373	ENSPTRP00000019747	
ENSG00000088812	ENST00000262919	ENSPTRP00000022608	
ENSG00000089041	ENST00000546057	ENSPTRP00000049853	
ENSG00000089692	ENST00000203629	ENSPTRP00000042500	
ENSG00000090339	ENST00000264832	ENSPTRP00000017827	
ENSG00000091181	ENST00000446632	ENSPTRP00000025107	
ENSG00000091409	ENST00000409080	ENSPTRP00000043669	
ENSG00000092096	ENST00000206544	ENSPTRP00000042111	
ENSG00000092421	ENST00000343348	ENSPTRP00000029359	
ENSG00000092445	ENST00000263798	ENSPTRP00000011856	
ENSG00000094661	ENST00000209540	
ENSG00000094755	ENST00000518525	ENSPTRP00000029926	
ENSG00000095970	ENST00000373113	ENSPTRP00000050165	
ENSG00000096264	ENST00000373089	ENSPTRP00000050164	
ENSG00000096433	ENST00000374316	ENSPTRP00000030836	
ENSG00000096996	ENST00000430026	ENSPTRP00000046039	
ENSG00000099250	ENST00000265371	ENSPTRP00000004113	
ENSG00000099957	ENST00000413302	ENSPTRP00000024284	
ENSG00000100368	ENST00000403662	ENSPTRP00000024660	
ENSG00000100385	ENST00000216223	ENSPTRP00000054969	
ENSG00000100739	ENST00000216629	ENSPTRP00000052508	
ENSG00000101000	ENST00000374477	ENSPTRP00000052237	
ENSG00000101017	ENST00000372285	
ENSG00000101180	ENST00000340177	ENSPTRP00000044253	
ENSG00000101188	ENST00000370501	ENSPTRP00000023616	
ENSG00000101204	ENST00000370263	ENSPTRP00000054367	
ENSG00000101292	ENST00000546004	ENSPTRP00000022679	
ENSG00000101850	ENST00000467482	ENSPTRP00000047497	
ENSG00000101890	ENST00000218006	ENSPTRP00000038167	
ENSG00000101958	ENST00000218075	ENSPTRP00000043322	
ENSG00000102076	ENST00000369951	ENSPTRP00000038653	
ENSG00000102195	ENST00000218316	ENSPTRP00000047221	
ENSG00000102239	ENST00000370648	ENSPTRP00000038443	
ENSG00000102287	ENST00000370328	ENSPTRP00000038557	
ENSG00000102468	ENST00000378688	ENSPTRP00000009967	
ENSG00000102539	ENST00000218721	
ENSG00000103310	ENST00000219593	ENSPTRP00000013407	
ENSG00000104290	ENST00000537916	ENSPTRP00000034445	
ENSG00000104332	ENST00000220772	ENSPTRP00000053182	
ENSG00000104870	ENST00000221466	ENSPTRP00000041152	
ENSG00000104921	ENST00000346664	ENSPTRP00000049050	
ENSG00000104938	ENST00000327325	ENSPTRP00000054847	
ENSG00000104972	ENST00000324602	ENSPTRP00000019706	
ENSG00000104998	ENST00000263379	ENSPTRP00000018055	
ENSG00000105281	ENST00000542575	ENSPTRP00000019209	
ENSG00000105369	ENST00000221972	ENSPTRP00000018954	
ENSG00000105383	ENST00000262262	ENSPTRP00000019546	
ENSG00000105426	ENST00000357368	ENSPTRP00000017564	
ENSG00000105464	ENST00000263269	
ENSG00000105699	ENST00000361790	ENSPTRP00000043193	
ENSG00000105707	ENST00000262626	ENSPTRP00000018535	
ENSG00000105737	ENST00000262895	ENSPTRP00000018969	
ENSG00000105855	ENST00000222573	ENSPTRP00000032396	
ENSG00000105976	ENST00000318493	ENSPTRP00000033588	
ENSG00000106018	ENST00000262178	ENSPTRP00000034138	
ENSG00000106113	ENST00000471646	ENSPTRP00000032538	
ENSG00000106123	ENST00000392957	ENSPTRP00000033908	
ENSG00000106128	ENST00000326139	ENSPTRP00000032546	
ENSG00000106278	ENST00000393386	ENSPTRP00000047660	
ENSG00000106327	ENST00000223051	ENSPTRP00000033379	
ENSG00000106799	ENST00000374994	ENSPTRP00000036200	
ENSG00000106991	ENST00000373203	ENSPTRP00000036576	
ENSG00000107731	ENST00000335350	ENSPTRP00000042008	
ENSG00000107779	ENST00000224764	ENSPTRP00000004727	
ENSG00000108405	ENST00000225538	ENSPTRP00000014652	
ENSG00000108556	ENST00000293780	ENSPTRP00000014702	
ENSG00000108797	ENST00000264638	ENSPTRP00000053077	
ENSG00000108947	ENST00000226091	ENSPTRP00000053140	
ENSG00000109158	ENST00000264318	ENSPTRP00000027579	
ENSG00000109163	ENST00000226413	ENSPTRP00000027689	
ENSG00000109738	ENST00000264428	ENSPTRP00000028406	
ENSG00000109991	ENST00000263314	ENSPTRP00000006313	
ENSG00000110148	ENST00000334619	ENSPTRP00000048270	
ENSG00000110195	ENST00000312293	ENSPTRP00000006930	
ENSG00000110324	ENST00000227752	ENSPTRP00000007427	
ENSG00000110400	ENST00000264025	ENSPTRP00000007512	
ENSG00000110448	ENST00000347785	ENSPTRP00000048059	
ENSG00000110848	ENST00000228434	ENSPTRP00000007963	
ENSG00000111199	ENST00000418703	ENSPTRP00000009212	
ENSG00000111291	ENST00000228887	ENSPTRP00000008049	
ENSG00000111432	ENST00000229030	ENSPTRP00000009579	
ENSG00000111452	ENST00000261654	ENSPTRP00000009588	
ENSG00000111729	ENST00000229332	ENSPTRP00000007904	
ENSG00000111796	ENST00000229402	ENSPTRP00000007958	
ENSG00000111886	ENST00000402938	ENSPTRP00000031462	
ENSG00000111981	ENST00000367345	ENSPTRP00000039774	
ENSG00000112038	ENST00000434900	ENSPTRP00000043686	
ENSG00000112164	ENST00000373256	ENSPTRP00000030970	
ENSG00000112195	ENST00000483722	ENSPTRP00000031018	
ENSG00000112218	ENST00000417980	ENSPTRP00000031490	
ENSG00000112414	ENST00000367609	ENSPTRP00000042713	
ENSG00000112459	ENST00000230221	
ENSG00000112462	ENST00000377143	ENSPTRP00000055513	
ENSG00000112486	ENST00000400926	ENSPTRP00000032106	
ENSG00000112902	ENST00000382496	ENSPTRP00000028691	
ENSG00000112964	ENST00000230882	ENSPTRP00000028855	
ENSG00000113070	ENST00000230990	ENSPTRP00000029595	
ENSG00000113262	ENST00000231188	ENSPTRP00000047802	
ENSG00000113327	ENST00000414552	ENSPTRP00000045735	
ENSG00000113594	ENST00000263409	ENSPTRP00000028823	
ENSG00000113721	ENST00000261799	ENSPTRP00000029750	
ENSG00000113749	ENST00000377291	ENSPTRP00000029974	
ENSG00000113763	ENST00000329542	ENSPTRP00000047819	
ENSG00000114013	ENST00000330540	ENSPTRP00000026356	
ENSG00000114554	ENST00000393409	ENSPTRP00000026442	
ENSG00000114739	ENST00000352511	ENSPTRP00000025456	
ENSG00000114812	ENST00000325123	ENSPTRP00000025501	
ENSG00000115170	ENST00000263640	ENSPTRP00000021457	
ENSG00000115221	ENST00000283249	ENSPTRP00000021483	
ENSG00000115232	ENST00000397033	ENSPTRP00000056272	
ENSG00000115353	ENST00000305249	ENSPTRP00000020773	
ENSG00000115590	ENST00000332549	ENSPTRP00000021065	
ENSG00000115594	ENST00000410023	ENSPTRP00000021068	
ENSG00000115598	ENST00000264257	ENSPTRP00000021069	
ENSG00000115602	ENST00000233954	ENSPTRP00000021073	
ENSG00000115604	ENST00000410040	ENSPTRP00000021076	
ENSG00000116014	ENST00000234371	ENSPTRP00000017292	
ENSG00000116032	ENST00000234389	ENSPTRP00000049173	
ENSG00000116106	ENST00000281821	ENSPTRP00000022158	
ENSG00000116329	ENST00000234961	ENSPTRP00000000764	
ENSG00000116678	ENST00000349533	ENSPTRP00000059210	
ENSG00000116824	ENST00000369478	ENSPTRP00000051908	
ENSG00000116996	ENST00000366570	ENSPTRP00000003639	
ENSG00000117090	ENST00000302035	ENSPTRP00000002612	
ENSG00000117114	ENST00000359929	ENSPTRP00000052147	
ENSG00000117322	ENST00000367057	
ENSG00000117335	ENST00000322875	ENSPTRP00000003252	
ENSG00000117400	ENST00000372470	ENSPTRP00000001087	
ENSG00000117425	ENST00000372192	ENSPTRP00000001152	
ENSG00000117971	ENST00000261751	ENSPTRP00000012561	
ENSG00000118257	ENST00000360409	ENSPTRP00000021954	
ENSG00000118432	ENST00000369501	ENSPTRP00000031454	
ENSG00000119121	ENST00000360774	ENSPTRP00000049278	
ENSG00000119535	ENST00000373103	ENSPTRP00000000960	
ENSG00000119686	ENST00000238667	ENSPTRP00000011136	
ENSG00000119714	ENST00000531499	ENSPTRP00000011298	
ENSG00000119737	ENST00000394705	
ENSG00000119973	ENST00000239032	ENSPTRP00000005264	
ENSG00000120088	ENST00000398285	ENSPTRP00000015831	
ENSG00000120156	ENST00000380036	ENSPTRP00000035632	
ENSG00000120217	ENST00000381577	ENSPTRP00000058192	
ENSG00000120251	ENST00000296526	ENSPTRP00000028409	
ENSG00000120436	ENST00000366834	ENSPTRP00000032108	
ENSG00000120586	ENST00000239761	
ENSG00000120659	ENST00000239849	ENSPTRP00000009919	
ENSG00000120889	ENST00000276431	ENSPTRP00000034375	
ENSG00000120903	ENST00000407991	ENSPTRP00000034420	
ENSG00000120907	ENST00000380586	ENSPTRP00000041195	
ENSG00000120949	ENST00000263932	ENSPTRP00000000308	
ENSG00000121594	ENST00000264246	ENSPTRP00000026304	
ENSG00000121716	ENST00000310771	ENSPTRP00000033347	
ENSG00000121753	ENST00000373658	ENSPTRP00000000811	
ENSG00000121764	ENST00000403528	ENSPTRP00000000804	
ENSG00000121797	ENST00000357392	ENSPTRP00000045989	
ENSG00000121807	ENST00000292301	ENSPTRP00000025598	
ENSG00000121853	ENST00000241256	ENSPTRP00000026893	
ENSG00000121933	ENST00000369716	ENSPTRP00000001902	
ENSG00000121966	ENST00000409817	ENSPTRP00000021386	
ENSG00000121989	ENST00000241416	ENSPTRP00000021405	
ENSG00000122025	ENST00000241453	ENSPTRP00000009773	
ENSG00000122223	ENST00000368033	ENSPTRP00000045917	
ENSG00000122375	ENST00000372071	ENSPTRP00000050566	
ENSG00000122420	ENST00000370758	ENSPTRP00000052154	
ENSG00000122679	ENST00000242249	ENSPTRP00000032739	
ENSG00000122718	ENST00000341959	ENSPTRP00000035792	
ENSG00000123146	ENST00000242786	ENSPTRP00000048961	
ENSG00000123384	ENST00000243077	ENSPTRP00000008707	
ENSG00000123612	ENST00000243349	ENSPTRP00000021455	
ENSG00000123901	ENST00000243673	ENSPTRP00000007196	
ENSG00000124089	ENST00000243911	ENSPTRP00000023471	
ENSG00000124145	ENST00000372733	ENSPTRP00000023261	
ENSG00000124334	ENST00000244174	ENSPTRP00000012851	
ENSG00000124493	ENST00000374181	ENSPTRP00000030844	
ENSG00000124557	ENST00000244513	ENSPTRP00000030425	
ENSG00000124657	ENST00000244623	ENSPTRP00000030459	
ENSG00000124731	ENST00000244709	ENSPTRP00000031021	
ENSG00000125245	ENST00000397473	ENSPTRP00000045534	
ENSG00000125384	ENST00000245457	ENSPTRP00000010757	
ENSG00000125498	ENST00000336077	ENSPTRP00000059155	
ENSG00000125510	ENST00000336866	ENSPTRP00000051917	
ENSG00000125522	ENST00000369768	ENSPTRP00000044279	
ENSG00000125675	ENST00000264357	ENSPTRP00000038297	
ENSG00000125810	ENST00000246006	ENSPTRP00000022834	
ENSG00000125910	ENST00000246115	ENSPTRP00000017428	
ENSG00000126010	ENST00000380289	ENSPTRP00000037174	
ENSG00000126246	ENST00000246532	ENSPTRP00000018592	
ENSG00000126251	ENST00000454971	ENSPTRP00000048801	
ENSG00000126262	ENST00000246549	ENSPTRP00000018565	
ENSG00000126266	ENST00000246553	ENSPTRP00000018562	
ENSG00000126353	ENST00000246657	ENSPTRP00000053043	
ENSG00000126777	ENST00000395309	ENSPTRP00000057304	
ENSG00000126895	ENST00000358927	
ENSG00000127364	ENST00000247881	
ENSG00000127418	ENST00000398484	
ENSG00000127507	ENST00000315576	ENSPTRP00000018085	
ENSG00000127515	ENST00000248058	ENSPTRP00000018095	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	ENSPTRP00000018093	
ENSG00000127533	ENST00000248076	ENSPTRP00000048931	
ENSG00000127780	ENST00000248384	ENSPTRP00000014616	
ENSG00000128052	ENST00000263923	ENSPTRP00000027639	
ENSG00000128271	ENST00000541988	ENSPTRP00000024404	
ENSG00000128285	ENST00000249016	ENSPTRP00000024831	
ENSG00000128310	ENST00000249041	ENSPTRP00000024714	
ENSG00000128519	ENST00000249284	ENSPTRP00000033625	
ENSG00000128602	ENST00000249373	ENSPTRP00000033707	
ENSG00000128617	ENST00000249389	ENSPTRP00000033678	
ENSG00000129048	ENST00000249887	ENSPTRP00000026548	
ENSG00000129749	ENST00000250699	ENSPTRP00000005651	
ENSG00000130164	ENST00000252444	ENSPTRP00000017888	
ENSG00000130202	ENST00000252483	ENSPTRP00000048635	
ENSG00000130234	ENST00000252519	ENSPTRP00000037158	
ENSG00000130368	ENST00000252660	ENSPTRP00000032021	
ENSG00000130529	ENST00000252826	ENSPTRP00000019370	
ENSG00000130538	ENST00000252835	ENSPTRP00000053886	
ENSG00000131015	ENST00000367351	ENSPTRP00000040901	
ENSG00000131042	ENST00000391749	
ENSG00000131080	ENST00000374719	ENSPTRP00000037768	
ENSG00000131355	ENST00000253673	ENSPTRP00000018082	
ENSG00000131477	ENST00000253796	ENSPTRP00000015694	
ENSG00000131724	ENST00000371666	ENSPTRP00000038243	
ENSG00000132329	ENST00000254661	ENSPTRP00000022381	
ENSG00000132334	ENST00000254667	ENSPTRP00000045400	
ENSG00000132517	ENST00000254853	ENSPTRP00000014713	
ENSG00000132518	ENST00000254854	ENSPTRP00000014862	
ENSG00000132670	ENST00000380393	ENSPTRP00000059378	
ENSG00000132671	ENST00000255008	ENSPTRP00000022832	
ENSG00000132704	ENST00000361516	ENSPTRP00000002520	
ENSG00000132911	ENST00000255262	ENSPTRP00000029793	
ENSG00000132975	ENST00000405846	ENSPTRP00000009756	
ENSG00000133019	ENST00000255380	ENSPTRP00000003643	
ENSG00000133067	ENST00000367278	ENSPTRP00000003094	
ENSG00000133105	ENST00000298386	ENSPTRP00000009804	
ENSG00000133216	ENST00000374632	ENSPTRP00000052704	
ENSG00000133800	ENST00000256178	ENSPTRP00000005865	
ENSG00000134061	ENST00000256447	ENSPTRP00000029007	
ENSG00000134160	ENST00000397795	ENSPTRP00000011720	
ENSG00000134243	ENST00000256637	ENSPTRP00000001807	
ENSG00000134250	ENST00000256646	ENSPTRP00000051929	
ENSG00000134352	ENST00000381298	ENSPTRP00000040421	
ENSG00000134460	ENST00000379959	ENSPTRP00000003829	
ENSG00000134489	ENST00000256906	ENSPTRP00000016888	
ENSG00000134539	ENST00000381907	ENSPTRP00000007989	
ENSG00000134545	ENST00000359151	ENSPTRP00000008001	
ENSG00000134569	ENST00000378623	ENSPTRP00000006174	
ENSG00000134640	ENST00000257068	ENSPTRP00000047712	
ENSG00000134817	ENST00000257254	ENSPTRP00000006308	
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSPTRP00000027635	
ENSG00000135124	ENST00000337233	ENSPTRP00000009426	
ENSG00000135218	ENST00000435819	ENSPTRP00000033093	
ENSG00000135298	ENST00000370598	ENSPTRP00000031309	
ENSG00000135312	ENST00000369947	ENSPTRP00000031384	
ENSG00000135333	ENST00000369303	ENSPTRP00000031479	
ENSG00000135409	ENST00000257863	ENSPTRP00000008537	
ENSG00000135424	ENST00000257879	ENSPTRP00000008606	
ENSG00000135503	ENST00000541224	ENSPTRP00000008474	
ENSG00000135577	ENST00000258042	ENSPTRP00000031848	
ENSG00000135622	ENST00000357877	ENSPTRP00000043012	
ENSG00000135898	ENST00000392040	ENSPTRP00000022263	
ENSG00000135902	ENST00000258385	ENSPTRP00000022297	
ENSG00000135914	ENST00000258400	ENSPTRP00000022266	
ENSG00000135960	ENST00000258443	ENSPTRP00000051785	
ENSG00000135973	ENST00000258456	ENSPTRP00000021086	
ENSG00000136011	ENST00000388887	ENSPTRP00000049946	
ENSG00000136040	ENST00000258526	ENSPTRP00000009008	
ENSG00000136160	ENST00000334286	ENSPTRP00000010112	
ENSG00000136834	ENST00000259357	
ENSG00000136839	ENST00000259362	
ENSG00000136869	ENST00000355622	ENSPTRP00000036398	
ENSG00000136928	ENST00000259455	ENSPTRP00000046269	
ENSG00000136939	ENST00000259466	ENSPTRP00000036456	
ENSG00000136960	ENST00000259486	ENSPTRP00000035117	
ENSG00000137070	ENST00000555003	ENSPTRP00000056178	
ENSG00000137101	ENST00000396757	ENSPTRP00000058329	
ENSG00000137252	ENST00000370862	ENSPTRP00000031257	
ENSG00000137332	ENST00000259875	
ENSG00000137403	ENST00000383516	
ENSG00000137462	ENST00000260010	ENSPTRP00000028379	
ENSG00000137642	ENST00000260197	ENSPTRP00000007532	
ENSG00000137809	ENST00000315757	ENSPTRP00000012347	
ENSG00000137868	ENST00000395105	ENSPTRP00000051362	
ENSG00000137872	ENST00000536845	ENSPTRP00000045144	
ENSG00000138039	ENST00000294954	ENSPTRP00000020451	
ENSG00000138271	ENST00000260843	ENSPTRP00000026750	
ENSG00000138435	ENST00000261007	ENSPTRP00000021633	
ENSG00000138448	ENST00000261023	ENSPTRP00000021744	
ENSG00000138696	ENST00000515059	ENSPTRP00000027988	
ENSG00000138741	ENST00000379645	ENSPTRP00000053317	
ENSG00000138760	ENST00000264896	ENSPTRP00000027814	
ENSG00000139187	ENST00000356986	ENSPTRP00000007941	
ENSG00000139193	ENST00000266557	ENSPTRP00000050524	
ENSG00000139292	ENST00000266674	ENSPTRP00000008874	
ENSG00000139514	ENST00000380752	ENSPTRP00000009787	
ENSG00000139567	ENST00000267008	ENSPTRP00000008473	
ENSG00000139572	ENST00000267015	ENSPTRP00000008575	
ENSG00000139626	ENST00000422257	ENSPTRP00000008519	
ENSG00000139636	ENST00000267102	ENSPTRP00000008371	
ENSG00000139679	ENST00000378434	ENSPTRP00000009975	
ENSG00000139874	ENST00000267377	ENSPTRP00000010665	
ENSG00000140443	ENST00000268035	ENSPTRP00000012792	
ENSG00000140538	ENST00000360948	ENSPTRP00000012676	
ENSG00000140678	ENST00000268296	ENSPTRP00000013739	
ENSG00000140749	ENST00000268389	ENSPTRP00000013420	
ENSG00000141194	ENST00000268912	ENSPTRP00000052855	
ENSG00000141458	ENST00000269228	ENSPTRP00000016869	
ENSG00000141505	ENST00000269299	ENSPTRP00000014772	
ENSG00000141655	ENST00000269485	ENSPTRP00000017117	
ENSG00000141736	ENST00000269571	ENSPTRP00000015508	
ENSG00000142166	ENST00000270139	ENSPTRP00000023865	
ENSG00000142511	ENST00000270590	ENSPTRP00000048518	
ENSG00000142627	ENST00000358432	ENSPTRP00000000400	
ENSG00000142949	ENST00000359947	ENSPTRP00000040758	
ENSG00000143126	ENST00000271332	ENSPTRP00000001803	
ENSG00000143127	ENST00000369304	ENSPTRP00000002054	
ENSG00000143147	ENST00000367838	
ENSG00000143167	ENST00000367868	ENSPTRP00000002723	
ENSG00000143217	ENST00000368012	ENSPTRP00000002629	
ENSG00000143226	ENST00000271450	ENSPTRP00000054077	
ENSG00000143297	ENST00000361835	ENSPTRP00000002515	
ENSG00000143324	ENST00000367590	ENSPTRP00000002909	
ENSG00000144136	ENST00000272542	ENSPTRP00000021186	
ENSG00000144230	ENST00000544369	ENSPTRP00000021295	
ENSG00000144407	ENST00000272847	ENSPTRP00000021998	
ENSG00000144476	ENST00000272928	ENSPTRP00000022362	
ENSG00000144481	ENST00000324695	ENSPTRP00000022348	
ENSG00000144648	ENST00000442925	ENSPTRP00000051452	
ENSG00000144668	ENST00000264741	ENSPTRP00000025436	
ENSG00000144724	ENST00000474889	ENSPTRP00000026022	
ENSG00000144820	ENST00000273352	ENSPTRP00000026167	
ENSG00000144847	ENST00000393775	ENSPTRP00000056670	
ENSG00000144891	ENST00000497524	ENSPTRP00000026691	
ENSG00000145103	ENST00000273691	ENSPTRP00000026354	
ENSG00000145242	ENST00000273854	ENSPTRP00000027683	
ENSG00000145244	ENST00000273857	ENSPTRP00000027587	
ENSG00000145451	ENST00000274093	ENSPTRP00000028494	
ENSG00000145623	ENST00000274276	ENSPTRP00000028824	
ENSG00000145863	ENST00000274545	ENSPTRP00000029892	
ENSG00000145864	ENST00000393959	ENSPTRP00000029889	
ENSG00000145888	ENST00000455880	ENSPTRP00000029792	
ENSG00000146072	ENST00000296861	ENSPTRP00000031175	
ENSG00000146276	ENST00000454853	ENSPTRP00000031461	
ENSG00000146360	ENST00000275169	ENSPTRP00000031583	
ENSG00000146399	ENST00000275216	ENSPTRP00000031769	
ENSG00000146648	ENST00000275493	ENSPTRP00000032807	
ENSG00000146904	ENST00000275815	ENSPTRP00000033933	
ENSG00000146938	ENST00000381095	ENSPTRP00000040734	
ENSG00000147138	ENST00000276077	
ENSG00000147145	ENST00000435339	ENSPTRP00000037935	
ENSG00000147155	ENST00000495186	
ENSG00000147168	ENST00000374202	ENSPTRP00000040514	
ENSG00000147246	ENST00000276198	ENSPTRP00000038211	
ENSG00000147262	ENST00000276218	ENSPTRP00000045486	
ENSG00000147380	ENST00000369935	
ENSG00000147402	ENST00000370306	ENSPTRP00000038564	
ENSG00000147432	ENST00000289957	ENSPTRP00000054732	
ENSG00000147434	ENST00000276410	ENSPTRP00000034613	
ENSG00000147650	ENST00000276654	ENSPTRP00000035056	
ENSG00000148053	ENST00000376214	ENSPTRP00000036008	
ENSG00000148136	ENST00000277216	
ENSG00000148215	ENST00000373680	ENSPTRP00000036458	
ENSG00000148600	ENST00000372117	ENSPTRP00000045823	
ENSG00000148604	ENST00000359452	ENSPTRP00000004704	
ENSG00000148680	ENST00000336152	ENSPTRP00000004792	
ENSG00000148734	ENST00000277942	ENSPTRP00000004482	
ENSG00000149133	ENST00000278409	ENSPTRP00000050810	
ENSG00000149295	ENST00000362072	ENSPTRP00000054205	
ENSG00000149305	ENST00000260191	ENSPTRP00000007385	
ENSG00000149403	ENST00000527524	ENSPTRP00000050940	
ENSG00000149534	ENST00000278888	ENSPTRP00000006387	
ENSG00000150045	ENST00000279544	ENSPTRP00000007966	
ENSG00000150048	ENST00000315330	ENSPTRP00000007977	
ENSG00000150086	ENST00000279593	ENSPTRP00000008060	
ENSG00000150093	ENST00000396033	ENSPTRP00000050703	
ENSG00000150261	ENST00000279783	ENSPTRP00000050807	
ENSG00000150269	ENST00000279791	ENSPTRP00000006289	
ENSG00000150337	ENST00000369168	ENSPTRP00000002095	
ENSG00000150471	ENST00000514591	ENSPTRP00000027675	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSPTRP00000017164	
ENSG00000150938	ENST00000280527	ENSPTRP00000020306	
ENSG00000150995	ENST00000302640	ENSPTRP00000025124	
