Ensembl Gene ID	Ensembl Transcript ID	Orangutan Ensembl Protein ID	
ENSG00000102239	ENST00000370648	ENSPPYP00000023247	
ENSG00000102287	ENST00000370328	ENSPPYP00000023311	
ENSG00000102468	ENST00000378688	ENSPPYP00000006096	
ENSG00000102539	ENST00000218721	ENSPPYP00000006112	
ENSG00000103310	ENST00000219593	ENSPPYP00000008105	
ENSG00000104290	ENST00000537916	ENSPPYP00000020708	
ENSG00000104332	ENST00000220772	ENSPPYP00000020789	
ENSG00000104870	ENST00000221466	ENSPPYP00000011477	
ENSG00000104921	ENST00000346664	ENSPPYP00000010634	
ENSG00000104938	ENST00000327325	ENSPPYP00000010641	
ENSG00000104972	ENST00000324602	
ENSG00000104998	ENST00000263379	ENSPPYP00000010797	
ENSG00000105281	ENST00000542575	ENSPPYP00000011364	
ENSG00000105369	ENST00000221972	ENSPPYP00000011225	
ENSG00000105383	ENST00000262262	ENSPPYP00000011550	
ENSG00000105426	ENST00000357368	ENSPPYP00000010566	
ENSG00000105464	ENST00000263269	ENSPPYP00000011404	
ENSG00000105699	ENST00000361790	ENSPPYP00000011032	
ENSG00000105707	ENST00000262626	ENSPPYP00000011026	
ENSG00000105737	ENST00000262895	ENSPPYP00000011230	
ENSG00000105855	ENST00000222573	ENSPPYP00000019894	
ENSG00000105976	ENST00000318493	ENSPPYP00000020106	
ENSG00000106018	ENST00000262178	ENSPPYP00000020439	
ENSG00000106113	ENST00000471646	ENSPPYP00000019809	
ENSG00000106123	ENST00000392957	ENSPPYP00000020310	
ENSG00000106128	ENST00000326139	
ENSG00000106278	ENST00000393386	ENSPPYP00000020130	
ENSG00000106327	ENST00000223051	ENSPPYP00000019526	
ENSG00000106799	ENST00000374994	ENSPPYP00000021783	
ENSG00000106991	ENST00000373203	ENSPPYP00000022002	
ENSG00000107731	ENST00000335350	ENSPPYP00000002744	
ENSG00000107779	ENST00000224764	ENSPPYP00000002646	
ENSG00000108405	ENST00000225538	ENSPPYP00000008811	
ENSG00000108556	ENST00000293780	ENSPPYP00000008835	
ENSG00000108797	ENST00000264638	ENSPPYP00000009422	
ENSG00000108947	ENST00000226091	ENSPPYP00000009939	
ENSG00000109158	ENST00000264318	ENSPPYP00000016430	
ENSG00000109163	ENST00000226413	ENSPPYP00000016456	
ENSG00000109738	ENST00000264428	ENSPPYP00000016931	
ENSG00000109991	ENST00000263314	ENSPPYP00000003765	
ENSG00000110148	ENST00000334619	ENSPPYP00000004068	
ENSG00000110195	ENST00000312293	ENSPPYP00000004171	
ENSG00000110324	ENST00000227752	ENSPPYP00000004491	
ENSG00000110400	ENST00000264025	ENSPPYP00000004547	
ENSG00000110448	ENST00000347785	ENSPPYP00000003687	
ENSG00000110848	ENST00000228434	ENSPPYP00000004856	
ENSG00000111199	ENST00000418703	ENSPPYP00000005635	
ENSG00000111291	ENST00000228887	ENSPPYP00000004924	
ENSG00000111432	ENST00000229030	ENSPPYP00000005835	
ENSG00000111452	ENST00000261654	ENSPPYP00000005843	
ENSG00000111729	ENST00000229332	ENSPPYP00000004835	
ENSG00000111796	ENST00000229402	ENSPPYP00000004855	
ENSG00000111886	ENST00000402938	ENSPPYP00000018851	
ENSG00000111981	ENST00000367345	ENSPPYP00000019146	
ENSG00000112038	ENST00000434900	
ENSG00000112164	ENST00000373256	ENSPPYP00000018535	
ENSG00000112195	ENST00000483722	ENSPPYP00000018556	
ENSG00000112218	ENST00000417980	ENSPPYP00000018868	
ENSG00000112414	ENST00000367609	ENSPPYP00000019098	
ENSG00000112459	ENST00000230221	
ENSG00000112462	ENST00000377143	
ENSG00000112486	ENST00000400926	ENSPPYP00000019228	
ENSG00000112902	ENST00000382496	ENSPPYP00000017134	
ENSG00000112964	ENST00000230882	ENSPPYP00000017241	
ENSG00000113070	ENST00000230990	ENSPPYP00000017724	
ENSG00000113262	ENST00000231188	ENSPPYP00000018032	
ENSG00000113327	ENST00000414552	ENSPPYP00000017923	
ENSG00000113594	ENST00000263409	ENSPPYP00000017217	
ENSG00000113721	ENST00000261799	ENSPPYP00000017839	
ENSG00000113749	ENST00000377291	ENSPPYP00000018065	
ENSG00000113763	ENST00000329542	ENSPPYP00000017994	
ENSG00000114013	ENST00000330540	ENSPPYP00000015088	
ENSG00000114554	ENST00000393409	ENSPPYP00000015040	
ENSG00000114739	ENST00000352511	ENSPPYP00000015666	
ENSG00000114812	ENST00000325123	ENSPPYP00000015638	
ENSG00000115170	ENST00000263640	ENSPPYP00000014358	
ENSG00000115221	ENST00000283249	ENSPPYP00000014370	
ENSG00000115232	ENST00000397033	ENSPPYP00000014509	
ENSG00000115353	ENST00000305249	ENSPPYP00000013668	
ENSG00000115590	ENST00000332549	ENSPPYP00000013501	
ENSG00000115594	ENST00000410023	ENSPPYP00000013505	
ENSG00000115598	ENST00000264257	ENSPPYP00000013506	
ENSG00000115602	ENST00000233954	ENSPPYP00000013509	
ENSG00000115604	ENST00000410040	ENSPPYP00000013510	
ENSG00000116014	ENST00000234371	ENSPPYP00000010435	
ENSG00000116032	ENST00000234389	
ENSG00000116106	ENST00000281821	ENSPPYP00000014770	
ENSG00000116329	ENST00000234961	ENSPPYP00000001886	
ENSG00000116678	ENST00000349533	ENSPPYP00000001479	
ENSG00000116824	ENST00000369478	ENSPPYP00000001142	
ENSG00000116996	ENST00000366570	ENSPPYP00000000077	
ENSG00000117090	ENST00000302035	ENSPPYP00000000730	
ENSG00000117114	ENST00000359929	ENSPPYP00000001403	
ENSG00000117322	ENST00000367057	ENSPPYP00000000280	
ENSG00000117335	ENST00000322875	ENSPPYP00000000274	
ENSG00000117400	ENST00000372470	ENSPPYP00000001679	
ENSG00000117425	ENST00000372192	ENSPPYP00000001647	
ENSG00000117971	ENST00000261751	ENSPPYP00000007606	
ENSG00000118257	ENST00000360409	ENSPPYP00000014643	
ENSG00000118432	ENST00000369501	ENSPPYP00000018846	
ENSG00000119121	ENST00000360774	ENSPPYP00000021611	
ENSG00000119535	ENST00000373103	ENSPPYP00000001772	
ENSG00000119686	ENST00000238667	ENSPPYP00000006830	
ENSG00000119714	ENST00000531499	ENSPPYP00000006897	
ENSG00000119737	ENST00000394705	ENSPPYP00000013853	
ENSG00000119973	ENST00000239032	ENSPPYP00000003146	
ENSG00000120088	ENST00000398285	ENSPPYP00000009322	
ENSG00000120156	ENST00000380036	ENSPPYP00000021466	
ENSG00000120217	ENST00000381577	ENSPPYP00000021543	
ENSG00000120251	ENST00000296526	ENSPPYP00000016932	
ENSG00000120436	ENST00000366834	ENSPPYP00000019229	
ENSG00000120586	ENST00000239761	ENSPPYP00000002469	
ENSG00000120659	ENST00000239849	ENSPPYP00000006060	
ENSG00000120889	ENST00000276431	ENSPPYP00000020655	
ENSG00000120903	ENST00000407991	ENSPPYP00000020693	
ENSG00000120907	ENST00000380586	ENSPPYP00000020687	
ENSG00000120949	ENST00000263932	ENSPPYP00000002166	
ENSG00000121594	ENST00000264246	ENSPPYP00000015114	
ENSG00000121716	ENST00000310771	ENSPPYP00000019511	
ENSG00000121753	ENST00000373658	ENSPPYP00000001855	
ENSG00000121764	ENST00000403528	ENSPPYP00000001861	
ENSG00000121797	ENST00000357392	ENSPPYP00000015588	
ENSG00000121807	ENST00000292301	ENSPPYP00000016197	
ENSG00000121853	ENST00000241256	ENSPPYP00000015987	
ENSG00000121933	ENST00000369716	ENSPPYP00000001199	
ENSG00000121966	ENST00000409817	ENSPPYP00000014310	
ENSG00000121989	ENST00000241416	ENSPPYP00000014326	
ENSG00000122025	ENST00000241453	ENSPPYP00000005971	
ENSG00000122223	ENST00000368033	ENSPPYP00000000726	
ENSG00000122375	ENST00000372071	ENSPPYP00000002648	
ENSG00000122420	ENST00000370758	ENSPPYP00000001410	
ENSG00000122679	ENST00000242249	ENSPPYP00000019704	
ENSG00000122718	ENST00000341959	
ENSG00000123146	ENST00000242786	ENSPPYP00000010805	
ENSG00000123384	ENST00000243077	ENSPPYP00000005334	
ENSG00000123612	ENST00000243349	ENSPPYP00000014357	
ENSG00000123901	ENST00000243673	ENSPPYP00000004325	
ENSG00000124089	ENST00000243911	ENSPPYP00000012454	
ENSG00000124145	ENST00000372733	ENSPPYP00000012352	
ENSG00000124334	ENST00000244174	ENSPPYP00000023406	
ENSG00000124493	ENST00000374181	ENSPPYP00000018465	
ENSG00000124557	ENST00000244513	ENSPPYP00000018263	
ENSG00000124657	ENST00000244623	ENSPPYP00000018289	
ENSG00000124731	ENST00000244709	ENSPPYP00000018558	
ENSG00000125245	ENST00000397473	ENSPPYP00000006233	
ENSG00000125384	ENST00000245457	ENSPPYP00000006609	
ENSG00000125498	ENST00000336077	
ENSG00000125510	ENST00000336866	ENSPPYP00000012580	
ENSG00000125522	ENST00000369768	ENSPPYP00000012581	
ENSG00000125675	ENST00000264357	ENSPPYP00000023163	
ENSG00000125810	ENST00000246006	ENSPPYP00000012027	
ENSG00000125910	ENST00000246115	ENSPPYP00000010509	
ENSG00000126010	ENST00000380289	ENSPPYP00000022542	
ENSG00000126246	ENST00000246532	ENSPPYP00000011059	
ENSG00000126251	ENST00000454971	
ENSG00000126262	ENST00000246549	ENSPPYP00000011043	
ENSG00000126266	ENST00000246553	ENSPPYP00000011040	
ENSG00000126353	ENST00000246657	ENSPPYP00000009505	
ENSG00000126777	ENST00000395309	ENSPPYP00000006638	
ENSG00000126895	ENST00000358927	ENSPPYP00000023347	
ENSG00000127364	ENST00000247881	
ENSG00000127418	ENST00000398484	ENSPPYP00000016225	
ENSG00000127507	ENST00000315576	ENSPPYP00000010820	
ENSG00000127515	ENST00000248058	ENSPPYP00000010823	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSPPYP00000010868	
ENSG00000127780	ENST00000248384	
ENSG00000128052	ENST00000263923	ENSPPYP00000016491	
ENSG00000128271	ENST00000541988	ENSPPYP00000012991	
ENSG00000128285	ENST00000249016	ENSPPYP00000013228	
ENSG00000128310	ENST00000249041	ENSPPYP00000013168	
ENSG00000128519	ENST00000249284	ENSPPYP00000020135	
ENSG00000128602	ENST00000249373	ENSPPYP00000020186	
ENSG00000128617	ENST00000249389	ENSPPYP00000020174	
ENSG00000129048	ENST00000249887	ENSPPYP00000015784	
ENSG00000129749	ENST00000250699	ENSPPYP00000004154	
ENSG00000130164	ENST00000252444	ENSPPYP00000010732	
ENSG00000130202	ENST00000252483	ENSPPYP00000011297	
ENSG00000130234	ENST00000252519	ENSPPYP00000022536	
ENSG00000130368	ENST00000252660	ENSPPYP00000019354	
ENSG00000130529	ENST00000252826	ENSPPYP00000011464	
ENSG00000130538	ENST00000252835	
ENSG00000131015	ENST00000367351	
ENSG00000131042	ENST00000391749	
ENSG00000131080	ENST00000374719	ENSPPYP00000022861	
ENSG00000131355	ENST00000253673	ENSPPYP00000010816	
ENSG00000131477	ENST00000253796	ENSPPYP00000009420	
ENSG00000131724	ENST00000371666	ENSPPYP00000023129	
ENSG00000132329	ENST00000254661	ENSPPYP00000014891	
ENSG00000132334	ENST00000254667	ENSPPYP00000003226	
ENSG00000132517	ENST00000254853	ENSPPYP00000008847	
ENSG00000132518	ENST00000254854	ENSPPYP00000008933	
ENSG00000132670	ENST00000380393	ENSPPYP00000012097	
ENSG00000132671	ENST00000255008	ENSPPYP00000012025	
ENSG00000132704	ENST00000361516	ENSPPYP00000000798	
ENSG00000132911	ENST00000255262	
ENSG00000132975	ENST00000405846	ENSPPYP00000005958	
ENSG00000133019	ENST00000255380	ENSPPYP00000000075	
ENSG00000133067	ENST00000367278	ENSPPYP00000000389	
ENSG00000133105	ENST00000298386	ENSPPYP00000005990	
ENSG00000133216	ENST00000374632	
ENSG00000133800	ENST00000256178	ENSPPYP00000004003	
ENSG00000134061	ENST00000256447	ENSPPYP00000017340	
ENSG00000134160	ENST00000397795	ENSPPYP00000007129	
ENSG00000134243	ENST00000256637	ENSPPYP00000001248	
ENSG00000134250	ENST00000256646	ENSPPYP00000001116	
ENSG00000134352	ENST00000381298	ENSPPYP00000017290	
ENSG00000134460	ENST00000379959	ENSPPYP00000002390	
ENSG00000134489	ENST00000256906	ENSPPYP00000010184	
ENSG00000134539	ENST00000381907	ENSPPYP00000004871	
ENSG00000134545	ENST00000359151	ENSPPYP00000004879	
ENSG00000134569	ENST00000378623	ENSPPYP00000003804	
ENSG00000134640	ENST00000257068	ENSPPYP00000004312	
ENSG00000134817	ENST00000257254	ENSPPYP00000003768	
ENSG00000134830	ENST00000257267	ENSPPYP00000011375	
ENSG00000134853	ENST00000257290	ENSPPYP00000016493	
ENSG00000135124	ENST00000337233	ENSPPYP00000005749	
ENSG00000135218	ENST00000435819	ENSPPYP00000020018	
ENSG00000135298	ENST00000370598	ENSPPYP00000018746	
ENSG00000135312	ENST00000369947	ENSPPYP00000018790	
ENSG00000135333	ENST00000369303	ENSPPYP00000018863	
ENSG00000135409	ENST00000257863	ENSPPYP00000005223	
ENSG00000135424	ENST00000257879	ENSPPYP00000005272	
ENSG00000135503	ENST00000541224	ENSPPYP00000005175	
ENSG00000135577	ENST00000258042	ENSPPYP00000019096	
ENSG00000135622	ENST00000357877	ENSPPYP00000013672	
ENSG00000135898	ENST00000392040	ENSPPYP00000014822	
ENSG00000135902	ENST00000258385	ENSPPYP00000014844	
ENSG00000135914	ENST00000258400	
ENSG00000135960	ENST00000258443	ENSPPYP00000013538	
ENSG00000135973	ENST00000258456	ENSPPYP00000013519	
ENSG00000136011	ENST00000388887	ENSPPYP00000005576	
ENSG00000136040	ENST00000258526	ENSPPYP00000005516	
ENSG00000136160	ENST00000334286	
ENSG00000136834	ENST00000259357	ENSPPYP00000021936	
ENSG00000136839	ENST00000259362	ENSPPYP00000022277	
ENSG00000136869	ENST00000355622	ENSPPYP00000021907	
ENSG00000136928	ENST00000259455	ENSPPYP00000021779	
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSPPYP00000021140	
ENSG00000137070	ENST00000555003	ENSPPYP00000021420	
ENSG00000137101	ENST00000396757	ENSPPYP00000021394	
ENSG00000137252	ENST00000370862	ENSPPYP00000018715	
ENSG00000137332	ENST00000259875	
ENSG00000137403	ENST00000383516	
ENSG00000137462	ENST00000260010	ENSPPYP00000016910	
ENSG00000137642	ENST00000260197	ENSPPYP00000004559	
ENSG00000137809	ENST00000315757	ENSPPYP00000007475	
ENSG00000137868	ENST00000395105	ENSPPYP00000007525	
ENSG00000137872	ENST00000536845	ENSPPYP00000007308	
ENSG00000138039	ENST00000294954	ENSPPYP00000013861	
ENSG00000138271	ENST00000260843	ENSPPYP00000015893	
ENSG00000138435	ENST00000261007	ENSPPYP00000014459	
ENSG00000138448	ENST00000261023	ENSPPYP00000014531	
ENSG00000138696	ENST00000515059	ENSPPYP00000016680	
ENSG00000138741	ENST00000379645	ENSPPYP00000016800	
ENSG00000138760	ENST00000264896	ENSPPYP00000016592	
ENSG00000139187	ENST00000356986	ENSPPYP00000004846	
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSPPYP00000005437	
ENSG00000139514	ENST00000380752	ENSPPYP00000005979	
ENSG00000139567	ENST00000267008	ENSPPYP00000005174	
ENSG00000139572	ENST00000267015	ENSPPYP00000005250	
ENSG00000139626	ENST00000422257	ENSPPYP00000005214	
ENSG00000139636	ENST00000267102	ENSPPYP00000005104	
ENSG00000139679	ENST00000378434	ENSPPYP00000006105	
ENSG00000139874	ENST00000267377	ENSPPYP00000006545	
ENSG00000140443	ENST00000268035	ENSPPYP00000007720	
ENSG00000140538	ENST00000360948	ENSPPYP00000007657	
ENSG00000140678	ENST00000268296	ENSPPYP00000008264	
ENSG00000140749	ENST00000268389	ENSPPYP00000008122	
ENSG00000141194	ENST00000268912	ENSPPYP00000009256	
ENSG00000141458	ENST00000269228	ENSPPYP00000010175	
ENSG00000141505	ENST00000269299	ENSPPYP00000008884	
ENSG00000141655	ENST00000269485	ENSPPYP00000010334	
ENSG00000141736	ENST00000269571	ENSPPYP00000009527	
ENSG00000142166	ENST00000270139	ENSPPYP00000012695	
ENSG00000142511	ENST00000270590	ENSPPYP00000011524	
ENSG00000142627	ENST00000358432	ENSPPYP00000002121	
ENSG00000142949	ENST00000359947	ENSPPYP00000001671	
ENSG00000143126	ENST00000271332	ENSPPYP00000001251	
ENSG00000143127	ENST00000369304	ENSPPYP00000001085	
ENSG00000143147	ENST00000367838	ENSPPYP00000000634	
ENSG00000143167	ENST00000367868	ENSPPYP00000000648	
ENSG00000143217	ENST00000368012	ENSPPYP00000000717	
ENSG00000143226	ENST00000271450	ENSPPYP00000000696	
ENSG00000143297	ENST00000361835	ENSPPYP00000000801	
ENSG00000143324	ENST00000367590	ENSPPYP00000000513	
ENSG00000144136	ENST00000272542	ENSPPYP00000013569	
ENSG00000144230	ENST00000544369	ENSPPYP00000014241	
ENSG00000144407	ENST00000272847	ENSPPYP00000014671	
ENSG00000144476	ENST00000272928	ENSPPYP00000014880	
ENSG00000144481	ENST00000324695	ENSPPYP00000014868	
ENSG00000144648	ENST00000442925	ENSPPYP00000015630	
ENSG00000144668	ENST00000264741	ENSPPYP00000015679	
ENSG00000144724	ENST00000474889	ENSPPYP00000015384	
ENSG00000144820	ENST00000273352	ENSPPYP00000015202	
ENSG00000144847	ENST00000393775	ENSPPYP00000015121	
ENSG00000144891	ENST00000497524	ENSPPYP00000015870	
ENSG00000145103	ENST00000273691	ENSPPYP00000015089	
ENSG00000145242	ENST00000273854	ENSPPYP00000016461	
ENSG00000145244	ENST00000273857	
ENSG00000145451	ENST00000274093	ENSPPYP00000016995	
ENSG00000145623	ENST00000274276	ENSPPYP00000017218	
ENSG00000145863	ENST00000274545	ENSPPYP00000017920	
ENSG00000145864	ENST00000393959	ENSPPYP00000017919	
ENSG00000145888	ENST00000455880	ENSPPYP00000017870	
ENSG00000146072	ENST00000296861	ENSPPYP00000018658	
ENSG00000146276	ENST00000454853	
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSPPYP00000019054	
ENSG00000146648	ENST00000275493	ENSPPYP00000019671	
ENSG00000146904	ENST00000275815	ENSPPYP00000020327	
ENSG00000146938	ENST00000381095	ENSPPYP00000022482	
ENSG00000147138	ENST00000276077	ENSPPYP00000022949	
ENSG00000147145	ENST00000435339	ENSPPYP00000022947	
ENSG00000147155	ENST00000495186	ENSPPYP00000022734	
ENSG00000147168	ENST00000374202	ENSPPYP00000022888	
ENSG00000147246	ENST00000276198	ENSPPYP00000023110	
ENSG00000147262	ENST00000276218	ENSPPYP00000023192	
ENSG00000147380	ENST00000369935	ENSPPYP00000023356	
ENSG00000147402	ENST00000370306	ENSPPYP00000023313	
ENSG00000147432	ENST00000289957	ENSPPYP00000020813	
ENSG00000147434	ENST00000276410	ENSPPYP00000020814	
ENSG00000147650	ENST00000276654	ENSPPYP00000021106	
ENSG00000148053	ENST00000376214	ENSPPYP00000021662	
ENSG00000148136	ENST00000277216	ENSPPYP00000021806	
ENSG00000148215	ENST00000373680	
ENSG00000148600	ENST00000372117	ENSPPYP00000002655	
ENSG00000148604	ENST00000359452	ENSPPYP00000002652	
ENSG00000148680	ENST00000336152	ENSPPYP00000002864	
ENSG00000148734	ENST00000277942	ENSPPYP00000002754	
ENSG00000149133	ENST00000278409	
ENSG00000149295	ENST00000362072	ENSPPYP00000004451	
ENSG00000149305	ENST00000260191	ENSPPYP00000004456	
ENSG00000149403	ENST00000527524	ENSPPYP00000004555	
ENSG00000149534	ENST00000278888	ENSPPYP00000003711	
ENSG00000150045	ENST00000279544	ENSPPYP00000004857	
ENSG00000150048	ENST00000315330	ENSPPYP00000004864	
ENSG00000150086	ENST00000279593	ENSPPYP00000004930	
ENSG00000150093	ENST00000396033	ENSPPYP00000002561	
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	
ENSG00000150337	ENST00000369168	ENSPPYP00000022369	
ENSG00000150471	ENST00000514591	ENSPPYP00000016466	
ENSG00000150594	ENST00000280155	ENSPPYP00000003090	
ENSG00000150637	ENST00000280200	ENSPPYP00000010360	
ENSG00000150938	ENST00000280527	ENSPPYP00000013959	
ENSG00000150995	ENST00000302640	ENSPPYP00000015317	
ENSG00000151025	ENST00000376351	ENSPPYP00000002508	
ENSG00000151490	ENST00000281171	ENSPPYP00000004947	
ENSG00000151577	ENST00000460779	ENSPPYP00000015127	
ENSG00000151617	ENST00000324300	ENSPPYP00000016879	
