Ensembl Gene ID	Ensembl Transcript ID	GO Term Evidence Code	GO Term Accession	Canonical transcript stable ID(s)	Description	Associated Gene Name
ENSG00000183873	ENST00000455624	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000183873	ENST00000450102	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000183873	ENST00000449557	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000183873	ENST00000451551	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000183873	ENST00000425664	IEA	GO:0001518	ENST00000413689	sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]	SCN5A
ENSG00000185313	ENST00000449082	IEA	GO:0001518	ENST00000449082	sodium channel, voltage-gated, type X, alpha subunit [Source:HGNC Symbol;Acc:10582]	SCN10A
ENSG00000168356	ENST00000302328	IEA	GO:0001518	ENST00000302328	sodium channel, voltage-gated, type XI, alpha subunit [Source:HGNC Symbol;Acc:10583]	SCN11A
ENSG00000168356	ENST00000450244	IEA	GO:0001518	ENST00000302328	sodium channel, voltage-gated, type XI, alpha subunit [Source:HGNC Symbol;Acc:10583]	SCN11A
ENSG00000007314	ENST00000435607	IEA	GO:0001518	ENST00000435607	sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]	SCN4A
ENSG00000196876	ENST00000354534	IC	GO:0001518	ENST00000354534	sodium channel, voltage gated, type VIII, alpha subunit [Source:HGNC Symbol;Acc:10596]	SCN8A
ENSG00000177098	ENST00000324727	IDA	GO:0001518	ENST00000324727	sodium channel, voltage-gated, type IV, beta [Source:HGNC Symbol;Acc:10592]	SCN4B
ENSG00000149575	ENST00000278947	TAS	GO:0001518	ENST00000278947	sodium channel, voltage-gated, type II, beta [Source:HGNC Symbol;Acc:10589]	SCN2B
ENSG00000149177	ENST00000418331	IDA	GO:0001772	ENST00000418331	protein tyrosine phosphatase, receptor type, J [Source:HGNC Symbol;Acc:9673]	PTPRJ
ENSG00000213658	ENST00000395461	IEA	GO:0001772	ENST00000395461	linker for activation of T cells [Source:HGNC Symbol;Acc:18874]	LAT
ENSG00000213658	ENST00000360872	IDA	GO:0001772	ENST00000395461	linker for activation of T cells [Source:HGNC Symbol;Acc:18874]	LAT
ENSG00000090339	ENST00000264832	IEA	GO:0001772	ENST00000264832	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:5344]	ICAM1
ENSG00000198851	ENST00000361763	IEA	GO:0001772	ENST00000361763	CD3e molecule, epsilon (CD3-TCR complex) [Source:HGNC Symbol;Acc:1674]	CD3E
ENSG00000232810	ENST00000449264	ISS	GO:0001891	ENST00000449264	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000232810	ENST00000449264	IEA	GO:0001891	ENST00000449264	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000187800	ENST00000338302	IEA	GO:0001891	ENST00000338302	platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:33631]	PEAR1
ENSG00000187800	ENST00000292357	IEA	GO:0001891	ENST00000338302	platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:33631]	PEAR1
ENSG00000230108	ENST00000443707	ISS	GO:0001891	ENST00000443707	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000228321	ENST00000412275	ISS	GO:0001891	ENST00000412275	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000206439	ENST00000383496	ISS	GO:0001891	ENST00000383496	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000223952	ENST00000448781	ISS	GO:0001891	ENST00000448781	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000228849	ENST00000420425	ISS	GO:0001891	ENST00000420425	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000145794	ENST00000503335	IEA	GO:0001891	ENST00000503335	multiple EGF-like-domains 10 [Source:HGNC Symbol;Acc:29634]	MEGF10
ENSG00000145794	ENST00000274473	IEA	GO:0001891	ENST00000503335	multiple EGF-like-domains 10 [Source:HGNC Symbol;Acc:29634]	MEGF10
ENSG00000204490	ENST00000376122	ISS	GO:0001891	ENST00000376122	tumor necrosis factor [Source:HGNC Symbol;Acc:11892]	TNF
ENSG00000151067	ENST00000347598	IEA	GO:0002095	ENST00000347598	calcium channel, voltage-dependent, L type, alpha 1C subunit [Source:HGNC Symbol;Acc:1390]	CACNA1C
ENSG00000021852	ENST00000371237	IEA	GO:0005579	ENST00000371237	complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:1353]	C8B
ENSG00000183130	ENST00000330803	TAS	GO:0005886	ENST00000330803	olfactory receptor, family 2, subfamily T, member 11 [Source:HGNC Symbol;Acc:19574]	OR2T11
ENSG00000177151	ENST00000317450	TAS	GO:0005886	ENST00000317450	olfactory receptor, family 2, subfamily T, member 35 [Source:HGNC Symbol;Acc:31257]	OR2T35
ENSG00000187701	ENST00000344889	TAS	GO:0005886	ENST00000344889	olfactory receptor, family 2, subfamily T, member 27 [Source:HGNC Symbol;Acc:31252]	OR2T27
ENSG00000189181	ENST00000342623	TAS	GO:0005886	ENST00000342623	olfactory receptor, family 14, subfamily I, member 1 [Source:HGNC Symbol;Acc:19575]	OR14I1
ENSG00000153208	ENST00000295408	TAS	GO:0005886	ENST00000295408	c-mer proto-oncogene tyrosine kinase [Source:HGNC Symbol;Acc:7027]	MERTK
ENSG00000153208	ENST00000421804	TAS	GO:0005886	ENST00000295408	c-mer proto-oncogene tyrosine kinase [Source:HGNC Symbol;Acc:7027]	MERTK
ENSG00000144136	ENST00000272542	TAS	GO:0005886	ENST00000272542	solute carrier family 20 (phosphate transporter), member 1 [Source:HGNC Symbol;Acc:10946]	SLC20A1
ENSG00000144136	ENST00000272542	IEA	GO:0005886	ENST00000272542	solute carrier family 20 (phosphate transporter), member 1 [Source:HGNC Symbol;Acc:10946]	SLC20A1
ENSG00000117525	ENST00000334047	TAS	GO:0005886	ENST00000334047	coagulation factor III (thromboplastin, tissue factor) [Source:HGNC Symbol;Acc:3541]	F3
ENSG00000143036	ENST00000271227	TAS	GO:0005886	ENST00000271227	solute carrier family 44, member 3 [Source:HGNC Symbol;Acc:28689]	SLC44A3
ENSG00000021488	ENST00000023064	TAS	GO:0005886	ENST00000023064	solute carrier family 7 (glycoprotein-associated amino acid transporter light chain, bo,+ system), member 9 [Source:HGNC Symbol;Acc:11067]	SLC7A9
ENSG00000130876	ENST00000253188	TAS	GO:0005886	ENST00000253188	solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10 [Source:HGNC Symbol;Acc:11058]	SLC7A10
ENSG00000184611	ENST00000332142	TAS	GO:0005886	ENST00000332142	potassium voltage-gated channel, subfamily H (eag-related), member 7 [Source:HGNC Symbol;Acc:18863]	KCNH7
ENSG00000132518	ENST00000254854	IEA	GO:0005886	ENST00000254854	guanylate cyclase 2D, membrane (retina-specific) [Source:HGNC Symbol;Acc:4689]	GUCY2D
ENSG00000220205	ENST00000316509	TAS	GO:0005886	ENST00000316509	vesicle-associated membrane protein 2 (synaptobrevin 2) [Source:HGNC Symbol;Acc:12643]	VAMP2
ENSG00000220205	ENST00000316509	IEA	GO:0005886	ENST00000316509	vesicle-associated membrane protein 2 (synaptobrevin 2) [Source:HGNC Symbol;Acc:12643]	VAMP2
ENSG00000239697	ENST00000293825	IEA	GO:0005886	ENST00000557233	tumor necrosis factor (ligand) superfamily, member 12 [Source:HGNC Symbol;Acc:11927]	TNFSF12
ENSG00000188389	ENST00000334409	TAS	GO:0005886	ENST00000334409	programmed cell death 1 [Source:HGNC Symbol;Acc:8760]	PDCD1
ENSG00000153246	ENST00000283243	IEA	GO:0005886	ENST00000283243	phospholipase A2 receptor 1, 180kDa [Source:HGNC Symbol;Acc:9042]	PLA2R1
ENSG00000158748	ENST00000289753	TAS	GO:0005886	ENST00000289753	5-hydroxytryptamine (serotonin) receptor 6 [Source:HGNC Symbol;Acc:5301]	HTR6
ENSG00000162989	ENST00000295101	TAS	GO:0005886	ENST00000295101	potassium inwardly-rectifying channel, subfamily J, member 3 [Source:HGNC Symbol;Acc:6264]	KCNJ3
ENSG00000129226	ENST00000250092	IEA	GO:0005886	ENST00000250092	CD68 molecule [Source:HGNC Symbol;Acc:1693]	CD68
ENSG00000115107	ENST00000393110	IEA	GO:0005886	ENST00000393110	STEAP family member 3 [Source:HGNC Symbol;Acc:24592]	STEAP3
ENSG00000115107	ENST00000393106	IEA	GO:0005886	ENST00000393110	STEAP family member 3 [Source:HGNC Symbol;Acc:24592]	STEAP3
ENSG00000115107	ENST00000393107	IEA	GO:0005886	ENST00000393110	STEAP family member 3 [Source:HGNC Symbol;Acc:24592]	STEAP3
ENSG00000115107	ENST00000393108	IEA	GO:0005886	ENST00000393110	STEAP family member 3 [Source:HGNC Symbol;Acc:24592]	STEAP3
ENSG00000115107	ENST00000354888	IEA	GO:0005886	ENST00000393110	STEAP family member 3 [Source:HGNC Symbol;Acc:24592]	STEAP3
ENSG00000115107	ENST00000425223	IEA	GO:0005886	ENST00000393110	STEAP family member 3 [Source:HGNC Symbol;Acc:24592]	STEAP3
ENSG00000129244	ENST00000250111	TAS	GO:0005886	ENST00000250111	ATPase, Na+/K+ transporting, beta 2 polypeptide [Source:HGNC Symbol;Acc:805]	ATP1B2
ENSG00000144285	ENST00000303395	IEA	GO:0005886	ENST00000303395	sodium channel, voltage-gated, type I, alpha subunit [Source:HGNC Symbol;Acc:10585]	SCN1A
ENSG00000080293	ENST00000019103	TAS	GO:0005886	ENST00000019103	secretin receptor [Source:HGNC Symbol;Acc:10608]	SCTR
ENSG00000064547	ENST00000407877	TAS	GO:0005886	ENST00000407877	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:3168]	LPAR2
ENSG00000064547	ENST00000542587	TAS	GO:0005886	ENST00000407877	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:3168]	LPAR2
ENSG00000128011	ENST00000248668	IEA	GO:0005886	ENST00000248668	leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:29290]	LRFN1
ENSG00000184908	ENST00000375679	IEA	GO:0005886	ENST00000375679	chloride channel Kb [Source:HGNC Symbol;Acc:2027]	CLCNKB
ENSG00000184371	ENST00000329608	IEA	GO:0005886	ENST00000329608	colony stimulating factor 1 (macrophage) [Source:HGNC Symbol;Acc:2432]	CSF1
ENSG00000184371	ENST00000369802	IEA	GO:0005886	ENST00000329608	colony stimulating factor 1 (macrophage) [Source:HGNC Symbol;Acc:2432]	CSF1
ENSG00000142627	ENST00000358432	IDA	GO:0005886	ENST00000358432	EPH receptor A2 [Source:HGNC Symbol;Acc:3386]	EPHA2
ENSG00000116396	ENST00000469655	TAS	GO:0005886	ENST00000369787	potassium voltage-gated channel, Shaw-related subfamily, member 4 [Source:HGNC Symbol;Acc:6236]	KCNC4
ENSG00000116396	ENST00000369787	TAS	GO:0005886	ENST00000369787	potassium voltage-gated channel, Shaw-related subfamily, member 4 [Source:HGNC Symbol;Acc:6236]	KCNC4
ENSG00000126264	ENST00000246551	TAS	GO:0005886	ENST00000246551	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:16977]	HCST
ENSG00000011600	ENST00000262629	TAS	GO:0005886	ENST00000262629	TYRO protein tyrosine kinase binding protein [Source:HGNC Symbol;Acc:12449]	TYROBP
ENSG00000126243	ENST00000246529	IEA	GO:0005886	ENST00000246529	leucine rich repeat and fibronectin type III domain containing 3 [Source:HGNC Symbol;Acc:28370]	LRFN3
ENSG00000110400	ENST00000264025	TAS	GO:0005886	ENST00000264025	poliovirus receptor-related 1 (herpesvirus entry mediator C) [Source:HGNC Symbol;Acc:9706]	PVRL1
ENSG00000115221	ENST00000283249	TAS	GO:0005886	ENST00000283249	integrin, beta 6 [Source:HGNC Symbol;Acc:6161]	ITGB6
ENSG00000115221	ENST00000409872	TAS	GO:0005886	ENST00000283249	integrin, beta 6 [Source:HGNC Symbol;Acc:6161]	ITGB6
ENSG00000069849	ENST00000286371	TAS	GO:0005886	ENST00000286371	ATPase, Na+/K+ transporting, beta 3 polypeptide [Source:HGNC Symbol;Acc:806]	ATP1B3
ENSG00000069849	ENST00000286371	IEA	GO:0005886	ENST00000286371	ATPase, Na+/K+ transporting, beta 3 polypeptide [Source:HGNC Symbol;Acc:806]	ATP1B3
ENSG00000069849	ENST00000539728	IEA	GO:0005886	ENST00000286371	ATPase, Na+/K+ transporting, beta 3 polypeptide [Source:HGNC Symbol;Acc:806]	ATP1B3
ENSG00000101198	ENST00000370316	IEA	GO:0005886	ENST00000370316	Na+/K+ transporting ATPase interacting 4 [Source:HGNC Symbol;Acc:16191]	NKAIN4
ENSG00000101204	ENST00000370263	ISS	GO:0005886	ENST00000370263	cholinergic receptor, nicotinic, alpha 4 [Source:HGNC Symbol;Acc:1958]	CHRNA4
ENSG00000101204	ENST00000370263	IEA	GO:0005886	ENST00000370263	cholinergic receptor, nicotinic, alpha 4 [Source:HGNC Symbol;Acc:1958]	CHRNA4
ENSG00000075043	ENST00000359125	TAS	GO:0005886	ENST00000359125	potassium voltage-gated channel, KQT-like subfamily, member 2 [Source:HGNC Symbol;Acc:6296]	KCNQ2
ENSG00000179002	ENST00000375371	TAS	GO:0005886	ENST00000375371	taste receptor, type 1, member 2 [Source:HGNC Symbol;Acc:14905]	TAS1R2
ENSG00000166086	ENST00000299106	TAS	GO:0005886	ENST00000299106	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:15532]	JAM3
ENSG00000203896	ENST00000309546	IEA	GO:0005886	ENST00000309546	Lck interacting transmembrane adaptor 1 [Source:HGNC Symbol;Acc:26016]	LIME1
ENSG00000115902	ENST00000234256	TAS	GO:0005886	ENST00000234256	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:HGNC Symbol;Acc:10942]	SLC1A4
ENSG00000101152	ENST00000360864	TAS	GO:0005886	ENST00000360864	DnaJ (Hsp40) homolog, subfamily C, member 5 [Source:HGNC Symbol;Acc:16235]	DNAJC5
ENSG00000148680	ENST00000336152	TAS	GO:0005886	ENST00000336152	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled) [Source:HGNC Symbol;Acc:5302]	HTR7
ENSG00000144290	ENST00000446997	TAS	GO:0005886	ENST00000446997	solute carrier family 4, sodium bicarbonate transporter, member 10 [Source:HGNC Symbol;Acc:13811]	SLC4A10
ENSG00000143126	ENST00000271332	ISS	GO:0005886	ENST00000271332	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) [Source:HGNC Symbol;Acc:3231]	CELSR2
ENSG00000141485	ENST00000293800	TAS	GO:0005886	ENST00000293800	solute carrier family 13 (sodium-dependent citrate transporter), member 5 [Source:HGNC Symbol;Acc:23089]	SLC13A5
ENSG00000174600	ENST00000312143	IDA	GO:0005886	ENST00000312143	chemokine-like receptor 1 [Source:HGNC Symbol;Acc:2121]	CMKLR1
ENSG00000174600	ENST00000550402	IDA	GO:0005886	ENST00000312143	chemokine-like receptor 1 [Source:HGNC Symbol;Acc:2121]	CMKLR1
ENSG00000174600	ENST00000412676	IDA	GO:0005886	ENST00000312143	chemokine-like receptor 1 [Source:HGNC Symbol;Acc:2121]	CMKLR1
ENSG00000125510	ENST00000336866	TAS	GO:0005886	ENST00000336866	opiate receptor-like 1 [Source:HGNC Symbol;Acc:8155]	OPRL1
ENSG00000125510	ENST00000355631	TAS	GO:0005886	ENST00000336866	opiate receptor-like 1 [Source:HGNC Symbol;Acc:8155]	OPRL1
ENSG00000125510	ENST00000349451	TAS	GO:0005886	ENST00000336866	opiate receptor-like 1 [Source:HGNC Symbol;Acc:8155]	OPRL1
ENSG00000125522	ENST00000369768	TAS	GO:0005886	ENST00000369768	neuropeptides B/W receptor 2 [Source:HGNC Symbol;Acc:4530]	NPBWR2
ENSG00000099337	ENST00000263372	TAS	GO:0005886	ENST00000263372	potassium channel, subfamily K, member 6 [Source:HGNC Symbol;Acc:6281]	KCNK6
ENSG00000174946	ENST00000309180	IEA	GO:0005886	ENST00000309180	G protein-coupled receptor 171 [Source:HGNC Symbol;Acc:30057]	GPR171
ENSG00000174944	ENST00000309170	TAS	GO:0005886	ENST00000309170	purinergic receptor P2Y, G-protein coupled, 14 [Source:HGNC Symbol;Acc:16442]	P2RY14
ENSG00000174944	ENST00000424796	TAS	GO:0005886	ENST00000309170	purinergic receptor P2Y, G-protein coupled, 14 [Source:HGNC Symbol;Acc:16442]	P2RY14
ENSG00000136011	ENST00000388887	IEA	GO:0005886	ENST00000388887	stabilin 2 [Source:HGNC Symbol;Acc:18629]	STAB2
ENSG00000138271	ENST00000260843	IEA	GO:0005886	ENST00000260843	G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:4538]	GPR87
ENSG00000181631	ENST00000325602	TAS	GO:0005886	ENST00000325602	purinergic receptor P2Y, G-protein coupled, 13 [Source:HGNC Symbol;Acc:4537]	P2RY13
ENSG00000169313	ENST00000302632	TAS	GO:0005886	ENST00000302632	purinergic receptor P2Y, G-protein coupled, 12 [Source:HGNC Symbol;Acc:18124]	P2RY12
ENSG00000169313	ENST00000302632	IEA	GO:0005886	ENST00000302632	purinergic receptor P2Y, G-protein coupled, 12 [Source:HGNC Symbol;Acc:18124]	P2RY12
ENSG00000124225	ENST00000341744	IEA	GO:0005886	ENST00000341744	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:14107]	PMEPA1
ENSG00000188394	ENST00000373642	IEA	GO:0005886	ENST00000373642	G protein-coupled receptor 21 [Source:HGNC Symbol;Acc:4476]	GPR21
ENSG00000134243	ENST00000256637	IDA	GO:0005886	ENST00000256637	sortilin 1 [Source:HGNC Symbol;Acc:11186]	SORT1
ENSG00000134243	ENST00000256637	IEA	GO:0005886	ENST00000256637	sortilin 1 [Source:HGNC Symbol;Acc:11186]	SORT1
ENSG00000188394	ENST00000412269	IEA	GO:0005886	ENST00000373642	G protein-coupled receptor 21 [Source:HGNC Symbol;Acc:4476]	GPR21
ENSG00000065325	ENST00000262441	TAS	GO:0005886	ENST00000262441	glucagon-like peptide 2 receptor [Source:HGNC Symbol;Acc:4325]	GLP2R
ENSG00000065325	ENST00000304773	IEA	GO:0005886	ENST00000262441	glucagon-like peptide 2 receptor [Source:HGNC Symbol;Acc:4325]	GLP2R
ENSG00000204580	ENST00000324771	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000418800	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000454612	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000376569	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000376568	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000508312	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000376567	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000513240	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000417521	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000376575	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000376570	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000204580	ENST00000452441	IEA	GO:0005886	ENST00000376575	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]	DDR1
ENSG00000169604	ENST00000303714	IEA	GO:0005886	ENST00000303714	anthrax toxin receptor 1 [Source:HGNC Symbol;Acc:21014]	ANTXR1
ENSG00000196218	ENST00000359596	IDA	GO:0005886	ENST00000359596	ryanodine receptor 1 (skeletal) [Source:HGNC Symbol;Acc:10483]	RYR1
ENSG00000198829	ENST00000362032	IEA	GO:0005886	ENST00000362032	succinate receptor 1 [Source:HGNC Symbol;Acc:4542]	SUCNR1
ENSG00000197635	ENST00000360534	IDA	GO:0005886	ENST00000360534	dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:3009]	DPP4
ENSG00000197635	ENST00000360534	IEA	GO:0005886	ENST00000360534	dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:3009]	DPP4
ENSG00000178301	ENST00000313578	IEA	GO:0005886	ENST00000313578	aquaporin 11 [Source:HGNC Symbol;Acc:19940]	AQP11
ENSG00000198223	ENST00000381529	TAS	GO:0005886	ENST00000417535	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]	CSF2RA
ENSG00000198223	ENST00000381529	TAS	GO:0005886	ENST00000417535	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]	CSF2RA
ENSG00000198223	ENST00000381524	TAS	GO:0005886	ENST00000417535	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]	CSF2RA
ENSG00000198223	ENST00000381524	TAS	GO:0005886	ENST00000417535	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]	CSF2RA
ENSG00000198223	ENST00000432318	TAS	GO:0005886	ENST00000417535	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]	CSF2RA
ENSG00000198223	ENST00000432318	TAS	GO:0005886	ENST00000417535	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]	CSF2RA
ENSG00000156097	ENST00000404129	IEA	GO:0005886	ENST00000527748	G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:13300]	GPR61
ENSG00000156097	ENST00000527748	IEA	GO:0005886	ENST00000527748	G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:13300]	GPR61
ENSG00000156097	ENST00000469383	IEA	GO:0005886	ENST00000527748	G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:13300]	GPR61
ENSG00000156097	ENST00000286603	IEA	GO:0005886	ENST00000527748	G protein-coupled receptor 61 [Source:HGNC Symbol;Acc:13300]	GPR61
ENSG00000156875	ENST00000370152	IEA	GO:0005886	ENST00000370152	hippocampus abundant transcript 1 [Source:HGNC Symbol;Acc:23363]	HIAT1
ENSG00000110876	ENST00000550948	TAS	GO:0005886	ENST00000388962	selectin P ligand [Source:HGNC Symbol;Acc:10722]	SELPLG
ENSG00000110876	ENST00000228463	TAS	GO:0005886	ENST00000388962	selectin P ligand [Source:HGNC Symbol;Acc:10722]	SELPLG
ENSG00000110876	ENST00000388962	TAS	GO:0005886	ENST00000388962	selectin P ligand [Source:HGNC Symbol;Acc:10722]	SELPLG
ENSG00000185291	ENST00000331035	TAS	GO:0005886	ENST00000331035	interleukin 3 receptor, alpha (low affinity) [Source:HGNC Symbol;Acc:6012]	IL3RA
