ENSG00000162727	ENST00000366476
ENSG00000158748	ENST00000289753
ENSG00000186912	ENST00000374519
ENSG00000183625	ENST00000357422
ENSG00000183625	ENST00000395940
ENSG00000183625	ENST00000395942
ENSG00000183813	ENST00000330953
ENSG00000160791	ENST00000292303
ENSG00000160791	ENST00000445772
ENSG00000160791	ENST00000343801
ENSG00000160791	ENST00000400886
ENSG00000112486	ENST00000341935
ENSG00000112486	ENST00000349984
ENSG00000112486	ENST00000400926
ENSG00000179934	ENST00000326306
ENSG00000173585	ENST00000357632
ENSG00000101850	ENST00000467482
ENSG00000101850	ENST00000380929
ENSG00000151632	ENST00000380753
ENSG00000151632	ENST00000407674
ENSG00000164251	ENST00000296677
ENSG00000262628	ENST00000575751
ENSG00000124657	ENST00000244623
ENSG00000255713	ENST00000545221
ENSG00000170683	ENST00000360759
ENSG00000233481	ENST00000414415
ENSG00000168787	ENST00000383555
ENSG00000235966	ENST00000438569
ENSG00000204690	ENST00000377140
ENSG00000174885	ENST00000312165
ENSG00000260696	ENST00000567903
ENSG00000257138	ENST00000547270
ENSG00000236398	ENST00000446620
ENSG00000221937	ENST00000408947
ENSG00000221855	ENST00000408916
ENSG00000255374	ENST00000531678
ENSG00000263097	ENST00000572376
ENSG00000256436	ENST00000390675
ENSG00000262525	ENST00000574263
ENSG00000226761	ENST00000533467
ENSG00000212124	ENST00000390673
ENSG00000263318	ENST00000570941
ENSG00000262606	ENST00000572663
ENSG00000255837	ENST00000538986
ENSG00000256436	ENST00000390675
ENSG00000185899	ENST00000332690
ENSG00000164604	ENST00000424100
ENSG00000164604	ENST00000297146
ENSG00000164604	ENST00000449591
ENSG00000121966	ENST00000241393
ENSG00000132535	ENST00000380912
ENSG00000185231	ENST00000399821
ENSG00000185231	ENST00000327606
ENSG00000258947	ENST00000304984
ENSG00000106128	ENST00000326139
ENSG00000160801	ENST00000449590
ENSG00000160801	ENST00000418619
ENSG00000160801	ENST00000313049
ENSG00000160801	ENST00000430002
ENSG00000125618	ENST00000429538
ENSG00000163873	ENST00000373091
ENSG00000152822	ENST00000282753
ENSG00000152822	ENST00000361719
ENSG00000168229	ENST00000306051
ENSG00000144230	ENST00000272644
ENSG00000144230	ENST00000393018
ENSG00000106113	ENST00000471646
ENSG00000163251	ENST00000295417
ENSG00000102195	ENST00000218316
ENSG00000167825	ENST00000301532
ENSG00000213215	ENST00000392899
ENSG00000164270	ENST00000377888
ENSG00000174837	ENST00000312053
ENSG00000125245	ENST00000340807
ENSG00000125245	ENST00000397473
ENSG00000125245	ENST00000397470
ENSG00000180340	ENST00000315323
ENSG00000164082	ENST00000395052
ENSG00000166073	ENST00000299092
ENSG00000196277	ENST00000357716
ENSG00000198822	ENST00000361669
ENSG00000124493	ENST00000374181
ENSG00000183715	ENST00000331898
ENSG00000171631	ENST00000349767
ENSG00000171631	ENST00000393592
ENSG00000171631	ENST00000393591
ENSG00000171631	ENST00000393590
ENSG00000104213	ENST00000251630
ENSG00000104213	ENST00000398074
ENSG00000174944	ENST00000309170
ENSG00000174944	ENST00000424796
ENSG00000165202	ENST00000297913
ENSG00000141194	ENST00000268912
ENSG00000221888	ENST00000408896
ENSG00000197125	ENST00000328064
ENSG00000188269	ENST00000322301
ENSG00000213903	ENST00000345363
ENSG00000213903	ENST00000396789
ENSG00000213903	ENST00000396782
ENSG00000119714	ENST00000238699
ENSG00000183150	ENST00000332427
ENSG00000164129	ENST00000338566
ENSG00000250510	ENST00000311268
ENSG00000250510	ENST00000382315
ENSG00000213088	ENST00000368122
ENSG00000213088	ENST00000359381
ENSG00000171860	ENST00000307637
ENSG00000064989	ENST00000392370
ENSG00000064989	ENST00000409998
ENSG00000064989	ENST00000410068
ENSG00000177535	ENST00000318749
ENSG00000196266	ENST00000332217
ENSG00000186188	ENST00000371483
ENSG00000153292	ENST00000371243
ENSG00000153292	ENST00000371252
ENSG00000153292	ENST00000283297
ENSG00000173612	ENST00000310357
ENSG00000151025	ENST00000376351
ENSG00000188558	ENST00000343414
ENSG00000180758	ENST00000377411
ENSG00000180269	ENST00000326571
ENSG00000254834	ENST00000526812
ENSG00000172188	ENST00000302231
ENSG00000235249	ENST00000426406
ENSG00000185097	ENST00000332831
ENSG00000230178	ENST00000456475
ENSG00000203661	ENST00000366473
ENSG00000196240	ENST00000342927
ENSG00000221989	ENST00000408979
ENSG00000175485	ENST00000311352
ENSG00000237388	ENST00000446524
ENSG00000180708	ENST00000314902
ENSG00000205409	ENST00000329322
ENSG00000182083	ENST00000402971
ENSG00000237521	ENST00000456448
ENSG00000158292	ENST00000377893
ENSG00000169762	ENST00000405303
ENSG00000188888	ENST00000342292
ENSG00000111452	ENST00000261654
ENSG00000177674	ENST00000314340
ENSG00000124818	ENST00000393699
ENSG00000187258	ENST00000360581
ENSG00000186136	ENST00000334266
ENSG00000169962	ENST00000339381
ENSG00000173662	ENST00000333172
ENSG00000238243	ENST00000360358
ENSG00000228567	ENST00000311170
ENSG00000257008	ENST00000335666
ENSG00000187037	ENST00000447769
ENSG00000187037	ENST00000334425
ENSG00000180264	ENST00000334810
ENSG00000182170	ENST00000332314
ENSG00000184350	ENST00000389832
ENSG00000184350	ENST00000436689
ENSG00000174948	ENST00000389740
ENSG00000112414	ENST00000230173
ENSG00000197177	ENST00000368577
ENSG00000182162	ENST00000381297
ENSG00000163870	ENST00000450633
ENSG00000163870	ENST00000355552
ENSG00000163870	ENST00000489960
ENSG00000182885	ENST00000333493
ENSG00000152990	ENST00000334304
ENSG00000184394	ENST00000333629
ENSG00000140030	ENST00000267549
ENSG00000181619	ENST00000395116
ENSG00000069122	ENST00000265417
ENSG00000069122	ENST00000452370
ENSG00000069122	ENST00000283296
ENSG00000069122	ENST00000456426
ENSG00000153294	ENST00000327753
ENSG00000153294	ENST00000283303
ENSG00000159618	ENST00000340339
ENSG00000173567	ENST00000311519
ENSG00000156920	ENST00000394143
ENSG00000156920	ENST00000370652
ENSG00000156920	ENST00000287534
ENSG00000164393	ENST00000296862
ENSG00000164393	ENST00000467205
ENSG00000164393	ENST00000398742
ENSG00000173698	ENST00000379869
ENSG00000183706	ENST00000328795
ENSG00000172154	ENST00000302124
ENSG00000181785	ENST00000313555
ENSG00000181761	ENST00000313472
ENSG00000225781	ENST00000418316
ENSG00000181767	ENST00000313503
ENSG00000196071	ENST00000358120
ENSG00000196071	ENST00000366478
ENSG00000196242	ENST00000366487
ENSG00000143147	ENST00000367838
ENSG00000143147	ENST00000367835
ENSG00000143147	ENST00000271357
ENSG00000143147	ENST00000361697
ENSG00000154478	ENST00000284674
ENSG00000013588	ENST00000014914
ENSG00000101292	ENST00000217270
ENSG00000175697	ENST00000464295
ENSG00000175697	ENST00000315843
ENSG00000196131	ENST00000341702
ENSG00000181698	ENST00000313033
ENSG00000177212	ENST00000318021
ENSG00000177201	ENST00000317996
ENSG00000197454	ENST00000355281
ENSG00000177186	ENST00000317965
ENSG00000228198	ENST00000456743
ENSG00000187080	ENST00000366480
ENSG00000198128	ENST00000359959
ENSG00000171054	ENST00000338616
ENSG00000130538	ENST00000252835
ENSG00000170920	ENST00000305444
ENSG00000181733	ENST00000324060
ENSG00000174667	ENST00000308682
ENSG00000170923	ENST00000305456
ENSG00000161807	ENST00000293614
ENSG00000170929	ENST00000305465
ENSG00000170929	ENST00000429566
ENSG00000172148	ENST00000304105
ENSG00000176231	ENST00000322107
ENSG00000172519	ENST00000308940
ENSG00000176695	ENST00000318050
ENSG00000176540	ENST00000319813
ENSG00000176555	ENST00000319988
ENSG00000182974	ENST00000332663
ENSG00000182854	ENST00000332238
ENSG00000184140	ENST00000328882
ENSG00000169327	ENST00000304418
ENSG00000196832	ENST00000357366
ENSG00000221977	ENST00000408935
ENSG00000255582	ENST00000542433
ENSG00000169208	ENST00000303532
ENSG00000255804	ENST00000540461
ENSG00000176230	ENST00000315543
ENSG00000176219	ENST00000315519
ENSG00000176198	ENST00000315409
ENSG00000176299	ENST00000315957
ENSG00000176294	ENST00000315947
ENSG00000165762	ENST00000298642
ENSG00000176281	ENST00000315915
ENSG00000155249	ENST00000285600
ENSG00000169484	ENST00000305045
ENSG00000172640	ENST00000310248
ENSG00000179626	ENST00000394256
ENSG00000179615	ENST00000321688
ENSG00000175398	ENST00000309675
ENSG00000179919	ENST00000326258
ENSG00000170605	ENST00000305377
ENSG00000172742	ENST00000329328
ENSG00000186513	ENST00000311591
ENSG00000187747	ENST00000345043
ENSG00000176937	ENST00000356069
ENSG00000176937	ENST00000380382
ENSG00000197428	ENST00000357605
ENSG00000172464	ENST00000302981
ENSG00000172772	ENST00000395079
ENSG00000197786	ENST00000357377
ENSG00000175619	ENST00000309562
ENSG00000172208	ENST00000302329
ENSG00000167822	ENST00000301529
ENSG00000181718	ENST00000313264
ENSG00000172489	ENST00000303059
ENSG00000181693	ENST00000313022
ENSG00000150261	ENST00000279783
ENSG00000170953	ENST00000306842
ENSG00000196119	ENST00000284287
ENSG00000196661	ENST00000354597
ENSG00000178358	ENST00000317834
ENSG00000180934	ENST00000316650
ENSG00000183313	ENST00000332249
ENSG00000183389	ENST00000330728
ENSG00000180974	ENST00000316987
ENSG00000180988	ENST00000317037
ENSG00000181074	ENST00000317254
ENSG00000181023	ENST00000317121
ENSG00000176200	ENST00000313253
ENSG00000254466	ENST00000530162
ENSG00000172289	ENST00000307552
ENSG00000176495	ENST00000313940
ENSG00000172324	ENST00000302040
ENSG00000172320	ENST00000302030
ENSG00000166884	ENST00000300127
ENSG00000181616	ENST00000322653
ENSG00000176787	ENST00000321522
ENSG00000176798	ENST00000321543
ENSG00000205497	ENST00000380373
ENSG00000205496	ENST00000380371
ENSG00000176922	ENST00000322101
ENSG00000176900	ENST00000322049
ENSG00000176900	ENST00000380378
ENSG00000176893	ENST00000322013
ENSG00000176879	ENST00000321961
ENSG00000221996	ENST00000408920
ENSG00000181963	ENST00000325719
ENSG00000196778	ENST00000307632
ENSG00000197790	ENST00000360213
ENSG00000232268	ENST00000450052
ENSG00000205029	ENST00000378396
ENSG00000205030	ENST00000378397
ENSG00000186119	ENST00000333976
ENSG00000186117	ENST00000333973
ENSG00000186113	ENST00000335605
ENSG00000198877	ENST00000361760
ENSG00000181958	ENST00000314706
ENSG00000181927	ENST00000314612
ENSG00000181935	ENST00000314634
ENSG00000181939	ENST00000314644
ENSG00000196099	ENST00000309154
ENSG00000181518	ENST00000321355
ENSG00000171014	ENST00000307033
ENSG00000181499	ENST00000321252
ENSG00000196248	ENST00000531945
ENSG00000254737	ENST00000320891
ENSG00000236981	ENST00000375024
ENSG00000234560	ENST00000431524
ENSG00000182634	ENST00000330487
ENSG00000259991	ENST00000563758
ENSG00000258817	ENST00000555099
ENSG00000172487	ENST00000303039
ENSG00000150269	ENST00000279791
ENSG00000174937	ENST00000312240
ENSG00000181371	ENST00000327216
ENSG00000255012	ENST00000526538
ENSG00000172459	ENST00000302969
ENSG00000172457	ENST00000302957
ENSG00000172381	ENST00000302622
ENSG00000197887	ENST00000302592
ENSG00000180475	ENST00000316770
ENSG00000186509	ENST00000335397
ENSG00000172377	ENST00000302610
ENSG00000262351	ENST00000573926
ENSG00000262351	ENST00000573291
ENSG00000256574	ENST00000553795
ENSG00000256574	ENST00000374401
ENSG00000256574	ENST00000536058
ENSG00000171459	ENST00000373684
ENSG00000165204	ENST00000277309
ENSG00000148215	ENST00000373680
ENSG00000136939	ENST00000259466
ENSG00000171484	ENST00000304833
ENSG00000171496	ENST00000304865
ENSG00000171501	ENST00000373688
ENSG00000171505	ENST00000304880
ENSG00000239590	ENST00000340750
ENSG00000197233	ENST00000335302
ENSG00000136834	ENST00000259357
ENSG00000186881	ENST00000334726
ENSG00000148136	ENST00000277216
ENSG00000204246	ENST00000374781
ENSG00000186943	ENST00000335040
ENSG00000255800	ENST00000374779
ENSG00000257019	ENST00000542196
ENSG00000136839	ENST00000259362
ENSG00000171133	ENST00000374428
ENSG00000168828	ENST00000377981
ENSG00000179468	ENST00000350513
ENSG00000221858	ENST00000408949
ENSG00000212807	ENST00000391496
ENSG00000221970	ENST00000408951
ENSG00000261301	ENST00000562967
ENSG00000258083	ENST00000548136
ENSG00000178015	ENST00000380007
ENSG00000174339	ENST00000307832
ENSG00000179055	ENST00000318763
ENSG00000230301	ENST00000383696
ENSG00000197938	ENST00000355273
ENSG00000178586	ENST00000319423
ENSG00000180433	ENST00000368144
ENSG00000197591	ENST00000355784
ENSG00000183310	ENST00000328782
ENSG00000177151	ENST00000317450
ENSG00000186306	ENST00000334438
ENSG00000173285	ENST00000289451
ENSG00000198965	ENST00000368152
ENSG00000197532	ENST00000302617
ENSG00000186440	ENST00000334632
ENSG00000186400	ENST00000368150
ENSG00000198967	ENST00000361284
ENSG00000196171	ENST00000359610
ENSG00000203757	ENST00000368146
ENSG00000197403	ENST00000335094
ENSG00000188340	ENST00000339258
ENSG00000196936	ENST00000357191
ENSG00000177275	ENST00000318244
ENSG00000153230	ENST00000283225
ENSG00000197437	ENST00000359688
ENSG00000177476	ENST00000320002
ENSG00000177489	ENST00000320065
ENSG00000169214	ENST00000302084
ENSG00000184022	ENST00000330500
ENSG00000196944	ENST00000366475
ENSG00000183130	ENST00000330803
ENSG00000182783	ENST00000328570
ENSG00000196539	ENST00000359594
ENSG00000187701	ENST00000344889
ENSG00000182652	ENST00000331723
ENSG00000197376	ENST00000310194
ENSG00000172199	ENST00000302270
ENSG00000203663	ENST00000366479
ENSG00000174957	ENST00000312298
ENSG00000174970	ENST00000312345
ENSG00000177693	ENST00000326183
ENSG00000176547	ENST00000319856
ENSG00000181803	ENST00000320704
ENSG00000169488	ENST00000305051
ENSG00000176253	ENST00000315693
ENSG00000176246	ENST00000315683
ENSG00000172769	ENST00000309403
ENSG00000176567	ENST00000320048
ENSG00000181752	ENST00000313447
ENSG00000181689	ENST00000312711
ENSG00000181001	ENST00000317078
ENSG00000184478	ENST00000329564
ENSG00000181009	ENST00000317093
ENSG00000167360	ENST00000300778
ENSG00000205495	ENST00000380370
ENSG00000176925	ENST00000322110
ENSG00000176904	ENST00000322059
ENSG00000176895	ENST00000359350
ENSG00000226288	ENST00000312614
ENSG00000187612	ENST00000344514
ENSG00000181961	ENST00000314721
ENSG00000181903	ENST00000314259
ENSG00000174982	ENST00000312422
ENSG00000175393	ENST00000309838
ENSG00000180919	ENST00000316529
ENSG00000221931	ENST00000327930
ENSG00000197309	ENST00000318666
ENSG00000221840	ENST00000319760
ENSG00000174942	ENST00000312253
ENSG00000174914	ENST00000312153
ENSG00000181273	ENST00000326855
ENSG00000172774	ENST00000309433
ENSG00000171481	ENST00000304820
ENSG00000173679	ENST00000373686
ENSG00000244623	ENST00000316368
ENSG00000185372	ENST00000329365
ENSG00000232382	ENST00000332650
ENSG00000231861	ENST00000427338
ENSG00000184155	ENST00000334857
ENSG00000196772	ENST00000357627
ENSG00000177174	ENST00000317861
ENSG00000198104	ENST00000355728
ENSG00000180785	ENST00000396952
ENSG00000169618	ENST00000303786
ENSG00000169618	ENST00000394342
ENSG00000182782	ENST00000328880
ENSG00000162881	ENST00000378661
ENSG00000172938	ENST00000309106
ENSG00000175514	ENST00000312457
ENSG00000179921	ENST00000479077
ENSG00000179921	ENST00000522678
ENSG00000179921	ENST00000519574
ENSG00000179921	ENST00000521462
ENSG00000173080	ENST00000368318
ENSG00000173250	ENST00000311104
ENSG00000173302	ENST00000309926
ENSG00000147262	ENST00000276218
ENSG00000179002	ENST00000375371
ENSG00000133105	ENST00000298386
ENSG00000164199	ENST00000405460
ENSG00000108018	ENST00000263054
ENSG00000196341	ENST00000357821
ENSG00000183303	ENST00000329434
ENSG00000182334	ENST00000328375
ENSG00000198121	ENST00000374431
ENSG00000198121	ENST00000374430
ENSG00000198121	ENST00000358883
ENSG00000121853	ENST00000241256
ENSG00000116014	ENST00000234371
ENSG00000146385	ENST00000275200
ENSG00000152034	ENST00000369212
ENSG00000152034	ENST00000445970
ENSG00000152034	ENST00000281806
ENSG00000172935	ENST00000309099
ENSG00000172935	ENST00000441623
ENSG00000164849	ENST00000397095
ENSG00000164849	ENST00000297468
