Ensembl Gene ID	Ensembl Transcript ID	Canonical transcript stable ID(s)	GO Term Evidence Code	GO Term Accession	Description	Associated Gene Name
ENSG00000004948	ENST00000415529	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000421592	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000421592	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000421592	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000423724	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000423724	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000423724	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000426151	ENST00000359558	IEA	GO:0004888	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000426151	ENST00000359558	IEA	GO:0004930	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000004948	ENST00000426151	ENST00000359558	IEA	GO:0004948	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	CALCR
ENSG00000005884	ENST00000007722	ENST00000007722	IEA	GO:0004872	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	ITGA3
ENSG00000005884	ENST00000320031	ENST00000007722	IEA	GO:0004872	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	ITGA3
ENSG00000005884	ENST00000538917	ENST00000007722	IEA	GO:0004872	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	ITGA3
ENSG00000005961	ENST00000262407	ENST00000262407	IEA	GO:0004872	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	ITGA2B
ENSG00000006071	ENST00000379493	ENST00000389817	IEA	GO:0004872	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	ABCC8
ENSG00000006071	ENST00000379493	ENST00000389817	IEA	GO:0008281	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	ABCC8
ENSG00000006071	ENST00000389817	ENST00000389817	IEA	GO:0004872	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	ABCC8
ENSG00000006071	ENST00000389817	ENST00000389817	IEA	GO:0008281	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	ABCC8
ENSG00000006071	ENST00000527905	ENST00000389817	IEA	GO:0008281	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	ABCC8
ENSG00000006327	ENST00000326577	ENST00000326577	IEA	GO:0004872	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	TNFRSF12A
ENSG00000006638	ENST00000375190	ENST00000411851	IEA	GO:0004872	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	TBXA2R
ENSG00000006638	ENST00000375190	ENST00000411851	IEA	GO:0004930	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	TBXA2R
ENSG00000006638	ENST00000375190	ENST00000411851	TAS	GO:0004961	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	TBXA2R
ENSG00000006638	ENST00000411851	ENST00000411851	IEA	GO:0004960	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	TBXA2R
ENSG00000006831	ENST00000357103	ENST00000357103	IEA	GO:0004872	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]	ADIPOR2
ENSG00000007312	ENST00000006750	ENST00000392795	IEA	GO:0004888	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	CD79B
ENSG00000007312	ENST00000349817	ENST00000392795	IEA	GO:0004888	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	CD79B
ENSG00000007312	ENST00000392795	ENST00000392795	IEA	GO:0004888	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	CD79B
ENSG00000007908	ENST00000333360	ENST00000333360	IMP	GO:0004888	selectin E [Source:HGNC Symbol;Acc:10718]	SELE
ENSG00000008277	ENST00000265727	ENST00000265727	IEA	GO:0004872	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:201]	ADAM22
ENSG00000008300	ENST00000164024	ENST00000164024	IEA	GO:0004888	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) [Source:HGNC Symbol;Acc:3230]	CELSR3
ENSG00000008300	ENST00000164024	ENST00000164024	IEA	GO:0004930	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) [Source:HGNC Symbol;Acc:3230]	CELSR3
ENSG00000008300	ENST00000544264	ENST00000164024	IEA	GO:0004888	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) [Source:HGNC Symbol;Acc:3230]	CELSR3
ENSG00000008300	ENST00000544264	ENST00000164024	IEA	GO:0004930	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) [Source:HGNC Symbol;Acc:3230]	CELSR3
ENSG00000008952	ENST00000337002	ENST00000337002	TAS	GO:0004872	SEC62 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11846]	SEC62
ENSG00000008952	ENST00000480708	ENST00000337002	TAS	GO:0004872	SEC62 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11846]	SEC62
ENSG00000010310	ENST00000263281	ENST00000263281	IEA	GO:0004930	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]	GIPR
ENSG00000010310	ENST00000263281	ENST00000263281	IEA	GO:0016519	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]	GIPR
ENSG00000010310	ENST00000263281	ENST00000263281	TAS	GO:0004888	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]	GIPR
ENSG00000010310	ENST00000304207	ENST00000263281	IEA	GO:0004888	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]	GIPR
ENSG00000010310	ENST00000304207	ENST00000263281	IEA	GO:0016519	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]	GIPR
ENSG00000010610	ENST00000011653	ENST00000011653	NAS	GO:0015026	CD4 molecule [Source:HGNC Symbol;Acc:1678]	CD4
ENSG00000010610	ENST00000011653	ENST00000011653	TAS	GO:0004872	CD4 molecule [Source:HGNC Symbol;Acc:1678]	CD4
ENSG00000010610	ENST00000011653	ENST00000011653	TAS	GO:0004888	CD4 molecule [Source:HGNC Symbol;Acc:1678]	CD4
ENSG00000011028	ENST00000303375	ENST00000303375	IEA	GO:0004872	mannose receptor, C type 2 [Source:HGNC Symbol;Acc:16875]	MRC2
ENSG00000011677	ENST00000370311	ENST00000370314	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000370311	ENST00000370314	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000370311	ENST00000370314	TAS	GO:0008503	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000370314	ENST00000370314	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000370314	ENST00000370314	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000370314	ENST00000370314	TAS	GO:0008503	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000535043	ENST00000370314	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000535043	ENST00000370314	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000011677	ENST00000535043	ENST00000370314	TAS	GO:0008503	gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]	GABRA3
ENSG00000012171	ENST00000316347	ENST00000316347	IEA	GO:0004872	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B [Source:HGNC Symbol;Acc:10724]	SEMA3B
ENSG00000013588	ENST00000014914	ENST00000014914	IEA	GO:0004872	G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]	GPRC5A
ENSG00000013588	ENST00000014914	ENST00000014914	IEA	GO:0004930	G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]	GPRC5A
ENSG00000013588	ENST00000534831	ENST00000014914	IEA	GO:0004930	G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]	GPRC5A
ENSG00000013725	ENST00000313421	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000344028	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000344931	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000346437	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000352009	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000433107	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000452451	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000013725	ENST00000538611	ENST00000313421	IEA	GO:0005044	CD6 molecule [Source:HGNC Symbol;Acc:1691]	CD6
ENSG00000015520	ENST00000289547	ENST00000289547	IEA	GO:0008158	NPC1 (Niemann-Pick disease, type C1, gene)-like 1 [Source:HGNC Symbol;Acc:7898]	NPC1L1
ENSG00000015520	ENST00000381160	ENST00000289547	IEA	GO:0008158	NPC1 (Niemann-Pick disease, type C1, gene)-like 1 [Source:HGNC Symbol;Acc:7898]	NPC1L1
ENSG00000015520	ENST00000546276	ENST00000289547	IEA	GO:0008158	NPC1 (Niemann-Pick disease, type C1, gene)-like 1 [Source:HGNC Symbol;Acc:7898]	NPC1L1
ENSG00000016402	ENST00000316649	ENST00000316649	IEA	GO:0004872	interleukin 20 receptor, alpha [Source:HGNC Symbol;Acc:6003]	IL20RA
ENSG00000019169	ENST00000327097	ENST00000327097	IEA	GO:0004872	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:6895]	MARCO
ENSG00000019169	ENST00000327097	ENST00000327097	IEA	GO:0005044	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:6895]	MARCO
ENSG00000019169	ENST00000327097	ENST00000327097	TAS	GO:0004888	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:6895]	MARCO
ENSG00000019169	ENST00000327097	ENST00000327097	TAS	GO:0008329	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:6895]	MARCO
ENSG00000019169	ENST00000410021	ENST00000327097	IEA	GO:0005044	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:6895]	MARCO
ENSG00000019582	ENST00000009530	ENST00000009530	IDA	GO:0004896	CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]	CD74
ENSG00000019582	ENST00000009530	ENST00000009530	IEA	GO:0004896	CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]	CD74
ENSG00000020181	ENST00000315215	ENST00000412232	IEA	GO:0004888	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	GPR124
ENSG00000020181	ENST00000315215	ENST00000412232	IEA	GO:0004930	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	GPR124
ENSG00000020181	ENST00000412232	ENST00000412232	IEA	GO:0004888	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	GPR124
ENSG00000020181	ENST00000412232	ENST00000412232	IEA	GO:0004930	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	GPR124
ENSG00000020181	ENST00000416514	ENST00000412232	IEA	GO:0004888	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	GPR124
ENSG00000020181	ENST00000416514	ENST00000412232	IEA	GO:0004930	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:17849]	GPR124
ENSG00000021645	ENST00000335750	ENST00000554719	TAS	GO:0004872	neurexin 3 [Source:HGNC Symbol;Acc:8010]	NRXN3
ENSG00000022355	ENST00000023897	ENST00000023897	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000023897	ENST00000023897	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000393943	ENST00000023897	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000393943	ENST00000023897	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000420560	ENST00000023897	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000420560	ENST00000023897	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000428797	ENST00000023897	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000428797	ENST00000023897	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000437025	ENST00000023897	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000437025	ENST00000023897	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000444819	ENST00000023897	IEA	GO:0004872	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000022355	ENST00000444819	ENST00000023897	IEA	GO:0004890	gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]	GABRA1
ENSG00000026508	ENST00000278385	ENST00000428726	IDA	GO:0004888	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:1681]	CD44
ENSG00000026508	ENST00000428726	ENST00000428726	IDA	GO:0004888	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:1681]	CD44
ENSG00000026751	ENST00000368043	ENST00000368043	IEA	GO:0004872	SLAM family member 7 [Source:HGNC Symbol;Acc:21394]	SLAMF7
ENSG00000027644	ENST00000368195	ENST00000368195	IEA	GO:0004872	insulin receptor-related receptor [Source:HGNC Symbol;Acc:6093]	INSRR
ENSG00000027644	ENST00000368195	ENST00000368195	NAS	GO:0004714	insulin receptor-related receptor [Source:HGNC Symbol;Acc:6093]	INSRR
ENSG00000027697	ENST00000367739	ENST00000367739	IEA	GO:0004872	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:5439]	IFNGR1
ENSG00000027697	ENST00000367739	ENST00000367739	TAS	GO:0004906	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:5439]	IFNGR1
ENSG00000028137	ENST00000376259	ENST00000376259	IEA	GO:0004872	tumor necrosis factor receptor superfamily, member 1B [Source:HGNC Symbol;Acc:11917]	TNFRSF1B
ENSG00000028137	ENST00000376259	ENST00000376259	IEA	GO:0005031	tumor necrosis factor receptor superfamily, member 1B [Source:HGNC Symbol;Acc:11917]	TNFRSF1B
ENSG00000030304	ENST00000374448	ENST00000374448	IEA	GO:0004714	muscle, skeletal, receptor tyrosine kinase [Source:HGNC Symbol;Acc:7525]	MUSK
ENSG00000030304	ENST00000374448	ENST00000374448	IEA	GO:0004872	muscle, skeletal, receptor tyrosine kinase [Source:HGNC Symbol;Acc:7525]	MUSK
ENSG00000030304	ENST00000543335	ENST00000374448	IEA	GO:0004872	muscle, skeletal, receptor tyrosine kinase [Source:HGNC Symbol;Acc:7525]	MUSK
ENSG00000030304	ENST00000545907	ENST00000374448	IEA	GO:0004872	muscle, skeletal, receptor tyrosine kinase [Source:HGNC Symbol;Acc:7525]	MUSK
ENSG00000036828	ENST00000296154	ENST00000498619	IEA	GO:0004872	calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]	CASR
ENSG00000036828	ENST00000296154	ENST00000498619	IEA	GO:0004930	calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]	CASR
ENSG00000036828	ENST00000490131	ENST00000498619	IEA	GO:0004872	calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]	CASR
ENSG00000036828	ENST00000490131	ENST00000498619	IEA	GO:0004930	calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]	CASR
ENSG00000036828	ENST00000498619	ENST00000498619	IEA	GO:0004872	calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]	CASR
ENSG00000036828	ENST00000498619	ENST00000498619	IEA	GO:0004930	calcium-sensing receptor [Source:HGNC Symbol;Acc:1514]	CASR
ENSG00000037280	ENST00000261937	ENST00000261937	IEA	GO:0005021	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000376868	ENST00000261937	IEA	GO:0005021	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000393347	ENST00000261937	IDA	GO:0005021	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000393347	ENST00000261937	IEA	GO:0004872	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000393347	ENST00000261937	TAS	GO:0004714	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000502649	ENST00000261937	IDA	GO:0005021	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000502649	ENST00000261937	IEA	GO:0004872	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000037280	ENST00000502649	ENST00000261937	TAS	GO:0004714	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	FLT4
ENSG00000038945	ENST00000262101	ENST00000262101	IEA	GO:0004872	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000038945	ENST00000262101	ENST00000262101	IEA	GO:0005044	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000038945	ENST00000350896	ENST00000262101	IEA	GO:0005044	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000038945	ENST00000355282	ENST00000262101	IEA	GO:0005044	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000038945	ENST00000381998	ENST00000262101	IEA	GO:0005044	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000038945	ENST00000445506	ENST00000262101	IEA	GO:0004872	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000038945	ENST00000445506	ENST00000262101	IEA	GO:0005044	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:7376]	MSR1
ENSG00000043591	ENST00000369295	ENST00000369295	IEA	GO:0004872	adrenergic, beta-1-, receptor [Source:HGNC Symbol;Acc:285]	ADRB1
ENSG00000043591	ENST00000369295	ENST00000369295	IEA	GO:0004930	adrenergic, beta-1-, receptor [Source:HGNC Symbol;Acc:285]	ADRB1
ENSG00000043591	ENST00000369295	ENST00000369295	IEA	GO:0004940	adrenergic, beta-1-, receptor [Source:HGNC Symbol;Acc:285]	ADRB1
ENSG00000043591	ENST00000369295	ENST00000369295	TAS	GO:0004939	adrenergic, beta-1-, receptor [Source:HGNC Symbol;Acc:285]	ADRB1
ENSG00000044524	ENST00000336596	ENST00000336596	IEA	GO:0004872	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	EPHA3
ENSG00000044524	ENST00000336596	ENST00000336596	IEA	GO:0005003	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	EPHA3
ENSG00000044524	ENST00000336596	ENST00000336596	TAS	GO:0004714	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	EPHA3
ENSG00000044524	ENST00000494014	ENST00000336596	IEA	GO:0004872	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	EPHA3
ENSG00000044524	ENST00000494014	ENST00000336596	IEA	GO:0005003	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	EPHA3
ENSG00000047936	ENST00000368507	ENST00000368508	IEA	GO:0004714	c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]	ROS1
ENSG00000047936	ENST00000368507	ENST00000368508	IEA	GO:0004872	c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]	ROS1
ENSG00000047936	ENST00000368508	ENST00000368508	IEA	GO:0004714	c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]	ROS1
ENSG00000047936	ENST00000368508	ENST00000368508	IEA	GO:0004872	c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]	ROS1
ENSG00000048462	ENST00000053243	ENST00000053243	IEA	GO:0004872	tumor necrosis factor receptor superfamily, member 17 [Source:HGNC Symbol;Acc:11913]	TNFRSF17
ENSG00000048462	ENST00000053243	ENST00000053243	RCA	GO:0005031	tumor necrosis factor receptor superfamily, member 17 [Source:HGNC Symbol;Acc:11913]	TNFRSF17
ENSG00000049249	ENST00000377507	ENST00000377507	IEA	GO:0004872	tumor necrosis factor receptor superfamily, member 9 [Source:HGNC Symbol;Acc:11924]	TNFRSF9
ENSG00000050628	ENST00000306666	ENST00000356595	IEA	GO:0004930	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000306666	ENST00000356595	NAS	GO:0004957	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000306666	ENST00000356595	TAS	GO:0004879	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000351052	ENST00000356595	IEA	GO:0004872	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000351052	ENST00000356595	IEA	GO:0004957	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000354608	ENST00000356595	IEA	GO:0004957	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000356595	ENST00000356595	IEA	GO:0004872	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000356595	ENST00000356595	IEA	GO:0004957	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000361210	ENST00000356595	IEA	GO:0004872	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000361210	ENST00000356595	NAS	GO:0004957	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000370931	ENST00000356595	IEA	GO:0004930	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
ENSG00000050628	ENST00000370931	ENST00000356595	NAS	GO:0004957	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	PTGER3
