ENSPTRG00000000009|ENSPTRT00000000016|ENSPTRP00000000012
ENSG00000132329|ENST00000254661|ENSP00000254661
ENSG00000132334|ENST00000254667|ENSP00000254667
ENSG00000132517|ENST00000254853|ENSP00000254853
ENSG00000132518|ENST00000254854|ENSP00000254854
ENSG00000132671|ENST00000255008|ENSP00000255008
ENSG00000132911|ENST00000255262|ENSP00000255262
ENSG00000133019|ENST00000255380|ENSP00000255380
ENSG00000133800|ENST00000256178|ENSP00000256178
ENSG00000134061|ENST00000256447|ENSP00000256447
ENSG00000134243|ENST00000256637|ENSP00000256637
ENSG00000134250|ENST00000256646|ENSP00000256646
ENSG00000134489|ENST00000256906|ENSP00000256906
ENSG00000134640|ENST00000257068|ENSP00000257068
ENSG00000134817|ENST00000257254|ENSP00000257254
ENSG00000134830|ENST00000257267|ENSP00000257267
ENSG00000134853|ENST00000257290|ENSP00000257290
ENSG00000135409|ENST00000257863|ENSP00000257863
ENSG00000135424|ENST00000257879|ENSP00000257879
ENSG00000135577|ENST00000258042|ENSP00000258042
ENSG00000135902|ENST00000258385|ENSP00000258385
ENSG00000135914|ENST00000258400|ENSP00000258400
ENSG00000135960|ENST00000258443|ENSP00000258443
ENSG00000135973|ENST00000258456|ENSP00000258456
ENSG00000136040|ENST00000258526|ENSP00000258526
ENSG00000136834|ENST00000259357|ENSP00000259357
ENSG00000136839|ENST00000259362|ENSP00000259362
ENSG00000136928|ENST00000259455|ENSP00000259455
ENSG00000136939|ENST00000259466|ENSP00000259466
ENSG00000136960|ENST00000259486|ENSP00000259486
ENSG00000137332|ENST00000259875|ENSP00000259875
ENSG00000204642|ENST00000259951|ENSP00000259951
ENSG00000137462|ENST00000260010|ENSP00000260010
ENSG00000149305|ENST00000260191|ENSP00000260191
ENSG00000137642|ENST00000260197|ENSP00000260197
ENSG00000138271|ENST00000260843|ENSP00000260843
ENSG00000138435|ENST00000261007|ENSP00000261007
ENSG00000138448|ENST00000261023|ENSP00000261023
ENSG00000069431|ENST00000261200|ENSP00000261200
ENSG00000069493|ENST00000261340|ENSP00000261340
ENSG00000070018|ENST00000261349|ENSP00000261349
ENSG00000240505|ENST00000261652|ENSP00000261652
ENSG00000111452|ENST00000261654|ENSP00000261654
ENSG00000073060|ENST00000261693|ENSP00000261693
ENSG00000117971|ENST00000261751|ENSP00000261751
ENSG00000113721|ENST00000261799|ENSP00000261799
ENSG00000067141|ENST00000261908|ENSP00000261908
ENSG00000037280|ENST00000261937|ENSP00000261937
ENSG00000038945|ENST00000262101|ENSP00000262101
ENSG00000106018|ENST00000262178|ENSP00000262178
ENSG00000105383|ENST00000262262|ENSP00000262262
ENSG00000081985|ENST00000262345|ENSP00000262345
ENSG00000005961|ENST00000262407|ENSP00000262407
ENSG00000065325|ENST00000262441|ENSP00000262441
ENSG00000105707|ENST00000262626|ENSP00000262626
ENSG00000075275|ENST00000262738|ENSP00000262738
ENSG00000105737|ENST00000262895|ENSP00000262895
ENSG00000088812|ENST00000262919|ENSP00000262919
ENSG00000083457|ENST00000263087|ENSP00000263087
ENSG00000105464|ENST00000263269|ENSP00000263269
ENSG00000010310|ENST00000263281|ENSP00000263281
ENSG00000109991|ENST00000263314|ENSP00000263314
ENSG00000104998|ENST00000263379|ENSP00000263379
ENSG00000113594|ENST00000263409|ENSP00000263409
ENSG00000054219|ENST00000263636|ENSP00000263636
ENSG00000115170|ENST00000263640|ENSP00000263640
ENSG00000092445|ENST00000263798|ENSP00000263798
ENSG00000062524|ENST00000263800|ENSP00000263800
ENSG00000081479|ENST00000263816|ENSP00000263816
ENSG00000128052|ENST00000263923|ENSP00000263923
ENSG00000120949|ENST00000263932|ENSP00000263932
ENSG00000110400|ENST00000264025|ENSP00000264025
ENSG00000121594|ENST00000264246|ENSP00000264246
ENSG00000115598|ENST00000264257|ENSP00000264257
ENSG00000109158|ENST00000264318|ENSP00000264318
ENSG00000125675|ENST00000264357|ENSP00000264357
ENSG00000109738|ENST00000264428|ENSP00000264428
ENSG00000108797|ENST00000264638|ENSP00000264638
ENSG00000144668|ENST00000264741|ENSP00000264741
ENSG00000090339|ENST00000264832|ENSP00000264832
ENSG00000138760|ENST00000264896|ENSP00000264896
ENSG00000099250|ENST00000265371|ENSP00000265371
ENSG00000082556|ENST00000265572|ENSP00000265572
ENSG00000139193|ENST00000266557|ENSP00000266557
ENSG00000139292|ENST00000266674|ENSP00000266674
ENSG00000139567|ENST00000267008|ENSP00000267008
ENSG00000139572|ENST00000267015|ENSP00000267015
ENSG00000065361|ENST00000267101|ENSP00000267101
ENSG00000139636|ENST00000267102|ENSP00000267102
ENSG00000139874|ENST00000267377|ENSP00000267377
ENSG00000140443|ENST00000268035|ENSP00000268035
ENSG00000140678|ENST00000268296|ENSP00000268296
ENSG00000140749|ENST00000268389|ENSP00000268389
ENSG00000141194|ENST00000268912|ENSP00000365451
ENSG00000141458|ENST00000269228|ENSP00000269228
ENSG00000141505|ENST00000269299|ENSP00000269299
ENSG00000141655|ENST00000269485|ENSP00000269485
ENSG00000141736|ENST00000269571|ENSP00000269571
ENSG00000142166|ENST00000270139|ENSP00000270139
ENSG00000187244|ENST00000270233|ENSP00000270233
ENSG00000142511|ENST00000270590|ENSP00000270590
ENSG00000143126|ENST00000271332|ENSP00000271332
ENSG00000143226|ENST00000271450|ENSP00000271450
ENSG00000163518|ENST00000271532|ENSP00000271532
ENSG00000144136|ENST00000272542|ENSP00000272542
ENSG00000144407|ENST00000272847|ENSP00000272847
ENSG00000144476|ENST00000272928|ENSP00000272928
ENSG00000144820|ENST00000273352|ENSP00000273352
ENSG00000145103|ENST00000273691|ENSP00000273691
ENSG00000145242|ENST00000273854|ENSP00000273854
ENSG00000145244|ENST00000273857|ENSP00000273857
ENSG00000145451|ENST00000274093|ENSP00000274093
ENSG00000145623|ENST00000274276|ENSP00000274276
ENSG00000145863|ENST00000274545|ENSP00000274545
ENSG00000146360|ENST00000275169|ENSP00000275169
ENSG00000146399|ENST00000275216|ENSP00000275216
ENSG00000146648|ENST00000275493|ENSP00000275493
ENSG00000146904|ENST00000275815|ENSP00000275815
ENSG00000147138|ENST00000276077|ENSP00000276077
ENSG00000147246|ENST00000276198|ENSP00000276198
ENSG00000147262|ENST00000276218|ENSP00000276218
ENSG00000147434|ENST00000276410|ENSP00000276410
ENSG00000120889|ENST00000276431|ENSP00000276431
ENSG00000147650|ENST00000276654|ENSP00000276654
ENSG00000148136|ENST00000277216|ENSP00000277216
ENSG00000165204|ENST00000277309|ENSP00000277309
ENSG00000148734|ENST00000277942|ENSP00000277942
ENSG00000149133|ENST00000278409|ENSP00000278409
ENSG00000149534|ENST00000278888|ENSP00000278888
ENSG00000150045|ENST00000279544|ENSP00000279544
ENSG00000150086|ENST00000279593|ENSP00000279593
ENSG00000150261|ENST00000279783|ENSP00000279783
ENSG00000150269|ENST00000279791|ENSP00000279791
ENSG00000150594|ENST00000280155|ENSP00000280155
ENSG00000150637|ENST00000280200|ENSP00000280200
ENSG00000150938|ENST00000280527|ENSP00000280527
ENSG00000151490|ENST00000281171|ENSP00000281171
ENSG00000116106|ENST00000281821|ENSP00000281821
ENSG00000152207|ENST00000282018|ENSP00000282018
ENSG00000152208|ENST00000282020|ENSP00000282020
ENSG00000152578|ENST00000282499|ENSP00000282499
ENSG00000213949|ENST00000282588|ENSP00000282588
ENSG00000153230|ENST00000283225|ENSP00000283225
ENSG00000153233|ENST00000283228|ENSP00000283228
ENSG00000153246|ENST00000283243|ENSP00000283243
ENSG00000115221|ENST00000283249|ENSP00000283249
ENSG00000153563|ENST00000283635|ENSP00000283635
ENSG00000196119|ENST00000284287|ENSP00000284287
ENSG00000154165|ENST00000284311|ENSP00000284311
ENSG00000154309|ENST00000284476|ENSP00000284476
ENSG00000154478|ENST00000284674|ENSP00000284674
ENSG00000154639|ENST00000284878|ENSP00000284878
ENSG00000155249|ENST00000285600|ENSP00000285600
ENSG00000155511|ENST00000285900|ENSP00000285900
ENSG00000155760|ENST00000286201|ENSP00000286201
ENSG00000182578|ENST00000286301|ENSP00000286301
ENSG00000157219|ENST00000287907|ENSP00000287907
ENSG00000157240|ENST00000287934|ENSP00000287934
ENSG00000157404|ENST00000288135|ENSP00000288135
ENSG00000056736|ENST00000288167|ENSP00000288167
ENSG00000173285|ENST00000289451|ENSP00000289451
ENSG00000015520|ENST00000289547|ENSP00000289547
ENSG00000158748|ENST00000289753|ENSP00000289753
ENSG00000158869|ENST00000289902|ENSP00000289902
ENSG00000147432|ENST00000289957|ENSP00000289957
ENSG00000243646|ENST00000290200|ENSP00000290200
ENSG00000159128|ENST00000290219|ENSP00000290219
ENSG00000159961|ENST00000291231|ENSP00000291231
ENSG00000159958|ENST00000291232|ENSP00000291232
ENSG00000160013|ENST00000291294|ENSP00000291294
ENSG00000242019|ENST00000291860|ENSP00000291860
ENSG00000189430|ENST00000291890|ENSP00000291890
ENSG00000160683|ENST00000292174|ENSP00000292174
ENSG00000121807|ENST00000292301|ENSP00000292301
ENSG00000160951|ENST00000292513|ENSP00000292513
ENSG00000161509|ENST00000293190|ENSP00000293190
ENSG00000161638|ENST00000293379|ENSP00000293379
ENSG00000161807|ENST00000293614|ENSP00000293614
ENSG00000161921|ENST00000293778|ENSP00000293778
ENSG00000108556|ENST00000293780|ENSP00000293780
ENSG00000162337|ENST00000294304|ENSP00000294304
ENSG00000138039|ENST00000294954|ENSP00000294954
ENSG00000153208|ENST00000295408|ENSP00000295408
ENSG00000163251|ENST00000295417|ENSP00000354607
ENSG00000163285|ENST00000295452|ENSP00000295452
ENSG00000163288|ENST00000295454|ENSP00000295454
ENSG00000163394|ENST00000295589|ENSP00000295589
ENSG00000163464|ENST00000295683|ENSP00000295683
ENSG00000054356|ENST00000295718|ENSP00000295718
ENSG00000163702|ENST00000295981|ENSP00000295981
ENSG00000163785|ENST00000296084|ENSP00000296084
ENSG00000163823|ENST00000296140|ENSP00000296140
ENSG00000082781|ENST00000296181|ENSP00000296181
ENSG00000163914|ENST00000296271|ENSP00000296271
ENSG00000164078|ENST00000296474|ENSP00000296474
ENSG00000120251|ENST00000296526|ENSP00000296526
ENSG00000164128|ENST00000296533|ENSP00000354652
ENSG00000164171|ENST00000296585|ENSP00000296585
ENSG00000164220|ENST00000296641|ENSP00000296641
ENSG00000164251|ENST00000296677|ENSP00000296677
ENSG00000164342|ENST00000296795|ENSP00000296795
ENSG00000146072|ENST00000296861|ENSP00000296861
ENSG00000164393|ENST00000296862|ENSP00000296862
ENSG00000165202|ENST00000297913|ENSP00000297913
ENSG00000165370|ENST00000298110|ENSP00000298110
ENSG00000133105|ENST00000298386|ENSP00000298386
ENSG00000165621|ENST00000298440|ENSP00000298440
ENSG00000165682|ENST00000298527|ENSP00000298527
ENSG00000165762|ENST00000298642|ENSP00000298642
ENSG00000166073|ENST00000299092|ENSP00000299092
ENSG00000166148|ENST00000299178|ENSP00000299178
ENSG00000166363|ENST00000299454|ENSP00000299454
ENSG00000166368|ENST00000299459|ENSP00000299459
ENSG00000169684|ENST00000299565|ENSP00000299565
ENSG00000166573|ENST00000299727|ENSP00000299727
ENSG00000166603|ENST00000299766|ENSP00000299766
ENSG00000166682|ENST00000299882|ENSP00000299882
ENSG00000166825|ENST00000300060|ENSP00000300060
ENSG00000166856|ENST00000300098|ENSP00000300098
ENSG00000166884|ENST00000300127|ENSP00000300127
ENSG00000167286|ENST00000300692|ENSP00000300692
ENSG00000242180|ENST00000300773|ENSP00000300773
ENSG00000167360|ENST00000300778|ENSP00000300778
ENSG00000167601|ENST00000301178|ENSP00000301178
ENSG00000167822|ENST00000301529|ENSP00000301529
ENSG00000167825|ENST00000301532|ENSP00000301532
ENSG00000172320|ENST00000302030|ENSP00000303096
ENSG00000117090|ENST00000302035|ENSP00000306190
ENSG00000172324|ENST00000302040|ENSP00000303834
ENSG00000169214|ENST00000302084|ENSP00000305640
ENSG00000172154|ENST00000302124|ENSP00000303864
ENSG00000172188|ENST00000302231|ENSP00000306651
ENSG00000172199|ENST00000302270|ENSP00000304188
ENSG00000172208|ENST00000302329|ENSP00000307751
ENSG00000171522|ENST00000302472|ENSP00000302846
ENSG00000171657|ENST00000302548|ENSP00000303549
ENSG00000172362|ENST00000302572|ENSP00000306657
ENSG00000172365|ENST00000302581|ENSP00000303076
ENSG00000197887|ENST00000302592|ENSP00000305469
ENSG00000172377|ENST00000302610|ENSP00000302606
ENSG00000197532|ENST00000302617|ENSP00000304807
ENSG00000172381|ENST00000302622|ENSP00000307734
ENSG00000169313|ENST00000302632|ENSP00000307259
ENSG00000150995|ENST00000302640|ENSP00000306253
ENSG00000171133|ENST00000302681|ENSP00000305055
ENSG00000170255|ENST00000302797|ENSP00000305766
ENSG00000171105|ENST00000302850|ENSP00000303830
ENSG00000169992|ENST00000302926|ENSP00000305288
ENSG00000172457|ENST00000302957|ENSP00000307515
ENSG00000172459|ENST00000302969|ENSP00000302639
ENSG00000172464|ENST00000302981|ENSP00000303111
ENSG00000172487|ENST00000303039|ENSP00000304060
ENSG00000172489|ENST00000303059|ENSP00000305403
ENSG00000168685|ENST00000303115|ENSP00000306157
ENSG00000168131|ENST00000303324|ENSP00000304419
ENSG00000169208|ENST00000303532|ENSP00000302437
ENSG00000169604|ENST00000303714|ENSP00000301945
ENSG00000169618|ENST00000303786|ENSP00000303775
ENSG00000170775|ENST00000303921|ENSP00000306449
ENSG00000172243|ENST00000304084|ENSP00000302569
ENSG00000172146|ENST00000304094|ENSP00000305207
ENSG00000172148|ENST00000304105|ENSP00000307397
ENSG00000078549|ENST00000304166|ENSP00000306620
ENSG00000170425|ENST00000304222|ENSP00000304501
ENSG00000170128|ENST00000304244|ENSP00000301917
ENSG00000172322|ENST00000304361|ENSP00000302804
ENSG00000169676|ENST00000304374|ENSP00000306129
ENSG00000172209|ENST00000304402|ENSP00000302676
ENSG00000170837|ENST00000304411|ENSP00000303149
ENSG00000169327|ENST00000304418|ENSP00000302057
ENSG00000168124|ENST00000304646|ENSP00000305424
ENSG00000171459|ENST00000304720|ENSP00000304235
ENSG00000171051|ENST00000304748|ENSP00000302707
ENSG00000171481|ENST00000304820|ENSP00000302863
ENSG00000171484|ENST00000304833|ENSP00000303151
ENSG00000171496|ENST00000304865|ENSP00000306607
ENSG00000171505|ENST00000304880|ENSP00000306974
ENSG00000169836|ENST00000304883|ENSP00000303325
ENSG00000168158|ENST00000304936|ENSP00000307726
ENSG00000169484|ENST00000305045|ENSP00000305011
ENSG00000169488|ENST00000305051|ENSP00000304077
ENSG00000169860|ENST00000305097|ENSP00000304767
ENSG00000171596|ENST00000305141|ENSP00000305877
ENSG00000171561|ENST00000305159|ENSP00000304846
ENSG00000115353|ENST00000305249|ENSP00000303522
ENSG00000168830|ENST00000305344|ENSP00000307766
ENSG00000170989|ENST00000305352|ENSP00000305416
ENSG00000170605|ENST00000305377|ENSP00000307598
ENSG00000170920|ENST00000305444|ENSP00000302867
ENSG00000170923|ENST00000305456|ENSP00000303822
ENSG00000168758|ENST00000305476|ENSP00000306844
ENSG00000171936|ENST00000305892|ENSP00000307130
ENSG00000171942|ENST00000305899|ENSP00000306095
ENSG00000169252|ENST00000305988|ENSP00000305372
ENSG00000168229|ENST00000306051|ENSP00000303424
ENSG00000157193|ENST00000306052|ENSP00000303634
ENSG00000170175|ENST00000306071|ENSP00000304290
ENSG00000170214|ENST00000306675|ENSP00000306662
ENSG00000171180|ENST00000306687|ENSP00000306688
ENSG00000170953|ENST00000306842|ENSP00000307159
ENSG00000169006|ENST00000306928|ENSP00000303686
ENSG00000168539|ENST00000306960|ENSP00000306490
ENSG00000171014|ENST00000307033|ENSP00000305970
ENSG00000196101|ENST00000307137|ENSP00000302517
ENSG00000168412|ENST00000307161|ENSP00000302811
ENSG00000170790|ENST00000307322|ENSP00000303862
ENSG00000171944|ENST00000307388|ENSP00000303469
ENSG00000170803|ENST00000307401|ENSP00000307447
ENSG00000172289|ENST00000307552|ENSP00000302199
ENSG00000196778|ENST00000307632|ENSP00000302422
ENSG00000171860|ENST00000307637|ENSP00000302079
ENSG00000171509|ENST00000307765|ENSP00000303248
ENSG00000174339|ENST00000307832|ENSP00000312403
ENSG00000163606|ENST00000308611|ENSP00000311035
ENSG00000174667|ENST00000308682|ENSP00000310488
ENSG00000056291|ENST00000308744|ENSP00000307822
ENSG00000172519|ENST00000308940|ENSP00000310704
ENSG00000174123|ENST00000308973|ENSP00000308925
ENSG00000174125|ENST00000308979|ENSP00000354932
ENSG00000172938|ENST00000309106|ENSP00000310631
ENSG00000196099|ENST00000309154|ENSP00000311038
ENSG00000174944|ENST00000309170|ENSP00000308361
ENSG00000174946|ENST00000309180|ENSP00000308479
ENSG00000173578|ENST00000309285|ENSP00000310405
ENSG00000172769|ENST00000309403|ENSP00000308270
ENSG00000172774|ENST00000309433|ENSP00000311688
ENSG00000163485|ENST00000309502|ENSP00000308549
ENSG00000173391|ENST00000309539|ENSP00000309124
ENSG00000175619|ENST00000309562|ENSP00000311605
ENSG00000173679|ENST00000309623|ENSP00000310773
ENSG00000175398|ENST00000309675|ENSP00000308082
ENSG00000175393|ENST00000309838|ENSP00000312470
ENSG00000173302|ENST00000309926|ENSP00000308908
ENSG00000174343|ENST00000310169|ENSP00000312663
ENSG00000197376|ENST00000310194|ENSP00000310632
ENSG00000172640|ENST00000310248|ENSP00000308689
ENSG00000173612|ENST00000310357|ENSP00000309493
ENSG00000088053|ENST00000310373|ENSP00000308782
ENSG00000121716|ENST00000310771|ENSP00000311153
ENSG00000173250|ENST00000311104|ENSP00000308733
ENSG00000228567|ENST00000311170|ENSP00000310856
ENSG00000066294|ENST00000311224|ENSP00000312367
ENSG00000250510|ENST00000311268|ENSP00000311528
ENSG00000175485|ENST00000311352|ENSP00000309673
ENSG00000173567|ENST00000311519|ENSP00000307831
ENSG00000166206|ENST00000311550|ENSP00000308725
ENSG00000186513|ENST00000311591|ENSP00000308714
ENSG00000174837|ENST00000312053|ENSP00000311545
ENSG00000174600|ENST00000312143|ENSP00000311733
ENSG00000174914|ENST00000312153|ENSP00000309012
ENSG00000174937|ENST00000312240|ENSP00000312208
ENSG00000174942|ENST00000312253|ENSP00000308595
ENSG00000110195|ENST00000312293|ENSP00000308137
ENSG00000174957|ENST00000312298|ENSP00000310788
ENSG00000174970|ENST00000312345|ENSP00000311477
ENSG00000174982|ENST00000312422|ENSP00000310337
ENSG00000175514|ENST00000312457|ENSP00000310255
ENSG00000226288|ENST00000312614|ENSP00000308764
ENSG00000173762|ENST00000312648|ENSP00000312027
ENSG00000181689|ENST00000312711|ENSP00000323555
ENSG00000181693|ENST00000313022|ENSP00000323595
ENSG00000181698|ENST00000313033|ENSP00000323612
ENSG00000181408|ENST00000313135|ENSP00000323516
ENSG00000176200|ENST00000313253|ENSP00000320077
ENSG00000181718|ENST00000313264|ENSP00000323688
ENSG00000013725|ENST00000313421|ENSP00000323280
ENSG00000181752|ENST00000313447|ENSP00000323853
ENSG00000181761|ENST00000313472|ENSP00000323928
ENSG00000181767|ENST00000313503|ENSP00000323982
ENSG00000181785|ENST00000313555|ENSP00000324111
ENSG00000177675|ENST00000313599|ENSP00000315945
ENSG00000176495|ENST00000313940|ENSP00000320302
ENSG00000179546|ENST00000314113|ENSP00000313661
ENSG00000179817|ENST00000314254|ENSP00000314042
ENSG00000181903|ENST00000314259|ENSP00000324769
ENSG00000178789|ENST00000314401|ENSP00000317337
ENSG00000181927|ENST00000314612|ENSP00000324831
ENSG00000181935|ENST00000314634|ENSP00000324913
ENSG00000181939|ENST00000314644|ENSP00000324958
ENSG00000181958|ENST00000314706|ENSP00000325065
ENSG00000181961|ENST00000314721|ENSP00000325128
ENSG00000180708|ENST00000314902|ENSP00000324251
ENSG00000181656|ENST00000315033|ENSP00000314223
ENSG00000180340|ENST00000315323|ENSP00000323901
ENSG00000150048|ENST00000315330|ENSP00000326407
