ENSG00000003056	ENST00000000412	ENSMUSP00000007602
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSMUSP00000054345
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSMUSP00000054426
ENSG00000128285	ENST00000249016	ENSMUSP00000062329
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	ENSMUSP00000053700
ENSG00000128602	ENST00000249373	ENSMUSP00000001812
ENSG00000128617	ENST00000249389	ENSMUSP00000079289
ENSG00000129048	ENST00000249887	ENSMUSP00000075507
ENSG00000129749	ENST00000250699	ENSMUSP00000081891
ENSG00000130164	ENST00000252444	ENSMUSP00000034713
ENSG00000130202	ENST00000252483	ENSMUSP00000074898
ENSG00000130234	ENST00000252519	ENSMUSP00000107890
ENSG00000130368	ENST00000252660	ENSMUSP00000086409
ENSG00000130529	ENST00000252826	ENSMUSP00000040367
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	ENSMUSP00000122072
ENSG00000132329	ENST00000254661	
ENSG00000132334	ENST00000254667	ENSMUSP00000127370
ENSG00000132517	ENST00000254853	ENSMUSP00000023220
ENSG00000132518	ENST00000254854	ENSMUSP00000021259
ENSG00000132671	ENST00000255008	ENSMUSP00000105588
ENSG00000132911	ENST00000255262	ENSMUSP00000044718
ENSG00000133019	ENST00000255380	ENSMUSP00000055579
ENSG00000133800	ENST00000256178	ENSMUSP00000033050
ENSG00000134061	ENST00000256447	ENSMUSP00000022124
ENSG00000134243	ENST00000256637	ENSMUSP00000099692
ENSG00000134250	ENST00000256646	ENSMUSP00000078741
ENSG00000134489	ENST00000256906	ENSMUSP00000041061
ENSG00000134640	ENST00000257068	ENSMUSP00000053086
ENSG00000134817	ENST00000257254	ENSMUSP00000053638
ENSG00000134830	ENST00000257267	ENSMUSP00000133056
ENSG00000134853	ENST00000257290	ENSMUSP00000000476
ENSG00000135409	ENST00000257863	ENSMUSP00000023809
ENSG00000135424	ENST00000257879	ENSMUSP00000072897
ENSG00000135577	ENST00000258042	ENSMUSP00000020015
ENSG00000135902	ENST00000258385	ENSMUSP00000084162
ENSG00000135914	ENST00000258400	ENSMUSP00000027431
ENSG00000135960	ENST00000258443	ENSMUSP00000003312
ENSG00000135973	ENST00000258456	ENSMUSP00000110409
ENSG00000136040	ENST00000258526	ENSMUSP00000096939
ENSG00000136834	ENST00000259357	ENSMUSP00000097728
ENSG00000136839	ENST00000259362	
ENSG00000136928	ENST00000259455	ENSMUSP00000103378
ENSG00000136960	ENST00000259486	ENSMUSP00000132640
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSMUSP00000029623
ENSG00000149305	ENST00000260191	ENSMUSP00000008734
ENSG00000137642	ENST00000260197	ENSMUSP00000058613
ENSG00000138271	ENST00000260843	ENSMUSP00000059272
ENSG00000138435	ENST00000261007	ENSMUSP00000028515
ENSG00000138448	ENST00000261023	ENSMUSP00000028499
ENSG00000069431	ENST00000261200	ENSMUSP00000098390
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSMUSP00000032322
ENSG00000240505	ENST00000261652	ENSMUSP00000010286
ENSG00000111452	ENST00000261654	ENSMUSP00000060307
ENSG00000073060	ENST00000261693	ENSMUSP00000083242
ENSG00000117971	ENST00000261751	ENSMUSP00000034854
ENSG00000113721	ENST00000261799	ENSMUSP00000110929
ENSG00000067141	ENST00000261908	ENSMUSP00000063656
ENSG00000037280	ENST00000261937	ENSMUSP00000020617
ENSG00000038945	ENST00000262101	ENSMUSP00000026021
ENSG00000106018	ENST00000262178	ENSMUSP00000011315
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSMUSP00000010605
ENSG00000005961	ENST00000262407	ENSMUSP00000099375
ENSG00000065325	ENST00000262441	ENSMUSP00000061560
ENSG00000105707	ENST00000262626	ENSMUSP00000038149
ENSG00000075275	ENST00000262738	ENSMUSP00000016172
ENSG00000105737	ENST00000262895	ENSMUSP00000003468
ENSG00000088812	ENST00000262919	ENSMUSP00000028781
ENSG00000083457	ENST00000263087	ENSMUSP00000006101
ENSG00000105464	ENST00000263269	ENSMUSP00000002848
ENSG00000010310	ENST00000263281	ENSMUSP00000092384
ENSG00000109991	ENST00000263314	ENSMUSP00000028465
ENSG00000104998	ENST00000263379	ENSMUSP00000005601
ENSG00000113594	ENST00000263409	ENSMUSP00000064551
ENSG00000054219	ENST00000263636	ENSMUSP00000108152
ENSG00000115170	ENST00000263640	ENSMUSP00000088453
ENSG00000092445	ENST00000263798	ENSMUSP00000028763
ENSG00000062524	ENST00000263800	ENSMUSP00000028759
ENSG00000081479	ENST00000263816	ENSMUSP00000079752
ENSG00000128052	ENST00000263923	ENSMUSP00000109144
ENSG00000120949	ENST00000263932	ENSMUSP00000030339
ENSG00000110400	ENST00000264025	ENSMUSP00000034510
ENSG00000121594	ENST00000264246	ENSMUSP00000097404
ENSG00000115598	ENST00000264257	ENSMUSP00000092630
ENSG00000109158	ENST00000264318	ENSMUSP00000031121
ENSG00000125675	ENST00000264357	ENSMUSP00000075687
ENSG00000109738	ENST00000264428	ENSMUSP00000029654
ENSG00000108797	ENST00000264638	ENSMUSP00000099398
ENSG00000144668	ENST00000264741	ENSMUSP00000044227
ENSG00000090339	ENST00000264832	ENSMUSP00000083587
ENSG00000138760	ENST00000264896	ENSMUSP00000031377
ENSG00000099250	ENST00000265371	ENSMUSP00000026917
ENSG00000082556	ENST00000265572	ENSMUSP00000125105
ENSG00000139193	ENST00000266557	ENSMUSP00000032486
ENSG00000139292	ENST00000266674	ENSMUSP00000020350
ENSG00000139572	ENST00000267015	ENSMUSP00000078753
ENSG00000065361	ENST00000267101	ENSMUSP00000080716
ENSG00000139636	ENST00000267102	ENSMUSP00000023736
ENSG00000139874	ENST00000267377	ENSMUSP00000106299
ENSG00000140443	ENST00000268035	ENSMUSP00000005671
ENSG00000140678	ENST00000268296	ENSMUSP00000033053
ENSG00000140749	ENST00000268389	ENSMUSP00000039059
ENSG00000141194	ENST00000268912	ENSMUSP00000074415
ENSG00000141458	ENST00000269228	ENSMUSP00000025279
ENSG00000141655	ENST00000269485	ENSMUSP00000027559
ENSG00000141736	ENST00000269571	ENSMUSP00000053897
ENSG00000142166	ENST00000270139	ENSMUSP00000023689
ENSG00000187244	ENST00000270233	ENSMUSP00000003061
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSMUSP00000088046
ENSG00000163518	ENST00000271532	
ENSG00000144136	ENST00000272542	ENSMUSP00000028880
ENSG00000144407	ENST00000272847	ENSMUSP00000027083
ENSG00000144476	ENST00000272928	ENSMUSP00000069114
ENSG00000144820	ENST00000273352	ENSMUSP00000023437
ENSG00000145103	ENST00000273691	ENSMUSP00000023617
ENSG00000145242	ENST00000273854	ENSMUSP00000060646
ENSG00000145244	ENST00000273857	ENSMUSP00000005352
ENSG00000145451	ENST00000274093	ENSMUSP00000000275
ENSG00000145623	ENST00000274276	ENSMUSP00000022746
ENSG00000145863	ENST00000274545	ENSMUSP00000126114
ENSG00000146360	ENST00000275169	ENSMUSP00000057323
ENSG00000146399	ENST00000275216	ENSMUSP00000049527
ENSG00000146648	ENST00000275493	ENSMUSP00000020329
ENSG00000146904	ENST00000275815	ENSMUSP00000073099
ENSG00000147138	ENST00000276077	ENSMUSP00000112974
ENSG00000147246	ENST00000276198	ENSMUSP00000043936
ENSG00000147262	ENST00000276218	ENSMUSP00000060591
ENSG00000147434	ENST00000276410	ENSMUSP00000033882
ENSG00000120889	ENST00000276431	ENSMUSP00000022663
ENSG00000147650	ENST00000276654	ENSMUSP00000022916
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	
ENSG00000148734	ENST00000277942	ENSMUSP00000020287
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSMUSP00000127373
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSMUSP00000107536
ENSG00000150261	ENST00000279783	ENSMUSP00000097486
ENSG00000150594	ENST00000280155	ENSMUSP00000036203
ENSG00000150637	ENST00000280200	ENSMUSP00000043551
ENSG00000150938	ENST00000280527	ENSMUSP00000108117
ENSG00000151490	ENST00000281171	ENSMUSP00000076364
ENSG00000116106	ENST00000281821	ENSMUSP00000027451
ENSG00000152207	ENST00000282018	ENSMUSP00000040715
ENSG00000152208	ENST00000282020	ENSMUSP00000093536
ENSG00000152578	ENST00000282499	ENSMUSP00000066980
ENSG00000213949	ENST00000282588	ENSMUSP00000077132
ENSG00000153230	ENST00000283225	
ENSG00000153233	ENST00000283228	ENSMUSP00000064392
ENSG00000153246	ENST00000283243	ENSMUSP00000108144
ENSG00000115221	ENST00000283249	ENSMUSP00000054944
ENSG00000153563	ENST00000283635	ENSMUSP00000068123
ENSG00000196119	ENST00000284287	ENSMUSP00000128236
ENSG00000154165	ENST00000284311	ENSMUSP00000086731
ENSG00000154309	ENST00000284476	ENSMUSP00000003035
ENSG00000154478	ENST00000284674	ENSMUSP00000041664
ENSG00000154639	ENST00000284878	ENSMUSP00000023572
ENSG00000155249	ENST00000285600	ENSMUSP00000107334
ENSG00000155511	ENST00000285900	ENSMUSP00000044494
ENSG00000155760	ENST00000286201	ENSMUSP00000109884
ENSG00000182578	ENST00000286301	ENSMUSP00000025523
ENSG00000157219	ENST00000287907	ENSMUSP00000038884
ENSG00000157240	ENST00000287934	ENSMUSP00000058629
ENSG00000157404	ENST00000288135	ENSMUSP00000005815
ENSG00000056736	ENST00000288167	ENSMUSP00000113686
ENSG00000173285	ENST00000289451	
ENSG00000015520	ENST00000289547	ENSMUSP00000004505
ENSG00000158748	ENST00000289753	ENSMUSP00000101428
ENSG00000158869	ENST00000289902	ENSMUSP00000078875
ENSG00000147432	ENST00000289957	ENSMUSP00000052297
ENSG00000159128	ENST00000290219	ENSMUSP00000023687
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSMUSP00000105161
ENSG00000160013	ENST00000291294	ENSMUSP00000122080
ENSG00000189430	ENST00000291890	ENSMUSP00000006792
ENSG00000160683	ENST00000292174	ENSMUSP00000050444
ENSG00000160951	ENST00000292513	ENSMUSP00000019608
ENSG00000161509	ENST00000293190	ENSMUSP00000003351
ENSG00000161638	ENST00000293379	ENSMUSP00000023128
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSMUSP00000019064
ENSG00000108556	ENST00000293780	ENSMUSP00000014753
ENSG00000162337	ENST00000294304	ENSMUSP00000025856
ENSG00000138039	ENST00000294954	ENSMUSP00000024916
ENSG00000153208	ENST00000295408	ENSMUSP00000014505
ENSG00000163251	ENST00000295417	ENSMUSP00000067783
ENSG00000163285	ENST00000295452	ENSMUSP00000031119
ENSG00000163288	ENST00000295454	ENSMUSP00000031122
ENSG00000163394	ENST00000295589	ENSMUSP00000031093
ENSG00000163464	ENST00000295683	ENSMUSP00000049714
ENSG00000054356	ENST00000295718	ENSMUSP00000027404
ENSG00000163702	ENST00000295981	ENSMUSP00000055343
ENSG00000163785	ENST00000296084	ENSMUSP00000135858
ENSG00000082781	ENST00000296181	ENSMUSP00000069416
ENSG00000163914	ENST00000296271	ENSMUSP00000032471
ENSG00000164078	ENST00000296474	ENSMUSP00000035203
ENSG00000120251	ENST00000296526	ENSMUSP00000103375
ENSG00000164128	ENST00000296533	ENSMUSP00000045530
ENSG00000164171	ENST00000296585	ENSMUSP00000053891
ENSG00000164220	ENST00000296641	ENSMUSP00000022182
ENSG00000164251	ENST00000296677	ENSMUSP00000022185
ENSG00000164342	ENST00000296795	ENSMUSP00000034056
ENSG00000146072	ENST00000296861	ENSMUSP00000024708
ENSG00000164393	ENST00000296862	ENSMUSP00000109244
ENSG00000165202	ENST00000297913	ENSMUSP00000066272
ENSG00000165370	ENST00000298110	ENSMUSP00000058183
ENSG00000133105	ENST00000298386	ENSMUSP00000067897
ENSG00000165621	ENST00000298440	ENSMUSP00000055137
ENSG00000165682	ENST00000298527	ENSMUSP00000032262
ENSG00000165762	ENST00000298642	ENSMUSP00000060325
ENSG00000166073	ENST00000299092	ENSMUSP00000037586
ENSG00000166148	ENST00000299178	ENSMUSP00000020323
ENSG00000169684	ENST00000299565	ENSMUSP00000082923
ENSG00000166573	ENST00000299727	ENSMUSP00000066381
ENSG00000166603	ENST00000299766	ENSMUSP00000054776
ENSG00000166682	ENST00000299882	ENSMUSP00000132181
ENSG00000166825	ENST00000300060	ENSMUSP00000103015
ENSG00000166856	ENST00000300098	ENSMUSP00000100882
ENSG00000166884	ENST00000300127	ENSMUSP00000085126
ENSG00000167286	ENST00000300692	ENSMUSP00000034602
ENSG00000242180	ENST00000300773	
ENSG00000167601	ENST00000301178	ENSMUSP00000002677
ENSG00000167822	ENST00000301529	ENSMUSP00000097488
ENSG00000167825	ENST00000301532	ENSMUSP00000088211
ENSG00000172320	ENST00000302030	ENSMUSP00000085124
ENSG00000117090	ENST00000302035	ENSMUSP00000015460
ENSG00000172324	ENST00000302040	ENSMUSP00000127650
ENSG00000169214	ENST00000302084	ENSMUSP00000049454
ENSG00000172154	ENST00000302124	ENSMUSP00000097454
ENSG00000172199	ENST00000302270	ENSMUSP00000097490
ENSG00000171522	ENST00000302472	ENSMUSP00000048736
ENSG00000171657	ENST00000302548	ENSMUSP00000062535
ENSG00000172365	ENST00000302581	ENSMUSP00000049885
ENSG00000197887	ENST00000302592	ENSMUSP00000054924
ENSG00000197532	ENST00000302617	ENSMUSP00000083023
ENSG00000172381	ENST00000302622	ENSMUSP00000057288
ENSG00000169313	ENST00000302632	ENSMUSP00000051353
ENSG00000150995	ENST00000302640	ENSMUSP00000032192
ENSG00000171133	ENST00000302681	ENSMUSP00000062002
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSMUSP00000088837
ENSG00000169992	ENST00000302926	ENSMUSP00000053097
ENSG00000172459	ENST00000302969	ENSMUSP00000099694
ENSG00000172464	ENST00000302981	ENSMUSP00000058242
ENSG00000172487	ENST00000303039	ENSMUSP00000097488
ENSG00000168685	ENST00000303115	ENSMUSP00000003981
ENSG00000169604	ENST00000303714	ENSMUSP00000045634
ENSG00000169618	ENST00000303786	ENSMUSP00000059034
ENSG00000170775	ENST00000303921	ENSMUSP00000052185
ENSG00000172243	ENST00000304084	ENSMUSP00000107707
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSMUSP00000063784
ENSG00000170425	ENST00000304222	ENSMUSP00000018644
ENSG00000170128	ENST00000304244	ENSMUSP00000083583
ENSG00000172322	ENST00000304361	ENSMUSP00000063627
ENSG00000169676	ENST00000304374	ENSMUSP00000039691
ENSG00000172209	ENST00000304402	ENSMUSP00000056125
ENSG00000170837	ENST00000304411	ENSMUSP00000098680
ENSG00000169327	ENST00000304418	ENSMUSP00000063109
ENSG00000168124	ENST00000304646	ENSMUSP00000058956
ENSG00000171051	ENST00000304748	ENSMUSP00000052894
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSMUSP00000097722
ENSG00000171496	ENST00000304865	ENSMUSP00000097725
ENSG00000169836	ENST00000304883	ENSMUSP00000029822
ENSG00000168158	ENST00000304936	ENSMUSP00000079720
ENSG00000169484	ENST00000305045	
ENSG00000169860	ENST00000305097	ENSMUSP00000029331
ENSG00000171596	ENST00000305141	ENSMUSP00000027440
ENSG00000171561	ENST00000305159	ENSMUSP00000095864
ENSG00000115353	ENST00000305249	ENSMUSP00000032122
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSMUSP00000050897
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSMUSP00000110643
ENSG00000171936	ENST00000305892	ENSMUSP00000067207
ENSG00000169252	ENST00000305988	ENSMUSP00000062256
ENSG00000168229	ENST00000306051	ENSMUSP00000093653
ENSG00000157193	ENST00000306052	ENSMUSP00000102343
ENSG00000170175	ENST00000306071	ENSMUSP00000047270
ENSG00000170214	ENST00000306675	ENSMUSP00000129200
ENSG00000171180	ENST00000306687	
ENSG00000169006	ENST00000306928	ENSMUSP00000106693
ENSG00000168539	ENST00000306960	ENSMUSP00000042632
ENSG00000171014	ENST00000307033	ENSMUSP00000060787
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSMUSP00000069872
ENSG00000172289	ENST00000307552	ENSMUSP00000072563
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	ENSMUSP00000048092
ENSG00000171509	ENST00000307765	ENSMUSP00000077611
ENSG00000174339	ENST00000307832	
ENSG00000056291	ENST00000308744	ENSMUSP00000040033
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSMUSP00000060793
ENSG00000172938	ENST00000309106	ENSMUSP00000063021
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSMUSP00000088642
ENSG00000174946	ENST00000309180	ENSMUSP00000082115
ENSG00000173578	ENST00000309285	ENSMUSP00000077813
ENSG00000172774	ENST00000309433	ENSMUSP00000054924
ENSG00000163485	ENST00000309502	ENSMUSP00000083656
ENSG00000173391	ENST00000309539	ENSMUSP00000032265
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	ENSMUSP00000040207
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSMUSP00000031108
ENSG00000197376	ENST00000310194	
ENSG00000173612	ENST00000310357	ENSMUSP00000020062
ENSG00000088053	ENST00000310373	ENSMUSP00000104231
ENSG00000173250	ENST00000311104	ENSMUSP00000058887
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSMUSP00000120881
ENSG00000250510	ENST00000311268	ENSMUSP00000038536
ENSG00000175485	ENST00000311352	ENSMUSP00000095755
ENSG00000173567	ENST00000311519	ENSMUSP00000085440
ENSG00000166206	ENST00000311550	ENSMUSP00000082337
ENSG00000186513	ENST00000311591	ENSMUSP00000053465
ENSG00000174837	ENST00000312053	ENSMUSP00000083971
ENSG00000174600	ENST00000312143	ENSMUSP00000036316
ENSG00000174942	ENST00000312253	
ENSG00000110195	ENST00000312293	ENSMUSP00000102599
ENSG00000174957	ENST00000312298	ENSMUSP00000058454
ENSG00000174982	ENST00000312422	ENSMUSP00000080399
ENSG00000175514	ENST00000312457	ENSMUSP00000131155
ENSG00000226288	ENST00000312614	ENSMUSP00000095822
ENSG00000173762	ENST00000312648	ENSMUSP00000026159
ENSG00000181408	ENST00000313135	ENSMUSP00000046920
ENSG00000176200	ENST00000313253	ENSMUSP00000085134
ENSG00000013725	ENST00000313421	ENSMUSP00000079172
ENSG00000181785	ENST00000313555	ENSMUSP00000097446
ENSG00000177675	ENST00000313599	
ENSG00000179546	ENST00000314113	ENSMUSP00000086052
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	ENSMUSP00000073913
ENSG00000181927	ENST00000314612	ENSMUSP00000097412
ENSG00000181958	ENST00000314706	ENSMUSP00000097371
ENSG00000180708	ENST00000314902	ENSMUSP00000055435
ENSG00000181656	ENST00000315033	ENSMUSP00000087959
ENSG00000180340	ENST00000315323	ENSMUSP00000091463
ENSG00000150048	ENST00000315330	ENSMUSP00000047065
ENSG00000180658	ENST00000315453	ENSMUSP00000053813
ENSG00000176219	ENST00000315519	ENSMUSP00000050184
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	ENSMUSP00000034774
ENSG00000176281	ENST00000315915	ENSMUSP00000051755
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	ENSMUSP00000057376
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180914	ENST00000316793	ENSMUSP00000051132
ENSG00000180974	ENST00000316987	ENSMUSP00000095764
ENSG00000181001	ENST00000317078	ENSMUSP00000065722
ENSG00000181009	ENST00000317093	ENSMUSP00000095767
ENSG00000181074	ENST00000317254	ENSMUSP00000095772
ENSG00000161649	ENST00000317310	ENSMUSP00000102782
ENSG00000177151	ENST00000317450	ENSMUSP00000133126
ENSG00000168995	ENST00000317643	ENSMUSP00000032667
ENSG00000175898	ENST00000317726	ENSMUSP00000053394
ENSG00000180245	ENST00000317735	ENSMUSP00000077182
ENSG00000178358	ENST00000317834	ENSMUSP00000095740
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	ENSMUSP00000075729
ENSG00000177212	ENST00000318021	ENSMUSP00000075729
ENSG00000176695	ENST00000318050	ENSMUSP00000099611
ENSG00000178084	ENST00000318351	
ENSG00000105976	ENST00000318493	ENSMUSP00000111103
ENSG00000180871	ENST00000318507	ENSMUSP00000027372
ENSG00000197309	ENST00000318666	ENSMUSP00000049930
ENSG00000177535	ENST00000318749	ENSMUSP00000071835
ENSG00000179055	ENST00000318763	ENSMUSP00000092699
ENSG00000181104	ENST00000319211	ENSMUSP00000061754
ENSG00000177663	ENST00000319363	ENSMUSP00000002976
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSMUSP00000063136
ENSG00000176540	ENST00000319813	ENSMUSP00000107137
ENSG00000178623	ENST00000319838	ENSMUSP00000027489
ENSG00000176547	ENST00000319856	ENSMUSP00000097347
ENSG00000177462	ENST00000319968	ENSMUSP00000075729
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	ENSMUSP00000036596
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSMUSP00000110748
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	
ENSG00000181518	ENST00000321355	ENSMUSP00000058372
ENSG00000176787	ENST00000321522	ENSMUSP00000060166
ENSG00000176798	ENST00000321543	
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	ENSMUSP00000058167
ENSG00000176893	ENST00000322013	ENSMUSP00000059586
ENSG00000176922	ENST00000322101	ENSMUSP00000062385
ENSG00000176231	ENST00000322107	ENSMUSP00000067207
ENSG00000176925	ENST00000322110	ENSMUSP00000095818
ENSG00000180929	ENST00000322241	ENSMUSP00000129055
ENSG00000188269	ENST00000322301	
ENSG00000181609	ENST00000322641	ENSMUSP00000095784
ENSG00000181616	ENST00000322653	ENSMUSP00000062529
ENSG00000179695	ENST00000322678	ENSMUSP00000052722
ENSG00000117335	ENST00000322875	ENSMUSP00000123931
ENSG00000177464	ENST00000323040	ENSMUSP00000061243
ENSG00000196610	ENST00000323109	
ENSG00000178394	ENST00000323865	ENSMUSP00000022235
ENSG00000181733	ENST00000324060	
ENSG00000004399	ENST00000324093	ENSMUSP00000015511
ENSG00000178562	ENST00000324106	ENSMUSP00000027165
ENSG00000151617	ENST00000324300	ENSMUSP00000034029
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSMUSP00000108739
ENSG00000176136	ENST00000324750	ENSMUSP00000130497
ENSG00000162897	ENST00000324852	ENSMUSP00000108096
ENSG00000114812	ENST00000325123	ENSMUSP00000035115
ENSG00000181631	ENST00000325602	ENSMUSP00000044730
