ENSG00000003056	ENST00000000412	ENSVPAP00000003675
ENSG00000168131	ENST00000303324	ENSVPAP00000001156
ENSG00000169208	ENST00000303532	ENSVPAP00000006848
ENSG00000169604	ENST00000303714	ENSVPAP00000001607
ENSG00000169618	ENST00000303786	
ENSG00000170775	ENST00000303921	ENSVPAP00000008399
ENSG00000172243	ENST00000304084	ENSVPAP00000001938
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	
ENSG00000170425	ENST00000304222	
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	
ENSG00000172209	ENST00000304402	
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSVPAP00000000479
ENSG00000171459	ENST00000304720	ENSVPAP00000006071
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSVPAP00000000194
ENSG00000169836	ENST00000304883	ENSVPAP00000005497
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	ENSVPAP00000002532
ENSG00000171596	ENST00000305141	
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSVPAP00000010055
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	ENSVPAP00000000360
ENSG00000168229	ENST00000306051	
ENSG00000157193	ENST00000306052	
ENSG00000170175	ENST00000306071	
ENSG00000170214	ENST00000306675	
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	ENSVPAP00000004498
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSVPAP00000011472
ENSG00000170790	ENST00000307322	ENSVPAP00000003462
ENSG00000171944	ENST00000307388	ENSVPAP00000003785
ENSG00000172289	ENST00000307552	ENSVPAP00000008589
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	ENSVPAP00000009869
ENSG00000171509	ENST00000307765	ENSVPAP00000003940
ENSG00000174339	ENST00000307832	
ENSG00000174667	ENST00000308682	
ENSG00000056291	ENST00000308744	ENSVPAP00000011075
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSVPAP00000000168
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	ENSVPAP00000004491
ENSG00000174944	ENST00000309170	
ENSG00000174946	ENST00000309180	
ENSG00000173578	ENST00000309285	ENSVPAP00000009097
ENSG00000172769	ENST00000309403	ENSVPAP00000010446
ENSG00000163485	ENST00000309502	
ENSG00000173391	ENST00000309539	ENSVPAP00000001937
ENSG00000175619	ENST00000309562	ENSVPAP00000011151
ENSG00000173679	ENST00000309623	
ENSG00000175393	ENST00000309838	ENSVPAP00000003856
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSVPAP00000000590
ENSG00000197376	ENST00000310194	ENSVPAP00000000327
ENSG00000172640	ENST00000310248	ENSVPAP00000011302
ENSG00000173612	ENST00000310357	ENSVPAP00000002032
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	ENSVPAP00000000517
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSVPAP00000006007
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	
ENSG00000173567	ENST00000311519	
ENSG00000166206	ENST00000311550	ENSVPAP00000006810
ENSG00000186513	ENST00000311591	ENSVPAP00000002185
ENSG00000174837	ENST00000312053	ENSVPAP00000006579
ENSG00000174600	ENST00000312143	ENSVPAP00000009087
ENSG00000174937	ENST00000312240	ENSVPAP00000001175
ENSG00000174942	ENST00000312253	ENSVPAP00000010786
ENSG00000110195	ENST00000312293	ENSVPAP00000005003
ENSG00000174957	ENST00000312298	ENSVPAP00000000829
ENSG00000174970	ENST00000312345	
ENSG00000174982	ENST00000312422	ENSVPAP00000007112
ENSG00000175514	ENST00000312457	
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	
ENSG00000181693	ENST00000313022	ENSVPAP00000004450
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSVPAP00000006804
ENSG00000181718	ENST00000313264	ENSVPAP00000008560
ENSG00000013725	ENST00000313421	
ENSG00000181752	ENST00000313447	ENSVPAP00000011048
ENSG00000181761	ENST00000313472	ENSVPAP00000004450
ENSG00000181767	ENST00000313503	ENSVPAP00000004450
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	ENSVPAP00000003663
ENSG00000179546	ENST00000314113	
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	ENSVPAP00000006530
ENSG00000181939	ENST00000314644	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSVPAP00000001939
ENSG00000176198	ENST00000315409	
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSVPAP00000006201
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	ENSVPAP00000008823
ENSG00000176246	ENST00000315683	ENSVPAP00000004002
ENSG00000176253	ENST00000315693	ENSVPAP00000011331
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	ENSVPAP00000009713
ENSG00000176299	ENST00000315957	ENSVPAP00000009710
ENSG00000244623	ENST00000316368	ENSVPAP00000004971
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	ENSVPAP00000002183
ENSG00000180914	ENST00000316793	
ENSG00000180974	ENST00000316987	ENSVPAP00000001344
ENSG00000180988	ENST00000317037	ENSVPAP00000002574
ENSG00000181001	ENST00000317078	ENSVPAP00000001343
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	
ENSG00000161649	ENST00000317310	
ENSG00000177151	ENST00000317450	ENSVPAP00000006553
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	
ENSG00000180245	ENST00000317735	ENSVPAP00000009162
ENSG00000178358	ENST00000317834	ENSVPAP00000003466
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	ENSVPAP00000003999
ENSG00000177275	ENST00000318244	ENSVPAP00000003160
ENSG00000178084	ENST00000318351	ENSVPAP00000000363
ENSG00000105976	ENST00000318493	ENSVPAP00000008143
ENSG00000180871	ENST00000318507	
ENSG00000197309	ENST00000318666	ENSVPAP00000004494
ENSG00000179055	ENST00000318763	ENSVPAP00000009061
ENSG00000181104	ENST00000319211	ENSVPAP00000004896
ENSG00000177663	ENST00000319363	
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSVPAP00000001276
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	ENSVPAP00000008222
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	ENSVPAP00000008223
ENSG00000181803	ENST00000320704	ENSVPAP00000010463
ENSG00000254737	ENST00000320891	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSVPAP00000011737
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	ENSVPAP00000002489
ENSG00000181518	ENST00000321355	
ENSG00000176787	ENST00000321522	
ENSG00000176798	ENST00000321543	ENSVPAP00000007959
ENSG00000179615	ENST00000321688	ENSVPAP00000008221
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSVPAP00000007950
ENSG00000176904	ENST00000322059	ENSVPAP00000007932
ENSG00000176922	ENST00000322101	
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000181609	ENST00000322641	ENSVPAP00000001342
ENSG00000181616	ENST00000322653	
ENSG00000179695	ENST00000322678	ENSVPAP00000004984
ENSG00000117335	ENST00000322875	ENSVPAP00000009979
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSVPAP00000006032
ENSG00000178394	ENST00000323865	
ENSG00000181733	ENST00000324060	
ENSG00000004399	ENST00000324093	
ENSG00000178562	ENST00000324106	ENSVPAP00000008845
ENSG00000151617	ENST00000324300	ENSVPAP00000006441
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSVPAP00000002122
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	
ENSG00000114812	ENST00000325123	
ENSG00000181631	ENST00000325602	ENSVPAP00000005681
ENSG00000181963	ENST00000325719	
ENSG00000106128	ENST00000326139	
ENSG00000186074	ENST00000326165	ENSVPAP00000001706
ENSG00000177693	ENST00000326183	ENSVPAP00000003999
ENSG00000179919	ENST00000326258	ENSVPAP00000003752
ENSG00000179934	ENST00000326306	ENSVPAP00000011436
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	ENSVPAP00000007684
ENSG00000181273	ENST00000326855	
ENSG00000019169	ENST00000327097	ENSVPAP00000011366
ENSG00000181371	ENST00000327216	
ENSG00000166342	ENST00000327305	ENSVPAP00000005217
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSVPAP00000000386
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	ENSVPAP00000003371
ENSG00000185897	ENST00000327809	
ENSG00000221931	ENST00000327930	ENSVPAP00000011803
ENSG00000182771	ENST00000327946	ENSVPAP00000011036
ENSG00000197125	ENST00000328064	
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	
ENSG00000185821	ENST00000328314	ENSVPAP00000000648
ENSG00000182334	ENST00000328375	ENSVPAP00000004067
ENSG00000183473	ENST00000328544	
ENSG00000182783	ENST00000328570	
ENSG00000186891	ENST00000328596	
ENSG00000184698	ENST00000328611	
ENSG00000186407	ENST00000328630	ENSVPAP00000000631
ENSG00000183310	ENST00000328782	
ENSG00000183706	ENST00000328795	
ENSG00000184881	ENST00000328813	
ENSG00000182782	ENST00000328880	ENSVPAP00000010680
ENSG00000184140	ENST00000328882	ENSVPAP00000005529
ENSG00000183024	ENST00000328890	
