Ensembl Gene ID	Ensembl Transcript ID	Gibbon Ensembl Protein ID	
ENSG00000125510	ENST00000336866	ENSNLEP00000012480	
ENSG00000125522	ENST00000369768	ENSNLEP00000023015	
ENSG00000125675	ENST00000264357	ENSNLEP00000018295	
ENSG00000125810	ENST00000246006	ENSNLEP00000014046	
ENSG00000125910	ENST00000246115	
ENSG00000126010	ENST00000380289	ENSNLEP00000011563	
ENSG00000126246	ENST00000246532	ENSNLEP00000013766	
ENSG00000126251	ENST00000454971	ENSNLEP00000013563	
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	
ENSG00000126353	ENST00000246657	ENSNLEP00000002333	
ENSG00000126777	ENST00000395309	ENSNLEP00000015715	
ENSG00000126895	ENST00000358927	ENSNLEP00000016566	
ENSG00000127364	ENST00000247881	
ENSG00000127418	ENST00000398484	ENSNLEP00000001162	
ENSG00000127507	ENST00000315576	ENSNLEP00000006238	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSNLEP00000023057	
ENSG00000127780	ENST00000248384	
ENSG00000128052	ENST00000263923	ENSNLEP00000010298	
ENSG00000128271	ENST00000541988	ENSNLEP00000018897	
ENSG00000128285	ENST00000249016	ENSNLEP00000018652	
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	ENSNLEP00000022488	
ENSG00000128602	ENST00000249373	ENSNLEP00000015269	
ENSG00000128617	ENST00000249389	ENSNLEP00000015079	
ENSG00000129048	ENST00000249887	ENSNLEP00000004084	
ENSG00000129749	ENST00000250699	ENSNLEP00000020980	
ENSG00000130164	ENST00000252444	ENSNLEP00000015155	
ENSG00000130202	ENST00000252483	
ENSG00000130234	ENST00000252519	ENSNLEP00000011529	
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSNLEP00000006092	
ENSG00000130538	ENST00000252835	
ENSG00000131015	ENST00000367351	
ENSG00000131042	ENST00000391749	
ENSG00000131080	ENST00000374719	ENSNLEP00000000657	
ENSG00000131355	ENST00000253673	ENSNLEP00000006211	
ENSG00000131477	ENST00000253796	ENSNLEP00000014336	
ENSG00000131724	ENST00000371666	ENSNLEP00000018021	
ENSG00000132329	ENST00000254661	ENSNLEP00000013536	
ENSG00000132334	ENST00000254667	ENSNLEP00000001647	
ENSG00000132517	ENST00000254853	ENSNLEP00000010918	
ENSG00000132518	ENST00000254854	ENSNLEP00000011973	
ENSG00000132670	ENST00000380393	ENSNLEP00000009203	
ENSG00000132671	ENST00000255008	ENSNLEP00000022513	
ENSG00000132704	ENST00000361516	ENSNLEP00000015767	
ENSG00000132911	ENST00000255262	ENSNLEP00000020014	
ENSG00000132975	ENST00000405846	ENSNLEP00000017109	
ENSG00000133019	ENST00000255380	ENSNLEP00000022290	
ENSG00000133067	ENST00000367278	ENSNLEP00000021981	
ENSG00000133105	ENST00000298386	ENSNLEP00000001063	
ENSG00000133216	ENST00000374632	ENSNLEP00000010164	
ENSG00000133800	ENST00000256178	ENSNLEP00000021362	
ENSG00000134061	ENST00000256447	ENSNLEP00000004698	
ENSG00000134160	ENST00000397795	ENSNLEP00000009183	
ENSG00000134243	ENST00000256637	ENSNLEP00000003330	
ENSG00000134250	ENST00000256646	ENSNLEP00000006645	
ENSG00000134352	ENST00000381298	ENSNLEP00000002648	
ENSG00000134460	ENST00000379959	ENSNLEP00000014170	
ENSG00000134489	ENST00000256906	ENSNLEP00000008001	
ENSG00000134539	ENST00000381907	ENSNLEP00000003968	
ENSG00000134545	ENST00000359151	ENSNLEP00000004026	
ENSG00000134569	ENST00000378623	ENSNLEP00000017341	
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	ENSNLEP00000015246	
ENSG00000134830	ENST00000257267	ENSNLEP00000022309	
ENSG00000134853	ENST00000257290	ENSNLEP00000010082	
ENSG00000135124	ENST00000337233	ENSNLEP00000019476	
ENSG00000135218	ENST00000435819	ENSNLEP00000017929	
ENSG00000135298	ENST00000370598	ENSNLEP00000000603	
ENSG00000135312	ENST00000369947	ENSNLEP00000022279	
ENSG00000135333	ENST00000369303	ENSNLEP00000016279	
ENSG00000135409	ENST00000257863	ENSNLEP00000021478	
ENSG00000135424	ENST00000257879	ENSNLEP00000021371	
ENSG00000135503	ENST00000541224	ENSNLEP00000021570	
ENSG00000135577	ENST00000258042	ENSNLEP00000018293	
ENSG00000135622	ENST00000357877	ENSNLEP00000001234	
ENSG00000135898	ENST00000392040	ENSNLEP00000016859	
ENSG00000135902	ENST00000258385	ENSNLEP00000017385	
ENSG00000135914	ENST00000258400	ENSNLEP00000017033	
ENSG00000135960	ENST00000258443	
ENSG00000135973	ENST00000258456	ENSNLEP00000023044	
ENSG00000136011	ENST00000388887	ENSNLEP00000007906	
ENSG00000136040	ENST00000258526	ENSNLEP00000006950	
ENSG00000136160	ENST00000334286	ENSNLEP00000019898	
ENSG00000136834	ENST00000259357	ENSNLEP00000022849	
ENSG00000136839	ENST00000259362	ENSNLEP00000022827	
ENSG00000136869	ENST00000355622	ENSNLEP00000020554	
ENSG00000136928	ENST00000259455	ENSNLEP00000020666	
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSNLEP00000005967	
ENSG00000137070	ENST00000555003	ENSNLEP00000012870	
ENSG00000137101	ENST00000396757	ENSNLEP00000005376	
ENSG00000137252	ENST00000370862	ENSNLEP00000004010	
ENSG00000137332	ENST00000259875	
ENSG00000137403	ENST00000383516	
ENSG00000137462	ENST00000260010	ENSNLEP00000022789	
ENSG00000137642	ENST00000260197	ENSNLEP00000009033	
ENSG00000137809	ENST00000315757	ENSNLEP00000016139	
ENSG00000137868	ENST00000395105	ENSNLEP00000017527	
ENSG00000137872	ENST00000536845	ENSNLEP00000007181	
ENSG00000138039	ENST00000294954	ENSNLEP00000010706	
ENSG00000138271	ENST00000260843	ENSNLEP00000004221	
ENSG00000138435	ENST00000261007	ENSNLEP00000007157	
ENSG00000138448	ENST00000261023	ENSNLEP00000007882	
ENSG00000138696	ENST00000515059	ENSNLEP00000017197	
ENSG00000138741	ENST00000379645	ENSNLEP00000011420	
ENSG00000138760	ENST00000264896	ENSNLEP00000009874	
ENSG00000139187	ENST00000356986	ENSNLEP00000002835	
ENSG00000139193	ENST00000266557	ENSNLEP00000004457	
ENSG00000139292	ENST00000266674	ENSNLEP00000005285	
ENSG00000139514	ENST00000380752	ENSNLEP00000000769	
ENSG00000139567	ENST00000267008	ENSNLEP00000021573	
ENSG00000139572	ENST00000267015	ENSNLEP00000021418	
ENSG00000139626	ENST00000422257	ENSNLEP00000021501	
ENSG00000139636	ENST00000267102	ENSNLEP00000021678	
ENSG00000139679	ENST00000378434	ENSNLEP00000004008	
ENSG00000139874	ENST00000267377	
ENSG00000140443	ENST00000268035	ENSNLEP00000000953	
ENSG00000140538	ENST00000360948	ENSNLEP00000013887	
ENSG00000140678	ENST00000268296	ENSNLEP00000019789	
ENSG00000140749	ENST00000268389	ENSNLEP00000014708	
ENSG00000141194	ENST00000268912	ENSNLEP00000022462	
ENSG00000141458	ENST00000269228	ENSNLEP00000008199	
ENSG00000141505	ENST00000269299	ENSNLEP00000009700	
ENSG00000141655	ENST00000269485	ENSNLEP00000010510	
ENSG00000141736	ENST00000269571	ENSNLEP00000001285	
ENSG00000142166	ENST00000270139	ENSNLEP00000004684	
ENSG00000142511	ENST00000270590	
ENSG00000142627	ENST00000358432	ENSNLEP00000009392	
ENSG00000142949	ENST00000359947	ENSNLEP00000016591	
ENSG00000143126	ENST00000271332	ENSNLEP00000003215	
ENSG00000143127	ENST00000369304	ENSNLEP00000006983	
ENSG00000143147	ENST00000367838	ENSNLEP00000018127	
ENSG00000143167	ENST00000367868	
ENSG00000143217	ENST00000368012	
ENSG00000143226	ENST00000271450	ENSNLEP00000017502	
ENSG00000143297	ENST00000361835	ENSNLEP00000015711	
ENSG00000143324	ENST00000367590	ENSNLEP00000019406	
ENSG00000144136	ENST00000272542	ENSNLEP00000002157	
ENSG00000144230	ENST00000544369	ENSNLEP00000019087	
ENSG00000144407	ENST00000272847	ENSNLEP00000008714	
ENSG00000144476	ENST00000272928	ENSNLEP00000012996	
ENSG00000144481	ENST00000324695	ENSNLEP00000010391	
ENSG00000144648	ENST00000442925	ENSNLEP00000022428	
ENSG00000144668	ENST00000264741	ENSNLEP00000006205	
ENSG00000144724	ENST00000474889	ENSNLEP00000014169	
ENSG00000144820	ENST00000273352	ENSNLEP00000003449	
ENSG00000144847	ENST00000393775	ENSNLEP00000005817	
ENSG00000144891	ENST00000497524	ENSNLEP00000002919	
ENSG00000145103	ENST00000273691	ENSNLEP00000000318	
ENSG00000145242	ENST00000273854	ENSNLEP00000011025	
ENSG00000145244	ENST00000273857	ENSNLEP00000021073	
ENSG00000145451	ENST00000274093	ENSNLEP00000008171	
ENSG00000145623	ENST00000274276	ENSNLEP00000019831	
ENSG00000145863	ENST00000274545	ENSNLEP00000005489	
ENSG00000145864	ENST00000393959	ENSNLEP00000005455	
ENSG00000145888	ENST00000455880	ENSNLEP00000020003	
ENSG00000146072	ENST00000296861	ENSNLEP00000005196	
ENSG00000146276	ENST00000454853	ENSNLEP00000015896	
ENSG00000146360	ENST00000275169	ENSNLEP00000015470	
ENSG00000146399	ENST00000275216	ENSNLEP00000023141	
ENSG00000146648	ENST00000275493	ENSNLEP00000010419	
ENSG00000146904	ENST00000275815	ENSNLEP00000004064	
ENSG00000146938	ENST00000381095	ENSNLEP00000010473	
ENSG00000147138	ENST00000276077	ENSNLEP00000022904	
ENSG00000147145	ENST00000435339	ENSNLEP00000022903	
ENSG00000147155	ENST00000495186	ENSNLEP00000009530	
ENSG00000147168	ENST00000374202	ENSNLEP00000001373	
ENSG00000147246	ENST00000276198	ENSNLEP00000017802	
ENSG00000147262	ENST00000276218	ENSNLEP00000022241	
ENSG00000147380	ENST00000369935	ENSNLEP00000016747	
ENSG00000147402	ENST00000370306	ENSNLEP00000016781	
ENSG00000147432	ENST00000289957	ENSNLEP00000015693	
ENSG00000147434	ENST00000276410	ENSNLEP00000015698	
ENSG00000147650	ENST00000276654	ENSNLEP00000004747	
ENSG00000148053	ENST00000376214	ENSNLEP00000004512	
ENSG00000148136	ENST00000277216	ENSNLEP00000022825	
ENSG00000148215	ENST00000373680	
ENSG00000148600	ENST00000372117	ENSNLEP00000013261	
ENSG00000148604	ENST00000359452	ENSNLEP00000013297	
ENSG00000148680	ENST00000336152	ENSNLEP00000015032	
ENSG00000148734	ENST00000277942	ENSNLEP00000019533	
ENSG00000149133	ENST00000278409	ENSNLEP00000023152	
ENSG00000149295	ENST00000362072	ENSNLEP00000008918	
ENSG00000149305	ENST00000260191	ENSNLEP00000008924	
ENSG00000149403	ENST00000527524	ENSNLEP00000009029	
ENSG00000149534	ENST00000278888	ENSNLEP00000016077	
ENSG00000150045	ENST00000279544	ENSNLEP00000003677	
ENSG00000150048	ENST00000315330	ENSNLEP00000003830	
ENSG00000150086	ENST00000279593	ENSNLEP00000004561	
ENSG00000150093	ENST00000396033	ENSNLEP00000022033	
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	ENSNLEP00000023160	
ENSG00000150337	ENST00000369168	ENSNLEP00000011766	
ENSG00000150471	ENST00000514591	ENSNLEP00000010931	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSNLEP00000011108	
ENSG00000150938	ENST00000280527	ENSNLEP00000019480	
ENSG00000150995	ENST00000302640	ENSNLEP00000004432	
ENSG00000151025	ENST00000376351	ENSNLEP00000020345	
ENSG00000151490	ENST00000281171	ENSNLEP00000004921	
ENSG00000151577	ENST00000460779	ENSNLEP00000005761	
ENSG00000151617	ENST00000324300	ENSNLEP00000006835	
ENSG00000151834	ENST00000510861	ENSNLEP00000021029	
ENSG00000152034	ENST00000445970	ENSNLEP00000016831	
ENSG00000152207	ENST00000282018	ENSNLEP00000022115	
ENSG00000152208	ENST00000282020	ENSNLEP00000017396	
