ENSG00000003056	ENST00000000412	ENSAMEP00000007155
ENSG00000113262	ENST00000231188	ENSAMEP00000009545
ENSG00000115602	ENST00000233954	ENSAMEP00000013869
ENSG00000116014	ENST00000234371	ENSAMEP00000003164
ENSG00000116032	ENST00000234389	ENSAMEP00000003233
ENSG00000116329	ENST00000234961	ENSAMEP00000012029
ENSG00000119686	ENST00000238667	ENSAMEP00000019382
ENSG00000119973	ENST00000239032	ENSAMEP00000021213
ENSG00000120586	ENST00000239761	ENSAMEP00000011296
ENSG00000120659	ENST00000239849	ENSAMEP00000009326
ENSG00000213809	ENST00000240618	ENSAMEP00000012608
ENSG00000121853	ENST00000241256	ENSAMEP00000001032
ENSG00000121989	ENST00000241416	ENSAMEP00000014170
ENSG00000122025	ENST00000241453	ENSAMEP00000002502
ENSG00000122679	ENST00000242249	ENSAMEP00000018874
ENSG00000123146	ENST00000242786	ENSAMEP00000014080
ENSG00000123384	ENST00000243077	ENSAMEP00000004987
ENSG00000123612	ENST00000243349	ENSAMEP00000015117
ENSG00000123901	ENST00000243673	ENSAMEP00000008109
ENSG00000124089	ENST00000243911	ENSAMEP00000020526
ENSG00000124334	ENST00000244174	ENSAMEP00000003473
ENSG00000124557	ENST00000244513	ENSAMEP00000016888
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSAMEP00000013882
ENSG00000125384	ENST00000245457	ENSAMEP00000002081
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	ENSAMEP00000010346
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSAMEP00000000612
ENSG00000126262	ENST00000246549	ENSAMEP00000000302
ENSG00000126266	ENST00000246553	ENSAMEP00000020289
ENSG00000126353	ENST00000246657	ENSAMEP00000008537
ENSG00000127364	ENST00000247881	ENSAMEP00000020846
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127533	ENST00000248076	ENSAMEP00000010716
ENSG00000128285	ENST00000249016	ENSAMEP00000014605
ENSG00000128310	ENST00000249041	ENSAMEP00000020953
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSAMEP00000005502
ENSG00000128617	ENST00000249389	ENSAMEP00000005219
ENSG00000129048	ENST00000249887	ENSAMEP00000021215
ENSG00000129749	ENST00000250699	ENSAMEP00000011540
ENSG00000130164	ENST00000252444	ENSAMEP00000011413
ENSG00000130202	ENST00000252483	ENSAMEP00000013480
ENSG00000130234	ENST00000252519	ENSAMEP00000016920
ENSG00000130368	ENST00000252660	ENSAMEP00000020643
ENSG00000130529	ENST00000252826	ENSAMEP00000015129
ENSG00000130538	ENST00000252835	ENSAMEP00000020260
ENSG00000131355	ENST00000253673	ENSAMEP00000012099
ENSG00000131477	ENST00000253796	ENSAMEP00000007193
ENSG00000132329	ENST00000254661	ENSAMEP00000008951
ENSG00000132334	ENST00000254667	ENSAMEP00000000259
ENSG00000132517	ENST00000254853	ENSAMEP00000006080
ENSG00000132518	ENST00000254854	ENSAMEP00000003102
ENSG00000132671	ENST00000255008	ENSAMEP00000020120
ENSG00000132911	ENST00000255262	ENSAMEP00000008198
ENSG00000133019	ENST00000255380	ENSAMEP00000021158
ENSG00000133800	ENST00000256178	ENSAMEP00000003685
ENSG00000134061	ENST00000256447	ENSAMEP00000003189
ENSG00000134243	ENST00000256637	ENSAMEP00000005013
ENSG00000134250	ENST00000256646	ENSAMEP00000018647
ENSG00000134489	ENST00000256906	ENSAMEP00000014903
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	ENSAMEP00000021079
ENSG00000134830	ENST00000257267	ENSAMEP00000020548
ENSG00000134853	ENST00000257290	ENSAMEP00000019410
ENSG00000135409	ENST00000257863	ENSAMEP00000013168
ENSG00000135424	ENST00000257879	ENSAMEP00000012544
ENSG00000135577	ENST00000258042	ENSAMEP00000012367
ENSG00000135902	ENST00000258385	ENSAMEP00000017458
ENSG00000135914	ENST00000258400	ENSAMEP00000017358
ENSG00000135960	ENST00000258443	ENSAMEP00000010959
ENSG00000135973	ENST00000258456	ENSAMEP00000021228
ENSG00000136040	ENST00000258526	ENSAMEP00000010302
ENSG00000136834	ENST00000259357	ENSAMEP00000012803
ENSG00000136839	ENST00000259362	ENSAMEP00000020882
ENSG00000136928	ENST00000259455	ENSAMEP00000004750
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSAMEP00000004571
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSAMEP00000019505
ENSG00000149305	ENST00000260191	ENSAMEP00000006321
ENSG00000137642	ENST00000260197	ENSAMEP00000008783
ENSG00000138271	ENST00000260843	ENSAMEP00000009311
ENSG00000138435	ENST00000261007	ENSAMEP00000012944
ENSG00000138448	ENST00000261023	ENSAMEP00000008738
ENSG00000069431	ENST00000261200	ENSAMEP00000017057
ENSG00000069493	ENST00000261340	ENSAMEP00000004215
ENSG00000070018	ENST00000261349	ENSAMEP00000002044
ENSG00000240505	ENST00000261652	ENSAMEP00000012906
ENSG00000111452	ENST00000261654	ENSAMEP00000004440
ENSG00000073060	ENST00000261693	ENSAMEP00000016384
ENSG00000117971	ENST00000261751	ENSAMEP00000013447
ENSG00000113721	ENST00000261799	ENSAMEP00000005339
ENSG00000067141	ENST00000261908	ENSAMEP00000006119
ENSG00000037280	ENST00000261937	ENSAMEP00000001059
ENSG00000038945	ENST00000262101	ENSAMEP00000004952
ENSG00000106018	ENST00000262178	ENSAMEP00000008946
ENSG00000105383	ENST00000262262	ENSAMEP00000015020
ENSG00000081985	ENST00000262345	ENSAMEP00000004845
ENSG00000005961	ENST00000262407	ENSAMEP00000019414
ENSG00000065325	ENST00000262441	ENSAMEP00000012785
ENSG00000105707	ENST00000262626	ENSAMEP00000000215
ENSG00000075275	ENST00000262738	ENSAMEP00000003477
ENSG00000105737	ENST00000262895	ENSAMEP00000005067
ENSG00000088812	ENST00000262919	ENSAMEP00000011519
ENSG00000083457	ENST00000263087	ENSAMEP00000009840
ENSG00000105464	ENST00000263269	ENSAMEP00000015823
ENSG00000010310	ENST00000263281	ENSAMEP00000000895
ENSG00000109991	ENST00000263314	ENSAMEP00000015203
ENSG00000104998	ENST00000263379	ENSAMEP00000013820
ENSG00000113594	ENST00000263409	ENSAMEP00000006916
ENSG00000054219	ENST00000263636	ENSAMEP00000000739
ENSG00000115170	ENST00000263640	ENSAMEP00000015102
ENSG00000092445	ENST00000263798	ENSAMEP00000017576
ENSG00000062524	ENST00000263800	ENSAMEP00000017656
ENSG00000081479	ENST00000263816	ENSAMEP00000011312
ENSG00000128052	ENST00000263923	ENSAMEP00000019463
ENSG00000120949	ENST00000263932	ENSAMEP00000010656
ENSG00000110400	ENST00000264025	ENSAMEP00000008162
ENSG00000121594	ENST00000264246	ENSAMEP00000007580
ENSG00000115598	ENST00000264257	ENSAMEP00000013852
ENSG00000109158	ENST00000264318	ENSAMEP00000003608
ENSG00000125675	ENST00000264357	ENSAMEP00000015613
ENSG00000109738	ENST00000264428	ENSAMEP00000015026
ENSG00000108797	ENST00000264638	ENSAMEP00000007119
ENSG00000144668	ENST00000264741	ENSAMEP00000018884
ENSG00000090339	ENST00000264832	ENSAMEP00000012406
ENSG00000138760	ENST00000264896	ENSAMEP00000012401
ENSG00000099250	ENST00000265371	ENSAMEP00000018325
ENSG00000082556	ENST00000265572	ENSAMEP00000000943
ENSG00000139193	ENST00000266557	ENSAMEP00000015246
ENSG00000139292	ENST00000266674	ENSAMEP00000000553
ENSG00000139572	ENST00000267015	ENSAMEP00000020392
ENSG00000065361	ENST00000267101	ENSAMEP00000003549
ENSG00000139636	ENST00000267102	ENSAMEP00000007255
ENSG00000139874	ENST00000267377	ENSAMEP00000019884
ENSG00000140443	ENST00000268035	ENSAMEP00000006007
ENSG00000140678	ENST00000268296	ENSAMEP00000007352
ENSG00000140749	ENST00000268389	ENSAMEP00000003641
ENSG00000141194	ENST00000268912	ENSAMEP00000020009
ENSG00000141458	ENST00000269228	ENSAMEP00000014619
ENSG00000141505	ENST00000269299	ENSAMEP00000017309
ENSG00000141655	ENST00000269485	ENSAMEP00000006603
ENSG00000141736	ENST00000269571	ENSAMEP00000010504
ENSG00000142166	ENST00000270139	ENSAMEP00000015778
ENSG00000187244	ENST00000270233	ENSAMEP00000013507
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSAMEP00000004935
ENSG00000143226	ENST00000271450	ENSAMEP00000001774
ENSG00000163518	ENST00000271532	ENSAMEP00000012633
ENSG00000144136	ENST00000272542	ENSAMEP00000011369
ENSG00000144407	ENST00000272847	ENSAMEP00000016168
ENSG00000144476	ENST00000272928	ENSAMEP00000020844
ENSG00000144820	ENST00000273352	ENSAMEP00000004112
ENSG00000145103	ENST00000273691	ENSAMEP00000015023
ENSG00000145242	ENST00000273854	ENSAMEP00000006705
ENSG00000145244	ENST00000273857	ENSAMEP00000003488
ENSG00000145451	ENST00000274093	ENSAMEP00000014899
ENSG00000145623	ENST00000274276	ENSAMEP00000018121
ENSG00000145863	ENST00000274545	ENSAMEP00000007100
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	ENSAMEP00000019573
ENSG00000146648	ENST00000275493	
ENSG00000146904	ENST00000275815	ENSAMEP00000007226
ENSG00000147138	ENST00000276077	ENSAMEP00000021225
ENSG00000147246	ENST00000276198	ENSAMEP00000001192
ENSG00000147262	ENST00000276218	ENSAMEP00000015668
ENSG00000147434	ENST00000276410	ENSAMEP00000005311
ENSG00000120889	ENST00000276431	
ENSG00000147650	ENST00000276654	ENSAMEP00000006028
ENSG00000148136	ENST00000277216	ENSAMEP00000020912
ENSG00000165204	ENST00000277309	ENSAMEP00000019783
ENSG00000148734	ENST00000277942	ENSAMEP00000018858
ENSG00000149534	ENST00000278888	ENSAMEP00000000507
ENSG00000150045	ENST00000279544	ENSAMEP00000004165
ENSG00000150086	ENST00000279593	ENSAMEP00000011214
ENSG00000150261	ENST00000279783	ENSAMEP00000019558
ENSG00000150269	ENST00000279791	ENSAMEP00000019574
ENSG00000150594	ENST00000280155	ENSAMEP00000016476
ENSG00000150637	ENST00000280200	ENSAMEP00000019431
ENSG00000150938	ENST00000280527	ENSAMEP00000018416
ENSG00000151490	ENST00000281171	ENSAMEP00000004021
ENSG00000116106	ENST00000281821	ENSAMEP00000008034
ENSG00000152207	ENST00000282018	ENSAMEP00000019681
ENSG00000152578	ENST00000282499	ENSAMEP00000000480
ENSG00000213949	ENST00000282588	ENSAMEP00000008136
ENSG00000153230	ENST00000283225	ENSAMEP00000014951
ENSG00000153233	ENST00000283228	ENSAMEP00000000635
ENSG00000153246	ENST00000283243	ENSAMEP00000000826
ENSG00000115221	ENST00000283249	ENSAMEP00000013317
ENSG00000153563	ENST00000283635	ENSAMEP00000010525
ENSG00000196119	ENST00000284287	ENSAMEP00000021076
ENSG00000154165	ENST00000284311	ENSAMEP00000020024
ENSG00000154309	ENST00000284476	ENSAMEP00000016322
ENSG00000154478	ENST00000284674	ENSAMEP00000010021
ENSG00000154639	ENST00000284878	ENSAMEP00000015306
ENSG00000155249	ENST00000285600	ENSAMEP00000020786
ENSG00000155511	ENST00000285900	ENSAMEP00000015206
ENSG00000155760	ENST00000286201	ENSAMEP00000020107
ENSG00000182578	ENST00000286301	ENSAMEP00000005444
ENSG00000157219	ENST00000287907	ENSAMEP00000001289
ENSG00000157240	ENST00000287934	ENSAMEP00000020345
ENSG00000157404	ENST00000288135	ENSAMEP00000019452
ENSG00000056736	ENST00000288167	ENSAMEP00000002534
ENSG00000173285	ENST00000289451	ENSAMEP00000020618
ENSG00000015520	ENST00000289547	ENSAMEP00000018705
ENSG00000158748	ENST00000289753	ENSAMEP00000003276
ENSG00000158869	ENST00000289902	ENSAMEP00000016306
ENSG00000147432	ENST00000289957	ENSAMEP00000005345
ENSG00000243646	ENST00000290200	ENSAMEP00000015801
ENSG00000159128	ENST00000290219	ENSAMEP00000015730
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSAMEP00000009836
ENSG00000160013	ENST00000291294	ENSAMEP00000009006
ENSG00000242019	ENST00000291860	ENSAMEP00000003386
ENSG00000189430	ENST00000291890	ENSAMEP00000003400
ENSG00000160683	ENST00000292174	ENSAMEP00000000056
ENSG00000121807	ENST00000292301	ENSAMEP00000020544
ENSG00000160951	ENST00000292513	ENSAMEP00000014188
ENSG00000161509	ENST00000293190	ENSAMEP00000009383
ENSG00000161638	ENST00000293379	ENSAMEP00000000970
ENSG00000161921	ENST00000293778	ENSAMEP00000017023
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	ENSAMEP00000001463
ENSG00000138039	ENST00000294954	ENSAMEP00000006936
ENSG00000153208	ENST00000295408	ENSAMEP00000017177
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSAMEP00000016958
ENSG00000163288	ENST00000295454	ENSAMEP00000003571
ENSG00000163394	ENST00000295589	ENSAMEP00000015517
ENSG00000054356	ENST00000295718	ENSAMEP00000017726
ENSG00000163702	ENST00000295981	ENSAMEP00000017096
ENSG00000163785	ENST00000296084	ENSAMEP00000003687
ENSG00000163823	ENST00000296140	ENSAMEP00000020491
ENSG00000082781	ENST00000296181	ENSAMEP00000004705
ENSG00000163914	ENST00000296271	ENSAMEP00000004699
ENSG00000164078	ENST00000296474	ENSAMEP00000012758
ENSG00000120251	ENST00000296526	ENSAMEP00000015009
ENSG00000164128	ENST00000296533	ENSAMEP00000015475
ENSG00000164171	ENST00000296585	ENSAMEP00000008203
ENSG00000164220	ENST00000296641	ENSAMEP00000001895
ENSG00000164251	ENST00000296677	ENSAMEP00000001903
ENSG00000164342	ENST00000296795	ENSAMEP00000005478
ENSG00000146072	ENST00000296861	ENSAMEP00000001630
ENSG00000164393	ENST00000296862	ENSAMEP00000001577
ENSG00000165202	ENST00000297913	ENSAMEP00000020022
ENSG00000165370	ENST00000298110	ENSAMEP00000020225
ENSG00000133105	ENST00000298386	ENSAMEP00000009201
ENSG00000165621	ENST00000298440	ENSAMEP00000021171
ENSG00000165682	ENST00000298527	ENSAMEP00000004137
ENSG00000165762	ENST00000298642	ENSAMEP00000019763
ENSG00000166073	ENST00000299092	ENSAMEP00000018211
ENSG00000166148	ENST00000299178	ENSAMEP00000010272
ENSG00000166363	ENST00000299454	ENSAMEP00000020193
ENSG00000166368	ENST00000299459	ENSAMEP00000019973
ENSG00000169684	ENST00000299565	ENSAMEP00000013411
ENSG00000166573	ENST00000299727	ENSAMEP00000003239
ENSG00000166603	ENST00000299766	ENSAMEP00000020252
ENSG00000166682	ENST00000299882	ENSAMEP00000006461
ENSG00000166825	ENST00000300060	ENSAMEP00000002771
ENSG00000166856	ENST00000300098	ENSAMEP00000020434
ENSG00000166884	ENST00000300127	ENSAMEP00000019674
ENSG00000167286	ENST00000300692	ENSAMEP00000013860
ENSG00000242180	ENST00000300773	ENSAMEP00000020196
ENSG00000167360	ENST00000300778	ENSAMEP00000020132
ENSG00000167601	ENST00000301178	ENSAMEP00000012415
ENSG00000167822	ENST00000301529	ENSAMEP00000019561
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSAMEP00000019678
ENSG00000117090	ENST00000302035	ENSAMEP00000014886
ENSG00000172324	ENST00000302040	ENSAMEP00000019684
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	ENSAMEP00000021042
ENSG00000172208	ENST00000302329	ENSAMEP00000016106
ENSG00000171522	ENST00000302472	ENSAMEP00000016305
ENSG00000171657	ENST00000302548	ENSAMEP00000020603
ENSG00000172362	ENST00000302572	ENSAMEP00000019710
ENSG00000172365	ENST00000302581	ENSAMEP00000020549
ENSG00000197887	ENST00000302592	ENSAMEP00000015437
ENSG00000172377	ENST00000302610	ENSAMEP00000021083
ENSG00000197532	ENST00000302617	ENSAMEP00000019630
ENSG00000172381	ENST00000302622	ENSAMEP00000021080
ENSG00000169313	ENST00000302632	ENSAMEP00000020148
ENSG00000150995	ENST00000302640	ENSAMEP00000016945
ENSG00000171133	ENST00000302681	ENSAMEP00000020958
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSAMEP00000008683
ENSG00000169992	ENST00000302926	
ENSG00000172457	ENST00000302957	ENSAMEP00000021068
ENSG00000172459	ENST00000302969	ENSAMEP00000001689
ENSG00000172464	ENST00000302981	ENSAMEP00000019598
ENSG00000172487	ENST00000303039	ENSAMEP00000019561
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSAMEP00000002681
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	
ENSG00000169604	ENST00000303714	ENSAMEP00000014854
ENSG00000169618	ENST00000303786	ENSAMEP00000000419
ENSG00000170775	ENST00000303921	ENSAMEP00000015857
ENSG00000172243	ENST00000304084	ENSAMEP00000004109
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSAMEP00000007301
ENSG00000170425	ENST00000304222	ENSAMEP00000004806
ENSG00000170128	ENST00000304244	ENSAMEP00000013205
ENSG00000172322	ENST00000304361	ENSAMEP00000004151
ENSG00000169676	ENST00000304374	ENSAMEP00000020482
ENSG00000172209	ENST00000304402	ENSAMEP00000020079
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	ENSAMEP00000006840
ENSG00000171459	ENST00000304720	
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSAMEP00000020697
ENSG00000171484	ENST00000304833	ENSAMEP00000020051
ENSG00000171505	ENST00000304880	ENSAMEP00000020639
ENSG00000169836	ENST00000304883	
ENSG00000168158	ENST00000304936	ENSAMEP00000019855
ENSG00000169484	ENST00000305045	ENSAMEP00000008043
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	ENSAMEP00000020177
ENSG00000171596	ENST00000305141	ENSAMEP00000017195
ENSG00000171561	ENST00000305159	ENSAMEP00000021340
ENSG00000115353	ENST00000305249	ENSAMEP00000018030
ENSG00000168830	ENST00000305344	ENSAMEP00000021266
ENSG00000170989	ENST00000305352	ENSAMEP00000019878
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSAMEP00000005605
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	ENSAMEP00000021176
ENSG00000168229	ENST00000306051	ENSAMEP00000002099
ENSG00000157193	ENST00000306052	ENSAMEP00000010106
ENSG00000170175	ENST00000306071	ENSAMEP00000017659
ENSG00000170214	ENST00000306675	ENSAMEP00000006907
ENSG00000170953	ENST00000306842	ENSAMEP00000021074
ENSG00000169006	ENST00000306928	ENSAMEP00000013512
ENSG00000168539	ENST00000306960	ENSAMEP00000021312
ENSG00000171014	ENST00000307033	ENSAMEP00000020052
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSAMEP00000005365
ENSG00000170790	ENST00000307322	ENSAMEP00000020193
ENSG00000172289	ENST00000307552	ENSAMEP00000020355
ENSG00000196778	ENST00000307632	ENSAMEP00000015906
ENSG00000171860	ENST00000307637	ENSAMEP00000020064
ENSG00000171509	ENST00000307765	ENSAMEP00000002423
ENSG00000174339	ENST00000307832	
ENSG00000174667	ENST00000308682	ENSAMEP00000020732
ENSG00000056291	ENST00000308744	ENSAMEP00000007327
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	ENSAMEP00000019545
ENSG00000174125	ENST00000308979	ENSAMEP00000019539
ENSG00000196099	ENST00000309154	ENSAMEP00000021334
ENSG00000174944	ENST00000309170	ENSAMEP00000020118
ENSG00000174946	ENST00000309180	ENSAMEP00000020092
ENSG00000173578	ENST00000309285	ENSAMEP00000020451
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	ENSAMEP00000015437
ENSG00000163485	ENST00000309502	ENSAMEP00000012972
ENSG00000173391	ENST00000309539	ENSAMEP00000004095
ENSG00000175619	ENST00000309562	ENSAMEP00000019767
ENSG00000173679	ENST00000309623	ENSAMEP00000017056
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSAMEP00000004589
ENSG00000173302	ENST00000309926	ENSAMEP00000011078
ENSG00000174343	ENST00000310169	ENSAMEP00000010167
ENSG00000197376	ENST00000310194	ENSAMEP00000004768
ENSG00000173612	ENST00000310357	ENSAMEP00000006153
ENSG00000088053	ENST00000310373	ENSAMEP00000003469
ENSG00000121716	ENST00000310771	ENSAMEP00000015876
ENSG00000173250	ENST00000311104	ENSAMEP00000020069
ENSG00000228567	ENST00000311170	ENSAMEP00000021281
ENSG00000066294	ENST00000311224	ENSAMEP00000014897
ENSG00000250510	ENST00000311268	ENSAMEP00000014792
ENSG00000175485	ENST00000311352	ENSAMEP00000021251
ENSG00000173567	ENST00000311519	ENSAMEP00000002386
ENSG00000166206	ENST00000311550	ENSAMEP00000005944
ENSG00000174837	ENST00000312053	ENSAMEP00000004198
ENSG00000174600	ENST00000312143	ENSAMEP00000019839
ENSG00000174942	ENST00000312253	ENSAMEP00000001681
ENSG00000110195	ENST00000312293	ENSAMEP00000005997
ENSG00000174957	ENST00000312298	ENSAMEP00000019551
ENSG00000174970	ENST00000312345	ENSAMEP00000021034
ENSG00000174982	ENST00000312422	ENSAMEP00000021298
ENSG00000175514	ENST00000312457	ENSAMEP00000000950
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	ENSAMEP00000016466
ENSG00000181689	ENST00000312711	ENSAMEP00000021053
ENSG00000181693	ENST00000313022	ENSAMEP00000021043
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	ENSAMEP00000001221
ENSG00000176200	ENST00000313253	ENSAMEP00000004210
ENSG00000013725	ENST00000313421	ENSAMEP00000007942
ENSG00000181752	ENST00000313447	ENSAMEP00000019555
ENSG00000181761	ENST00000313472	ENSAMEP00000021043
ENSG00000181767	ENST00000313503	ENSAMEP00000021043
ENSG00000181785	ENST00000313555	ENSAMEP00000021039
ENSG00000177675	ENST00000313599	ENSAMEP00000014169
ENSG00000176495	ENST00000313940	ENSAMEP00000019651
ENSG00000179546	ENST00000314113	ENSAMEP00000021272
ENSG00000179817	ENST00000314254	
ENSG00000178789	ENST00000314401	ENSAMEP00000001439
ENSG00000181927	ENST00000314612	ENSAMEP00000021230
ENSG00000181939	ENST00000314644	ENSAMEP00000020031
ENSG00000181958	ENST00000314706	ENSAMEP00000020072
ENSG00000181961	ENST00000314721	ENSAMEP00000020087
ENSG00000180708	ENST00000314902	ENSAMEP00000020810
ENSG00000181656	ENST00000315033	ENSAMEP00000019934
ENSG00000180340	ENST00000315323	ENSAMEP00000019417
ENSG00000150048	ENST00000315330	ENSAMEP00000004111
ENSG00000176198	ENST00000315409	
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSAMEP00000005396
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	ENSAMEP00000014846
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	
ENSG00000244623	ENST00000316368	ENSAMEP00000020517
ENSG00000180919	ENST00000316529	ENSAMEP00000019917
ENSG00000180934	ENST00000316650	ENSAMEP00000019946
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	ENSAMEP00000013015
ENSG00000180988	ENST00000317037	ENSAMEP00000020424
ENSG00000181001	ENST00000317078	ENSAMEP00000013884
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSAMEP00000019653
ENSG00000181074	ENST00000317254	
ENSG00000161649	ENST00000317310	ENSAMEP00000019351
ENSG00000177151	ENST00000317450	ENSAMEP00000020648
ENSG00000168995	ENST00000317643	ENSAMEP00000014990
ENSG00000175898	ENST00000317726	ENSAMEP00000020713
ENSG00000180245	ENST00000317735	ENSAMEP00000004855
ENSG00000178358	ENST00000317834	ENSAMEP00000020411
ENSG00000177174	ENST00000317861	ENSAMEP00000013895
ENSG00000177186	ENST00000317965	ENSAMEP00000020487
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	ENSAMEP00000001414
ENSG00000178084	ENST00000318351	ENSAMEP00000018291
ENSG00000105976	ENST00000318493	ENSAMEP00000001400
ENSG00000197309	ENST00000318666	ENSAMEP00000020602
ENSG00000177535	ENST00000318749	ENSAMEP00000019646
ENSG00000181104	ENST00000319211	ENSAMEP00000019654
ENSG00000177663	ENST00000319363	ENSAMEP00000004236
ENSG00000179097	ENST00000319595	ENSAMEP00000020800
ENSG00000221840	ENST00000319760	ENSAMEP00000020087
ENSG00000176540	ENST00000319813	
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	ENSAMEP00000016102
ENSG00000176555	ENST00000319988	ENSAMEP00000020095
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	ENSAMEP00000020101
