ENSG00000003056	ENST00000000412	ENSLAFP00000008884
ENSG00000110324	ENST00000227752	ENSLAFP00000007348
ENSG00000110848	ENST00000228434	ENSLAFP00000006953
ENSG00000111291	ENST00000228887	ENSLAFP00000012976
ENSG00000111432	ENST00000229030	ENSLAFP00000022990
ENSG00000111796	ENST00000229402	
ENSG00000204252	ENST00000229829	ENSLAFP00000012445
ENSG00000112459	ENST00000230221	
ENSG00000112964	ENST00000230882	ENSLAFP00000028996
ENSG00000113070	ENST00000230990	ENSLAFP00000007213
ENSG00000113262	ENST00000231188	ENSLAFP00000016980
ENSG00000115602	ENST00000233954	ENSLAFP00000006551
ENSG00000116014	ENST00000234371	ENSLAFP00000021297
ENSG00000116032	ENST00000234389	
ENSG00000116329	ENST00000234961	ENSLAFP00000014435
ENSG00000119686	ENST00000238667	ENSLAFP00000012120
ENSG00000119973	ENST00000239032	
ENSG00000120586	ENST00000239761	ENSLAFP00000029146
ENSG00000120659	ENST00000239849	ENSLAFP00000009410
ENSG00000213809	ENST00000240618	
ENSG00000121853	ENST00000241256	ENSLAFP00000014492
ENSG00000121989	ENST00000241416	ENSLAFP00000002198
ENSG00000122025	ENST00000241453	ENSLAFP00000013080
ENSG00000122679	ENST00000242249	ENSLAFP00000004103
ENSG00000123146	ENST00000242786	ENSLAFP00000008802
ENSG00000123384	ENST00000243077	ENSLAFP00000005024
ENSG00000123612	ENST00000243349	ENSLAFP00000017776
ENSG00000123901	ENST00000243673	ENSLAFP00000028810
ENSG00000124089	ENST00000243911	ENSLAFP00000004993
ENSG00000124334	ENST00000244174	ENSLAFP00000017377
ENSG00000124557	ENST00000244513	ENSLAFP00000005633
ENSG00000124657	ENST00000244623	ENSLAFP00000022494
ENSG00000124731	ENST00000244709	
ENSG00000125384	ENST00000245457	ENSLAFP00000027352
ENSG00000125810	ENST00000246006	ENSLAFP00000026518
ENSG00000125910	ENST00000246115	ENSLAFP00000029087
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	ENSLAFP00000025202
ENSG00000126266	ENST00000246553	ENSLAFP00000024674
ENSG00000126353	ENST00000246657	ENSLAFP00000016989
ENSG00000127364	ENST00000247881	ENSLAFP00000013856
ENSG00000127515	ENST00000248058	ENSLAFP00000001858
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	ENSLAFP00000024652
ENSG00000127533	ENST00000248076	ENSLAFP00000022033
ENSG00000127780	ENST00000248384	
ENSG00000128285	ENST00000249016	ENSLAFP00000002789
ENSG00000128310	ENST00000249041	ENSLAFP00000010092
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSLAFP00000011156
ENSG00000128617	ENST00000249389	ENSLAFP00000003175
ENSG00000129048	ENST00000249887	ENSLAFP00000012309
ENSG00000129749	ENST00000250699	ENSLAFP00000010915
ENSG00000130164	ENST00000252444	ENSLAFP00000000302
ENSG00000130202	ENST00000252483	ENSLAFP00000010919
ENSG00000130234	ENST00000252519	ENSLAFP00000009226
ENSG00000130368	ENST00000252660	ENSLAFP00000018005
ENSG00000130529	ENST00000252826	ENSLAFP00000017314
ENSG00000130538	ENST00000252835	ENSLAFP00000025471
ENSG00000131355	ENST00000253673	ENSLAFP00000014842
ENSG00000131477	ENST00000253796	ENSLAFP00000018777
ENSG00000132329	ENST00000254661	ENSLAFP00000005432
ENSG00000132334	ENST00000254667	ENSLAFP00000007111
ENSG00000132517	ENST00000254853	ENSLAFP00000028187
ENSG00000132518	ENST00000254854	ENSLAFP00000005331
ENSG00000132671	ENST00000255008	ENSLAFP00000024396
ENSG00000132911	ENST00000255262	ENSLAFP00000021752
ENSG00000133019	ENST00000255380	ENSLAFP00000023283
ENSG00000133800	ENST00000256178	ENSLAFP00000011633
ENSG00000134061	ENST00000256447	ENSLAFP00000006220
ENSG00000134243	ENST00000256637	ENSLAFP00000014375
ENSG00000134250	ENST00000256646	ENSLAFP00000025617
ENSG00000134489	ENST00000256906	ENSLAFP00000003331
ENSG00000134640	ENST00000257068	ENSLAFP00000023369
ENSG00000134817	ENST00000257254	ENSLAFP00000023738
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSLAFP00000009035
ENSG00000135409	ENST00000257863	ENSLAFP00000015127
ENSG00000135424	ENST00000257879	ENSLAFP00000028108
ENSG00000135577	ENST00000258042	ENSLAFP00000005116
ENSG00000135902	ENST00000258385	
ENSG00000135914	ENST00000258400	ENSLAFP00000008815
ENSG00000135960	ENST00000258443	ENSLAFP00000000634
ENSG00000135973	ENST00000258456	ENSLAFP00000008643
ENSG00000136040	ENST00000258526	ENSLAFP00000014921
ENSG00000136928	ENST00000259455	ENSLAFP00000000504
ENSG00000136960	ENST00000259486	ENSLAFP00000021059
ENSG00000137332	ENST00000259875	
ENSG00000137462	ENST00000260010	ENSLAFP00000028555
ENSG00000149305	ENST00000260191	ENSLAFP00000006368
ENSG00000137642	ENST00000260197	ENSLAFP00000007621
ENSG00000138271	ENST00000260843	ENSLAFP00000000028
ENSG00000138435	ENST00000261007	ENSLAFP00000009262
ENSG00000138448	ENST00000261023	ENSLAFP00000003640
ENSG00000069431	ENST00000261200	ENSLAFP00000004063
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSLAFP00000014083
ENSG00000240505	ENST00000261652	ENSLAFP00000021914
ENSG00000111452	ENST00000261654	ENSLAFP00000000606
ENSG00000073060	ENST00000261693	ENSLAFP00000015339
ENSG00000117971	ENST00000261751	ENSLAFP00000010759
ENSG00000113721	ENST00000261799	ENSLAFP00000014108
ENSG00000067141	ENST00000261908	ENSLAFP00000008665
ENSG00000037280	ENST00000261937	ENSLAFP00000007377
ENSG00000038945	ENST00000262101	ENSLAFP00000014235
ENSG00000106018	ENST00000262178	ENSLAFP00000002794
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSLAFP00000000008
ENSG00000005961	ENST00000262407	ENSLAFP00000003562
ENSG00000065325	ENST00000262441	ENSLAFP00000009071
ENSG00000075275	ENST00000262738	ENSLAFP00000027788
ENSG00000105737	ENST00000262895	ENSLAFP00000006500
ENSG00000088812	ENST00000262919	ENSLAFP00000008097
ENSG00000083457	ENST00000263087	ENSLAFP00000017754
ENSG00000105464	ENST00000263269	ENSLAFP00000000600
ENSG00000010310	ENST00000263281	ENSLAFP00000028495
ENSG00000109991	ENST00000263314	ENSLAFP00000003390
ENSG00000104998	ENST00000263379	ENSLAFP00000004415
ENSG00000113594	ENST00000263409	ENSLAFP00000007596
ENSG00000054219	ENST00000263636	ENSLAFP00000008511
ENSG00000115170	ENST00000263640	ENSLAFP00000019389
ENSG00000092445	ENST00000263798	ENSLAFP00000014919
ENSG00000062524	ENST00000263800	ENSLAFP00000014901
ENSG00000081479	ENST00000263816	ENSLAFP00000011440
ENSG00000128052	ENST00000263923	ENSLAFP00000012108
ENSG00000120949	ENST00000263932	ENSLAFP00000007087
ENSG00000110400	ENST00000264025	ENSLAFP00000020903
ENSG00000121594	ENST00000264246	ENSLAFP00000027641
ENSG00000115598	ENST00000264257	ENSLAFP00000010610
ENSG00000109158	ENST00000264318	ENSLAFP00000016765
ENSG00000125675	ENST00000264357	ENSLAFP00000009753
ENSG00000109738	ENST00000264428	ENSLAFP00000009176
ENSG00000108797	ENST00000264638	ENSLAFP00000008725
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSLAFP00000007451
ENSG00000099250	ENST00000265371	ENSLAFP00000002520
ENSG00000082556	ENST00000265572	ENSLAFP00000018591
ENSG00000139193	ENST00000266557	ENSLAFP00000017334
ENSG00000139292	ENST00000266674	ENSLAFP00000004874
ENSG00000139572	ENST00000267015	ENSLAFP00000026183
ENSG00000065361	ENST00000267101	ENSLAFP00000012397
ENSG00000139636	ENST00000267102	ENSLAFP00000008390
ENSG00000139874	ENST00000267377	ENSLAFP00000017646
ENSG00000140443	ENST00000268035	ENSLAFP00000025575
ENSG00000140678	ENST00000268296	ENSLAFP00000008494
ENSG00000140749	ENST00000268389	ENSLAFP00000022957
ENSG00000141194	ENST00000268912	ENSLAFP00000025657
ENSG00000141458	ENST00000269228	ENSLAFP00000016449
ENSG00000141505	ENST00000269299	ENSLAFP00000015620
ENSG00000141655	ENST00000269485	ENSLAFP00000003287
ENSG00000141736	ENST00000269571	ENSLAFP00000000238
ENSG00000142166	ENST00000270139	ENSLAFP00000011759
ENSG00000187244	ENST00000270233	ENSLAFP00000012463
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSLAFP00000024358
ENSG00000143226	ENST00000271450	
ENSG00000163518	ENST00000271532	ENSLAFP00000011209
ENSG00000144136	ENST00000272542	ENSLAFP00000007604
ENSG00000144407	ENST00000272847	ENSLAFP00000008365
ENSG00000144476	ENST00000272928	ENSLAFP00000002577
ENSG00000144820	ENST00000273352	ENSLAFP00000010431
ENSG00000145103	ENST00000273691	ENSLAFP00000012796
ENSG00000145242	ENST00000273854	ENSLAFP00000008794
ENSG00000145451	ENST00000274093	ENSLAFP00000008355
ENSG00000145623	ENST00000274276	ENSLAFP00000003577
ENSG00000145863	ENST00000274545	ENSLAFP00000014187
ENSG00000146360	ENST00000275169	ENSLAFP00000023536
ENSG00000146399	ENST00000275216	ENSLAFP00000007517
ENSG00000146648	ENST00000275493	ENSLAFP00000012058
ENSG00000146904	ENST00000275815	ENSLAFP00000027831
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	ENSLAFP00000002757
ENSG00000147262	ENST00000276218	ENSLAFP00000022321
ENSG00000147434	ENST00000276410	ENSLAFP00000022166
ENSG00000120889	ENST00000276431	ENSLAFP00000006097
ENSG00000147650	ENST00000276654	ENSLAFP00000006979
ENSG00000148136	ENST00000277216	ENSLAFP00000020270
ENSG00000165204	ENST00000277309	ENSLAFP00000004060
ENSG00000148734	ENST00000277942	ENSLAFP00000003379
ENSG00000149534	ENST00000278888	
ENSG00000150045	ENST00000279544	ENSLAFP00000005502
ENSG00000150086	ENST00000279593	ENSLAFP00000020115
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	ENSLAFP00000022800
ENSG00000150637	ENST00000280200	ENSLAFP00000011136
ENSG00000150938	ENST00000280527	ENSLAFP00000012686
ENSG00000151490	ENST00000281171	ENSLAFP00000013678
ENSG00000116106	ENST00000281821	ENSLAFP00000009244
ENSG00000152207	ENST00000282018	ENSLAFP00000018314
ENSG00000152208	ENST00000282020	ENSLAFP00000010446
ENSG00000152578	ENST00000282499	ENSLAFP00000009182
ENSG00000213949	ENST00000282588	ENSLAFP00000012598
ENSG00000153230	ENST00000283225	ENSLAFP00000027566
ENSG00000153233	ENST00000283228	ENSLAFP00000004018
ENSG00000115221	ENST00000283249	ENSLAFP00000001550
ENSG00000153563	ENST00000283635	ENSLAFP00000003269
ENSG00000154165	ENST00000284311	ENSLAFP00000002334
ENSG00000154309	ENST00000284476	ENSLAFP00000020488
ENSG00000154478	ENST00000284674	ENSLAFP00000016732
ENSG00000154639	ENST00000284878	ENSLAFP00000005969
ENSG00000155249	ENST00000285600	ENSLAFP00000018713
ENSG00000155511	ENST00000285900	ENSLAFP00000011434
ENSG00000155760	ENST00000286201	ENSLAFP00000025453
ENSG00000182578	ENST00000286301	ENSLAFP00000014093
ENSG00000157219	ENST00000287907	ENSLAFP00000000686
ENSG00000157240	ENST00000287934	ENSLAFP00000024277
ENSG00000157404	ENST00000288135	ENSLAFP00000017394
ENSG00000056736	ENST00000288167	ENSLAFP00000009328
ENSG00000015520	ENST00000289547	ENSLAFP00000015250
ENSG00000158748	ENST00000289753	ENSLAFP00000029130
ENSG00000158869	ENST00000289902	ENSLAFP00000021012
ENSG00000147432	ENST00000289957	ENSLAFP00000025798
ENSG00000243646	ENST00000290200	ENSLAFP00000011753
ENSG00000159128	ENST00000290219	ENSLAFP00000022000
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSLAFP00000024433
ENSG00000160013	ENST00000291294	ENSLAFP00000017613
ENSG00000242019	ENST00000291860	ENSLAFP00000028380
ENSG00000189430	ENST00000291890	ENSLAFP00000014886
ENSG00000160683	ENST00000292174	
ENSG00000121807	ENST00000292301	ENSLAFP00000024662
ENSG00000160951	ENST00000292513	ENSLAFP00000022560
ENSG00000161509	ENST00000293190	
ENSG00000161638	ENST00000293379	ENSLAFP00000011603
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSLAFP00000026708
ENSG00000108556	ENST00000293780	ENSLAFP00000025737
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSLAFP00000009250
ENSG00000153208	ENST00000295408	ENSLAFP00000013933
ENSG00000163251	ENST00000295417	ENSLAFP00000019467
ENSG00000163285	ENST00000295452	ENSLAFP00000003363
ENSG00000163288	ENST00000295454	ENSLAFP00000028449
ENSG00000163394	ENST00000295589	ENSLAFP00000000241
ENSG00000163464	ENST00000295683	ENSLAFP00000027016
ENSG00000054356	ENST00000295718	ENSLAFP00000007599
ENSG00000163702	ENST00000295981	ENSLAFP00000025148
ENSG00000163785	ENST00000296084	ENSLAFP00000013771
ENSG00000163823	ENST00000296140	ENSLAFP00000026168
ENSG00000082781	ENST00000296181	ENSLAFP00000001449
ENSG00000163914	ENST00000296271	ENSLAFP00000001142
ENSG00000164078	ENST00000296474	ENSLAFP00000005642
ENSG00000120251	ENST00000296526	ENSLAFP00000021901
ENSG00000164128	ENST00000296533	ENSLAFP00000001493
ENSG00000164171	ENST00000296585	ENSLAFP00000015263
ENSG00000164220	ENST00000296641	ENSLAFP00000027423
ENSG00000164251	ENST00000296677	ENSLAFP00000001084
ENSG00000164342	ENST00000296795	ENSLAFP00000014729
ENSG00000146072	ENST00000296861	ENSLAFP00000013375
ENSG00000164393	ENST00000296862	ENSLAFP00000001058
ENSG00000165202	ENST00000297913	ENSLAFP00000009941
ENSG00000165370	ENST00000298110	ENSLAFP00000024781
ENSG00000133105	ENST00000298386	ENSLAFP00000010498
ENSG00000165621	ENST00000298440	ENSLAFP00000004139
ENSG00000165682	ENST00000298527	ENSLAFP00000010105
ENSG00000166073	ENST00000299092	ENSLAFP00000013106
ENSG00000166148	ENST00000299178	ENSLAFP00000005037
ENSG00000169684	ENST00000299565	ENSLAFP00000010746
ENSG00000166573	ENST00000299727	ENSLAFP00000020226
ENSG00000166603	ENST00000299766	ENSLAFP00000016384
ENSG00000166682	ENST00000299882	
ENSG00000166825	ENST00000300060	ENSLAFP00000008878
ENSG00000166856	ENST00000300098	ENSLAFP00000004107
ENSG00000166884	ENST00000300127	ENSLAFP00000026979
ENSG00000167601	ENST00000301178	ENSLAFP00000025118
ENSG00000172320	ENST00000302030	ENSLAFP00000027691
ENSG00000117090	ENST00000302035	ENSLAFP00000006961
ENSG00000172324	ENST00000302040	
ENSG00000172199	ENST00000302270	
ENSG00000171522	ENST00000302472	ENSLAFP00000014908
ENSG00000171657	ENST00000302548	ENSLAFP00000005837
ENSG00000172362	ENST00000302572	ENSLAFP00000017565
ENSG00000172365	ENST00000302581	ENSLAFP00000021119
ENSG00000172377	ENST00000302610	ENSLAFP00000026009
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	
ENSG00000169313	ENST00000302632	ENSLAFP00000017087
ENSG00000150995	ENST00000302640	ENSLAFP00000002469
ENSG00000171133	ENST00000302681	ENSLAFP00000023327
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSLAFP00000026285
ENSG00000169992	ENST00000302926	ENSLAFP00000012504
ENSG00000172459	ENST00000302969	
ENSG00000168685	ENST00000303115	ENSLAFP00000010816
ENSG00000168131	ENST00000303324	ENSLAFP00000026805
ENSG00000169604	ENST00000303714	ENSLAFP00000017405
ENSG00000169618	ENST00000303786	ENSLAFP00000010032
ENSG00000170775	ENST00000303921	ENSLAFP00000013171
ENSG00000172243	ENST00000304084	ENSLAFP00000002963
ENSG00000172148	ENST00000304105	ENSLAFP00000001858
ENSG00000078549	ENST00000304166	ENSLAFP00000013794
ENSG00000170425	ENST00000304222	ENSLAFP00000017971
ENSG00000170128	ENST00000304244	ENSLAFP00000024650
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSLAFP00000024493
ENSG00000172209	ENST00000304402	ENSLAFP00000021433
ENSG00000170837	ENST00000304411	ENSLAFP00000019393
ENSG00000169327	ENST00000304418	ENSLAFP00000024222
ENSG00000171051	ENST00000304748	ENSLAFP00000001400
ENSG00000171484	ENST00000304833	ENSLAFP00000019527
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	ENSLAFP00000008137
ENSG00000168158	ENST00000304936	ENSLAFP00000022061
ENSG00000169484	ENST00000305045	ENSLAFP00000002903
ENSG00000169860	ENST00000305097	ENSLAFP00000027984
ENSG00000171596	ENST00000305141	
ENSG00000171561	ENST00000305159	ENSLAFP00000016375
ENSG00000115353	ENST00000305249	ENSLAFP00000013066
ENSG00000168830	ENST00000305344	ENSLAFP00000026914
ENSG00000170989	ENST00000305352	
ENSG00000170920	ENST00000305444	
ENSG00000168758	ENST00000305476	ENSLAFP00000011796
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSLAFP00000025088
ENSG00000169252	ENST00000305988	ENSLAFP00000021319
ENSG00000168229	ENST00000306051	ENSLAFP00000029366
ENSG00000157193	ENST00000306052	ENSLAFP00000010291
ENSG00000170175	ENST00000306071	ENSLAFP00000016705
ENSG00000170214	ENST00000306675	ENSLAFP00000013569
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	ENSLAFP00000018916
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000172289	ENST00000307552	ENSLAFP00000019462
ENSG00000171860	ENST00000307637	ENSLAFP00000002482
ENSG00000171509	ENST00000307765	ENSLAFP00000012093
ENSG00000163606	ENST00000308611	
ENSG00000056291	ENST00000308744	ENSLAFP00000007094
ENSG00000172519	ENST00000308940	ENSLAFP00000025088
ENSG00000174123	ENST00000308973	ENSLAFP00000018536
ENSG00000174125	ENST00000308979	ENSLAFP00000007179
ENSG00000172938	ENST00000309106	ENSLAFP00000008428
ENSG00000196099	ENST00000309154	ENSLAFP00000018595
ENSG00000174944	ENST00000309170	ENSLAFP00000000027
ENSG00000174946	ENST00000309180	ENSLAFP00000018494
ENSG00000173578	ENST00000309285	
ENSG00000163485	ENST00000309502	ENSLAFP00000001063
ENSG00000173391	ENST00000309539	ENSLAFP00000002965
ENSG00000175619	ENST00000309562	
ENSG00000173679	ENST00000309623	ENSLAFP00000023520
ENSG00000175398	ENST00000309675	ENSLAFP00000026461
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSLAFP00000000149
ENSG00000173612	ENST00000310357	ENSLAFP00000002884
ENSG00000088053	ENST00000310373	ENSLAFP00000001439
ENSG00000121716	ENST00000310771	ENSLAFP00000029074
ENSG00000173250	ENST00000311104	ENSLAFP00000017828
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSLAFP00000024612
ENSG00000250510	ENST00000311268	ENSLAFP00000017268
ENSG00000175485	ENST00000311352	ENSLAFP00000014858
ENSG00000173567	ENST00000311519	ENSLAFP00000004408
ENSG00000166206	ENST00000311550	ENSLAFP00000001669
ENSG00000186513	ENST00000311591	ENSLAFP00000012254
ENSG00000174837	ENST00000312053	ENSLAFP00000004019
ENSG00000174600	ENST00000312143	ENSLAFP00000015622
ENSG00000174937	ENST00000312240	ENSLAFP00000004490
ENSG00000174942	ENST00000312253	ENSLAFP00000028456
ENSG00000110195	ENST00000312293	ENSLAFP00000005149
ENSG00000174957	ENST00000312298	ENSLAFP00000000283
ENSG00000174982	ENST00000312422	ENSLAFP00000019843
ENSG00000175514	ENST00000312457	
ENSG00000226288	ENST00000312614	ENSLAFP00000016099
ENSG00000173762	ENST00000312648	ENSLAFP00000026233
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	
ENSG00000013725	ENST00000313421	ENSLAFP00000007405
ENSG00000177675	ENST00000313599	ENSLAFP00000015301
ENSG00000176495	ENST00000313940	ENSLAFP00000023985
ENSG00000179546	ENST00000314113	ENSLAFP00000017797
ENSG00000179817	ENST00000314254	
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	ENSLAFP00000020840
ENSG00000181958	ENST00000314706	
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	ENSLAFP00000027775
ENSG00000150048	ENST00000315330	ENSLAFP00000002960
ENSG00000180658	ENST00000315453	
ENSG00000127507	ENST00000315576	ENSLAFP00000003220
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	ENSLAFP00000015514
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	ENSLAFP00000015588
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	ENSLAFP00000021054
ENSG00000180914	ENST00000316793	ENSLAFP00000026954
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	ENSLAFP00000019801
ENSG00000161649	ENST00000317310	ENSLAFP00000013743
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	ENSLAFP00000021553
ENSG00000180245	ENST00000317735	ENSLAFP00000007851
ENSG00000178358	ENST00000317834	ENSLAFP00000023809
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	ENSLAFP00000023847
ENSG00000178084	ENST00000318351	ENSLAFP00000025033
ENSG00000105976	ENST00000318493	ENSLAFP00000009780
ENSG00000180871	ENST00000318507	ENSLAFP00000025888
ENSG00000197309	ENST00000318666	ENSLAFP00000020145
ENSG00000177535	ENST00000318749	
ENSG00000179055	ENST00000318763	ENSLAFP00000005305
ENSG00000181104	ENST00000319211	ENSLAFP00000028801
ENSG00000177663	ENST00000319363	ENSLAFP00000005874
ENSG00000179097	ENST00000319595	ENSLAFP00000028153
ENSG00000176540	ENST00000319813	ENSLAFP00000003820
ENSG00000178623	ENST00000319838	ENSLAFP00000027723
ENSG00000176547	ENST00000319856	ENSLAFP00000022760
ENSG00000177462	ENST00000319968	
ENSG00000177476	ENST00000320002	ENSLAFP00000023889
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	ENSLAFP00000022374
ENSG00000181803	ENST00000320704	ENSLAFP00000020695
ENSG00000176269	ENST00000320901	ENSLAFP00000027830
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSLAFP00000017760
ENSG00000181499	ENST00000321252	ENSLAFP00000029198
ENSG00000176742	ENST00000321255	ENSLAFP00000024663
ENSG00000176787	ENST00000321522	ENSLAFP00000028419
ENSG00000176798	ENST00000321543	ENSLAFP00000008051
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	ENSLAFP00000016314
ENSG00000176879	ENST00000321961	ENSLAFP00000024537
ENSG00000176893	ENST00000322013	ENSLAFP00000017822
ENSG00000176904	ENST00000322059	ENSLAFP00000024686
ENSG00000176922	ENST00000322101	ENSLAFP00000027662
ENSG00000176231	ENST00000322107	
ENSG00000176925	ENST00000322110	ENSLAFP00000024278
ENSG00000180929	ENST00000322241	ENSLAFP00000022007
ENSG00000188269	ENST00000322301	ENSLAFP00000001858
ENSG00000180016	ENST00000322608	
ENSG00000181616	ENST00000322653	ENSLAFP00000017902
ENSG00000179695	ENST00000322678	ENSLAFP00000027498
ENSG00000117335	ENST00000322875	ENSLAFP00000000003
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSLAFP00000010272
ENSG00000178394	ENST00000323865	ENSLAFP00000018340
ENSG00000181733	ENST00000324060	ENSLAFP00000017244
ENSG00000004399	ENST00000324093	ENSLAFP00000018346
ENSG00000178562	ENST00000324106	ENSLAFP00000014899
ENSG00000151617	ENST00000324300	ENSLAFP00000027094
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSLAFP00000013003
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	ENSLAFP00000021438
ENSG00000114812	ENST00000325123	ENSLAFP00000009896
ENSG00000181631	ENST00000325602	ENSLAFP00000017701
ENSG00000106128	ENST00000326139	ENSLAFP00000014107
ENSG00000186074	ENST00000326165	ENSLAFP00000010050
ENSG00000177693	ENST00000326183	ENSLAFP00000023847
ENSG00000179919	ENST00000326258	ENSLAFP00000028815
ENSG00000179934	ENST00000326306	ENSLAFP00000005327
ENSG00000240403	ENST00000326321	ENSLAFP00000028380
ENSG00000180269	ENST00000326571	ENSLAFP00000028369
ENSG00000006327	ENST00000326577	ENSLAFP00000013919
ENSG00000080644	ENST00000326828	ENSLAFP00000010751
ENSG00000019169	ENST00000327097	ENSLAFP00000007292
ENSG00000166342	ENST00000327305	ENSLAFP00000008183
ENSG00000104938	ENST00000327325	ENSLAFP00000004696
ENSG00000185385	ENST00000327462	ENSLAFP00000001858
ENSG00000185436	ENST00000327535	ENSLAFP00000029295
ENSG00000185231	ENST00000327606	ENSLAFP00000009878
ENSG00000153294	ENST00000327753	ENSLAFP00000001060
ENSG00000185897	ENST00000327809	ENSLAFP00000028475
ENSG00000182771	ENST00000327946	ENSLAFP00000006966
ENSG00000197125	ENST00000328064	ENSLAFP00000016275
ENSG00000185926	ENST00000328188	
ENSG00000185821	ENST00000328314	ENSLAFP00000009316
ENSG00000183473	ENST00000328544	ENSLAFP00000024868
