ENSG00000003056	ENST00000000412	ENSEEUP00000009953
ENSG00000119973	ENST00000239032	ENSEEUP00000004185
ENSG00000120586	ENST00000239761	
ENSG00000120659	ENST00000239849	ENSEEUP00000011065
ENSG00000213809	ENST00000240618	ENSEEUP00000003242
ENSG00000121853	ENST00000241256	
ENSG00000121989	ENST00000241416	ENSEEUP00000001072
ENSG00000122025	ENST00000241453	ENSEEUP00000008760
ENSG00000122679	ENST00000242249	ENSEEUP00000002996
ENSG00000123146	ENST00000242786	
ENSG00000123384	ENST00000243077	ENSEEUP00000002942
ENSG00000123612	ENST00000243349	ENSEEUP00000011461
ENSG00000123901	ENST00000243673	ENSEEUP00000001454
ENSG00000124089	ENST00000243911	
ENSG00000124334	ENST00000244174	
ENSG00000124557	ENST00000244513	ENSEEUP00000001555
ENSG00000124657	ENST00000244623	ENSEEUP00000013781
ENSG00000124731	ENST00000244709	ENSEEUP00000007551
ENSG00000125384	ENST00000245457	ENSEEUP00000008307
ENSG00000204577	ENST00000245620	
ENSG00000125810	ENST00000246006	
ENSG00000125910	ENST00000246115	
ENSG00000126246	ENST00000246532	ENSEEUP00000012314
ENSG00000126262	ENST00000246549	ENSEEUP00000006184
ENSG00000126266	ENST00000246553	ENSEEUP00000002860
ENSG00000126353	ENST00000246657	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000127780	ENST00000248384	ENSEEUP00000014115
ENSG00000128285	ENST00000249016	ENSEEUP00000001838
ENSG00000128310	ENST00000249041	
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSEEUP00000000778
ENSG00000128617	ENST00000249389	ENSEEUP00000005748
ENSG00000129048	ENST00000249887	ENSEEUP00000003490
ENSG00000129749	ENST00000250699	
ENSG00000130164	ENST00000252444	
ENSG00000130202	ENST00000252483	
ENSG00000130234	ENST00000252519	ENSEEUP00000006099
ENSG00000130368	ENST00000252660	ENSEEUP00000013079
ENSG00000130529	ENST00000252826	ENSEEUP00000010122
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	ENSEEUP00000001747
ENSG00000132329	ENST00000254661	ENSEEUP00000012081
ENSG00000132334	ENST00000254667	
ENSG00000132517	ENST00000254853	ENSEEUP00000004088
ENSG00000132518	ENST00000254854	ENSEEUP00000009447
ENSG00000132671	ENST00000255008	ENSEEUP00000013971
ENSG00000132911	ENST00000255262	
ENSG00000133019	ENST00000255380	
ENSG00000133800	ENST00000256178	ENSEEUP00000001445
ENSG00000134061	ENST00000256447	ENSEEUP00000012863
ENSG00000134243	ENST00000256637	ENSEEUP00000007579
ENSG00000134250	ENST00000256646	ENSEEUP00000004674
ENSG00000134489	ENST00000256906	ENSEEUP00000010382
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSEEUP00000000733
ENSG00000135409	ENST00000257863	ENSEEUP00000008210
ENSG00000135424	ENST00000257879	ENSEEUP00000002067
ENSG00000135577	ENST00000258042	ENSEEUP00000010625
ENSG00000135902	ENST00000258385	ENSEEUP00000004232
ENSG00000135914	ENST00000258400	ENSEEUP00000002576
ENSG00000135960	ENST00000258443	ENSEEUP00000011034
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSEEUP00000001518
ENSG00000136834	ENST00000259357	ENSEEUP00000005162
ENSG00000136928	ENST00000259455	ENSEEUP00000002303
ENSG00000136960	ENST00000259486	ENSEEUP00000000230
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	
ENSG00000149305	ENST00000260191	ENSEEUP00000008746
ENSG00000137642	ENST00000260197	ENSEEUP00000005740
ENSG00000138271	ENST00000260843	
ENSG00000138435	ENST00000261007	ENSEEUP00000006358
ENSG00000138448	ENST00000261023	ENSEEUP00000005201
ENSG00000069431	ENST00000261200	ENSEEUP00000002868
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSEEUP00000009945
ENSG00000240505	ENST00000261652	
ENSG00000111452	ENST00000261654	
ENSG00000073060	ENST00000261693	ENSEEUP00000011358
ENSG00000117971	ENST00000261751	ENSEEUP00000014326
ENSG00000113721	ENST00000261799	ENSEEUP00000000539
ENSG00000067141	ENST00000261908	ENSEEUP00000012783
ENSG00000037280	ENST00000261937	ENSEEUP00000007721
ENSG00000038945	ENST00000262101	
ENSG00000106018	ENST00000262178	
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSEEUP00000013281
ENSG00000005961	ENST00000262407	ENSEEUP00000007684
ENSG00000065325	ENST00000262441	ENSEEUP00000013015
ENSG00000105707	ENST00000262626	ENSEEUP00000011446
ENSG00000075275	ENST00000262738	ENSEEUP00000009866
ENSG00000105737	ENST00000262895	ENSEEUP00000011129
ENSG00000088812	ENST00000262919	ENSEEUP00000008531
ENSG00000083457	ENST00000263087	ENSEEUP00000007535
ENSG00000105464	ENST00000263269	ENSEEUP00000010435
ENSG00000010310	ENST00000263281	
ENSG00000109991	ENST00000263314	
ENSG00000104998	ENST00000263379	ENSEEUP00000013645
ENSG00000113594	ENST00000263409	ENSEEUP00000012033
ENSG00000054219	ENST00000263636	ENSEEUP00000009154
ENSG00000115170	ENST00000263640	ENSEEUP00000001489
ENSG00000092445	ENST00000263798	ENSEEUP00000002120
ENSG00000062524	ENST00000263800	
ENSG00000081479	ENST00000263816	
ENSG00000128052	ENST00000263923	ENSEEUP00000006435
ENSG00000120949	ENST00000263932	ENSEEUP00000005654
ENSG00000110400	ENST00000264025	ENSEEUP00000012324
ENSG00000121594	ENST00000264246	ENSEEUP00000009282
ENSG00000115598	ENST00000264257	ENSEEUP00000002395
ENSG00000109158	ENST00000264318	ENSEEUP00000009583
ENSG00000125675	ENST00000264357	ENSEEUP00000005829
ENSG00000109738	ENST00000264428	ENSEEUP00000002639
ENSG00000108797	ENST00000264638	ENSEEUP00000003234
ENSG00000144668	ENST00000264741	ENSEEUP00000001493
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSEEUP00000007604
ENSG00000099250	ENST00000265371	ENSEEUP00000003176
ENSG00000082556	ENST00000265572	ENSEEUP00000013975
ENSG00000139193	ENST00000266557	
ENSG00000139292	ENST00000266674	ENSEEUP00000014098
ENSG00000139572	ENST00000267015	ENSEEUP00000005020
ENSG00000065361	ENST00000267101	ENSEEUP00000012612
ENSG00000139636	ENST00000267102	ENSEEUP00000001515
ENSG00000139874	ENST00000267377	ENSEEUP00000002294
ENSG00000140443	ENST00000268035	ENSEEUP00000012248
ENSG00000140678	ENST00000268296	ENSEEUP00000005788
ENSG00000140749	ENST00000268389	ENSEEUP00000000032
ENSG00000141194	ENST00000268912	ENSEEUP00000009976
ENSG00000141458	ENST00000269228	ENSEEUP00000009245
ENSG00000141505	ENST00000269299	ENSEEUP00000008797
ENSG00000141655	ENST00000269485	ENSEEUP00000007921
ENSG00000141736	ENST00000269571	ENSEEUP00000006139
ENSG00000142166	ENST00000270139	ENSEEUP00000006682
ENSG00000187244	ENST00000270233	ENSEEUP00000005770
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSEEUP00000008794
ENSG00000143226	ENST00000271450	ENSEEUP00000001200
ENSG00000163518	ENST00000271532	ENSEEUP00000011810
ENSG00000144136	ENST00000272542	ENSEEUP00000005849
ENSG00000144407	ENST00000272847	ENSEEUP00000002764
ENSG00000144476	ENST00000272928	
ENSG00000144820	ENST00000273352	ENSEEUP00000003116
ENSG00000145103	ENST00000273691	ENSEEUP00000013147
ENSG00000145242	ENST00000273854	ENSEEUP00000003380
ENSG00000145244	ENST00000273857	ENSEEUP00000003297
ENSG00000145451	ENST00000274093	ENSEEUP00000008931
ENSG00000145623	ENST00000274276	ENSEEUP00000002947
ENSG00000145863	ENST00000274545	
ENSG00000146360	ENST00000275169	
ENSG00000146399	ENST00000275216	
ENSG00000146648	ENST00000275493	ENSEEUP00000011884
ENSG00000146904	ENST00000275815	ENSEEUP00000014296
ENSG00000147138	ENST00000276077	
ENSG00000147246	ENST00000276198	ENSEEUP00000002680
ENSG00000147262	ENST00000276218	ENSEEUP00000000196
ENSG00000147434	ENST00000276410	ENSEEUP00000008245
ENSG00000147650	ENST00000276654	ENSEEUP00000003080
ENSG00000148136	ENST00000277216	ENSEEUP00000003157
ENSG00000165204	ENST00000277309	ENSEEUP00000008211
ENSG00000148734	ENST00000277942	
ENSG00000149133	ENST00000278409	
ENSG00000149534	ENST00000278888	ENSEEUP00000003175
ENSG00000150045	ENST00000279544	ENSEEUP00000013735
ENSG00000150086	ENST00000279593	ENSEEUP00000007938
ENSG00000150261	ENST00000279783	
ENSG00000150269	ENST00000279791	ENSEEUP00000012183
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	ENSEEUP00000013654
ENSG00000150938	ENST00000280527	ENSEEUP00000007609
ENSG00000151490	ENST00000281171	ENSEEUP00000013761
ENSG00000116106	ENST00000281821	ENSEEUP00000009129
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSEEUP00000009775
ENSG00000152578	ENST00000282499	ENSEEUP00000010158
ENSG00000213949	ENST00000282588	ENSEEUP00000004423
ENSG00000153233	ENST00000283228	ENSEEUP00000011860
ENSG00000153246	ENST00000283243	ENSEEUP00000002332
ENSG00000115221	ENST00000283249	ENSEEUP00000012206
ENSG00000153563	ENST00000283635	ENSEEUP00000013542
ENSG00000196119	ENST00000284287	
ENSG00000154165	ENST00000284311	ENSEEUP00000001709
ENSG00000154309	ENST00000284476	ENSEEUP00000007858
ENSG00000154478	ENST00000284674	
ENSG00000154639	ENST00000284878	ENSEEUP00000010155
ENSG00000155511	ENST00000285900	ENSEEUP00000002737
ENSG00000155760	ENST00000286201	ENSEEUP00000012080
ENSG00000182578	ENST00000286301	ENSEEUP00000011490
ENSG00000157219	ENST00000287907	ENSEEUP00000014412
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSEEUP00000011516
ENSG00000056736	ENST00000288167	
ENSG00000173285	ENST00000289451	ENSEEUP00000010039
ENSG00000015520	ENST00000289547	ENSEEUP00000001824
ENSG00000158748	ENST00000289753	
ENSG00000158869	ENST00000289902	ENSEEUP00000012570
ENSG00000147432	ENST00000289957	ENSEEUP00000011973
ENSG00000243646	ENST00000290200	ENSEEUP00000003084
ENSG00000159128	ENST00000290219	ENSEEUP00000001585
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	ENSEEUP00000006984
ENSG00000160013	ENST00000291294	ENSEEUP00000000306
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	ENSEEUP00000010480
ENSG00000121807	ENST00000292301	ENSEEUP00000013111
ENSG00000160951	ENST00000292513	
ENSG00000161509	ENST00000293190	ENSEEUP00000007603
ENSG00000161638	ENST00000293379	ENSEEUP00000004376
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSEEUP00000005161
ENSG00000108556	ENST00000293780	ENSEEUP00000012151
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSEEUP00000009984
ENSG00000153208	ENST00000295408	ENSEEUP00000012029
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSEEUP00000008330
ENSG00000163288	ENST00000295454	ENSEEUP00000013599
ENSG00000163394	ENST00000295589	ENSEEUP00000008889
ENSG00000054356	ENST00000295718	ENSEEUP00000000192
ENSG00000163702	ENST00000295981	ENSEEUP00000003860
ENSG00000163785	ENST00000296084	ENSEEUP00000006713
ENSG00000163823	ENST00000296140	
ENSG00000082781	ENST00000296181	ENSEEUP00000008527
ENSG00000163914	ENST00000296271	ENSEEUP00000007562
ENSG00000164078	ENST00000296474	ENSEEUP00000000361
ENSG00000120251	ENST00000296526	ENSEEUP00000005822
ENSG00000164128	ENST00000296533	ENSEEUP00000008370
ENSG00000164171	ENST00000296585	ENSEEUP00000006906
ENSG00000164220	ENST00000296641	
ENSG00000164251	ENST00000296677	
ENSG00000164342	ENST00000296795	ENSEEUP00000007800
ENSG00000146072	ENST00000296861	ENSEEUP00000013783
ENSG00000164393	ENST00000296862	
ENSG00000165202	ENST00000297913	ENSEEUP00000006261
ENSG00000165370	ENST00000298110	
ENSG00000133105	ENST00000298386	ENSEEUP00000012238
ENSG00000165621	ENST00000298440	ENSEEUP00000006918
ENSG00000165682	ENST00000298527	ENSEEUP00000003359
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSEEUP00000003835
ENSG00000166148	ENST00000299178	
ENSG00000166368	ENST00000299459	ENSEEUP00000012378
ENSG00000169684	ENST00000299565	ENSEEUP00000004843
ENSG00000166573	ENST00000299727	
ENSG00000166603	ENST00000299766	ENSEEUP00000010618
ENSG00000166682	ENST00000299882	
ENSG00000166825	ENST00000300060	ENSEEUP00000008886
ENSG00000166856	ENST00000300098	ENSEEUP00000008234
ENSG00000167286	ENST00000300692	ENSEEUP00000009318
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	ENSEEUP00000007471
ENSG00000167601	ENST00000301178	ENSEEUP00000010493
ENSG00000167822	ENST00000301529	
ENSG00000167825	ENST00000301532	ENSEEUP00000000579
ENSG00000172320	ENST00000302030	
ENSG00000117090	ENST00000302035	ENSEEUP00000009921
ENSG00000172324	ENST00000302040	
ENSG00000172154	ENST00000302124	
ENSG00000172199	ENST00000302270	
ENSG00000172208	ENST00000302329	ENSEEUP00000012034
ENSG00000171522	ENST00000302472	
ENSG00000171657	ENST00000302548	
ENSG00000172362	ENST00000302572	ENSEEUP00000005734
ENSG00000172365	ENST00000302581	ENSEEUP00000004670
ENSG00000197887	ENST00000302592	
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	ENSEEUP00000003505
ENSG00000169313	ENST00000302632	ENSEEUP00000010334
ENSG00000150995	ENST00000302640	
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	
ENSG00000169992	ENST00000302926	ENSEEUP00000014173
ENSG00000172457	ENST00000302957	
ENSG00000172459	ENST00000302969	
ENSG00000172464	ENST00000302981	ENSEEUP00000006544
ENSG00000172487	ENST00000303039	
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSEEUP00000002139
ENSG00000168131	ENST00000303324	ENSEEUP00000008097
ENSG00000169208	ENST00000303532	ENSEEUP00000004301
ENSG00000169604	ENST00000303714	ENSEEUP00000010781
ENSG00000169618	ENST00000303786	ENSEEUP00000012453
ENSG00000170775	ENST00000303921	ENSEEUP00000000591
ENSG00000172243	ENST00000304084	ENSEEUP00000007027
ENSG00000172146	ENST00000304094	ENSEEUP00000001382
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSEEUP00000006106
ENSG00000170425	ENST00000304222	ENSEEUP00000013220
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	ENSEEUP00000002095
ENSG00000169676	ENST00000304374	
ENSG00000172209	ENST00000304402	ENSEEUP00000001167
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSEEUP00000003719
ENSG00000171496	ENST00000304865	ENSEEUP00000006723
ENSG00000171505	ENST00000304880	
ENSG00000169836	ENST00000304883	
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	ENSEEUP00000012876
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	ENSEEUP00000012513
ENSG00000171596	ENST00000305141	ENSEEUP00000005095
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSEEUP00000010573
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSEEUP00000003407
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSEEUP00000009272
ENSG00000171936	ENST00000305892	ENSEEUP00000006308
ENSG00000171942	ENST00000305899	ENSEEUP00000013365
ENSG00000169252	ENST00000305988	
ENSG00000168229	ENST00000306051	ENSEEUP00000003873
ENSG00000157193	ENST00000306052	ENSEEUP00000014546
ENSG00000170175	ENST00000306071	ENSEEUP00000005335
ENSG00000170214	ENST00000306675	ENSEEUP00000001149
ENSG00000171180	ENST00000306687	ENSEEUP00000014487
ENSG00000170953	ENST00000306842	ENSEEUP00000000314
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSEEUP00000002945
ENSG00000171944	ENST00000307388	ENSEEUP00000009869
ENSG00000170803	ENST00000307401	ENSEEUP00000007003
ENSG00000172289	ENST00000307552	
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSEEUP00000012593
ENSG00000163606	ENST00000308611	ENSEEUP00000002188
ENSG00000174667	ENST00000308682	ENSEEUP00000011503
ENSG00000056291	ENST00000308744	ENSEEUP00000003788
ENSG00000172519	ENST00000308940	ENSEEUP00000013365
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSEEUP00000014484
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	ENSEEUP00000000659
ENSG00000174944	ENST00000309170	
ENSG00000174946	ENST00000309180	ENSEEUP00000011102
ENSG00000173578	ENST00000309285	ENSEEUP00000000595
ENSG00000172769	ENST00000309403	ENSEEUP00000005783
ENSG00000172774	ENST00000309433	
ENSG00000163485	ENST00000309502	ENSEEUP00000012748
ENSG00000173391	ENST00000309539	ENSEEUP00000005852
ENSG00000175619	ENST00000309562	ENSEEUP00000006574
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	ENSEEUP00000004808
ENSG00000175393	ENST00000309838	ENSEEUP00000006455
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	
ENSG00000197376	ENST00000310194	ENSEEUP00000007274
ENSG00000172640	ENST00000310248	ENSEEUP00000010767
ENSG00000173612	ENST00000310357	ENSEEUP00000003893
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	ENSEEUP00000003569
ENSG00000173250	ENST00000311104	ENSEEUP00000013828
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSEEUP00000000424
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	
ENSG00000173567	ENST00000311519	ENSEEUP00000008171
ENSG00000166206	ENST00000311550	ENSEEUP00000010722
ENSG00000186513	ENST00000311591	
ENSG00000174837	ENST00000312053	
ENSG00000174600	ENST00000312143	
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	
ENSG00000110195	ENST00000312293	ENSEEUP00000012672
ENSG00000174957	ENST00000312298	ENSEEUP00000011231
ENSG00000174970	ENST00000312345	ENSEEUP00000008221
ENSG00000174982	ENST00000312422	
ENSG00000175514	ENST00000312457	ENSEEUP00000003590
ENSG00000226288	ENST00000312614	ENSEEUP00000004886
ENSG00000173762	ENST00000312648	ENSEEUP00000011296
ENSG00000181693	ENST00000313022	ENSEEUP00000003758
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	ENSEEUP00000009754
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSEEUP00000005470
ENSG00000181752	ENST00000313447	
ENSG00000181761	ENST00000313472	ENSEEUP00000003758
ENSG00000181767	ENST00000313503	ENSEEUP00000003758
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	
ENSG00000179546	ENST00000314113	ENSEEUP00000013385
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	
ENSG00000181939	ENST00000314644	ENSEEUP00000006797
ENSG00000181958	ENST00000314706	ENSEEUP00000005869
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSEEUP00000005965
ENSG00000176198	ENST00000315409	ENSEEUP00000011003
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSEEUP00000007128
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	ENSEEUP00000005933
ENSG00000176246	ENST00000315683	ENSEEUP00000006917
ENSG00000176253	ENST00000315693	ENSEEUP00000013407
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	ENSEEUP00000000647
ENSG00000176299	ENST00000315957	ENSEEUP00000010073
ENSG00000244623	ENST00000316368	ENSEEUP00000004361
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	ENSEEUP00000002565
ENSG00000180914	ENST00000316793	
ENSG00000180974	ENST00000316987	ENSEEUP00000013474
ENSG00000180988	ENST00000317037	ENSEEUP00000012118
ENSG00000181001	ENST00000317078	ENSEEUP00000003317
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSEEUP00000013153
ENSG00000181074	ENST00000317254	ENSEEUP00000000088
ENSG00000161649	ENST00000317310	ENSEEUP00000013023
ENSG00000177151	ENST00000317450	ENSEEUP00000002007
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	ENSEEUP00000006716
ENSG00000180245	ENST00000317735	ENSEEUP00000004347
ENSG00000178358	ENST00000317834	ENSEEUP00000013233
ENSG00000177174	ENST00000317861	ENSEEUP00000012335
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	ENSEEUP00000004178
ENSG00000177212	ENST00000318021	ENSEEUP00000004178
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	ENSEEUP00000014129
ENSG00000178084	ENST00000318351	ENSEEUP00000012135
ENSG00000105976	ENST00000318493	ENSEEUP00000005198
ENSG00000197309	ENST00000318666	ENSEEUP00000009766
ENSG00000179055	ENST00000318763	
ENSG00000181104	ENST00000319211	
ENSG00000177663	ENST00000319363	ENSEEUP00000006426
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	
ENSG00000176540	ENST00000319813	
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	ENSEEUP00000000601
ENSG00000177462	ENST00000319968	ENSEEUP00000004178
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	ENSEEUP00000001954
ENSG00000176567	ENST00000320048	ENSEEUP00000000958
ENSG00000177489	ENST00000320065	ENSEEUP00000004593
ENSG00000181803	ENST00000320704	ENSEEUP00000008290
ENSG00000254737	ENST00000320891	
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	ENSEEUP00000007490
ENSG00000181499	ENST00000321252	ENSEEUP00000014392
ENSG00000176742	ENST00000321255	ENSEEUP00000011341
ENSG00000181518	ENST00000321355	ENSEEUP00000001451
ENSG00000176787	ENST00000321522	
ENSG00000176798	ENST00000321543	
ENSG00000179615	ENST00000321688	ENSEEUP00000001955
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSEEUP00000011864
ENSG00000176904	ENST00000322059	ENSEEUP00000001393
ENSG00000176922	ENST00000322101	
ENSG00000176231	ENST00000322107	ENSEEUP00000006308
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	ENSEEUP00000014115
ENSG00000181609	ENST00000322641	ENSEEUP00000012176
ENSG00000181616	ENST00000322653	ENSEEUP00000013169
ENSG00000117335	ENST00000322875	ENSEEUP00000013434
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSEEUP00000012691
ENSG00000178394	ENST00000323865	ENSEEUP00000013713
ENSG00000181733	ENST00000324060	ENSEEUP00000001050
ENSG00000004399	ENST00000324093	
ENSG00000178562	ENST00000324106	ENSEEUP00000011368
ENSG00000151617	ENST00000324300	ENSEEUP00000009884
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSEEUP00000014266
ENSG00000176136	ENST00000324750	ENSEEUP00000014263
ENSG00000162897	ENST00000324852	ENSEEUP00000003811
ENSG00000114812	ENST00000325123	
ENSG00000181631	ENST00000325602	ENSEEUP00000007176
ENSG00000181963	ENST00000325719	ENSEEUP00000010016
ENSG00000106128	ENST00000326139	ENSEEUP00000007908
ENSG00000186074	ENST00000326165	ENSEEUP00000007591
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	
