ENSG00000003056	ENST00000000412	ENSMODP00000022437
ENSG00000154309	ENST00000284476	ENSMODP00000005938
ENSG00000154478	ENST00000284674	ENSMODP00000009344
ENSG00000154639	ENST00000284878	ENSMODP00000026212
ENSG00000155249	ENST00000285600	ENSMODP00000034429
ENSG00000155511	ENST00000285900	ENSMODP00000011093
ENSG00000155760	ENST00000286201	ENSMODP00000020385
ENSG00000182578	ENST00000286301	ENSMODP00000012194
ENSG00000157219	ENST00000287907	ENSMODP00000017090
ENSG00000157240	ENST00000287934	ENSMODP00000013160
ENSG00000157404	ENST00000288135	ENSMODP00000035939
ENSG00000056736	ENST00000288167	ENSMODP00000015668
ENSG00000173285	ENST00000289451	ENSMODP00000013299
ENSG00000015520	ENST00000289547	ENSMODP00000020173
ENSG00000158748	ENST00000289753	ENSMODP00000008546
ENSG00000158869	ENST00000289902	ENSMODP00000006307
ENSG00000147432	ENST00000289957	ENSMODP00000012629
ENSG00000243646	ENST00000290200	ENSMODP00000026344
ENSG00000159128	ENST00000290219	ENSMODP00000026342
ENSG00000159961	ENST00000291231	ENSMODP00000012663
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	ENSMODP00000011497
ENSG00000242019	ENST00000291860	ENSMODP00000008411
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	ENSMODP00000016711
ENSG00000121807	ENST00000292301	ENSMODP00000014326
ENSG00000160951	ENST00000292513	ENSMODP00000003079
ENSG00000161509	ENST00000293190	ENSMODP00000008572
ENSG00000161638	ENST00000293379	
ENSG00000161921	ENST00000293778	
ENSG00000108556	ENST00000293780	ENSMODP00000006660
ENSG00000138039	ENST00000294954	ENSMODP00000001486
ENSG00000153208	ENST00000295408	ENSMODP00000028608
ENSG00000163251	ENST00000295417	ENSMODP00000019903
ENSG00000163285	ENST00000295452	ENSMODP00000025760
ENSG00000163288	ENST00000295454	ENSMODP00000025784
ENSG00000163394	ENST00000295589	ENSMODP00000000121
ENSG00000054356	ENST00000295718	ENSMODP00000036093
ENSG00000163702	ENST00000295981	ENSMODP00000006568
ENSG00000163785	ENST00000296084	ENSMODP00000023074
ENSG00000163823	ENST00000296140	ENSMODP00000014314
ENSG00000082781	ENST00000296181	ENSMODP00000022896
ENSG00000163914	ENST00000296271	ENSMODP00000008054
ENSG00000164078	ENST00000296474	ENSMODP00000015454
ENSG00000120251	ENST00000296526	ENSMODP00000036431
ENSG00000164128	ENST00000296533	ENSMODP00000002617
ENSG00000164171	ENST00000296585	ENSMODP00000024269
ENSG00000164220	ENST00000296641	ENSMODP00000016977
ENSG00000164251	ENST00000296677	ENSMODP00000016988
ENSG00000164342	ENST00000296795	ENSMODP00000005984
ENSG00000146072	ENST00000296861	ENSMODP00000030256
ENSG00000164393	ENST00000296862	ENSMODP00000023534
ENSG00000165202	ENST00000297913	ENSMODP00000030385
ENSG00000165370	ENST00000298110	ENSMODP00000017542
ENSG00000133105	ENST00000298386	ENSMODP00000011723
ENSG00000165621	ENST00000298440	ENSMODP00000010666
ENSG00000165682	ENST00000298527	ENSMODP00000022773
ENSG00000165762	ENST00000298642	ENSMODP00000009662
ENSG00000166073	ENST00000299092	ENSMODP00000000748
ENSG00000166148	ENST00000299178	ENSMODP00000017914
ENSG00000169684	ENST00000299565	ENSMODP00000014859
ENSG00000166573	ENST00000299727	ENSMODP00000015376
ENSG00000166603	ENST00000299766	ENSMODP00000036733
ENSG00000166682	ENST00000299882	ENSMODP00000017744
ENSG00000166825	ENST00000300060	ENSMODP00000024368
ENSG00000166856	ENST00000300098	ENSMODP00000027222
ENSG00000166884	ENST00000300127	ENSMODP00000033597
ENSG00000167286	ENST00000300692	ENSMODP00000016898
ENSG00000242180	ENST00000300773	
ENSG00000167601	ENST00000301178	ENSMODP00000010558
ENSG00000167825	ENST00000301532	ENSMODP00000024974
ENSG00000172320	ENST00000302030	ENSMODP00000025249
ENSG00000117090	ENST00000302035	
ENSG00000172324	ENST00000302040	ENSMODP00000025243
ENSG00000169214	ENST00000302084	ENSMODP00000037619
ENSG00000171522	ENST00000302472	ENSMODP00000025402
ENSG00000171657	ENST00000302548	ENSMODP00000037659
ENSG00000197887	ENST00000302592	ENSMODP00000025163
ENSG00000197532	ENST00000302617	ENSMODP00000013022
ENSG00000172381	ENST00000302622	ENSMODP00000025142
ENSG00000169313	ENST00000302632	ENSMODP00000035512
ENSG00000150995	ENST00000302640	ENSMODP00000005545
ENSG00000171133	ENST00000302681	ENSMODP00000003133
ENSG00000171105	ENST00000302850	ENSMODP00000032047
ENSG00000169992	ENST00000302926	ENSMODP00000008582
ENSG00000172459	ENST00000302969	ENSMODP00000033821
ENSG00000172489	ENST00000303059	ENSMODP00000025032
ENSG00000168685	ENST00000303115	ENSMODP00000025476
ENSG00000168131	ENST00000303324	
ENSG00000169604	ENST00000303714	ENSMODP00000014752
ENSG00000169618	ENST00000303786	ENSMODP00000004525
ENSG00000170775	ENST00000303921	ENSMODP00000019125
ENSG00000172243	ENST00000304084	
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSMODP00000026102
ENSG00000170425	ENST00000304222	ENSMODP00000013887
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSMODP00000001776
ENSG00000172209	ENST00000304402	ENSMODP00000016642
ENSG00000170837	ENST00000304411	ENSMODP00000034084
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSMODP00000034652
ENSG00000171459	ENST00000304720	ENSMODP00000024600
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSMODP00000030369
ENSG00000171496	ENST00000304865	
ENSG00000169836	ENST00000304883	ENSMODP00000025838
ENSG00000169484	ENST00000305045	ENSMODP00000009693
ENSG00000169860	ENST00000305097	ENSMODP00000019750
ENSG00000171596	ENST00000305141	ENSMODP00000003008
ENSG00000115353	ENST00000305249	ENSMODP00000014105
ENSG00000168830	ENST00000305344	ENSMODP00000029800
ENSG00000170989	ENST00000305352	ENSMODP00000029126
ENSG00000170605	ENST00000305377	ENSMODP00000011452
ENSG00000168758	ENST00000305476	ENSMODP00000020045
ENSG00000169252	ENST00000305988	ENSMODP00000006999
ENSG00000168229	ENST00000306051	
ENSG00000157193	ENST00000306052	ENSMODP00000038153
ENSG00000170175	ENST00000306071	ENSMODP00000008620
ENSG00000170214	ENST00000306675	ENSMODP00000009988
ENSG00000171180	ENST00000306687	ENSMODP00000004779
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	ENSMODP00000010143
ENSG00000171014	ENST00000307033	ENSMODP00000034575
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSMODP00000006150
ENSG00000172289	ENST00000307552	ENSMODP00000025269
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSMODP00000002406
ENSG00000056291	ENST00000308744	ENSMODP00000023858
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSMODP00000025687
ENSG00000172938	ENST00000309106	ENSMODP00000004977
ENSG00000196099	ENST00000309154	ENSMODP00000034541
ENSG00000174944	ENST00000309170	ENSMODP00000026600
ENSG00000174946	ENST00000309180	ENSMODP00000035509
ENSG00000173578	ENST00000309285	ENSMODP00000032628
ENSG00000172774	ENST00000309433	ENSMODP00000025163
ENSG00000163485	ENST00000309502	ENSMODP00000035758
ENSG00000173391	ENST00000309539	
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	
ENSG00000173302	ENST00000309926	ENSMODP00000036401
ENSG00000174343	ENST00000310169	ENSMODP00000025719
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSMODP00000022215
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	ENSMODP00000012650
ENSG00000228567	ENST00000311170	
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	ENSMODP00000029629
ENSG00000173567	ENST00000311519	ENSMODP00000019713
ENSG00000166206	ENST00000311550	ENSMODP00000009771
ENSG00000186513	ENST00000311591	
ENSG00000174837	ENST00000312053	ENSMODP00000002850
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	ENSMODP00000033806
ENSG00000174937	ENST00000312240	ENSMODP00000033858
ENSG00000174982	ENST00000312422	ENSMODP00000024913
ENSG00000175514	ENST00000312457	ENSMODP00000009296
ENSG00000173762	ENST00000312648	ENSMODP00000038502
ENSG00000181693	ENST00000313022	
ENSG00000181698	ENST00000313033	ENSMODP00000025032
ENSG00000181408	ENST00000313135	ENSMODP00000001259
ENSG00000181718	ENST00000313264	ENSMODP00000025032
ENSG00000013725	ENST00000313421	ENSMODP00000033453
ENSG00000181761	ENST00000313472	
ENSG00000181767	ENST00000313503	
ENSG00000181785	ENST00000313555	ENSMODP00000025023
ENSG00000177675	ENST00000313599	ENSMODP00000037644
ENSG00000176495	ENST00000313940	ENSMODP00000033612
ENSG00000179546	ENST00000314113	ENSMODP00000032418
ENSG00000181903	ENST00000314259	ENSMODP00000024902
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	ENSMODP00000024930
ENSG00000181958	ENST00000314706	ENSMODP00000024899
ENSG00000181961	ENST00000314721	ENSMODP00000024899
ENSG00000180708	ENST00000314902	ENSMODP00000013143
ENSG00000181656	ENST00000315033	ENSMODP00000029132
ENSG00000180340	ENST00000315323	ENSMODP00000014285
ENSG00000150048	ENST00000315330	ENSMODP00000022772
ENSG00000176198	ENST00000315409	ENSMODP00000009065
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSMODP00000009068
ENSG00000176230	ENST00000315543	
ENSG00000176246	ENST00000315683	ENSMODP00000009752
ENSG00000176253	ENST00000315693	ENSMODP00000009722
ENSG00000137809	ENST00000315757	ENSMODP00000011761
ENSG00000176281	ENST00000315915	
ENSG00000176299	ENST00000315957	ENSMODP00000009627
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	ENSMODP00000014956
ENSG00000180914	ENST00000316793	ENSMODP00000005758
ENSG00000180974	ENST00000316987	ENSMODP00000013805
ENSG00000180988	ENST00000317037	ENSMODP00000014560
ENSG00000181001	ENST00000317078	ENSMODP00000027620
ENSG00000181009	ENST00000317093	ENSMODP00000014563
ENSG00000161649	ENST00000317310	ENSMODP00000038226
ENSG00000177151	ENST00000317450	ENSMODP00000011350
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	
ENSG00000180245	ENST00000317735	ENSMODP00000007286
ENSG00000178358	ENST00000317834	
ENSG00000177186	ENST00000317965	ENSMODP00000004779
ENSG00000177201	ENST00000317996	ENSMODP00000004779
ENSG00000177212	ENST00000318021	ENSMODP00000004779
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	ENSMODP00000007530
ENSG00000105976	ENST00000318493	ENSMODP00000019742
ENSG00000197309	ENST00000318666	ENSMODP00000034622
ENSG00000177535	ENST00000318749	ENSMODP00000010948
ENSG00000181104	ENST00000319211	ENSMODP00000016983
ENSG00000177663	ENST00000319363	ENSMODP00000035440
ENSG00000178586	ENST00000319423	ENSMODP00000027892
ENSG00000179097	ENST00000319595	ENSMODP00000038259
ENSG00000221840	ENST00000319760	ENSMODP00000024899
ENSG00000176540	ENST00000319813	ENSMODP00000024889
ENSG00000178623	ENST00000319838	ENSMODP00000013263
ENSG00000176547	ENST00000319856	ENSMODP00000024909
ENSG00000177462	ENST00000319968	ENSMODP00000004779
ENSG00000176555	ENST00000319988	ENSMODP00000024884
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	ENSMODP00000008708
ENSG00000176269	ENST00000320901	ENSMODP00000009876
ENSG00000181518	ENST00000321355	ENSMODP00000004489
ENSG00000176798	ENST00000321543	
ENSG00000244165	ENST00000321826	ENSMODP00000033600
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	
ENSG00000176904	ENST00000322059	ENSMODP00000011505
ENSG00000176922	ENST00000322101	ENSMODP00000032455
ENSG00000180929	ENST00000322241	ENSMODP00000014779
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	ENSMODP00000028186
ENSG00000181609	ENST00000322641	ENSMODP00000027639
ENSG00000181616	ENST00000322653	ENSMODP00000027635
ENSG00000117335	ENST00000322875	
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSMODP00000012663
ENSG00000178394	ENST00000323865	
ENSG00000181733	ENST00000324060	ENSMODP00000011391
ENSG00000004399	ENST00000324093	ENSMODP00000008640
ENSG00000178562	ENST00000324106	ENSMODP00000020294
ENSG00000151617	ENST00000324300	ENSMODP00000000789
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSMODP00000010005
ENSG00000176136	ENST00000324750	ENSMODP00000026751
ENSG00000162897	ENST00000324852	
ENSG00000114812	ENST00000325123	ENSMODP00000016970
ENSG00000181631	ENST00000325602	ENSMODP00000035510
ENSG00000106128	ENST00000326139	ENSMODP00000026100
ENSG00000186074	ENST00000326165	ENSMODP00000032336
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	
ENSG00000240403	ENST00000326321	ENSMODP00000008411
ENSG00000180269	ENST00000326571	ENSMODP00000008231
ENSG00000006327	ENST00000326577	ENSMODP00000020577
ENSG00000080644	ENST00000326828	ENSMODP00000014893
ENSG00000019169	ENST00000327097	ENSMODP00000000516
ENSG00000166342	ENST00000327305	ENSMODP00000015541
ENSG00000104938	ENST00000327325	ENSMODP00000018735
ENSG00000184954	ENST00000327335	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSMODP00000016333
ENSG00000185231	ENST00000327606	ENSMODP00000026750
ENSG00000153294	ENST00000327753	ENSMODP00000023531
ENSG00000185897	ENST00000327809	ENSMODP00000031581
ENSG00000221931	ENST00000327930	ENSMODP00000016154
ENSG00000182771	ENST00000327946	ENSMODP00000013814
ENSG00000183473	ENST00000328544	
ENSG00000182783	ENST00000328570	ENSMODP00000030473
ENSG00000186891	ENST00000328596	
ENSG00000184698	ENST00000328611	
ENSG00000186407	ENST00000328630	
ENSG00000183310	ENST00000328782	
ENSG00000182782	ENST00000328880	ENSMODP00000015400
ENSG00000184140	ENST00000328882	ENSMODP00000034456
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	
ENSG00000235568	ENST00000329021	
ENSG00000185245	ENST00000329125	
ENSG00000183840	ENST00000329321	ENSMODP00000036222
ENSG00000185149	ENST00000329476	ENSMODP00000036384
ENSG00000113763	ENST00000329542	ENSMODP00000031132
ENSG00000183484	ENST00000329797	ENSMODP00000018390
ENSG00000184574	ENST00000329858	ENSMODP00000022563
ENSG00000184160	ENST00000330055	ENSMODP00000004021
ENSG00000182631	ENST00000330120	ENSMODP00000035733
ENSG00000182580	ENST00000330394	ENSMODP00000003188
ENSG00000184022	ENST00000330500	ENSMODP00000030473
ENSG00000114013	ENST00000330540	ENSMODP00000036920
ENSG00000167850	ENST00000330793	
ENSG00000183130	ENST00000330803	ENSMODP00000011161
ENSG00000183813	ENST00000330953	ENSMODP00000013567
