Ensembl Gene ID	Ensembl Transcript ID	Rhesus Ensembl Protein ID	
ENSG00000101188	ENST00000370501	ENSMMUP00000022158	
ENSG00000101204	ENST00000370263	ENSMMUP00000020935	
ENSG00000101292	ENST00000546004	ENSMMUP00000004956	
ENSG00000101850	ENST00000467482	ENSMMUP00000041250	
ENSG00000101890	ENST00000218006	ENSMMUP00000017341	
ENSG00000101958	ENST00000218075	ENSMMUP00000004644	
ENSG00000102076	ENST00000369951	ENSMMUP00000008106	
ENSG00000102195	ENST00000218316	ENSMMUP00000002171	
ENSG00000102239	ENST00000370648	ENSMMUP00000008499	
ENSG00000102287	ENST00000370328	ENSMMUP00000014344	
ENSG00000102468	ENST00000378688	ENSMMUP00000036319	
ENSG00000102539	ENST00000218721	ENSMMUP00000017704	
ENSG00000103310	ENST00000219593	ENSMMUP00000022033	
ENSG00000104290	ENST00000537916	ENSMMUP00000009835	
ENSG00000104332	ENST00000220772	ENSMMUP00000032131	
ENSG00000104870	ENST00000221466	ENSMMUP00000016100	
ENSG00000104921	ENST00000346664	
ENSG00000104938	ENST00000327325	ENSMMUP00000029556	
ENSG00000104972	ENST00000324602	
ENSG00000104998	ENST00000263379	ENSMMUP00000017805	
ENSG00000105281	ENST00000542575	ENSMMUP00000029175	
ENSG00000105369	ENST00000221972	
ENSG00000105383	ENST00000262262	ENSMMUP00000012411	
ENSG00000105426	ENST00000357368	ENSMMUP00000015696	
ENSG00000105464	ENST00000263269	ENSMMUP00000007863	
ENSG00000105699	ENST00000361790	ENSMMUP00000014804	
ENSG00000105707	ENST00000262626	ENSMMUP00000006441	
ENSG00000105737	ENST00000262895	ENSMMUP00000022947	
ENSG00000105855	ENST00000222573	ENSMMUP00000009055	
ENSG00000105976	ENST00000318493	ENSMMUP00000008920	
ENSG00000106018	ENST00000262178	ENSMMUP00000012577	
ENSG00000106113	ENST00000471646	ENSMMUP00000015435	
ENSG00000106123	ENST00000392957	ENSMMUP00000021314	
ENSG00000106128	ENST00000326139	ENSMMUP00000015446	
ENSG00000106278	ENST00000393386	ENSMMUP00000016302	
ENSG00000106327	ENST00000223051	ENSMMUP00000003943	
ENSG00000106799	ENST00000374994	ENSMMUP00000001739	
ENSG00000106991	ENST00000373203	ENSMMUP00000003006	
ENSG00000107731	ENST00000335350	ENSMMUP00000007885	
ENSG00000107779	ENST00000224764	ENSMMUP00000015551	
ENSG00000108405	ENST00000225538	ENSMMUP00000010823	
ENSG00000108556	ENST00000293780	ENSMMUP00000003234	
ENSG00000108797	ENST00000264638	ENSMMUP00000010627	
ENSG00000108947	ENST00000226091	ENSMMUP00000010690	
ENSG00000109158	ENST00000264318	ENSMMUP00000012458	
ENSG00000109163	ENST00000226413	ENSMMUP00000005039	
ENSG00000109738	ENST00000264428	ENSMMUP00000030159	
ENSG00000109991	ENST00000263314	ENSMMUP00000023417	
ENSG00000110148	ENST00000334619	ENSMMUP00000036905	
ENSG00000110195	ENST00000312293	ENSMMUP00000013701	
ENSG00000110324	ENST00000227752	ENSMMUP00000010012	
ENSG00000110400	ENST00000264025	ENSMMUP00000010843	
ENSG00000110448	ENST00000347785	ENSMMUP00000019685	
ENSG00000110848	ENST00000228434	ENSMMUP00000020060	
ENSG00000111199	ENST00000418703	ENSMMUP00000005260	
ENSG00000111291	ENST00000228887	ENSMMUP00000040185	
ENSG00000111432	ENST00000229030	ENSMMUP00000009070	
ENSG00000111452	ENST00000261654	ENSMMUP00000038378	
ENSG00000111729	ENST00000229332	ENSMMUP00000019992	
ENSG00000111796	ENST00000229402	
ENSG00000111886	ENST00000402938	ENSMMUP00000025657	
ENSG00000111981	ENST00000367345	ENSMMUP00000009193	
ENSG00000112038	ENST00000434900	ENSMMUP00000029873	
ENSG00000112164	ENST00000373256	ENSMMUP00000030790	
ENSG00000112195	ENST00000483722	ENSMMUP00000018301	
ENSG00000112218	ENST00000417980	ENSMMUP00000018584	
ENSG00000112414	ENST00000367609	
ENSG00000112459	ENST00000230221	
ENSG00000112462	ENST00000377143	ENSMMUP00000004334	
ENSG00000112486	ENST00000400926	ENSMMUP00000007499	
ENSG00000112902	ENST00000382496	ENSMMUP00000026545	
ENSG00000112964	ENST00000230882	ENSMMUP00000001785	
ENSG00000113070	ENST00000230990	ENSMMUP00000034036	
ENSG00000113262	ENST00000231188	ENSMMUP00000023150	
ENSG00000113327	ENST00000414552	ENSMMUP00000012702	
ENSG00000113594	ENST00000263409	ENSMMUP00000009693	
ENSG00000113721	ENST00000261799	ENSMMUP00000015166	
ENSG00000113749	ENST00000377291	ENSMMUP00000018706	
ENSG00000113763	ENST00000329542	ENSMMUP00000003568	
ENSG00000114013	ENST00000330540	ENSMMUP00000001226	
ENSG00000114554	ENST00000393409	ENSMMUP00000021978	
ENSG00000114739	ENST00000352511	ENSMMUP00000024737	
ENSG00000114812	ENST00000325123	ENSMMUP00000026152	
ENSG00000115170	ENST00000263640	ENSMMUP00000024342	
ENSG00000115221	ENST00000283249	ENSMMUP00000003607	
ENSG00000115232	ENST00000397033	ENSMMUP00000000407	
ENSG00000115353	ENST00000305249	ENSMMUP00000002455	
ENSG00000115590	ENST00000332549	ENSMMUP00000027291	
ENSG00000115594	ENST00000410023	ENSMMUP00000027289	
ENSG00000115598	ENST00000264257	ENSMMUP00000021726	
ENSG00000115602	ENST00000233954	ENSMMUP00000012106	
ENSG00000115604	ENST00000410040	ENSMMUP00000012112	
ENSG00000116014	ENST00000234371	ENSMMUP00000012668	
ENSG00000116032	ENST00000234389	
ENSG00000116106	ENST00000281821	ENSMMUP00000016238	
ENSG00000116329	ENST00000234961	ENSMMUP00000012292	
ENSG00000116678	ENST00000349533	ENSMMUP00000040008	
ENSG00000116824	ENST00000369478	ENSMMUP00000016101	
ENSG00000116996	ENST00000366570	ENSMMUP00000002806	
ENSG00000117090	ENST00000302035	ENSMMUP00000020773	
ENSG00000117114	ENST00000359929	ENSMMUP00000003384	
ENSG00000117322	ENST00000367057	ENSMMUP00000017894	
ENSG00000117335	ENST00000322875	ENSMMUP00000009335	
ENSG00000117400	ENST00000372470	ENSMMUP00000004212	
ENSG00000117425	ENST00000372192	ENSMMUP00000027597	
ENSG00000117971	ENST00000261751	ENSMMUP00000009896	
ENSG00000118257	ENST00000360409	ENSMMUP00000026377	
ENSG00000118432	ENST00000369501	ENSMMUP00000001031	
ENSG00000119121	ENST00000360774	ENSMMUP00000017215	
ENSG00000119535	ENST00000373103	ENSMMUP00000026898	
ENSG00000119686	ENST00000238667	ENSMMUP00000023243	
ENSG00000119714	ENST00000531499	ENSMMUP00000029462	
ENSG00000119737	ENST00000394705	ENSMMUP00000010616	
ENSG00000119973	ENST00000239032	ENSMMUP00000021490	
ENSG00000120088	ENST00000398285	ENSMMUP00000005491	
ENSG00000120156	ENST00000380036	ENSMMUP00000007986	
ENSG00000120217	ENST00000381577	ENSMMUP00000016049	
ENSG00000120251	ENST00000296526	ENSMMUP00000024019	
ENSG00000120436	ENST00000366834	ENSMMUP00000007502	
ENSG00000120586	ENST00000239761	ENSMMUP00000015255	
ENSG00000120659	ENST00000239849	ENSMMUP00000023500	
ENSG00000120889	ENST00000276431	ENSMMUP00000009898	
ENSG00000120903	ENST00000407991	ENSMMUP00000028337	
ENSG00000120907	ENST00000380586	ENSMMUP00000030426	
ENSG00000120949	ENST00000263932	ENSMMUP00000010936	
ENSG00000121594	ENST00000264246	ENSMMUP00000039956	
ENSG00000121716	ENST00000310771	ENSMMUP00000024212	
ENSG00000121753	ENST00000373658	ENSMMUP00000030810	
ENSG00000121764	ENST00000403528	ENSMMUP00000030802	
ENSG00000121797	ENST00000357392	ENSMMUP00000018726	
ENSG00000121807	ENST00000292301	ENSMMUP00000018750	
ENSG00000121853	ENST00000241256	ENSMMUP00000005608	
ENSG00000121933	ENST00000369716	ENSMMUP00000004776	
ENSG00000121966	ENST00000409817	ENSMMUP00000036080	
ENSG00000121989	ENST00000241416	ENSMMUP00000000053	
ENSG00000122025	ENST00000241453	ENSMMUP00000036456	
ENSG00000122223	ENST00000368033	ENSMMUP00000022806	
ENSG00000122375	ENST00000372071	ENSMMUP00000004811	
ENSG00000122420	ENST00000370758	ENSMMUP00000013880	
ENSG00000122679	ENST00000242249	ENSMMUP00000005103	
ENSG00000122718	ENST00000341959	
ENSG00000123146	ENST00000242786	ENSMMUP00000007545	
ENSG00000123384	ENST00000243077	ENSMMUP00000028683	
ENSG00000123612	ENST00000243349	ENSMMUP00000038320	
ENSG00000123901	ENST00000243673	ENSMMUP00000005495	
ENSG00000124089	ENST00000243911	
ENSG00000124145	ENST00000372733	ENSMMUP00000004542	
ENSG00000124334	ENST00000244174	
ENSG00000124493	ENST00000374181	ENSMMUP00000030340	
ENSG00000124557	ENST00000244513	ENSMMUP00000030294	
ENSG00000124657	ENST00000244623	
ENSG00000124731	ENST00000244709	ENSMMUP00000004898	
ENSG00000125245	ENST00000397473	ENSMMUP00000016196	
ENSG00000125384	ENST00000245457	ENSMMUP00000000026	
ENSG00000125498	ENST00000336077	
ENSG00000125510	ENST00000336866	ENSMMUP00000021557	
ENSG00000125522	ENST00000369768	ENSMMUP00000038307	
ENSG00000125675	ENST00000264357	ENSMMUP00000011880	
ENSG00000125810	ENST00000246006	ENSMMUP00000022103	
ENSG00000125910	ENST00000246115	ENSMMUP00000022418	
ENSG00000126010	ENST00000380289	ENSMMUP00000031204	
ENSG00000126246	ENST00000246532	ENSMMUP00000003196	
ENSG00000126251	ENST00000454971	ENSMMUP00000023191	
ENSG00000126262	ENST00000246549	ENSMMUP00000003626	
ENSG00000126266	ENST00000246553	ENSMMUP00000023190	
ENSG00000126353	ENST00000246657	ENSMMUP00000002799	
ENSG00000126777	ENST00000395309	ENSMMUP00000008752	
ENSG00000126895	ENST00000358927	ENSMMUP00000006651	
ENSG00000127364	ENST00000247881	ENSMMUP00000029531	
ENSG00000127418	ENST00000398484	ENSMMUP00000040717	
ENSG00000127507	ENST00000315576	ENSMMUP00000024916	
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	ENSMMUP00000031780	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	ENSMMUP00000022690	
ENSG00000127780	ENST00000248384	ENSMMUP00000014478	
ENSG00000128052	ENST00000263923	ENSMMUP00000016642	
ENSG00000128271	ENST00000541988	ENSMMUP00000037198	
ENSG00000128285	ENST00000249016	ENSMMUP00000022864	
ENSG00000128310	ENST00000249041	ENSMMUP00000019998	
ENSG00000128519	ENST00000249284	ENSMMUP00000001479	
ENSG00000128602	ENST00000249373	ENSMMUP00000015878	
ENSG00000128617	ENST00000249389	ENSMMUP00000012589	
ENSG00000129048	ENST00000249887	ENSMMUP00000000713	
ENSG00000129749	ENST00000250699	ENSMMUP00000005269	
ENSG00000130164	ENST00000252444	ENSMMUP00000004821	
ENSG00000130202	ENST00000252483	ENSMMUP00000018783	
ENSG00000130234	ENST00000252519	ENSMMUP00000018466	
ENSG00000130368	ENST00000252660	ENSMMUP00000021313	
ENSG00000130529	ENST00000252826	ENSMMUP00000009894	
ENSG00000130538	ENST00000252835	
ENSG00000131015	ENST00000367351	
ENSG00000131042	ENST00000391749	ENSMMUP00000012365	
ENSG00000131080	ENST00000374719	ENSMMUP00000019702	
ENSG00000131355	ENST00000253673	ENSMMUP00000028835	
ENSG00000131477	ENST00000253796	ENSMMUP00000002868	
ENSG00000131724	ENST00000371666	
ENSG00000132329	ENST00000254661	ENSMMUP00000041196	
ENSG00000132334	ENST00000254667	ENSMMUP00000007117	
ENSG00000132517	ENST00000254853	ENSMMUP00000014890	
ENSG00000132518	ENST00000254854	ENSMMUP00000023307	
ENSG00000132670	ENST00000380393	ENSMMUP00000007744	
ENSG00000132671	ENST00000255008	ENSMMUP00000022106	
ENSG00000132704	ENST00000361516	ENSMMUP00000026073	
ENSG00000132911	ENST00000255262	ENSMMUP00000018241	
ENSG00000132975	ENST00000405846	ENSMMUP00000006697	
ENSG00000133019	ENST00000255380	ENSMMUP00000028244	
ENSG00000133067	ENST00000367278	ENSMMUP00000018138	
ENSG00000133105	ENST00000298386	ENSMMUP00000005197	
ENSG00000133216	ENST00000374632	ENSMMUP00000030779	
ENSG00000133800	ENST00000256178	ENSMMUP00000020747	
ENSG00000134061	ENST00000256447	ENSMMUP00000034582	
ENSG00000134160	ENST00000397795	ENSMMUP00000033949	
ENSG00000134243	ENST00000256637	ENSMMUP00000007661	
ENSG00000134250	ENST00000256646	ENSMMUP00000024161	
ENSG00000134352	ENST00000381298	ENSMMUP00000002522	
ENSG00000134460	ENST00000379959	ENSMMUP00000036344	
ENSG00000134489	ENST00000256906	ENSMMUP00000019742	
ENSG00000134539	ENST00000381907	ENSMMUP00000024061	
ENSG00000134545	ENST00000359151	ENSMMUP00000024076	
ENSG00000134569	ENST00000378623	ENSMMUP00000017205	
ENSG00000134640	ENST00000257068	ENSMMUP00000023336	
ENSG00000134817	ENST00000257254	ENSMMUP00000013928	
ENSG00000134830	ENST00000257267	ENSMMUP00000012155	
ENSG00000134853	ENST00000257290	ENSMMUP00000020623	
ENSG00000135124	ENST00000337233	ENSMMUP00000004691	
ENSG00000135218	ENST00000435819	
ENSG00000135298	ENST00000370598	ENSMMUP00000006483	
ENSG00000135312	ENST00000369947	ENSMMUP00000020635	
ENSG00000135333	ENST00000369303	ENSMMUP00000019514	
ENSG00000135409	ENST00000257863	ENSMMUP00000026355	
ENSG00000135424	ENST00000257879	ENSMMUP00000017374	
ENSG00000135503	ENST00000541224	ENSMMUP00000008149	
ENSG00000135577	ENST00000258042	ENSMMUP00000004564	
ENSG00000135622	ENST00000357877	ENSMMUP00000006819	
ENSG00000135898	ENST00000392040	ENSMMUP00000018396	
ENSG00000135902	ENST00000258385	ENSMMUP00000029156	
ENSG00000135914	ENST00000258400	ENSMMUP00000015461	
ENSG00000135960	ENST00000258443	ENSMMUP00000025716	
ENSG00000135973	ENST00000258456	ENSMMUP00000036199	
ENSG00000136011	ENST00000388887	ENSMMUP00000008375	
ENSG00000136040	ENST00000258526	ENSMMUP00000023974	
ENSG00000136160	ENST00000334286	ENSMMUP00000006797	
ENSG00000136834	ENST00000259357	ENSMMUP00000003299	
ENSG00000136839	ENST00000259362	
ENSG00000136869	ENST00000355622	ENSMMUP00000039787	
ENSG00000136928	ENST00000259455	ENSMMUP00000012870	
ENSG00000136939	ENST00000259466	
ENSG00000136960	ENST00000259486	ENSMMUP00000006514	
ENSG00000137070	ENST00000555003	ENSMMUP00000027362	
ENSG00000137101	ENST00000396757	ENSMMUP00000021433	
ENSG00000137252	ENST00000370862	ENSMMUP00000001865	
ENSG00000137332	ENST00000259875	
ENSG00000137403	ENST00000383516	
ENSG00000137462	ENST00000260010	ENSMMUP00000020834	
ENSG00000137642	ENST00000260197	
ENSG00000137809	ENST00000315757	ENSMMUP00000033468	
ENSG00000137868	ENST00000395105	ENSMMUP00000033431	
ENSG00000137872	ENST00000536845	ENSMMUP00000015937	
ENSG00000138039	ENST00000294954	ENSMMUP00000013586	
ENSG00000138271	ENST00000260843	ENSMMUP00000001467	
ENSG00000138435	ENST00000261007	ENSMMUP00000028708	
ENSG00000138448	ENST00000261023	ENSMMUP00000038026	
ENSG00000138696	ENST00000515059	ENSMMUP00000008818	
ENSG00000138741	ENST00000379645	ENSMMUP00000012856	
ENSG00000138760	ENST00000264896	ENSMMUP00000027514	
ENSG00000139187	ENST00000356986	ENSMMUP00000001901	
ENSG00000139193	ENST00000266557	ENSMMUP00000018733	
ENSG00000139292	ENST00000266674	ENSMMUP00000027557	
ENSG00000139514	ENST00000380752	ENSMMUP00000011357	
ENSG00000139567	ENST00000267008	ENSMMUP00000006601	
ENSG00000139572	ENST00000267015	ENSMMUP00000021919	
ENSG00000139626	ENST00000422257	ENSMMUP00000006941	
ENSG00000139636	ENST00000267102	ENSMMUP00000016777	
ENSG00000139679	ENST00000378434	ENSMMUP00000010363	
ENSG00000139874	ENST00000267377	ENSMMUP00000024416	
ENSG00000140443	ENST00000268035	ENSMMUP00000016141	
ENSG00000140538	ENST00000360948	ENSMMUP00000001849	
ENSG00000140678	ENST00000268296	
ENSG00000140749	ENST00000268389	ENSMMUP00000018238	
ENSG00000141194	ENST00000268912	
ENSG00000141458	ENST00000269228	ENSMMUP00000028303	
ENSG00000141505	ENST00000269299	ENSMMUP00000013808	
ENSG00000141655	ENST00000269485	ENSMMUP00000002953	
ENSG00000141736	ENST00000269571	ENSMMUP00000001803	
ENSG00000142166	ENST00000270139	ENSMMUP00000005290	
ENSG00000142511	ENST00000270590	ENSMMUP00000033909	
ENSG00000142627	ENST00000358432	ENSMMUP00000023985	
ENSG00000142949	ENST00000359947	ENSMMUP00000016382	
ENSG00000143126	ENST00000271332	ENSMMUP00000020161	
ENSG00000143127	ENST00000369304	ENSMMUP00000021107	
ENSG00000143147	ENST00000367838	ENSMMUP00000013626	
ENSG00000143167	ENST00000367868	ENSMMUP00000030893	
ENSG00000143217	ENST00000368012	ENSMMUP00000002685	
ENSG00000143226	ENST00000271450	ENSMMUP00000005033	
ENSG00000143297	ENST00000361835	
ENSG00000143324	ENST00000367590	ENSMMUP00000016881	
ENSG00000144136	ENST00000272542	ENSMMUP00000006082	
ENSG00000144230	ENST00000544369	ENSMMUP00000005593	
ENSG00000144407	ENST00000272847	ENSMMUP00000007000	
ENSG00000144476	ENST00000272928	ENSMMUP00000014134	
ENSG00000144481	ENST00000324695	ENSMMUP00000027950	
ENSG00000144648	ENST00000442925	
ENSG00000144668	ENST00000264741	ENSMMUP00000028873	
ENSG00000144724	ENST00000474889	ENSMMUP00000016404	
ENSG00000144820	ENST00000273352	ENSMMUP00000003826	
ENSG00000144847	ENST00000393775	ENSMMUP00000010582	
ENSG00000144891	ENST00000497524	ENSMMUP00000038571	
ENSG00000145103	ENST00000273691	ENSMMUP00000001221	
ENSG00000145242	ENST00000273854	ENSMMUP00000019000	
ENSG00000145244	ENST00000273857	ENSMMUP00000028679	
ENSG00000145451	ENST00000274093	ENSMMUP00000011630	
ENSG00000145623	ENST00000274276	ENSMMUP00000002150	
ENSG00000145863	ENST00000274545	ENSMMUP00000003786	
ENSG00000145864	ENST00000393959	ENSMMUP00000023715	
ENSG00000145888	ENST00000455880	ENSMMUP00000019287	
ENSG00000146072	ENST00000296861	ENSMMUP00000015624	
ENSG00000146276	ENST00000454853	ENSMMUP00000019600	
ENSG00000146360	ENST00000275169	ENSMMUP00000019378	
ENSG00000146399	ENST00000275216	ENSMMUP00000019771	
ENSG00000146648	ENST00000275493	ENSMMUP00000029471	
ENSG00000146904	ENST00000275815	ENSMMUP00000016603	
ENSG00000146938	ENST00000381095	ENSMMUP00000014838	
ENSG00000147138	ENST00000276077	ENSMMUP00000002379	
ENSG00000147145	ENST00000435339	ENSMMUP00000022301	
ENSG00000147155	ENST00000495186	ENSMMUP00000024108	
ENSG00000147168	ENST00000374202	ENSMMUP00000023402	
ENSG00000147246	ENST00000276198	ENSMMUP00000012572	
ENSG00000147262	ENST00000276218	ENSMMUP00000010997	
ENSG00000147380	ENST00000369935	ENSMMUP00000008106	
ENSG00000147402	ENST00000370306	ENSMMUP00000028545	
ENSG00000147432	ENST00000289957	ENSMMUP00000014620	
ENSG00000147434	ENST00000276410	ENSMMUP00000000227	
ENSG00000147650	ENST00000276654	ENSMMUP00000030006	
ENSG00000148053	ENST00000376214	ENSMMUP00000030437	
ENSG00000148136	ENST00000277216	
ENSG00000148215	ENST00000373680	ENSMMUP00000007591	
ENSG00000148600	ENST00000372117	ENSMMUP00000000887	
ENSG00000148604	ENST00000359452	ENSMMUP00000000890	
ENSG00000148680	ENST00000336152	ENSMMUP00000008709	
ENSG00000148734	ENST00000277942	ENSMMUP00000007099	
ENSG00000149133	ENST00000278409	
ENSG00000149295	ENST00000362072	ENSMMUP00000018829	
ENSG00000149305	ENST00000260191	ENSMMUP00000009276	
ENSG00000149403	ENST00000527524	ENSMMUP00000029417	
ENSG00000149534	ENST00000278888	ENSMMUP00000017790	
ENSG00000150045	ENST00000279544	ENSMMUP00000020064	
ENSG00000150048	ENST00000315330	ENSMMUP00000007687	
ENSG00000150086	ENST00000279593	ENSMMUP00000025129	
ENSG00000150093	ENST00000396033	
ENSG00000150261	ENST00000279783	ENSMMUP00000001738	
ENSG00000150269	ENST00000279791	
ENSG00000150337	ENST00000369168	ENSMMUP00000005832	
ENSG00000150471	ENST00000514591	ENSMMUP00000003482	
ENSG00000150594	ENST00000280155	ENSMMUP00000007030	
ENSG00000150637	ENST00000280200	ENSMMUP00000012105	
ENSG00000150938	ENST00000280527	
ENSG00000150995	ENST00000302640	ENSMMUP00000039666	
ENSG00000151025	ENST00000376351	ENSMMUP00000003921	
ENSG00000151490	ENST00000281171	
ENSG00000151577	ENST00000460779	ENSMMUP00000030208	
ENSG00000151617	ENST00000324300	ENSMMUP00000034731	
