ENSG00000003056	ENST00000000412	ENSMEUP00000000106
ENSG00000126246	ENST00000246532	
ENSG00000126262	ENST00000246549	
ENSG00000126266	ENST00000246553	ENSMEUP00000009053
ENSG00000126353	ENST00000246657	ENSMEUP00000013672
ENSG00000127364	ENST00000247881	ENSMEUP00000008166
ENSG00000127515	ENST00000248058	
ENSG00000127529	ENST00000248072	
ENSG00000127530	ENST00000248073	
ENSG00000127533	ENST00000248076	
ENSG00000128285	ENST00000249016	
ENSG00000128310	ENST00000249041	ENSMEUP00000012717
ENSG00000128519	ENST00000249284	
ENSG00000128602	ENST00000249373	ENSMEUP00000002850
ENSG00000128617	ENST00000249389	ENSMEUP00000006400
ENSG00000129048	ENST00000249887	ENSMEUP00000003252
ENSG00000129749	ENST00000250699	ENSMEUP00000008724
ENSG00000130164	ENST00000252444	ENSMEUP00000014823
ENSG00000130202	ENST00000252483	
ENSG00000130234	ENST00000252519	ENSMEUP00000006093
ENSG00000130368	ENST00000252660	
ENSG00000130529	ENST00000252826	ENSMEUP00000013378
ENSG00000130538	ENST00000252835	
ENSG00000131355	ENST00000253673	
ENSG00000131477	ENST00000253796	
ENSG00000132329	ENST00000254661	ENSMEUP00000005943
ENSG00000132334	ENST00000254667	ENSMEUP00000009673
ENSG00000132517	ENST00000254853	ENSMEUP00000009067
ENSG00000132518	ENST00000254854	ENSMEUP00000005782
ENSG00000132671	ENST00000255008	ENSMEUP00000011473
ENSG00000132911	ENST00000255262	ENSMEUP00000013790
ENSG00000133019	ENST00000255380	
ENSG00000133800	ENST00000256178	
ENSG00000134061	ENST00000256447	ENSMEUP00000014825
ENSG00000134243	ENST00000256637	ENSMEUP00000013207
ENSG00000134250	ENST00000256646	ENSMEUP00000008846
ENSG00000134489	ENST00000256906	ENSMEUP00000011980
ENSG00000134640	ENST00000257068	
ENSG00000134817	ENST00000257254	ENSMEUP00000014216
ENSG00000134830	ENST00000257267	
ENSG00000134853	ENST00000257290	ENSMEUP00000014113
ENSG00000135409	ENST00000257863	ENSMEUP00000010605
ENSG00000135424	ENST00000257879	ENSMEUP00000000392
ENSG00000135577	ENST00000258042	
ENSG00000135902	ENST00000258385	ENSMEUP00000010480
ENSG00000135914	ENST00000258400	ENSMEUP00000008355
ENSG00000135960	ENST00000258443	ENSMEUP00000003121
ENSG00000135973	ENST00000258456	
ENSG00000136040	ENST00000258526	ENSMEUP00000011478
ENSG00000136928	ENST00000259455	ENSMEUP00000000688
ENSG00000136939	ENST00000259466	ENSMEUP00000012005
ENSG00000136960	ENST00000259486	ENSMEUP00000000895
ENSG00000137332	ENST00000259875	
ENSG00000204642	ENST00000259951	
ENSG00000137462	ENST00000260010	ENSMEUP00000007333
ENSG00000149305	ENST00000260191	ENSMEUP00000006297
ENSG00000137642	ENST00000260197	ENSMEUP00000003797
ENSG00000138271	ENST00000260843	
ENSG00000138435	ENST00000261007	ENSMEUP00000003314
ENSG00000138448	ENST00000261023	ENSMEUP00000009379
ENSG00000069431	ENST00000261200	ENSMEUP00000008111
ENSG00000069493	ENST00000261340	
ENSG00000070018	ENST00000261349	ENSMEUP00000006830
ENSG00000240505	ENST00000261652	ENSMEUP00000003457
ENSG00000111452	ENST00000261654	ENSMEUP00000010925
ENSG00000073060	ENST00000261693	ENSMEUP00000009363
ENSG00000117971	ENST00000261751	ENSMEUP00000000963
ENSG00000113721	ENST00000261799	ENSMEUP00000005267
ENSG00000067141	ENST00000261908	ENSMEUP00000014560
ENSG00000037280	ENST00000261937	ENSMEUP00000010005
ENSG00000038945	ENST00000262101	
ENSG00000106018	ENST00000262178	
ENSG00000105383	ENST00000262262	
ENSG00000081985	ENST00000262345	ENSMEUP00000000599
ENSG00000005961	ENST00000262407	ENSMEUP00000000742
ENSG00000065325	ENST00000262441	ENSMEUP00000014199
ENSG00000105707	ENST00000262626	ENSMEUP00000014468
ENSG00000075275	ENST00000262738	ENSMEUP00000012313
ENSG00000105737	ENST00000262895	ENSMEUP00000015221
ENSG00000088812	ENST00000262919	ENSMEUP00000006256
ENSG00000083457	ENST00000263087	ENSMEUP00000006554
ENSG00000105464	ENST00000263269	ENSMEUP00000003271
ENSG00000010310	ENST00000263281	ENSMEUP00000010946
ENSG00000109991	ENST00000263314	ENSMEUP00000012359
ENSG00000104998	ENST00000263379	ENSMEUP00000008269
ENSG00000113594	ENST00000263409	ENSMEUP00000011764
ENSG00000054219	ENST00000263636	ENSMEUP00000007316
ENSG00000115170	ENST00000263640	ENSMEUP00000006463
ENSG00000092445	ENST00000263798	ENSMEUP00000005808
ENSG00000062524	ENST00000263800	ENSMEUP00000002278
ENSG00000081479	ENST00000263816	ENSMEUP00000011806
ENSG00000128052	ENST00000263923	ENSMEUP00000013704
ENSG00000120949	ENST00000263932	ENSMEUP00000014049
ENSG00000110400	ENST00000264025	ENSMEUP00000008296
ENSG00000121594	ENST00000264246	ENSMEUP00000003451
ENSG00000115598	ENST00000264257	
ENSG00000109158	ENST00000264318	ENSMEUP00000013799
ENSG00000125675	ENST00000264357	ENSMEUP00000006211
ENSG00000109738	ENST00000264428	ENSMEUP00000012672
ENSG00000108797	ENST00000264638	ENSMEUP00000014500
ENSG00000144668	ENST00000264741	ENSMEUP00000002599
ENSG00000090339	ENST00000264832	
ENSG00000138760	ENST00000264896	ENSMEUP00000007260
ENSG00000099250	ENST00000265371	ENSMEUP00000001012
ENSG00000082556	ENST00000265572	ENSMEUP00000010095
ENSG00000139193	ENST00000266557	ENSMEUP00000013911
ENSG00000139292	ENST00000266674	ENSMEUP00000006903
ENSG00000139572	ENST00000267015	
ENSG00000065361	ENST00000267101	ENSMEUP00000014508
ENSG00000139636	ENST00000267102	ENSMEUP00000012964
ENSG00000139874	ENST00000267377	ENSMEUP00000003239
ENSG00000140443	ENST00000268035	ENSMEUP00000013689
ENSG00000140749	ENST00000268389	
ENSG00000141458	ENST00000269228	ENSMEUP00000015183
ENSG00000141505	ENST00000269299	
ENSG00000141655	ENST00000269485	ENSMEUP00000013282
ENSG00000141736	ENST00000269571	ENSMEUP00000006689
ENSG00000142166	ENST00000270139	ENSMEUP00000015171
ENSG00000187244	ENST00000270233	ENSMEUP00000007434
ENSG00000142511	ENST00000270590	
ENSG00000143126	ENST00000271332	ENSMEUP00000010981
ENSG00000144136	ENST00000272542	ENSMEUP00000013747
ENSG00000144407	ENST00000272847	ENSMEUP00000011290
ENSG00000144476	ENST00000272928	ENSMEUP00000007519
ENSG00000144820	ENST00000273352	ENSMEUP00000004154
ENSG00000145103	ENST00000273691	ENSMEUP00000000968
ENSG00000145242	ENST00000273854	ENSMEUP00000006451
ENSG00000145244	ENST00000273857	ENSMEUP00000007801
ENSG00000145451	ENST00000274093	ENSMEUP00000000135
ENSG00000145623	ENST00000274276	ENSMEUP00000005792
ENSG00000145863	ENST00000274545	ENSMEUP00000001069
ENSG00000146360	ENST00000275169	ENSMEUP00000010431
ENSG00000146399	ENST00000275216	ENSMEUP00000008276
ENSG00000146648	ENST00000275493	ENSMEUP00000002410
ENSG00000146904	ENST00000275815	ENSMEUP00000015135
ENSG00000147138	ENST00000276077	ENSMEUP00000003167
ENSG00000147246	ENST00000276198	
ENSG00000147262	ENST00000276218	ENSMEUP00000005319
ENSG00000147434	ENST00000276410	ENSMEUP00000010288
ENSG00000120889	ENST00000276431	
ENSG00000147650	ENST00000276654	ENSMEUP00000011557
ENSG00000148136	ENST00000277216	
ENSG00000165204	ENST00000277309	ENSMEUP00000012789
ENSG00000148734	ENST00000277942	ENSMEUP00000013771
ENSG00000149133	ENST00000278409	ENSMEUP00000000491
ENSG00000149534	ENST00000278888	
ENSG00000150045	ENST00000279544	
ENSG00000150086	ENST00000279593	ENSMEUP00000013313
ENSG00000150269	ENST00000279791	
ENSG00000150594	ENST00000280155	
ENSG00000150637	ENST00000280200	
ENSG00000150938	ENST00000280527	ENSMEUP00000008428
ENSG00000151490	ENST00000281171	ENSMEUP00000012635
ENSG00000116106	ENST00000281821	ENSMEUP00000013055
ENSG00000152207	ENST00000282018	
ENSG00000152208	ENST00000282020	ENSMEUP00000008490
ENSG00000152578	ENST00000282499	ENSMEUP00000001542
ENSG00000213949	ENST00000282588	ENSMEUP00000002373
ENSG00000153233	ENST00000283228	ENSMEUP00000006820
ENSG00000153246	ENST00000283243	ENSMEUP00000013654
ENSG00000115221	ENST00000283249	ENSMEUP00000006167
ENSG00000153563	ENST00000283635	ENSMEUP00000004478
ENSG00000196119	ENST00000284287	
ENSG00000154165	ENST00000284311	ENSMEUP00000008547
ENSG00000154309	ENST00000284476	ENSMEUP00000007858
ENSG00000154478	ENST00000284674	ENSMEUP00000009508
ENSG00000154639	ENST00000284878	
ENSG00000155249	ENST00000285600	ENSMEUP00000002528
ENSG00000155511	ENST00000285900	ENSMEUP00000004274
ENSG00000155760	ENST00000286201	ENSMEUP00000011551
ENSG00000182578	ENST00000286301	ENSMEUP00000011091
ENSG00000157219	ENST00000287907	ENSMEUP00000000660
ENSG00000157240	ENST00000287934	
ENSG00000157404	ENST00000288135	ENSMEUP00000003181
ENSG00000056736	ENST00000288167	ENSMEUP00000007482
ENSG00000173285	ENST00000289451	ENSMEUP00000007327
ENSG00000015520	ENST00000289547	ENSMEUP00000007575
ENSG00000158748	ENST00000289753	ENSMEUP00000008875
ENSG00000158869	ENST00000289902	ENSMEUP00000001466
ENSG00000147432	ENST00000289957	ENSMEUP00000010361
ENSG00000243646	ENST00000290200	ENSMEUP00000004076
ENSG00000159128	ENST00000290219	ENSMEUP00000002906
ENSG00000159961	ENST00000291231	
ENSG00000159958	ENST00000291232	
ENSG00000160013	ENST00000291294	ENSMEUP00000007780
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	
ENSG00000160683	ENST00000292174	ENSMEUP00000004542
ENSG00000121807	ENST00000292301	
ENSG00000160951	ENST00000292513	ENSMEUP00000002634
ENSG00000161509	ENST00000293190	ENSMEUP00000000671
ENSG00000161638	ENST00000293379	ENSMEUP00000006621
ENSG00000161921	ENST00000293778	
ENSG00000108556	ENST00000293780	ENSMEUP00000011111
ENSG00000162337	ENST00000294304	ENSMEUP00000008728
ENSG00000138039	ENST00000294954	ENSMEUP00000013117
ENSG00000153208	ENST00000295408	ENSMEUP00000013243
ENSG00000163251	ENST00000295417	ENSMEUP00000002301
ENSG00000163285	ENST00000295452	ENSMEUP00000011255
ENSG00000163288	ENST00000295454	ENSMEUP00000000445
ENSG00000163394	ENST00000295589	ENSMEUP00000003660
ENSG00000163464	ENST00000295683	
ENSG00000054356	ENST00000295718	ENSMEUP00000014691
ENSG00000163702	ENST00000295981	ENSMEUP00000010460
ENSG00000163785	ENST00000296084	ENSMEUP00000000481
ENSG00000163823	ENST00000296140	
ENSG00000082781	ENST00000296181	ENSMEUP00000009905
ENSG00000163914	ENST00000296271	ENSMEUP00000006563
ENSG00000164078	ENST00000296474	ENSMEUP00000000092
ENSG00000120251	ENST00000296526	ENSMEUP00000009934
ENSG00000164128	ENST00000296533	ENSMEUP00000011450
ENSG00000164171	ENST00000296585	ENSMEUP00000001092
ENSG00000164220	ENST00000296641	ENSMEUP00000012654
ENSG00000164251	ENST00000296677	ENSMEUP00000009873
ENSG00000164342	ENST00000296795	ENSMEUP00000013707
ENSG00000146072	ENST00000296861	ENSMEUP00000013470
ENSG00000164393	ENST00000296862	ENSMEUP00000010708
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	
ENSG00000133105	ENST00000298386	ENSMEUP00000013357
ENSG00000165621	ENST00000298440	
ENSG00000165682	ENST00000298527	ENSMEUP00000002747
ENSG00000165762	ENST00000298642	ENSMEUP00000004436
ENSG00000166073	ENST00000299092	ENSMEUP00000014659
ENSG00000166148	ENST00000299178	ENSMEUP00000004332
ENSG00000169684	ENST00000299565	
ENSG00000166573	ENST00000299727	ENSMEUP00000007906
ENSG00000166603	ENST00000299766	ENSMEUP00000011669
ENSG00000166682	ENST00000299882	ENSMEUP00000001066
ENSG00000166825	ENST00000300060	ENSMEUP00000012180
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	ENSMEUP00000009023
ENSG00000167286	ENST00000300692	ENSMEUP00000003583
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	ENSMEUP00000011928
ENSG00000167601	ENST00000301178	ENSMEUP00000013742
ENSG00000167822	ENST00000301529	ENSMEUP00000001589
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSMEUP00000000971
ENSG00000117090	ENST00000302035	
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	
ENSG00000172154	ENST00000302124	
ENSG00000171522	ENST00000302472	ENSMEUP00000000197
ENSG00000171657	ENST00000302548	
ENSG00000197887	ENST00000302592	ENSMEUP00000010986
ENSG00000172377	ENST00000302610	ENSMEUP00000004998
ENSG00000197532	ENST00000302617	
ENSG00000172381	ENST00000302622	ENSMEUP00000003699
ENSG00000169313	ENST00000302632	
ENSG00000150995	ENST00000302640	ENSMEUP00000009323
ENSG00000171133	ENST00000302681	ENSMEUP00000009872
ENSG00000171105	ENST00000302850	ENSMEUP00000001304
ENSG00000169992	ENST00000302926	ENSMEUP00000006987
ENSG00000172459	ENST00000302969	
ENSG00000172464	ENST00000302981	ENSMEUP00000005671
ENSG00000172487	ENST00000303039	ENSMEUP00000001589
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSMEUP00000006761
ENSG00000168131	ENST00000303324	
ENSG00000169208	ENST00000303532	
ENSG00000169604	ENST00000303714	ENSMEUP00000005415
ENSG00000169618	ENST00000303786	ENSMEUP00000013516
ENSG00000170775	ENST00000303921	ENSMEUP00000009906
ENSG00000172243	ENST00000304084	
ENSG00000172146	ENST00000304094	
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSMEUP00000007634
ENSG00000170425	ENST00000304222	ENSMEUP00000003186
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	
ENSG00000172209	ENST00000304402	ENSMEUP00000002062
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000168124	ENST00000304646	ENSMEUP00000013286
ENSG00000171459	ENST00000304720	ENSMEUP00000012005
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	
ENSG00000171496	ENST00000304865	
ENSG00000169836	ENST00000304883	ENSMEUP00000006155
ENSG00000169484	ENST00000305045	ENSMEUP00000005685
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	
ENSG00000171596	ENST00000305141	ENSMEUP00000007469
ENSG00000171561	ENST00000305159	ENSMEUP00000009928
ENSG00000115353	ENST00000305249	ENSMEUP00000004938
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSMEUP00000000332
ENSG00000170605	ENST00000305377	ENSMEUP00000010823
ENSG00000168758	ENST00000305476	ENSMEUP00000000718
ENSG00000171936	ENST00000305892	ENSMEUP00000011904
ENSG00000171942	ENST00000305899	ENSMEUP00000011904
ENSG00000169252	ENST00000305988	ENSMEUP00000006966
ENSG00000168229	ENST00000306051	
ENSG00000157193	ENST00000306052	ENSMEUP00000009671
ENSG00000170175	ENST00000306071	ENSMEUP00000008148
ENSG00000170214	ENST00000306675	
ENSG00000171180	ENST00000306687	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	ENSMEUP00000003233
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000171944	ENST00000307388	ENSMEUP00000002915
ENSG00000172289	ENST00000307552	
ENSG00000196778	ENST00000307632	ENSMEUP00000003193
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSMEUP00000004032
ENSG00000174339	ENST00000307832	
ENSG00000056291	ENST00000308744	ENSMEUP00000007674
ENSG00000172519	ENST00000308940	ENSMEUP00000011904
ENSG00000174123	ENST00000308973	ENSMEUP00000013108
ENSG00000174125	ENST00000308979	ENSMEUP00000000067
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSMEUP00000004769
ENSG00000174946	ENST00000309180	ENSMEUP00000014530
ENSG00000173578	ENST00000309285	
ENSG00000172774	ENST00000309433	ENSMEUP00000010986
ENSG00000163485	ENST00000309502	ENSMEUP00000008356
ENSG00000173391	ENST00000309539	
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSMEUP00000009252
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSMEUP00000009611
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	
ENSG00000250510	ENST00000311268	ENSMEUP00000003162
ENSG00000175485	ENST00000311352	ENSMEUP00000004199
ENSG00000173567	ENST00000311519	ENSMEUP00000004467
ENSG00000166206	ENST00000311550	ENSMEUP00000006880
ENSG00000186513	ENST00000311591	ENSMEUP00000007003
ENSG00000174837	ENST00000312053	ENSMEUP00000011800
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	
ENSG00000174937	ENST00000312240	ENSMEUP00000013210
ENSG00000174942	ENST00000312253	ENSMEUP00000010263
ENSG00000110195	ENST00000312293	ENSMEUP00000013185
ENSG00000174957	ENST00000312298	
ENSG00000174970	ENST00000312345	ENSMEUP00000011520
ENSG00000174982	ENST00000312422	ENSMEUP00000012816
ENSG00000175514	ENST00000312457	
ENSG00000173762	ENST00000312648	
ENSG00000181693	ENST00000313022	
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSMEUP00000015267
ENSG00000181761	ENST00000313472	
ENSG00000181767	ENST00000313503	
ENSG00000181785	ENST00000313555	ENSMEUP00000013759
ENSG00000177675	ENST00000313599	ENSMEUP00000001474
ENSG00000176495	ENST00000313940	
ENSG00000179546	ENST00000314113	
ENSG00000181903	ENST00000314259	ENSMEUP00000005633
ENSG00000178789	ENST00000314401	
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	ENSMEUP00000003267
ENSG00000150048	ENST00000315330	
ENSG00000176198	ENST00000315409	ENSMEUP00000002078
ENSG00000180658	ENST00000315453	ENSMEUP00000002076
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	ENSMEUP00000011046
ENSG00000137809	ENST00000315757	ENSMEUP00000000710
ENSG00000176281	ENST00000315915	
ENSG00000176299	ENST00000315957	ENSMEUP00000009936
ENSG00000244623	ENST00000316368	
ENSG00000180919	ENST00000316529	ENSMEUP00000007692
ENSG00000180934	ENST00000316650	ENSMEUP00000003910
ENSG00000180914	ENST00000316793	
ENSG00000180974	ENST00000316987	
ENSG00000180988	ENST00000317037	ENSMEUP00000015188
ENSG00000181001	ENST00000317078	ENSMEUP00000012416
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSMEUP00000013683
ENSG00000181074	ENST00000317254	ENSMEUP00000011794
ENSG00000161649	ENST00000317310	
ENSG00000177151	ENST00000317450	
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	ENSMEUP00000007376
ENSG00000180245	ENST00000317735	ENSMEUP00000014210
ENSG00000178358	ENST00000317834	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	
ENSG00000105976	ENST00000318493	
ENSG00000180871	ENST00000318507	
ENSG00000197309	ENST00000318666	
ENSG00000177535	ENST00000318749	ENSMEUP00000013907
ENSG00000181104	ENST00000319211	
ENSG00000177663	ENST00000319363	ENSMEUP00000008398
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	ENSMEUP00000007936
ENSG00000221840	ENST00000319760	
ENSG00000176540	ENST00000319813	ENSMEUP00000009515
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	
ENSG00000178201	ENST00000321039	ENSMEUP00000014646
ENSG00000221866	ENST00000321063	ENSMEUP00000006856
ENSG00000181518	ENST00000321355	ENSMEUP00000010472
ENSG00000176787	ENST00000321522	ENSMEUP00000002810
ENSG00000176798	ENST00000321543	ENSMEUP00000010275
ENSG00000179615	ENST00000321688	ENSMEUP00000013492
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	ENSMEUP00000003435
ENSG00000176893	ENST00000322013	
ENSG00000176904	ENST00000322059	ENSMEUP00000008638
ENSG00000176922	ENST00000322101	
ENSG00000176231	ENST00000322107	ENSMEUP00000011904
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000181616	ENST00000322653	ENSMEUP00000008667
ENSG00000117335	ENST00000322875	
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	
ENSG00000178394	ENST00000323865	ENSMEUP00000005563
ENSG00000181733	ENST00000324060	
ENSG00000004399	ENST00000324093	ENSMEUP00000010318
ENSG00000178562	ENST00000324106	ENSMEUP00000005116
ENSG00000151617	ENST00000324300	ENSMEUP00000002697
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSMEUP00000004623
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	
ENSG00000114812	ENST00000325123	ENSMEUP00000005035
ENSG00000181631	ENST00000325602	ENSMEUP00000005799
ENSG00000181963	ENST00000325719	ENSMEUP00000003193
ENSG00000106128	ENST00000326139	ENSMEUP00000006205
ENSG00000186074	ENST00000326165	
ENSG00000177693	ENST00000326183	
ENSG00000179919	ENST00000326258	ENSMEUP00000010091
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	ENSMEUP00000010663
ENSG00000006327	ENST00000326577	
ENSG00000080644	ENST00000326828	ENSMEUP00000009418
ENSG00000019169	ENST00000327097	ENSMEUP00000010384
ENSG00000181371	ENST00000327216	
ENSG00000166342	ENST00000327305	
ENSG00000104938	ENST00000327325	
ENSG00000184954	ENST00000327335	
ENSG00000185385	ENST00000327462	
ENSG00000185436	ENST00000327535	ENSMEUP00000012849
ENSG00000185231	ENST00000327606	
ENSG00000153294	ENST00000327753	ENSMEUP00000014871
ENSG00000185897	ENST00000327809	ENSMEUP00000012555
ENSG00000221931	ENST00000327930	ENSMEUP00000008260
ENSG00000182771	ENST00000327946	ENSMEUP00000007705
ENSG00000185926	ENST00000328188	
ENSG00000182613	ENST00000328275	
ENSG00000185821	ENST00000328314	
ENSG00000183473	ENST00000328544	
ENSG00000186891	ENST00000328596	
ENSG00000184698	ENST00000328611	
ENSG00000186407	ENST00000328630	
ENSG00000183310	ENST00000328782	
ENSG00000182782	ENST00000328880	
ENSG00000183024	ENST00000328890	
ENSG00000206306	ENST00000328980	
ENSG00000182687	ENST00000329003	ENSMEUP00000008421
ENSG00000235568	ENST00000329021	ENSMEUP00000002420
ENSG00000185245	ENST00000329125	ENSMEUP00000007178
ENSG00000183840	ENST00000329321	ENSMEUP00000012450
ENSG00000205409	ENST00000329322	ENSMEUP00000012707
ENSG00000185372	ENST00000329365	
ENSG00000183303	ENST00000329434	
ENSG00000185149	ENST00000329476	ENSMEUP00000014365
