ENSG00000003056	ENST00000000412	ENSETEP00000016145
ENSG00000164220	ENST00000296641	ENSETEP00000013931
ENSG00000164251	ENST00000296677	ENSETEP00000007072
ENSG00000164342	ENST00000296795	ENSETEP00000012399
ENSG00000146072	ENST00000296861	ENSETEP00000006116
ENSG00000164393	ENST00000296862	ENSETEP00000002267
ENSG00000165202	ENST00000297913	
ENSG00000165370	ENST00000298110	
ENSG00000133105	ENST00000298386	
ENSG00000165621	ENST00000298440	
ENSG00000165682	ENST00000298527	ENSETEP00000013448
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSETEP00000015818
ENSG00000166148	ENST00000299178	ENSETEP00000006312
ENSG00000166363	ENST00000299454	ENSETEP00000004173
ENSG00000169684	ENST00000299565	ENSETEP00000013716
ENSG00000166573	ENST00000299727	
ENSG00000166603	ENST00000299766	
ENSG00000166682	ENST00000299882	ENSETEP00000005674
ENSG00000166825	ENST00000300060	ENSETEP00000007235
ENSG00000166856	ENST00000300098	
ENSG00000166884	ENST00000300127	ENSETEP00000005337
ENSG00000167286	ENST00000300692	ENSETEP00000000886
ENSG00000242180	ENST00000300773	ENSETEP00000009873
ENSG00000167601	ENST00000301178	ENSETEP00000012702
ENSG00000167822	ENST00000301529	ENSETEP00000001982
ENSG00000167825	ENST00000301532	ENSETEP00000006303
ENSG00000172320	ENST00000302030	
ENSG00000117090	ENST00000302035	ENSETEP00000007182
ENSG00000172324	ENST00000302040	
ENSG00000169214	ENST00000302084	ENSETEP00000001631
ENSG00000172154	ENST00000302124	ENSETEP00000005996
ENSG00000172199	ENST00000302270	ENSETEP00000001317
ENSG00000172208	ENST00000302329	ENSETEP00000003492
ENSG00000171522	ENST00000302472	ENSETEP00000000275
ENSG00000171657	ENST00000302548	
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	
ENSG00000172377	ENST00000302610	ENSETEP00000001126
ENSG00000197532	ENST00000302617	ENSETEP00000004752
ENSG00000172381	ENST00000302622	
ENSG00000169313	ENST00000302632	
ENSG00000150995	ENST00000302640	ENSETEP00000005937
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSETEP00000014592
ENSG00000169992	ENST00000302926	ENSETEP00000015528
ENSG00000172459	ENST00000302969	ENSETEP00000001442
ENSG00000172464	ENST00000302981	ENSETEP00000014586
ENSG00000172487	ENST00000303039	ENSETEP00000001982
ENSG00000172489	ENST00000303059	ENSETEP00000007400
ENSG00000168685	ENST00000303115	ENSETEP00000016425
ENSG00000168131	ENST00000303324	ENSETEP00000007757
ENSG00000169208	ENST00000303532	ENSETEP00000011205
ENSG00000169604	ENST00000303714	ENSETEP00000002104
ENSG00000169618	ENST00000303786	ENSETEP00000010643
ENSG00000170775	ENST00000303921	ENSETEP00000005067
ENSG00000172243	ENST00000304084	ENSETEP00000015990
ENSG00000172146	ENST00000304094	ENSETEP00000006290
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSETEP00000000130
ENSG00000170425	ENST00000304222	ENSETEP00000006130
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	ENSETEP00000008945
ENSG00000172209	ENST00000304402	ENSETEP00000015076
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000171459	ENST00000304720	
ENSG00000171051	ENST00000304748	
ENSG00000171481	ENST00000304820	ENSETEP00000006814
ENSG00000171484	ENST00000304833	ENSETEP00000016563
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSETEP00000008447
ENSG00000169836	ENST00000304883	ENSETEP00000016487
ENSG00000168158	ENST00000304936	
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	ENSETEP00000002325
ENSG00000169860	ENST00000305097	ENSETEP00000001006
ENSG00000171596	ENST00000305141	ENSETEP00000004519
ENSG00000171561	ENST00000305159	
ENSG00000115353	ENST00000305249	ENSETEP00000009878
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	ENSETEP00000007068
ENSG00000170605	ENST00000305377	ENSETEP00000008905
ENSG00000170920	ENST00000305444	ENSETEP00000003989
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSETEP00000013788
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	
ENSG00000169252	ENST00000305988	ENSETEP00000011720
ENSG00000168229	ENST00000306051	
ENSG00000157193	ENST00000306052	ENSETEP00000000183
ENSG00000170175	ENST00000306071	ENSETEP00000015537
ENSG00000170214	ENST00000306675	
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	ENSETEP00000003895
ENSG00000168539	ENST00000306960	
ENSG00000171014	ENST00000307033	ENSETEP00000016297
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	
ENSG00000170790	ENST00000307322	ENSETEP00000004173
ENSG00000171944	ENST00000307388	
ENSG00000170803	ENST00000307401	ENSETEP00000004738
ENSG00000172289	ENST00000307552	ENSETEP00000007331
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	
ENSG00000171509	ENST00000307765	ENSETEP00000004841
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	
ENSG00000056291	ENST00000308744	ENSETEP00000013237
ENSG00000172519	ENST00000308940	
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	
ENSG00000172938	ENST00000309106	
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	ENSETEP00000016546
ENSG00000174946	ENST00000309180	
ENSG00000173578	ENST00000309285	
ENSG00000172769	ENST00000309403	ENSETEP00000008843
ENSG00000172774	ENST00000309433	
ENSG00000163485	ENST00000309502	ENSETEP00000009530
ENSG00000173391	ENST00000309539	ENSETEP00000015582
ENSG00000175619	ENST00000309562	ENSETEP00000000960
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	ENSETEP00000014138
ENSG00000175393	ENST00000309838	ENSETEP00000001529
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSETEP00000012857
ENSG00000197376	ENST00000310194	ENSETEP00000010158
ENSG00000172640	ENST00000310248	ENSETEP00000008441
ENSG00000173612	ENST00000310357	ENSETEP00000002694
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	ENSETEP00000007058
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSETEP00000007607
ENSG00000250510	ENST00000311268	
ENSG00000175485	ENST00000311352	
ENSG00000173567	ENST00000311519	ENSETEP00000015608
ENSG00000166206	ENST00000311550	ENSETEP00000005189
ENSG00000186513	ENST00000311591	ENSETEP00000007534
ENSG00000174837	ENST00000312053	ENSETEP00000007439
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	ENSETEP00000010528
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	ENSETEP00000004830
ENSG00000174957	ENST00000312298	
ENSG00000174970	ENST00000312345	ENSETEP00000005626
ENSG00000174982	ENST00000312422	ENSETEP00000010552
ENSG00000175514	ENST00000312457	
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	ENSETEP00000010708
ENSG00000181689	ENST00000312711	ENSETEP00000002374
ENSG00000181698	ENST00000313033	ENSETEP00000007400
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	
ENSG00000181752	ENST00000313447	
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	ENSETEP00000003669
ENSG00000179546	ENST00000314113	
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	ENSETEP00000014386
ENSG00000181927	ENST00000314612	ENSETEP00000008685
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	
ENSG00000180708	ENST00000314902	ENSETEP00000004748
ENSG00000181656	ENST00000315033	
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	
ENSG00000176198	ENST00000315409	ENSETEP00000014499
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	ENSETEP00000002769
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	
ENSG00000176246	ENST00000315683	ENSETEP00000002639
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	ENSETEP00000012503
ENSG00000176281	ENST00000315915	ENSETEP00000000114
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	ENSETEP00000011966
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	ENSETEP00000000409
ENSG00000180974	ENST00000316987	ENSETEP00000014224
ENSG00000180988	ENST00000317037	ENSETEP00000005029
ENSG00000181001	ENST00000317078	
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	ENSETEP00000004632
ENSG00000181074	ENST00000317254	ENSETEP00000005033
ENSG00000161649	ENST00000317310	ENSETEP00000000444
ENSG00000177151	ENST00000317450	ENSETEP00000008641
ENSG00000168995	ENST00000317643	ENSETEP00000008185
ENSG00000175898	ENST00000317726	ENSETEP00000011307
ENSG00000180245	ENST00000317735	ENSETEP00000004813
ENSG00000178358	ENST00000317834	ENSETEP00000007754
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	ENSETEP00000005629
ENSG00000177275	ENST00000318244	ENSETEP00000000238
ENSG00000178084	ENST00000318351	ENSETEP00000007858
ENSG00000105976	ENST00000318493	ENSETEP00000010254
ENSG00000197309	ENST00000318666	ENSETEP00000015886
ENSG00000177535	ENST00000318749	
ENSG00000179055	ENST00000318763	ENSETEP00000001720
ENSG00000181104	ENST00000319211	
ENSG00000177663	ENST00000319363	ENSETEP00000002797
ENSG00000178586	ENST00000319423	
ENSG00000179097	ENST00000319595	
ENSG00000221840	ENST00000319760	
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	ENSETEP00000006189
ENSG00000177489	ENST00000320065	
ENSG00000181803	ENST00000320704	ENSETEP00000013421
ENSG00000254737	ENST00000320891	
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	
ENSG00000221866	ENST00000321063	
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	ENSETEP00000016227
ENSG00000181518	ENST00000321355	ENSETEP00000016296
ENSG00000176787	ENST00000321522	
ENSG00000176798	ENST00000321543	ENSETEP00000012328
ENSG00000179615	ENST00000321688	ENSETEP00000014190
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSETEP00000005782
ENSG00000176904	ENST00000322059	ENSETEP00000005785
ENSG00000176922	ENST00000322101	
ENSG00000176231	ENST00000322107	
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	
ENSG00000181609	ENST00000322641	ENSETEP00000006956
ENSG00000181616	ENST00000322653	ENSETEP00000008244
ENSG00000179695	ENST00000322678	ENSETEP00000012620
ENSG00000117335	ENST00000322875	ENSETEP00000006742
ENSG00000177464	ENST00000323040	ENSETEP00000011352
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSETEP00000015161
ENSG00000178394	ENST00000323865	ENSETEP00000015333
ENSG00000181733	ENST00000324060	
ENSG00000004399	ENST00000324093	ENSETEP00000003913
ENSG00000178562	ENST00000324106	ENSETEP00000011544
ENSG00000151617	ENST00000324300	ENSETEP00000001416
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSETEP00000004050
ENSG00000176136	ENST00000324750	ENSETEP00000013037
ENSG00000162897	ENST00000324852	ENSETEP00000002289
ENSG00000114812	ENST00000325123	
ENSG00000181631	ENST00000325602	
ENSG00000106128	ENST00000326139	ENSETEP00000014990
ENSG00000186074	ENST00000326165	
ENSG00000177693	ENST00000326183	ENSETEP00000005629
ENSG00000179919	ENST00000326258	
ENSG00000179934	ENST00000326306	
ENSG00000240403	ENST00000326321	
ENSG00000180269	ENST00000326571	ENSETEP00000000711
ENSG00000006327	ENST00000326577	ENSETEP00000010131
ENSG00000080644	ENST00000326828	ENSETEP00000013718
ENSG00000181273	ENST00000326855	ENSETEP00000010221
ENSG00000019169	ENST00000327097	ENSETEP00000015502
ENSG00000181371	ENST00000327216	ENSETEP00000015812
ENSG00000166342	ENST00000327305	ENSETEP00000002514
ENSG00000104938	ENST00000327325	
