ENSG00000003056	ENST00000000412	ENSPCAP00000013437
ENSG00000160013	ENST00000291294	ENSPCAP00000012573
ENSG00000242019	ENST00000291860	
ENSG00000189430	ENST00000291890	ENSPCAP00000012229
ENSG00000160683	ENST00000292174	ENSPCAP00000011175
ENSG00000121807	ENST00000292301	ENSPCAP00000006936
ENSG00000160951	ENST00000292513	ENSPCAP00000006709
ENSG00000161509	ENST00000293190	ENSPCAP00000010104
ENSG00000161638	ENST00000293379	ENSPCAP00000000948
ENSG00000161807	ENST00000293614	
ENSG00000161921	ENST00000293778	ENSPCAP00000015335
ENSG00000108556	ENST00000293780	
ENSG00000162337	ENST00000294304	
ENSG00000138039	ENST00000294954	ENSPCAP00000015002
ENSG00000153208	ENST00000295408	ENSPCAP00000003938
ENSG00000163251	ENST00000295417	
ENSG00000163285	ENST00000295452	ENSPCAP00000013236
ENSG00000163288	ENST00000295454	ENSPCAP00000003945
ENSG00000163394	ENST00000295589	
ENSG00000163464	ENST00000295683	ENSPCAP00000000006
ENSG00000054356	ENST00000295718	ENSPCAP00000002483
ENSG00000163702	ENST00000295981	ENSPCAP00000001638
ENSG00000163785	ENST00000296084	ENSPCAP00000004287
ENSG00000163823	ENST00000296140	ENSPCAP00000004057
ENSG00000082781	ENST00000296181	
ENSG00000163914	ENST00000296271	ENSPCAP00000012267
ENSG00000164078	ENST00000296474	ENSPCAP00000005117
ENSG00000120251	ENST00000296526	ENSPCAP00000008332
ENSG00000164128	ENST00000296533	ENSPCAP00000010228
ENSG00000164171	ENST00000296585	ENSPCAP00000007630
ENSG00000164220	ENST00000296641	ENSPCAP00000002138
ENSG00000164251	ENST00000296677	ENSPCAP00000013672
ENSG00000164342	ENST00000296795	ENSPCAP00000011260
ENSG00000146072	ENST00000296861	ENSPCAP00000003312
ENSG00000164393	ENST00000296862	ENSPCAP00000007752
ENSG00000165202	ENST00000297913	ENSPCAP00000005849
ENSG00000165370	ENST00000298110	
ENSG00000133105	ENST00000298386	ENSPCAP00000003941
ENSG00000165621	ENST00000298440	ENSPCAP00000010221
ENSG00000165682	ENST00000298527	
ENSG00000165762	ENST00000298642	
ENSG00000166073	ENST00000299092	ENSPCAP00000008940
ENSG00000166148	ENST00000299178	ENSPCAP00000015495
ENSG00000166363	ENST00000299454	
ENSG00000169684	ENST00000299565	ENSPCAP00000002014
ENSG00000166573	ENST00000299727	ENSPCAP00000000540
ENSG00000166603	ENST00000299766	
ENSG00000166682	ENST00000299882	ENSPCAP00000001107
ENSG00000166825	ENST00000300060	ENSPCAP00000007814
ENSG00000166856	ENST00000300098	
ENSG00000167286	ENST00000300692	ENSPCAP00000000083
ENSG00000242180	ENST00000300773	
ENSG00000167360	ENST00000300778	
ENSG00000167601	ENST00000301178	ENSPCAP00000012466
ENSG00000167822	ENST00000301529	ENSPCAP00000000333
ENSG00000167825	ENST00000301532	
ENSG00000172320	ENST00000302030	ENSPCAP00000011115
ENSG00000117090	ENST00000302035	ENSPCAP00000007510
ENSG00000172324	ENST00000302040	
ENSG00000172154	ENST00000302124	
ENSG00000172188	ENST00000302231	
ENSG00000172199	ENST00000302270	
ENSG00000172208	ENST00000302329	
ENSG00000171522	ENST00000302472	
ENSG00000171657	ENST00000302548	ENSPCAP00000010889
ENSG00000172362	ENST00000302572	ENSPCAP00000000438
ENSG00000172365	ENST00000302581	
ENSG00000197887	ENST00000302592	
ENSG00000172377	ENST00000302610	ENSPCAP00000008369
ENSG00000197532	ENST00000302617	ENSPCAP00000000354
ENSG00000172381	ENST00000302622	ENSPCAP00000001856
ENSG00000169313	ENST00000302632	
ENSG00000150995	ENST00000302640	ENSPCAP00000003541
ENSG00000171133	ENST00000302681	
ENSG00000170255	ENST00000302797	
ENSG00000171105	ENST00000302850	ENSPCAP00000004897
ENSG00000169992	ENST00000302926	ENSPCAP00000006217
ENSG00000172457	ENST00000302957	ENSPCAP00000001361
ENSG00000172459	ENST00000302969	ENSPCAP00000009987
ENSG00000172464	ENST00000302981	ENSPCAP00000013456
ENSG00000172487	ENST00000303039	ENSPCAP00000000333
ENSG00000172489	ENST00000303059	
ENSG00000168685	ENST00000303115	ENSPCAP00000004197
ENSG00000168131	ENST00000303324	ENSPCAP00000001764
ENSG00000169208	ENST00000303532	ENSPCAP00000008370
ENSG00000169604	ENST00000303714	ENSPCAP00000003237
ENSG00000169618	ENST00000303786	ENSPCAP00000006544
ENSG00000170775	ENST00000303921	ENSPCAP00000004943
ENSG00000172243	ENST00000304084	ENSPCAP00000000591
ENSG00000172146	ENST00000304094	ENSPCAP00000013090
ENSG00000172148	ENST00000304105	
ENSG00000078549	ENST00000304166	ENSPCAP00000012386
ENSG00000170425	ENST00000304222	
ENSG00000170128	ENST00000304244	
ENSG00000172322	ENST00000304361	
ENSG00000169676	ENST00000304374	
ENSG00000172209	ENST00000304402	
ENSG00000170837	ENST00000304411	
ENSG00000169327	ENST00000304418	
ENSG00000171459	ENST00000304720	
ENSG00000171051	ENST00000304748	ENSPCAP00000007642
ENSG00000171481	ENST00000304820	
ENSG00000171484	ENST00000304833	ENSPCAP00000002584
ENSG00000171496	ENST00000304865	
ENSG00000171505	ENST00000304880	ENSPCAP00000003485
ENSG00000169836	ENST00000304883	ENSPCAP00000011138
ENSG00000168158	ENST00000304936	ENSPCAP00000004049
ENSG00000169484	ENST00000305045	
ENSG00000169488	ENST00000305051	
ENSG00000169860	ENST00000305097	
ENSG00000171596	ENST00000305141	
ENSG00000171561	ENST00000305159	ENSPCAP00000004864
ENSG00000115353	ENST00000305249	ENSPCAP00000015922
ENSG00000168830	ENST00000305344	
ENSG00000170989	ENST00000305352	
ENSG00000170605	ENST00000305377	
ENSG00000170920	ENST00000305444	
ENSG00000170923	ENST00000305456	
ENSG00000168758	ENST00000305476	ENSPCAP00000004383
ENSG00000171936	ENST00000305892	
ENSG00000171942	ENST00000305899	ENSPCAP00000013440
ENSG00000169252	ENST00000305988	ENSPCAP00000013049
ENSG00000168229	ENST00000306051	ENSPCAP00000002709
ENSG00000157193	ENST00000306052	ENSPCAP00000015132
ENSG00000170175	ENST00000306071	ENSPCAP00000006406
ENSG00000170214	ENST00000306675	ENSPCAP00000009082
ENSG00000171180	ENST00000306687	
ENSG00000170953	ENST00000306842	
ENSG00000169006	ENST00000306928	
ENSG00000168539	ENST00000306960	ENSPCAP00000013148
ENSG00000171014	ENST00000307033	
ENSG00000196101	ENST00000307137	
ENSG00000168412	ENST00000307161	ENSPCAP00000004111
ENSG00000170790	ENST00000307322	
ENSG00000171944	ENST00000307388	ENSPCAP00000013801
ENSG00000170803	ENST00000307401	
ENSG00000172289	ENST00000307552	ENSPCAP00000000705
ENSG00000196778	ENST00000307632	
ENSG00000171860	ENST00000307637	ENSPCAP00000002631
ENSG00000171509	ENST00000307765	ENSPCAP00000006405
ENSG00000174339	ENST00000307832	
ENSG00000163606	ENST00000308611	
ENSG00000056291	ENST00000308744	ENSPCAP00000015592
ENSG00000172519	ENST00000308940	ENSPCAP00000013440
ENSG00000174123	ENST00000308973	
ENSG00000174125	ENST00000308979	ENSPCAP00000004910
ENSG00000196099	ENST00000309154	
ENSG00000174944	ENST00000309170	
ENSG00000174946	ENST00000309180	
ENSG00000173578	ENST00000309285	ENSPCAP00000002705
ENSG00000172769	ENST00000309403	
ENSG00000172774	ENST00000309433	
ENSG00000163485	ENST00000309502	ENSPCAP00000009705
ENSG00000173391	ENST00000309539	ENSPCAP00000000667
ENSG00000175619	ENST00000309562	ENSPCAP00000007453
ENSG00000173679	ENST00000309623	
ENSG00000175398	ENST00000309675	
ENSG00000175393	ENST00000309838	ENSPCAP00000003525
ENSG00000173302	ENST00000309926	
ENSG00000174343	ENST00000310169	ENSPCAP00000010921
ENSG00000197376	ENST00000310194	ENSPCAP00000013706
ENSG00000172640	ENST00000310248	
ENSG00000173612	ENST00000310357	ENSPCAP00000002377
ENSG00000088053	ENST00000310373	
ENSG00000121716	ENST00000310771	
ENSG00000173250	ENST00000311104	
ENSG00000228567	ENST00000311170	
ENSG00000066294	ENST00000311224	ENSPCAP00000001119
ENSG00000250510	ENST00000311268	ENSPCAP00000016010
ENSG00000175485	ENST00000311352	ENSPCAP00000004469
ENSG00000173567	ENST00000311519	ENSPCAP00000012139
ENSG00000166206	ENST00000311550	ENSPCAP00000004153
ENSG00000186513	ENST00000311591	
ENSG00000174837	ENST00000312053	
ENSG00000174600	ENST00000312143	
ENSG00000174914	ENST00000312153	ENSPCAP00000001050
ENSG00000174937	ENST00000312240	
ENSG00000174942	ENST00000312253	
ENSG00000110195	ENST00000312293	ENSPCAP00000014156
ENSG00000174982	ENST00000312422	
ENSG00000175514	ENST00000312457	ENSPCAP00000008111
ENSG00000226288	ENST00000312614	
ENSG00000173762	ENST00000312648	
ENSG00000181698	ENST00000313033	
ENSG00000181408	ENST00000313135	
ENSG00000176200	ENST00000313253	
ENSG00000181718	ENST00000313264	
ENSG00000013725	ENST00000313421	ENSPCAP00000006213
ENSG00000181752	ENST00000313447	ENSPCAP00000010012
ENSG00000181785	ENST00000313555	
ENSG00000177675	ENST00000313599	
ENSG00000176495	ENST00000313940	ENSPCAP00000001934
ENSG00000179546	ENST00000314113	
ENSG00000179817	ENST00000314254	
ENSG00000181903	ENST00000314259	
ENSG00000178789	ENST00000314401	
ENSG00000181927	ENST00000314612	ENSPCAP00000006586
ENSG00000181935	ENST00000314634	ENSPCAP00000007709
ENSG00000181939	ENST00000314644	
ENSG00000181958	ENST00000314706	
ENSG00000181961	ENST00000314721	ENSPCAP00000000502
ENSG00000180708	ENST00000314902	ENSPCAP00000013930
ENSG00000181656	ENST00000315033	ENSPCAP00000003157
ENSG00000180340	ENST00000315323	
ENSG00000150048	ENST00000315330	ENSPCAP00000003235
ENSG00000176198	ENST00000315409	ENSPCAP00000009266
ENSG00000180658	ENST00000315453	
ENSG00000176219	ENST00000315519	
ENSG00000176230	ENST00000315543	
ENSG00000127507	ENST00000315576	ENSPCAP00000000192
ENSG00000176246	ENST00000315683	
ENSG00000176253	ENST00000315693	
ENSG00000137809	ENST00000315757	
ENSG00000176281	ENST00000315915	
ENSG00000176294	ENST00000315947	
ENSG00000176299	ENST00000315957	
ENSG00000244623	ENST00000316368	ENSPCAP00000003695
ENSG00000180919	ENST00000316529	
ENSG00000180934	ENST00000316650	
ENSG00000180475	ENST00000316770	
ENSG00000180914	ENST00000316793	ENSPCAP00000009879
ENSG00000180974	ENST00000316987	ENSPCAP00000004369
ENSG00000180988	ENST00000317037	
ENSG00000181001	ENST00000317078	ENSPCAP00000005983
ENSG00000181009	ENST00000317093	
ENSG00000181023	ENST00000317121	
ENSG00000181074	ENST00000317254	ENSPCAP00000001126
ENSG00000161649	ENST00000317310	ENSPCAP00000002826
ENSG00000177151	ENST00000317450	
ENSG00000168995	ENST00000317643	
ENSG00000175898	ENST00000317726	
ENSG00000180245	ENST00000317735	ENSPCAP00000001095
ENSG00000178358	ENST00000317834	ENSPCAP00000001024
ENSG00000177174	ENST00000317861	
ENSG00000177186	ENST00000317965	
ENSG00000177201	ENST00000317996	
ENSG00000177212	ENST00000318021	
ENSG00000176695	ENST00000318050	
ENSG00000177275	ENST00000318244	
ENSG00000178084	ENST00000318351	ENSPCAP00000010993
ENSG00000105976	ENST00000318493	ENSPCAP00000009228
ENSG00000180871	ENST00000318507	ENSPCAP00000010431
ENSG00000197309	ENST00000318666	
ENSG00000177535	ENST00000318749	ENSPCAP00000014427
ENSG00000179055	ENST00000318763	ENSPCAP00000012476
ENSG00000181104	ENST00000319211	ENSPCAP00000002153
ENSG00000177663	ENST00000319363	ENSPCAP00000000726
ENSG00000179097	ENST00000319595	ENSPCAP00000007229
ENSG00000221840	ENST00000319760	ENSPCAP00000000502
ENSG00000176540	ENST00000319813	
ENSG00000178623	ENST00000319838	
ENSG00000176547	ENST00000319856	ENSPCAP00000012145
ENSG00000177462	ENST00000319968	
ENSG00000176555	ENST00000319988	
ENSG00000177476	ENST00000320002	
ENSG00000176567	ENST00000320048	ENSPCAP00000014268
ENSG00000177489	ENST00000320065	ENSPCAP00000004867
ENSG00000181803	ENST00000320704	ENSPCAP00000009460
ENSG00000254737	ENST00000320891	
ENSG00000176269	ENST00000320901	
ENSG00000178201	ENST00000321039	ENSPCAP00000011476
ENSG00000221866	ENST00000321063	ENSPCAP00000016062
ENSG00000181499	ENST00000321252	
ENSG00000176742	ENST00000321255	ENSPCAP00000000545
ENSG00000181518	ENST00000321355	
ENSG00000176787	ENST00000321522	
ENSG00000176798	ENST00000321543	
ENSG00000179615	ENST00000321688	
ENSG00000244165	ENST00000321826	
ENSG00000176879	ENST00000321961	
ENSG00000176893	ENST00000322013	ENSPCAP00000007775
ENSG00000176904	ENST00000322059	
ENSG00000176922	ENST00000322101	
ENSG00000176231	ENST00000322107	
ENSG00000176925	ENST00000322110	
ENSG00000180929	ENST00000322241	
ENSG00000188269	ENST00000322301	
ENSG00000180016	ENST00000322608	
ENSG00000181609	ENST00000322641	
ENSG00000181616	ENST00000322653	ENSPCAP00000006077
ENSG00000179695	ENST00000322678	ENSPCAP00000001811
ENSG00000117335	ENST00000322875	ENSPCAP00000004611
ENSG00000177464	ENST00000323040	
ENSG00000196610	ENST00000323109	
ENSG00000180090	ENST00000323404	ENSPCAP00000011219
ENSG00000178394	ENST00000323865	ENSPCAP00000007175
ENSG00000181733	ENST00000324060	ENSPCAP00000012451
ENSG00000004399	ENST00000324093	ENSPCAP00000012480
ENSG00000178562	ENST00000324106	ENSPCAP00000000331
ENSG00000151617	ENST00000324300	ENSPCAP00000014670
ENSG00000104972	ENST00000324602	
ENSG00000144481	ENST00000324695	ENSPCAP00000011337
ENSG00000176136	ENST00000324750	
ENSG00000162897	ENST00000324852	ENSPCAP00000003356
ENSG00000114812	ENST00000325123	ENSPCAP00000006696
ENSG00000181631	ENST00000325602	ENSPCAP00000009126
