enst	genename	AIC2	AIC3	trans2w	trans2k	extraw	extrak	trans3w	trans3k	outerw	outerk	innerw	innerk
ENST00000247881	TAS2R4	16391.9	16339.6	0.552439	2.72395	0.68193	3.29381	0.552177	2.72229	0.488592	3.06092	1.11534	3.5087
ENST00000249016	MCHR1	10555.8	10543.5	0.0158093	5.28677	0.0868704	3.29487	0.0158114	5.28911	0.0536049	4.45856	0.125614	2.60666
ENST00000249041	GALR3	8891.57	8911.41	0.0556493	3.5262	0.133622	3.66566	0.0556383	3.52664	0.127297	3.24476	0.139405	4.07641
ENST00000249284	TAS2R16	16124.5	16111.9	0.782187	2.92694	0.639383	3.08965	0.782202	2.92733	0.519385	4.10468	0.6949	2.50257
ENST00000249389	OPN1SW	9642.97	9646.68	0.207705	3.90862	0.171929	3.34056	0.207897	3.91267	0.18857	3.67866	0.166512	3.05482
ENST00000249887	CCRL1	16583.6	16600	0.15796	3.06625	0.178904	2.476	0.15794	3.06682	0.199698	2.90944	0.171449	2.20989
ENST00000252660	MAS1	11218.9	11156.2	0.0474509	2.45751	0.172866	2.70607	0.0474633	2.45886	0.0818562	2.18454	0.321032	3.31021
ENST00000255262	NMUR2	15259.5	15228.3	0.102359	3.41151	0.311724	2.92332	0.102361	3.41243	0.44906	3.03676	0.173621	2.76204
ENST00000255380	CHRM3	25241.6	25234.4	0.0158491	2.14363	0.104068	2.63162	0.0158542	2.14355	0.0828112	2.47236	0.177541	2.89144
ENST00000256906	HRH4	20062.4	20062.4	0.320508	2.74143	0.541159	3.06572	0.320545	2.74305	0.506301	3.12566	0.630312	3.2269
ENST00000257068	MTNR1B	11322.1	11326.6	0.0951391	4.60223	0.214466	3.1641	0.095155	4.60423	0.246612	2.74511	0.200121	3.81707
ENST00000257254	APLNR	10232	10218	0.0406877	5.40769	0.0859439	2.80626	0.0406904	5.41002	0.0789559	3.81832	0.107432	2.06182
ENST00000258042	NMBR	17811.4	17763.3	0.113124	2.80135	0.195264	2.60156	0.113151	2.80066	0.155854	2.94063	0.223747	2.41053
ENST00000258400	HTR2B	20595.3	20581	0.0941042	4.63816	0.305419	3.06991	0.0941763	4.64598	0.269905	3.17489	0.368867	2.89083
ENST00000258456	GPR45	14204.7	14172	0.0709431	3.08127	0.0994162	2.55714	0.0709433	3.08188	0.0730622	2.10088	0.144528	2.96004
ENST00000259357	OR1J1	14334.7	14366	0.179567	2.93946	0.253193	2.7286	0.179657	2.93981	0.34087	2.986	0.208685	2.67765
ENST00000260843	GPR87	15094.6	14821.7	0.053549	3.25427	0.118896	2.14738	0.0535627	3.25481	0.00834855	1.82394	0.212286	2.32456
ENST00000262441	GLP2R	22943.5	22939.9	0.226304	2.59856	0.377183	2.86082	0.226439	2.59932	0.25254	3.31359	0.471822	2.75288
ENST00000265572	OPRK1	14711.1	14632.1	0.034909	2.28732	0.0891728	2.48212	0.0349127	2.28696	0.0432129	2.06147	0.110044	3.01414
ENST00000267015	GPR84	17756.4	17800.7	0.0973016	3.86526	0.28396	2.92772	0.0973057	3.86462	0.355172	2.99097	0.123743	2.1479
ENST00000267377	SSTR1	10151.8	10145	0.0119065	6.29829	0.0255638	4.67397	0.0119093	6.29936	0.0111387	4.41945	0.0507235	5.18005
ENST00000268912	OR4D1	10206.5	10220.3	0.113646	3.46334	0.169439	3.71895	0.113667	3.46235	0.143996	3.55219	0.19642	3.92953
ENST00000272928	CXCR7	17257.7	17310.9	0.0356252	4.50259	0.0516318	3.06917	0.0356316	4.50515	0.0558993	3.69906	0.0507899	2.68328
ENST00000273352	GPR128	27135.7	27095.7	0.449022	2.90867	0.648115	2.79223	0.449166	2.91335	0.463389	3.11014	0.679747	2.72414
ENST00000275169	GPR6	9886.99	9828.56	0.0272092	5.67286	0.0674726	2.90386	0.0272142	5.67376	0.0192215	3.4748	0.113484	2.43043
ENST00000275216	TAAR1	9622.69	9622.38	0.172678	3.30273	0.344386	3.25703	0.172747	3.30242	0.309605	2.82261	0.383177	3.69603
ENST00000276077	GPR174	10812.6	10853.2	0.0855301	4.52043	0.200868	2.42768	0.0855089	4.52065	0.188821	2.52338	0.213118	2.23754
ENST00000276198	HTR2C	9869.79	9857.04	0.0388199	1.56948	0.134447	1.9894	0.0388151	1.56957	0.136806	2.01558	0.113073	1.99578
ENST00000276218	GPR119	12808.1	12854.7	0.16083	3.49408	0.326304	3.81122	0.1609	3.49837	0.358094	4.13779	0.257476	2.85708
ENST00000277309	OR1K1	11393.2	11409.7	0.143971	3.07911	0.243593	3.21733	0.143929	3.07916	0.297365	3.59959	0.213976	2.95003
ENST00000279783	OR8K1	12267.8	12315.5	0.137925	3.1257	0.223946	2.36234	0.138022	3.12731	0.211881	2.88764	0.223834	2.0415
ENST00000279791	OR5M9	7212.25	7211.21	0.0799268	3.09193	0.0944189	3.51122	0.0799232	3.09191	0.137468	4.16129	0.0664528	2.92099
ENST00000280155	ADRA2A	11085.5	11083.9	0.0267032	4.45554	0.0805656	3.06965	0.0267082	4.45611	0.0897176	3.33172	0.0654842	2.58863
ENST00000282018	CYSLTR2	14555.7	14558.5	0.261317	3.54637	0.538189	3.62499	0.261361	3.55058	0.403203	3.63601	0.620339	3.67473
ENST00000284311	GPR15	18301	18201.5	0.16477	2.83938	0.285756	2.56766	0.164884	2.84111	0.212166	3.65346	0.385065	2.07488
ENST00000284674	GPR26	10934.4	10946.5	0.0751853	3.32805	0.0754058	2.71721	0.0752027	3.32882	0.0771831	2.7776	0.0715396	2.70397
ENST00000285600	OR4K1	11658.5	11656.2	0.102621	2.51655	0.184116	3.37515	0.102597	2.51774	0.217782	3.22205	0.176969	3.73788
ENST00000286201	FZD7	13335.1	13315.6	0.00154221	4.75838	0.0214419	5.67877	0.00154218	4.7582	0.00277904	7.2293	0.025592	5.49885
ENST00000287907	HTR5A	16567	16576.1	0.0677808	3.39084	0.153618	2.80469	0.067777	3.39061	0.136232	3.18697	0.18351	2.34005
ENST00000289451	OR10K1	9538.2	9526.5	0.0981499	2.97047	0.202971	3.15443	0.0981565	2.97171	0.209492	3.65076	0.164018	3.12805
ENST00000289753	HTR6	11859.2	11867.2	0.043076	2.61427	0.180015	3.86308	0.043083	2.61508	0.174891	3.66816	0.185722	4.90232
ENST00000291294	PTGIR	12256	12238.3	0.0493808	4.3868	0.126242	3.17364	0.0493914	4.38724	0.176143	3.31718	0.0560654	2.89106
ENST00000292174	CXCR5	12912.5	12836.1	0.0600962	5.23071	0.136349	2.89136	0.0600953	5.23033	0.0614384	2.95212	0.195915	2.94555
ENST00000292301	CCR2	10188.9	10095.2	0.134042	2.41752	0.443872	2.40641	0.134045	2.41861	0.173591	3.22419	0.542071	2.25536
ENST00000292513	PTGER1	11549.9	11552.6	0.079528	3.74763	0.16419	3.33141	0.0795215	3.74892	0.162809	3.5979	0.160724	3.05362
ENST00000295417	FZD5	14536.2	14557.3	0.0188267	3.4657	0.0315176	4.38319	0.0188306	3.46649	0.0235927	5.05143	0.0351545	4.23061
ENST00000295589	CCKAR	10566.5	10534.2	0.021903	2.90759	0.127654	2.65003	0.0219108	2.91021	0.133068	2.48383	0.122676	3.10366
ENST00000296140	CCR1	15352.7	15304.3	0.200551	3.31742	0.293903	2.67988	0.200543	3.31805	0.207656	3.05165	0.364566	2.52149
ENST00000296271	RHO	14028.9	14036.4	0.0510946	2.56889	0.0365317	3.02405	0.0510921	2.56915	0.0288187	3.11936	0.0429617	2.95496
ENST00000296533	NPY1R	16619.5	16569.4	0.0672049	1.9637	0.106005	1.97669	0.0672147	1.96337	0.0792927	2.11439	0.127792	2.01722
ENST00000296641	F2RL2	15851.7	15841.5	0.253419	3.04772	0.379224	3.18928	0.253434	3.04862	0.476467	3.88923	0.359873	3.02512
ENST00000296677	F2RL1	17990.6	18002.1	0.0818992	2.41687	0.235308	2.61309	0.0818647	2.41666	0.168433	2.82676	0.309858	2.53181
ENST00000297913	OR1Q1	14365	14355.8	0.151689	4.24333	0.23492	3.16112	0.151808	4.24577	0.355719	3.52012	0.171866	2.85619
ENST00000298110	GPR101	17290.4	17317.1	0.139798	4.20505	0.240478	2.70341	0.139656	4.21203	0.276758	2.55413	0.131939	3.18592
ENST00000298440	OXGR1	15276.8	15261.4	0.10187	3.14948	0.201354	2.23952	0.101861	3.14753	0.199939	2.35553	0.197843	2.14687
ENST00000298642	OR4K2	11537.6	11544.1	0.125276	2.7183	0.24463	3.4664	0.125278	2.71861	0.26648	3.51642	0.233326	3.58082
ENST00000299092	GPR176	17158.4	17147	0.0737594	4.23093	0.135852	3.19693	0.0737585	4.23088	0.148422	3.46269	0.0934349	2.42855
ENST00000299178	AVPR1A	16881.3	16892.2	0.0580824	3.86339	0.179764	2.54878	0.0581017	3.86497	0.162855	2.48762	0.185181	2.83178
ENST00000299727	GALR1	8333.42	8327.69	0.0287741	3.37511	0.137221	2.51811	0.028774	3.37506	0.141658	2.6369	0.117116	2.95723
ENST00000299766	MC4R	10292.3	10283.5	0.0402235	2.32138	0.103712	2.75058	0.0402284	2.32074	0.0653051	2.75863	0.139329	2.78409
ENST00000300098	GPR182	17365	17369.9	0.154955	4.06934	0.253223	3.32159	0.155011	4.06878	0.361305	3.33743	0.168688	3.34186
ENST00000300127	OR4D6	14003.3	14065.2	0.162908	3.18513	0.178648	3.38612	0.163027	3.18628	0.165386	3.12554	0.197924	3.47122
ENST00000301529	OR8J3	15000.2	15037.3	0.175869	2.30722	0.250049	2.59867	0.175844	2.30659	0.312456	2.14672	0.199162	2.76536
ENST00000301532	OR5I1	10856.6	10885.7	0.170818	2.71823	0.132877	1.94895	0.170793	2.71862	0.155261	3.19919	0.116446	1.40063
ENST00000302030	OR5A1	10772.6	10789.9	0.141551	3.82034	0.202701	4.20932	0.141628	3.82656	0.264756	4.9798	0.172277	3.67382
ENST00000302084	OR6F1	8856.09	8852.14	0.121727	2.23111	0.19352	2.79179	0.121729	2.23136	0.150366	2.42998	0.223108	2.98813
ENST00000302270	OR8U1	10837.5	10848.4	0.124077	2.52537	0.187202	3.34973	0.124065	2.52558	0.190576	3.29814	0.177116	3.20061
ENST00000302472	PTGER4	14641.9	14658.8	0.0194192	4.74589	0.132097	2.14664	0.019426	4.74937	0.125017	2.06975	0.150259	2.57163
ENST00000302548	GPR82	14835.6	14823	0.212482	3.82504	0.303867	2.97033	0.212439	3.82559	0.225655	3.28638	0.394505	2.90376
ENST00000302581	OR5B2	10781.8	10819.2	0.270308	2.40297	0.252914	2.38569	0.270512	2.4042	0.26875	2.60344	0.247702	2.17708
ENST00000302610	OR9I1	13326	13340.1	0.20943	3.30769	0.279179	3.62719	0.209414	3.3066	0.35357	4.29181	0.222986	3.14224
ENST00000302617	OR6Y1	10089.4	10098.1	0.121286	2.8769	0.225351	3.05886	0.12127	2.87743	0.291028	2.48495	0.183616	3.66243
ENST00000302622	OR6Q1	15053.7	15041.5	0.134126	3.19088	0.2715	2.87713	0.134134	3.19102	0.292713	3.17879	0.267636	2.75009
ENST00000302632	P2RY12	12572.5	12584.9	0.0477927	1.93008	0.224491	2.88841	0.0477989	1.93017	0.240648	2.803	0.209524	2.97325
ENST00000302681	OR2K2	9997.08	10033.5	0.120286	2.49347	0.26421	3.29512	0.12024	2.49258	0.318171	3.78848	0.227196	2.92716
ENST00000302969	OR5AR1	9096.32	9085.97	0.111088	3.84821	0.157906	3.35446	0.111095	3.84721	0.198464	3.31128	0.135979	3.53039
ENST00000302981	OR5AP2	9838.26	9847.99	0.189208	1.71746	0.299388	2.23127	0.188979	1.71596	0.314951	2.66272	0.287519	1.97606
ENST00000303039	OR8J1	14236.6	14263.6	0.188205	2.22972	0.241062	2.68347	0.188251	2.22981	0.311833	2.20374	0.184391	2.83784
ENST00000303532	OR10G3	13634.1	13640.6	0.12406	3.44846	0.247755	3.84374	0.124057	3.44819	0.294438	3.98521	0.213254	3.71571
ENST00000303786	PROKR1	16575.5	16563	0.05557	3.42579	0.112474	2.99416	0.055572	3.42486	0.0699678	2.32852	0.16291	3.62048
ENST00000303921	GPR37	30028	29554.9	0.000652584	2.01951	0.206749	2.77176	0.000652489	2.01877	0.0100556	1.77925	0.301231	2.98555
ENST00000304094	OR1A1	8560.85	8562.65	0.125001	2.28049	0.179976	3.31368	0.125	2.28087	0.166932	3.70045	0.199879	3.24503
ENST00000304166	ADCYAP1R1	14454.7	14379	0.0553789	3.00748	0.112634	2.54023	0.0553744	3.0071	0.0485318	4.97396	0.144532	1.99937
ENST00000304222	ADORA2B	10118.5	10149.7	0.095894	3.68611	0.198117	3.04884	0.0958868	3.6855	0.210278	3.2514	0.184535	2.70359
ENST00000304374	DRD5	14707	14709.8	0.0473938	4.35285	0.206831	2.62472	0.0474045	4.3532	0.194767	2.36511	0.227154	3.09721
ENST00000304402	GPR22	9100.21	9095.43	0.038481	3.78428	0.057344	2.52061	0.0385073	3.79804	0.0383553	2.45441	0.122703	2.99529
ENST00000304748	FPR1	13427	13270.5	0.199945	2.60166	0.394089	2.82667	0.199913	2.60123	0.148048	3.72496	0.63297	2.60082
ENST00000304883	TACR3	15326.5	15339.3	0.0543453	3.07916	0.15207	2.6846	0.0543881	3.08201	0.154966	3.00541	0.147203	2.26945
ENST00000304936	OR2C1	11129.6	11160.8	0.118677	3.32307	0.194554	4.70739	0.118717	3.32425	0.202299	4.90449	0.192884	4.44812
ENST00000305045	OR4K14	13630.2	13684.5	0.205451	2.63099	0.216499	2.61302	0.205677	2.63267	0.276469	3.1278	0.190139	2.31213
ENST00000305097	P2RY1	10894.3	10821.9	0.0442678	2.52584	0.0714151	1.93289	0.0442911	2.52648	0.0159164	0.990297	0.107124	2.65758
ENST00000305159	OR2AT4	8841.24	8855.02	0.100736	3.4342	0.269864	2.99861	0.100796	3.43768	0.314207	3.3276	0.248504	2.78721
ENST00000305249	TACR1	12838.6	12863	0.0225756	4.84175	0.0622533	3.55593	0.0225798	4.84227	0.057407	3.95987	0.0745286	3.1555
ENST00000305344	HTR1E	8542.06	8534.35	0.0335772	1.83233	0.0627813	3.10011	0.0335615	1.83108	0.0383624	2.94866	0.0937191	3.44715
ENST00000305352	S1PR1	11183.6	11168.8	0.0114049	2.59622	0.0692022	2.51434	0.0113982	2.59875	0.0466412	2.15845	0.104931	3.08014
ENST00000305377	OR9K2	11426.5	11483.7	0.191212	2.2773	0.262148	2.46668	0.191154	2.27728	0.226514	2.36909	0.306287	2.59399
ENST00000305988	ADRB2	16579.2	16576.7	0.0371926	3.94104	0.177666	2.64708	0.03718	3.93704	0.187143	2.6602	0.135695	2.70619
ENST00000306051	PTGDR	16914.1	16972.4	0.137043	2.45347	0.272352	2.64234	0.137067	2.45339	0.325215	2.91584	0.234673	2.45506
ENST00000306675	ADRA1B	16981.9	16986.3	0.0184408	3.06013	0.100989	2.3754	0.0184569	3.06188	0.0873105	2.36374	0.134051	2.34168
ENST00000306928	NTSR2	13086.2	13104	0.280767	2.46072	0.230776	2.89547	0.280889	2.46218	0.28092	2.58455	0.171046	3.45845
ENST00000306960	CHRM1	12111.7	12112.9	0.0130591	3.99672	0.0413777	2.83014	0.0130588	3.99778	0.0426854	2.69009	0.0401129	3.39527
ENST00000307033	OR4D5	11732.8	11763.8	0.120593	2.66311	0.18028	3.79259	0.120553	2.66246	0.24544	4.73689	0.138001	3.1522
ENST00000307161	MTNR1A	11266.7	11283.8	0.128448	3.16229	0.170433	2.48753	0.128477	3.16166	0.182979	2.34504	0.15725	2.8589
ENST00000307401	OR2AG1	8794.91	8809.5	0.205682	3.65825	0.291688	3.35955	0.205714	3.65695	0.281232	4.63331	0.286145	2.64831
ENST00000307552	OR10V1	14052	14052.4	0.164014	2.93596	0.209586	2.92009	0.163955	2.9348	0.160273	2.95921	0.231799	3.10742
ENST00000307637	C3AR1	22174.1	22157.7	0.296474	4.38979	0.748244	3.45043	0.296725	4.39638	0.445292	3.39748	0.860474	3.44084
ENST00000309170	P2RY14	17746.9	17655.8	0.164521	3.42939	0.261919	2.55746	0.164577	3.43052	0.338777	4.14075	0.200562	1.86128
ENST00000309180	GPR171	13397.4	13430.4	0.102115	2.90114	0.227143	2.45777	0.102107	2.90127	0.30158	2.46357	0.166256	2.65517
ENST00000309285	XCR1	15011.5	14949.1	0.122714	4.03052	0.299938	2.21857	0.122743	4.03115	0.183189	2.54933	0.436369	2.1368
ENST00000309502	ADORA1	10221.9	10244.2	0.0531703	4.30745	0.0845537	2.94491	0.0531745	4.30777	0.0710747	3.10468	0.0901498	2.74553
ENST00000309838	OR10A6	9228.97	9257.98	0.207492	2.90583	0.209329	2.86552	0.20752	2.90551	0.275651	3.04736	0.166591	2.74785
ENST00000310194	OR8S1	13563.2	13573.5	0.259274	2.11319	0.263592	2.72104	0.259233	2.1129	0.304714	3.30026	0.233692	2.40784
ENST00000310357	GPRC6A	38731	38699.7	0.232555	3.11348	0.258102	3.0968	0.232597	3.11442	0.326953	2.85249	0.243799	3.17555
ENST00000311104	GPR151	15237.3	15298.9	0.209076	3.60576	0.360968	3.27623	0.209116	3.61144	0.398481	3.2988	0.298048	3.23239
ENST00000311268	GPR162	14218.6	14166	0.00593302	4.76067	0.125367	3.21596	0.00593361	4.76221	0.155169	3.24765	0.0198073	3.46946
ENST00000311352	OR52W1	10026.3	10025.8	0.203768	3.72122	0.361759	5.32611	0.203725	3.71951	0.23518	5.45235	0.46606	5.34807
ENST00000311591	OR9Q2	15709.6	15725.9	0.149183	2.36474	0.238954	2.93627	0.149193	2.36577	0.289625	3.59078	0.201242	2.49012
ENST00000312253	OR5R1	10588.9	10604.6	0.0757528	2.16613	0.19002	2.788	0.0757728	2.16683	0.252906	2.50275	0.159038	2.80743
ENST00000312298	OR5J2	15133.9	15182.6	0.219428	2.59258	0.251207	2.47897	0.219369	2.59251	0.269281	2.68813	0.224896	2.23898
ENST00000312422	OR4S2	12059.2	12094.5	0.101143	2.20765	0.171835	2.38098	0.101117	2.20706	0.182935	2.19666	0.159094	2.50891
ENST00000313135	UTS2R	12386.6	12394.2	0.101302	4.10197	0.193001	3.68633	0.101295	4.10182	0.226531	3.11726	0.166975	4.32063
ENST00000313253	OR4D11	9179.58	9182.53	0.103206	2.5683	0.21381	3.11094	0.103221	2.56786	0.212218	3.43197	0.19776	2.73832
ENST00000314113	HTR1D	17013.3	16998.1	0.0563455	2.5071	0.149064	2.77448	0.0563757	2.50798	0.108865	2.66734	0.223704	3.00184
ENST00000314612	OR4P4	16087.3	16086.2	0.199055	2.37694	0.251846	2.98299	0.199085	2.377	0.288133	3.08143	0.193185	3.02754
ENST00000314902	OR10K2	11506	11494.5	0.124247	3.41166	0.208335	3.78782	0.124255	3.41299	0.167458	4.21185	0.214409	3.82608
ENST00000315683	OR4L1	10947.8	10973	0.135	2.78754	0.278489	2.8809	0.13496	2.79195	0.276861	2.82556	0.291844	3.04161
ENST00000315915	OR4K5	10830.1	10835.8	0.16524	3.48506	0.260656	3.54633	0.16514	3.48386	0.31235	3.61218	0.165153	3.33153
ENST00000315947	OR4N2	8343.44	8329.29	0.13675	2.95089	0.182202	2.7029	0.136801	2.95266	0.188549	2.22975	0.186421	3.50603
ENST00000315957	OR4M1	12076.3	12068.5	0.0863201	4.1419	0.111812	2.96698	0.0863522	4.14534	0.184704	3.03066	0.0637541	2.84361
ENST00000316793	OXTR	10828.9	10844.7	0.0178605	5.81019	0.0741543	4.3742	0.0178616	5.81066	0.0850886	3.62565	0.0690401	5.79132
ENST00000316987	OR52E4	9977.89	9987.65	0.105686	3.24979	0.173882	3.11133	0.105715	3.25251	0.179679	3.52923	0.175241	2.75695
ENST00000317037	OR52N2	12461.8	12480.9	0.116881	2.38424	0.16765	2.44177	0.11685	2.38474	0.192035	2.07216	0.156841	2.81357
ENST00000317078	OR52N1	9613.95	9610.25	0.0898658	3.01804	0.1738	2.9326	0.0898767	3.01867	0.242701	3.43714	0.131008	2.53057
ENST00000317254	OR52N4	10344.8	10339.2	0.104665	2.36376	0.197119	2.59441	0.104689	2.36475	0.154177	3.46956	0.223144	2.17067
ENST00000317726	S1PR2	14554.6	14585.1	0.0383303	3.95113	0.0847349	3.53486	0.0383284	3.953	0.0716878	4.50746	0.103349	2.72556
ENST00000317735	RRH	14369.2	14359.5	0.166671	3.54944	0.358828	3.384	0.166594	3.54854	0.463251	3.67541	0.240465	2.8799
ENST00000318507	CXCR2	11776	11695.4	0.194515	3.81176	0.34114	2.52733	0.194589	3.8114	0.150518	2.70823	0.525451	2.48614
ENST00000318666	OR10D3	16940	16938.2	0.168262	2.48269	0.23231	2.78462	0.168293	2.48312	0.292399	2.91199	0.189609	2.7783
ENST00000318749	OR2B11	16431.3	16431.8	0.0859562	3.19202	0.177255	3.25865	0.0859768	3.19261	0.22243	3.74932	0.154967	3.13272
ENST00000318763	OR13D1	9272.83	9265.68	0.213838	2.37312	0.27686	2.48823	0.213622	2.37133	0.219804	3.04651	0.309425	2.20254
ENST00000319211	F2R	15094.7	14981	0.11994	2.70646	0.261276	1.87892	0.119992	2.70687	0.118862	1.95221	0.364279	1.83034
ENST00000319595	HTR1F	11906.7	11907.3	0.0454426	2.42936	0.137492	2.29415	0.0454467	2.42907	0.170959	2.79175	0.0898818	1.54733
ENST00000319813	OR4C5	11155.6	11138.5	0.27757	2.24526	0.248838	2.68464	0.277652	2.24591	0.315361	2.78961	0.186884	2.59464
ENST00000319838	GPR35	10813.7	10828.3	0.191015	3.67438	0.253159	2.46293	0.191134	3.67292	0.193898	3.05781	0.364295	1.87037
ENST00000320704	OR6S1	13016	12966.9	0.132072	4.20637	0.313324	4.16101	0.13207	4.20697	0.42903	3.84965	0.220668	4.74971
ENST00000321355	OR8D4	14140.3	14175.9	0.211839	2.52108	0.28026	2.52359	0.211902	2.52156	0.261425	2.58236	0.274375	2.5451
ENST00000321522	OR52E2	11508.6	11515.4	0.182532	2.19523	0.174143	2.99746	0.182545	2.19559	0.231478	2.60891	0.141313	3.30246
ENST00000321543	OR51L1	10856.9	10895.4	0.154997	3.61865	0.26778	3.77103	0.154926	3.61767	0.29256	4.00769	0.259516	3.73811
ENST00000321961	OR51G1	10162.3	10139.3	0.0710513	3.2902	0.180144	2.7079	0.0710728	3.29114	0.22034	2.30328	0.153046	3.42978
ENST00000322013	OR51G2	12724.2	12730	0.0988488	3.12772	0.169264	3.06862	0.0988639	3.12793	0.126653	3.88211	0.195797	2.76657
ENST00000322101	OR51S1	10737.7	10760.8	0.20405	3.85671	0.314846	4.23773	0.204107	3.86452	0.22653	3.40958	0.387699	4.6304
ENST00000322641	OR52D1	10942.8	10958.6	0.152479	2.33811	0.261064	2.91159	0.152494	2.33799	0.339967	3.92274	0.220973	2.36246
ENST00000322678	OR6C2	10064	10070.8	0.144814	2.01344	0.195122	3.25172	0.144796	2.01362	0.269812	4.051	0.152318	2.89405
ENST00000323040	GPR4	8915.09	8864.37	0.0554906	2.58335	0.0648917	3.04799	0.0554933	2.58252	0.0916532	3.54436	0.0337286	1.96863
ENST00000323865	HTR1A	14951.7	14958.2	0.0139745	4.14362	0.113523	3.21605	0.0139702	4.15286	0.120365	3.16164	0.0928575	3.09157
ENST00000324060	OR2Z1	17837.9	17858.4	0.175084	3.18913	0.254924	2.82188	0.175118	3.18715	0.28368	3.07258	0.246847	2.67788
ENST00000324300	EDNRA	12464.3	12326.4	0.0143922	2.08103	0.116323	2.1462	0.0144047	2.08713	0.0262664	1.3053	0.193893	2.60081
ENST00000324750	MC5R	11842.2	11832.5	0.0539041	4.72299	0.17902	2.82117	0.0539242	4.7256	0.145729	3.37529	0.224224	2.64996
ENST00000325123	VIPR1	13709	13682.5	0.121475	4.94991	0.165971	2.7813	0.121606	4.95882	0.093951	3.34476	0.21523	2.64159
ENST00000325602	P2RY13	13015.6	13051.4	0.242009	3.02133	0.22428	2.698	0.242245	3.02471	0.288092	3.15643	0.176061	2.52982
ENST00000326139	GHRHR	18966.5	19010.3	0.149726	2.66018	0.245838	3.16185	0.149668	2.66046	0.279834	3.9393	0.236263	2.87398
ENST00000326258	OR10A7	9813.46	9822.39	0.147314	2.83608	0.25978	3.49628	0.147287	2.83542	0.364772	3.93456	0.200365	3.17062
ENST00000326306	CCR8	13941.3	13962.4	0.205006	3.61916	0.321536	3.35308	0.205064	3.62081	0.290544	3.50566	0.319309	3.37051
ENST00000326571	GPR139	10637.6	10550.5	0.0269249	1.97902	0.0513948	3.75768	0.0268853	1.97524	0.0124813	3.30239	0.107961	4.17139
ENST00000326855	OR5AK2	10164	10188.6	0.271697	2.25315	0.350509	2.60342	0.271407	2.25214	0.322953	3.39392	0.355109	2.04797
ENST00000327216	OR5M8	10759.3	10745	0.124291	2.28114	0.164954	2.16289	0.12435	2.28153	0.25639	2.78189	0.127527	1.83456
ENST00000327606	MC2R	11223.9	11234.5	0.134004	3.99058	0.237451	3.57969	0.134007	3.99056	0.162956	3.60448	0.274452	3.82596
ENST00000327809	FFAR3	11072.2	11074	0.119044	3.90116	0.250575	3.36083	0.119044	3.90016	0.220141	3.2238	0.252646	3.4681
ENST00000327930	OR6X1	9072.39	9095.81	0.135701	2.7153	0.191874	4.09338	0.135698	2.71573	0.233166	3.81263	0.169291	4.57886
ENST00000328064	OR8B8	11100.4	11105.3	0.1226	3.47057	0.247961	3.94027	0.122525	3.46849	0.327625	4.51267	0.211795	3.73939
ENST00000328275	OR2V2	8488.98	8482.45	0.122734	4.09584	0.189773	4.47134	0.122793	4.09691	0.216596	5.72967	0.175686	3.71943
ENST00000328544	SSTR3	11674	11677	0.00666794	11.5929	0.125287	4.56435	0.00666762	11.5912	0.129957	3.67273	0.124091	6.62176
