gene	enst	transw	trans_sd	transk	extraw	extra_sd	extrak	transcat	extracat	translen	extralen	transpos	extrapos	chemo
CHRM5	ENST00000383263	0.035178972	0.071078137	2.78457	0.236733135	0.248482836	2.7996	2	3	132	345	0	0	0
CNR1	ENST00000369501	0.005473163	0.019031305	3.51046	0.027820381	0.078458152	2.5156	2	3	141	289	0	0	0
CNR2	ENST00000374472	0.195557788	0.255992826	4.25207	0.387382056	0.366424899	3.96604	3	3	142	173	7	22	0
CX3CR1	ENST00000358309	0.170774144	0.240196174	2.9097	0.31459799	0.33977014	2.47434	2	3	138	204	0	17	0
CXCR2	ENST00000318507	0.222542815	0.363341254	4.02289	0.425499587	0.548139122	2.69808	3	3	141	183	11	25	0
CXCR4	ENST00000409817	0.026307228	0.039297842	2.9626	0.103187872	0.190514496	2.29025	2	3	127	149	0	2	0
CXCR5	ENST00000292174	0.061783865	0.078563245	5.29821	0.154400072	0.173936291	2.97665	2	3	136	194	0	0	0
CXCR6	ENST00000438735	0.249493748	0.330105295	3.60222	0.366600403	0.412533129	2.76987	3	4	135	166	10	16	0
CXCR7	ENST00000272928	0.036153397	0.060109732	4.48333	0.057921435	0.086747789	3.09156	2	3	147	179	0	0	0
CYSLTR1	ENST00000373304	0.123023361	0.212662019	3.06223	0.245806203	0.283263333	2.60796	2	3	137	161	0	7	0
CYSLTR2	ENST00000282018	0.291145593	0.356606186	3.60452	0.635372604	0.634376698	3.77931	3	3	137	166	10	34	0
DRD1	ENST00000393752	0.016457057	0.064907899	3.02919	0.080374517	0.124790026	3.51744	2	2	132	260	0	0	0
DRD2	ENST00000362072	0.058411865	0.106229735	3.17878	0.103838896	0.087070402	2.18639	2	2	139	266	0	0	0
DRD3	ENST00000460779	0.054417689	0.102245964	4.05424	0.203267455	0.244907388	3.27996	2	3	141	202	0	0	0
DRD5	ENST00000304374	0.048927519	0.052503333	4.37985	0.223358999	0.182147808	2.65992	2	3	129	292	0	0	0
EDNRA	ENST00000324300	0.0144038	0	2.0872	0.122358866	0.15260259	2.14125	1	2	129	235	0	0	0
F2R	ENST00000319211	0.127098622	0.160217439	2.63457	0.305589505	0.366247269	1.91817	2	3	143	237	0	21	0
F2RL1	ENST00000296677	0.095570541	0.149001223	2.43803	0.25415532	0.268642412	2.61657	2	3	142	210	0	0	0
F2RL2	ENST00000296641	0.267851795	0.250873986	3.02712	0.408019366	0.30014158	3.21906	2	3	143	191	0	19	0
FFAR1	ENST00000246553	0.114361643	0.146335289	3.85818	0.273970853	0.342360516	3.37988	3	3	135	116	0	0	0
FFAR2	ENST00000246549	0.102786893	0.11436877	2.40349	0.307738429	0.259406903	2.17839	2	3	139	144	0	0	0
FFAR3	ENST00000327809	0.151452208	0.216212872	4.06998	0.284308474	0.267981372	3.48391	2	3	134	156	0	0	0
FPR1	ENST00000304748	0.265852628	0.368411167	2.67995	0.497739818	0.538807445	2.90289	3	3	133	164	13	40	0
FSHR	ENST00000406846	0.14502615	0.320262791	3.37766	0.267890216	0.269380585	2.97619	3	3	138	506	5	0	0
FZD4	ENST00000531380	0.0120217	0	1.8356	0.052663118	0.096780847	2.48044	1	2	141	361	0	0	0
FZD5	ENST00000295417	0.018832	0	3.46515	0.035006251	0.06816982	4.42524	1	2	143	411	0	0	0
FZD6	ENST00000522566	0.031232467	0.167440149	2.64478	0.189388607	0.235864955	2.86176	3	3	140	532	2	0	0
FZD7	ENST00000286201	0.002410337	0.026887791	4.80025	0.024888645	0.066357583	5.72846	2	2	141	398	0	0	0
GALR1	ENST00000299727	0.030050341	0.04766115	3.37669	0.164809962	0.256668076	2.56827	2	3	141	167	0	4	0
GALR2	ENST00000329003	0.090688355	0.138948527	6.05134	0.146185647	0.10673043	4.22217	2	2	132	195	0	0	0
GALR3	ENST00000249041	0.058386612	0.061130073	3.5254	0.142877453	0.119410404	3.70212	2	2	135	181	0	0	0
GCGR	ENST00000400723	0.116689147	0.167273794	4.36431	0.171237152	0.181857696	3.45888	3	2	134	303	0	0	0
GHRHR	ENST00000326139	0.169287406	0.190551758	2.66167	0.285016758	0.287203063	3.21137	2	3	134	247	0	0	0
GHSR	ENST00000241256	0.032583869	0.064618205	3.17276	0.121534388	0.170877141	2.66051	2	3	142	181	0	0	0
GLP2R	ENST00000262441	0.240648223	0.216465953	2.61905	0.42435486	0.398349516	2.93637	2	3	132	375	0	64	0
GNRHR	ENST00000226413	0.148441513	0.229336718	3.11751	0.249741304	0.242599451	3.25792	3	3	130	143	0	0	0
GPR1	ENST00000407325	0.211739049	0.24444947	2.8597	0.275212944	0.289574007	2.76792	3	3	139	173	3	0	0
GPR101	ENST00000298110	0.174683307	0.370762214	4.18673	0.264745558	0.267553342	2.76168	3	3	139	322	9	0	0
GPR114	ENST00000340339	0.205772521	0.181887782	2.92561	0.36155579	0.302042414	2.73885	2	3	133	344	0	0	0
GPR119	ENST00000276218	0.183386591	0.276968277	3.43024	0.383588877	0.377815322	3.85016	3	3	136	142	5	20	0
GPR12	ENST00000405846	0.04603806	0.1012225	1.756	0.142600517	0.228370165	2.29351	3	3	141	159	0	0	0
GPR128	ENST00000273352	0.488081419	0.535740788	2.91755	0.71283697	0.647588622	2.88029	3	3	135	613	16	186	0
GPR139	ENST00000326571	0.036325899	0.129585287	1.98573	0.053414247	0.092853428	3.72449	3	2	136	174	0	0	0
GPR141	ENST00000447769	0.446857612	0.44955415	2.98886	0.442143411	0.481539868	2.45408	3	3	131	121	27	16	0
GPR143	ENST00000467482	0.218090215	0.190817947	2.13153	0.404879102	0.34684182	2.32547	2	2	139	206	0	0	0
GPR146	ENST00000397095	0.119388594	0.105616901	3.42529	0.133084994	0.121764513	3.76588	2	3	129	147	0	0	0
GPR149	ENST00000389740	0.303773781	0.223814085	2.0119	0.233579447	0.219291136	2.22011	2	3	136	550	0	0	0
GPR15	ENST00000284311	0.187925826	0.292521627	2.85529	0.321912657	0.346114719	2.59901	3	3	145	182	6	0	0
GPR150	ENST00000380007	0.147468186	0.107824117	4.62076	0.386647878	0.561295972	2.96969	2	3	132	248	0	39	0
GPR151	ENST00000311104	0.213618345	0.199026915	3.58133	0.372738782	0.266071544	3.23382	2	2	134	230	0	0	0
GPR153	ENST00000377893	0.039049776	0.083322172	6.25925	0.107264164	0.120874687	3.7327	2	2	132	426	0	0	0
GPR156	ENST00000464295	0.185727054	0.1885462	3.37253	0.513264484	0.427760966	3.29411	2	3	136	631	0	112	0
GPR160	ENST00000355897	0.417158563	0.279372121	3.58583	0.485111586	0.333121775	3.91134	2	3	130	151	0	0	0
GPR162	ENST00000311268	0.00593468	0	4.76322	0.147051174	0.23116862	3.25492	1	3	133	411	0	0	0
GPR17	ENST00000544369	0.043980494	0.073240601	3.8843	0.172158466	0.226722744	2.73557	2	3	142	193	0	0	0
GPR171	ENST00000309180	0.115184314	0.22622474	2.7837	0.249342279	0.281741803	2.5305	3	3	132	138	4	9	0
GPR173	ENST00000332582	0.0235228	0.040461438	5.09799	0.054367664	0.14737622	4.69222	2	2	139	197	0	0	0
GPR174	ENST00000276077	0.089559578	0.167631611	4.53215	0.229177192	0.312962726	2.38653	2	3	140	149	0	7	0
GPR176	ENST00000299092	0.074476099	0.098440071	4.23038	0.164341536	0.298832187	3.1742	3	4	137	339	0	15	0
GPR18	ENST00000397473	0.124702309	0.146758099	3.50426	0.142118098	0.198118478	2.83628	2	3	139	148	0	0	0
GPR182	ENST00000300098	0.17190803	0.202042518	4.02044	0.31221495	0.293842004	3.43973	3	3	138	213	0	0	0
GPR183	ENST00000376414	0.103166667	0.200310604	2.30451	0.183366367	0.254550514	2.76965	3	3	137	184	2	0	0
GPR19	ENST00000540510	0.107818531	0.093920167	1.96248	0.16674269	0.253939423	2.17086	2	3	138	202	0	0	0
GPR20	ENST00000377741	0.039488371	0.051586637	6.90041	0.273659815	0.317745623	4.09398	2	3	138	180	0	10	0
GPR21	ENST00000373642	0.088012822	0.152979176	2.69269	0.199849819	0.176504024	3.26423	2	2	140	170	0	0	0
GPR22	ENST00000304402	0.03804137	0.194859586	3.71492	0.059803904	0.117672287	2.53611	2	2	127	242	3	0	0
GPR26	ENST00000284674	0.080550253	0.083431977	3.29229	0.078958325	0.060150274	2.73131	2	2	132	155	0	0	0
GPR3	ENST00000374024	0.074656828	0.111339879	5.31547	0.184441193	0.315958084	3.75405	2	3	137	134	0	7	0
GPR31	ENST00000366834	0.290904911	0.289592085	3.41856	0.344778166	0.309725242	2.47683	3	3	126	125	0	9	0
GPR34	ENST00000378142	0.134065018	0.290233325	3.98556	0.389969169	0.623681875	3.70918	2	3	131	197	0	19	0
GPR35	ENST00000319838	0.224351582	0.259243713	3.75751	0.276932095	0.180975333	2.49911	3	2	136	127	7	0	0
GPR37	ENST00000303921	0.000653117	0	2.02086	0.227701293	0.235352593	2.81883	1	3	139	424	0	0	0
GPR37L1	ENST00000367282	0.081378845	0.08239169	3.06164	0.158935271	0.134272076	3.37123	2	3	145	287	0	0	0
GPR39	ENST00000329321	0.085710375	0.114237376	3.38707	0.217360692	0.261589628	2.30575	2	4	138	268	0	11	0
GPR4	ENST00000323040	0.05927436	0.06279598	2.57218	0.079437711	0.132808298	3.09242	2	3	134	186	0	0	0
GPR42	ENST00000454971	0.154326003	0.213372123	4.04156	0.295465605	0.282115664	3.57125	2	3	134	155	0	8	0
GPR44	ENST00000332539	0.139200534	0.283069012	3.53158	0.180540396	0.218048045	2.68385	3	2	135	214	6	0	0
GPR45	ENST00000258456	0.080176439	0.11110052	3.01257	0.118865613	0.196948507	2.60481	3	4	128	176	0	3	0
GPR50	ENST00000218316	0.1118523	0.201008174	4.47469	0.398265962	0.305969663	3.08737	2	2	145	432	4	0	0
GPR52	ENST00000367685	0.015154112	0.039600944	1.88266	0.152664348	0.24083463	2.99527	2	2	137	179	0	0	0
GPR55	ENST00000392040	0.132387926	0.197019203	2.96607	0.279993282	0.421331584	3.10547	3	4	134	140	0	2	0
GPR56	ENST00000388812	0.164809842	0.214840281	3.46075	0.23723101	0.244634729	2.78045	3	3	138	513	5	16	0
GPR6	ENST00000275169	0.02731378	0.061513379	5.59061	0.075740687	0.116974276	2.92663	2	2	135	151	0	0	0
GPR61	ENST00000527748	0.022485727	0.052957194	5.37708	0.102827337	0.147645009	3.46268	2	2	141	272	0	0	0
GPR63	ENST00000417980	0.075192547	0.126830461	2.50711	0.126636967	0.19691976	3.29766	2	2	138	213	0	0	0
GPR68	ENST00000531499	0.062337422	0.118002411	4.08272	0.111287819	0.185924637	3.19668	2	3	139	185	0	3	0
GPR75	ENST00000394705	0.075966915	0.11089618	2.73626	0.152424838	0.209907074	2.75831	2	3	133	349	0	5	0
GPR82	ENST00000302548	0.241897833	0.444731899	3.79224	0.329803587	0.322761435	3.03803	4	3	128	141	3	0	0
GPR84	ENST00000267015	0.122234218	0.183114528	3.92131	0.319156407	0.276005779	3.01137	3	3	140	214	0	0	0
GPR85	ENST00000501255	0.0219617	0	2.1954	0.02270925	0.054543741	3.05742	1	2	137	186	0	0	0
GPR87	ENST00000260843	0.05085067	0.112397731	3.16923	0.14197653	0.236249453	2.20821	2	3	133	178	0	0	0
GPRC5A	ENST00000014914	0.225874229	0.271918089	2.9295	0.352579474	0.368142946	2.16071	3	3	123	173	0	17	0
GPRC5D	ENST00000228887	0.219151292	0.303131656	2.39418	0.337836188	0.314193892	2.24754	3	4	134	174	3	9	0
GPRC6A	ENST00000310357	0.26787879	0.385139082	3.07928	0.275150517	0.279446691	3.15748	3	3	134	746	8	0	0
GRM2	ENST00000395052	0.036660136	0.069414312	4.49343	0.045938121	0.080886679	4.41164	2	2	137	697	0	0	0
GRM3	ENST00000361669	0.034659744	0.102474944	2.59914	0.044878137	0.128692127	2.52256	2	3	139	695	0	6	0
GRM8	ENST00000339582	0.029553275	0.103423762	2.24708	0.025724226	0.063078374	2.27731	2	2	133	726	0	0	0
GRPR	ENST00000380289	0.061108935	0.15078838	3.9212	0.139816851	0.223896119	3.10234	2	3	140	202	0	0	0
HCAR1	ENST00000356987	0.106688646	0.186948707	3.56493	0.272850744	0.251378004	3.53974	3	3	146	173	3	0	0
HCAR2	ENST00000328880	0.070914609	0.115342749	3.55744	0.197527141	0.249115338	2.18138	2	3	143	188	0	6	0
HCRTR1	ENST00000403528	0.038477993	0.075414918	6.77175	0.101282421	0.126738828	3.44896	2	2	135	243	0	0	0
HCRTR2	ENST00000370862	0.040643408	0.079101172	3.56601	0.073822623	0.088456134	2.01823	2	2	132	261	0	0	0
HRH1	ENST00000438284	0.066549724	0.138509875	3.27686	0.417098812	0.370752887	3.4342	3	3	132	301	0	38	0
HRH2	ENST00000377291	0.079056569	0.114277344	4.67819	0.307328582	0.30062596	3.15297	2	3	139	219	0	0	0
HRH4	ENST00000256906	0.371984114	0.425097974	2.8263	0.59296602	0.47282075	3.12992	3	4	144	210	20	38	0
HTR1A	ENST00000323865	0.015380345	0.029980823	4.15512	0.146878287	0.229998898	3.2588	2	3	143	242	0	9	0
HTR1B	ENST00000369947	0.052492802	0.117155196	3.30712	0.13552097	0.229373673	2.82693	2	3	140	210	0	0	0
HTR1D	ENST00000314113	0.061133509	0.137949007	2.46005	0.166598516	0.191836181	2.84258	3	3	135	196	0	0	0
HTR1E	ENST00000305344	0.035328165	0.075486524	1.84979	0.066283405	0.10274711	3.12048	2	2	136	186	0	0	0
HTR1F	ENST00000319595	0.049801144	0.123240497	2.36999	0.154607875	0.165141445	2.31266	2	2	139	188	0	0	0
HTR2A	ENST00000378688	0.057304708	0.110365415	2.28108	0.176951591	0.221360171	2.05374	2	4	138	293	0	7	0
HTR2B	ENST00000258400	0.097784171	0.185622469	4.58602	0.325531744	0.285821199	3.07679	2	3	140	301	0	0	0
HTR2C	ENST00000276198	0.042519194	0.120256723	1.56737	0.152368742	0.312117205	2.02272	2	2	137	245	0	20	0
HTR4	ENST00000360693	0.056158199	0.104730006	4.37525	0.191202324	0.229879757	2.84404	2	2	135	244	0	0	0
HTR5A	ENST00000287907	0.074673358	0.098776377	3.37295	0.175921021	0.159452982	2.85283	3	3	138	175	0	0	0
HTR6	ENST00000289753	0.04674396	0.071054463	2.62709	0.195897011	0.171685984	3.93268	2	2	139	250	0	0	0
HTR7	ENST00000336152	0.02419852	0.072480223	2.47117	0.077500876	0.112193195	2.28676	2	2	135	299	0	0	0
LPAR1	ENST00000374431	0.00729105	0	3.241	0.06774043	0.133407478	2.96075	1	2	139	187	0	0	0
LPAR2	ENST00000407877	0.033026468	0.062267621	4.97974	0.093041676	0.195184109	3.17235	2	3	141	174	0	0	0
LPAR3	ENST00000440886	0.064204799	0.113777365	3.02208	0.117612435	0.159255	2.6167	2	3	142	178	0	0	0
LPAR4	ENST00000435339	0.0297829	0	4.48102	0.118103452	0.129175962	3.41374	1	2	139	190	0	0	0
LPAR5	ENST00000329858	0.084533421	0.159220311	3.90402	0.288186939	0.307444641	2.77818	3	3	146	201	0	0	0
LPAR6	ENST00000378434	0.055722173	0.130276496	3.29331	0.196714081	0.346920863	2.55856	2	3	145	156	0	14	0
MAS1	ENST00000252660	0.053084869	0.092089817	2.47516	0.211409424	0.276996539	2.71606	2	3	140	137	0	0	0
MC2R	ENST00000327606	0.159757306	0.326865045	3.70194	0.268563154	0.352587049	3.63861	3	3	138	117	8	7	0
MC4R	ENST00000299766	0.044341261	0.075007643	2.31211	0.110381481	0.113513077	2.72217	2	2	146	147	0	0	0
MC5R	ENST00000324750	0.057800069	0.082940876	4.62248	0.212550157	0.22344493	2.92409	2	3	135	142	0	4	0
MCHR1	ENST00000249016	0.017327886	0.040412368	5.24685	0.09786244	0.139227463	3.34113	2	2	138	214	0	0	0
MCHR2	ENST00000445970	0.094509405	0.125612709	3.16991	0.260832705	0.308408527	3.39807	2	3	131	155	0	11	0
MRGPRF	ENST00000441623	0.10036251	0.112590732	3.5116	0.096255901	0.116678427	3.90568	2	3	141	164	0	0	0
MTNR1A	ENST00000307161	0.137403384	0.203475572	3.16766	0.184771111	0.162901432	2.53538	3	2	140	160	0	0	0
MTNR1B	ENST00000257068	0.101958328	0.132185701	4.62207	0.264263606	0.27467111	3.29932	2	3	141	175	0	10	0
NMBR	ENST00000258042	0.119089098	0.219533004	2.77379	0.221467106	0.283788631	2.58425	3	3	140	213	3	0	0
NMUR2	ENST00000255262	0.120511051	0.221216356	3.46885	0.348894514	0.298414244	3.02785	3	3	135	224	1	0	0
NPBWR1	ENST00000331251	0.048760278	0.066079765	3.85097	0.108131621	0.132680066	3.30055	2	3	135	144	0	0	0
NPSR1	ENST00000359791	0.11468822	0.218098452	3.43372	0.22426772	0.306003235	3.72656	2	3	135	196	0	5	0
NPY1R	ENST00000296533	0.068849852	0.100402261	1.91984	0.121947684	0.153008685	2.04938	2	3	141	201	0	0	0
NPY2R	ENST00000329476	0.053380732	0.058841977	3.49829	0.169513165	0.172585063	2.5418	2	2	141	201	0	0	0
NPY5R	ENST00000338566	0.064788479	0.078285689	2.38996	0.176553374	0.135204243	1.71904	2	3	140	260	0	0	0
NTSR1	ENST00000370501	0.070976727	0.085100313	4.12734	0.103785934	0.130954914	2.77647	2	3	135	237	0	0	0
NTSR2	ENST00000306928	0.29641578	0.199848627	2.47998	0.25786223	0.252939923	2.9324	2	3	131	227	0	10	0
O3FAR1	ENST00000371483	0.123412865	0.227164731	2.88415	0.21430275	0.254291408	2.89882	3	3	139	190	0	0	0
OPN1LW	ENST00000369951	0.122009812	0.179261446	2.44781	0.133169428	0.164212165	2.28283	3	3	139	173	0	0	0
OPN1MW	ENST00000369935	0.118281626	0.150122332	2.56162	0.140008627	0.175995191	2.28708	3	3	140	176	0	0	0
OPN1MW2	ENST00000369929	0.118574789	0.150535671	2.57415	0.140068305	0.175996979	2.28936	3	3	140	176	0	0	0
OPN1SW	ENST00000249389	0.299748918	0.491428169	3.8401	0.188656126	0.256935811	3.39495	4	2	143	163	22	0	0
OPN4	ENST00000372071	0.092459121	0.171840755	3.35227	0.320250554	0.287834209	4.06257	3	3	137	291	0	28	0
OPRD1	ENST00000234961	0.044449484	0.067249577	3.21768	0.107389958	0.196411881	3.75445	2	3	143	185	0	4	0
OPRK1	ENST00000265572	0.034629123	0.047167997	2.2868	0.090420013	0.122307648	2.4643	2	2	138	191	0	0	0
OPRL1	ENST00000336866	0.06863276	0.069964578	3.45426	0.083782483	0.083179561	3.29385	2	3	143	187	0	0	0
OPRM1	ENST00000434900	0.016202814	0.038405905	2.79348	0.138636038	0.252881273	2.16998	2	3	135	302	0	9	0
OR10A4	ENST00000379829	0.122504067	0.214592487	3.53932	0.17170623	0.154826099	3.19023	2	2	129	109	0	0	1
OR10A6	ENST00000309838	0.216473067	0.231752602	2.91373	0.220763146	0.230562156	2.84628	2	3	132	129	0	6	1
OR10A7	ENST00000326258	0.174846353	0.240827885	2.95728	0.270782661	0.19839001	3.51303	2	2	139	134	0	0	1
OR10D3	ENST00000318666	0.186931446	0.166981902	2.44639	0.263474139	0.249941776	2.8475	3	3	133	126	0	0	1
OR10G3	ENST00000303532	0.132598933	0.136819835	3.4979	0.280818269	0.309755377	3.94817	2	3	140	140	0	10	1
OR10J5	ENST00000334857	0.250980079	0.435207748	3.22456	0.22702873	0.219278343	3.68846	3	2	138	111	4	0	1
OR10K1	ENST00000289451	0.102957355	0.133767056	2.98433	0.287232032	0.498878331	3.50636	2	3	136	131	0	12	1
OR10K2	ENST00000314902	0.141001	0.177733889	3.39779	0.267675102	0.375999249	4.07192	2	3	142	130	0	11	1
OR10T2	ENST00000334438	0.120383911	0.151075637	2.63912	0.19922352	0.300183056	2.84727	2	3	144	117	0	8	1
OR10V1	ENST00000307552	0.190800911	0.237218427	2.86766	0.250692538	0.272535607	3.02287	2	3	147	131	0	0	1
OR10W1	ENST00000395079	0.254753847	0.285389159	3.68126	0.297424489	0.251446292	2.88548	3	2	136	119	0	0	1
OR10Z1	ENST00000361284	0.113826681	0.128447628	2.56061	0.2176544	0.262883491	3.39925	2	3	141	135	0	0	1
OR11A1	ENST00000377148	0.302933359	0.231817442	2.40452	0.354252707	0.249113655	2.59173	2	2	137	124	0	0	1
OR13A1	ENST00000553795	0.115939459	0.273489204	3.10516	0.2492402	0.252991283	3.3607	3	3	135	143	3	0	1
OR13C5	ENST00000374779	0.177031451	0.185510516	3.4413	0.321686133	0.29960159	3.3608	2	2	136	137	0	0	1
OR13C8	ENST00000335040	0.204639794	0.203816793	2.87019	0.372227457	0.39781729	3.31021	2	3	147	140	0	18	1
OR13D1	ENST00000318763	0.257509567	0.320106881	2.38804	0.284461797	0.27430359	2.49623	2	2	141	159	0	0	1
OR13F1	ENST00000334726	0.198649632	0.228306057	3.31159	0.322284355	0.306812217	2.6149	2	2	147	136	0	0	1
OR13H1	ENST00000338616	0.298596497	0.200057304	2.392	0.382903038	0.339098603	2.66753	2	3	142	115	0	13	1
OR13J1	ENST00000377981	0.202120433	0.267608835	4.29532	0.181192757	0.183210896	4.05098	3	2	137	129	8	0	1
OR14J1	ENST00000377160	0.268755699	0.272591516	2.58158	0.301914974	0.266896959	2.73446	3	4	137	138	0	1	1
OR1A1	ENST00000304094	0.128015979	0.13612554	2.25223	0.22369844	0.339252725	3.51338	2	3	137	131	0	10	1
OR1D2	ENST00000331459	0.186534996	0.233210633	3.43857	0.221189815	0.217667392	3.05112	2	2	147	138	0	0	1
OR1I1	ENST00000209540	0.180795216	0.24808074	3.5195	0.281242154	0.302820344	3.40751	3	3	142	180	0	21	1
OR1J1	ENST00000259357	0.204525301	0.274345246	2.94242	0.318255676	0.32356053	2.94532	3	3	139	142	4	0	1
OR1K1	ENST00000277309	0.169918326	0.192303804	3.11373	0.281625497	0.23792786	3.37958	2	2	140	137	0	0	1
OR1M1	ENST00000429566	0.127786938	0.162125429	2.6569	0.16000595	0.181373594	2.58665	3	3	139	140	0	0	1
OR1Q1	ENST00000297913	0.189580488	0.272874772	4.24261	0.310397087	0.390481486	3.34907	3	4	128	126	7	9	1
OR2A1	ENST00000408951	0.261663593	0.347365287	3.62599	0.356106419	0.357228701	2.60293	3	3	140	127	14	11	1
OR2A42	ENST00000391496	0.257053426	0.318307948	3.6057	0.352349509	0.346696804	2.62448	2	3	140	127	0	4	1
OR2A5	ENST00000408906	0.172113776	0.175441604	2.73057	0.340453408	0.401303045	3.23376	2	3	137	127	0	14	1
OR2AG1	ENST00000307401	0.222779493	0.267878466	3.60634	0.328124489	0.303661082	3.38964	2	2	133	135	0	0	1
OR2AG2	ENST00000338569	0.235032482	0.352522542	3.09176	0.304983911	0.323011303	3.59642	2	2	136	132	16	0	1
OR2AT4	ENST00000305159	0.115977973	0.147156523	3.47021	0.303073211	0.272370998	3.07868	2	2	139	133	0	0	1
OR2B11	ENST00000318749	0.105244297	0.186989071	3.28915	0.204332673	0.223947276	3.38469	3	3	142	140	3	0	1
OR2B6	ENST00000244623	0.216787577	0.20147587	2.0926	0.286999044	0.261468514	3.3144	2	2	143	138	0	0	1
OR2C1	ENST00000304936	0.141321965	0.224790348	3.38374	0.212408236	0.240117911	4.79315	3	3	146	135	6	0	1
